palavra,divisao,categoria,fonetica,tonic
a,['a'],artigo,['a'],1
a,['a'],preposição,['a'],1
á-bê-cê,"['á', 'bê', 'cê']",nome masculino,"['ˌa', 'bˌe', 'sˈe']",1
a-propósito,"['a', 'pro', 'pó', 'si', 'to']",nome masculino,"['a', 'pɾo', 'pˈɔ', 'zi', 'tʊ']",3
à-vontade,"['à', 'von', 'ta', 'de']",nome masculino,"['ˌa', 'võ', 'tˈa', 'dʒɪ']",2
aa,"['a', 'a']",nome feminino,"['a', 'ˈa']",2
aal,"['a', 'al']",nome masculino,"['a', 'ˈaw']",1
ab-reativo,"['ab', 're', 'a', 'ti', 'vo']",adjetivo,"['ab', 'ɦe', 'a', 'tʃˈi', 'vʊ']",2
ab-rogado,"['ab', 'ro', 'ga', 'do']",adjetivo,"['ab', 'ɦo', 'gˈa', 'dʊ']",2
ab-rogador,"['ab', 'ro', 'ga', 'dor']",adjetivo,"['ab', 'ɦo', 'ga', 'dˈoɾ']",1
ab-rogador,"['ab', 'ro', 'ga', 'dor']",nome masculino,"['ab', 'ɦo', 'ga', 'dˈoɾ']",1
ab-rogar,"['ab', 'ro', 'gar']",verbo,"['ab', 'ɦo', 'gˈaɾ']",1
ab-rogatório,"['ab', 'ro', 'ga', 'tó', 'ri', 'o']",adjetivo,"['ab', 'ɦo', 'ga', 'tˈɔ', 'ɾjʊ']",3
aba,"['a', 'ba']",nome masculino,"['ˈa', 'bɐ']",2
aba,"['a', 'ba']",nome feminino,"['ˈa', 'bɐ']",2
abacanto,"['a', 'ba', 'can', 'to']",nome masculino,"['a', 'ba', 'kˈɐ̃', 'tʊ']",2
abacate,"['a', 'ba', 'ca', 'te']",adjetivo,"['a', 'ba', 'kˈa', 'tʃɪ']",2
abacate,"['a', 'ba', 'ca', 'te']",nome masculino,"['a', 'ba', 'kˈa', 'tʃɪ']",2
abacate,"['a', 'ba', 'ca', 'te']",nome feminino,"['a', 'ba', 'kˈa', 'tʃɪ']",2
abacaxi,"['a', 'ba', 'ca', 'xi']",adjetivo,"['a', 'ba', 'ka', 'ʃˈi']",1
abacaxi,"['a', 'ba', 'ca', 'xi']",nome masculino,"['a', 'ba', 'ka', 'ʃˈi']",1
abacial,"['a', 'ba', 'ci', 'al']",adjetivo,"['a', 'ba', 'si', 'ˈaw']",1
ábaco,"['á', 'ba', 'co']",nome masculino,"['ˈa', 'ba', 'kʊ']",3
abada,"['a', 'ba', 'da']",nome feminino,"['a', 'bˈa', 'dɐ']",2
abadágio,"['a', 'ba', 'dá', 'gi', 'o']",nome masculino,"['a', 'ba', 'dˈa', 'ʒjʊ']",3
abadar,"['a', 'ba', 'dar']",verbo,"['a', 'ba', 'dˈa']",1
abade,"['a', 'ba', 'de']",nome masculino,"['a', 'bˈa', 'dʒɪ']",2
abadejo,"['a', 'ba', 'de', 'jo']",nome masculino,"['a', 'ba', 'dˈe', 'ʒʊ']",2
abadessa,"['a', 'ba', 'des', 'sa']",nome feminino,"['a', 'ba', 'dˈe', 'sɐ']",2
abadessar,"['a', 'ba', 'des', 'sar']",verbo,"['a', 'ba', 'de', 'sˈa']",1
abadia,"['a', 'ba', 'di', 'a']",nome feminino,"['a', 'ba', 'dʒˈi', 'ɐ']",2
abadiado,"['a', 'ba', 'di', 'a', 'do']",nome masculino,"['a', 'ba', 'dʒi', 'ˈa', 'dʊ']",2
abadiar,"['a', 'ba', 'di', 'ar']",verbo,"['a', 'ba', 'dʒi', 'ˈa']",1
abadir,"['a', 'ba', 'dir']",nome masculino,"['a', 'ba', 'dʒˈi']",1
abado,"['a', 'ba', 'do']",adjetivo,"['a', 'bˈa', 'dʊ']",2
