palavra,divisao,categoria,fonetica,tonic
babá,"['ba', 'bá']",nome feminino,"['ba', 'bˈa']",1
baba,"['ba', 'ba']",nome feminino,"['bˈa', 'bɐ']",2
baba,"['ba', 'ba']",nome masculino,"['bˈa', 'bɐ']",2
babá,"['ba', 'bá']",nome masculino,"['ba', 'bˈa']",1
babaca,"['ba', 'ba', 'ca']",adjetivo,"['ba', 'bˈa', 'kɐ']",2
babada,"['ba', 'ba', 'da']",nome feminino,"['ba', 'bˈa', 'dɐ']",2
babado,"['ba', 'ba', 'do']",adjetivo,"['ba', 'bˈa', 'dʊ']",2
babado,"['ba', 'ba', 'do']",nome masculino,"['ba', 'bˈa', 'dʊ']",2
babar,"['ba', 'bar']",verbo,"['ba', 'bˈa']",1
babeiro,"['ba', 'bei', 'ro']",nome masculino,"['ba', 'bˈej', 'ɾʊ']",2
babel,"['ba', 'bel']",nome feminino,"['ba', 'bˈɛw']",1
babélico,"['ba', 'bé', 'li', 'co']",adjetivo,"['ba', 'bˈɛ', 'li', 'kʊ']",3
babete,"['ba', 'be', 'te']",nome masculino,"['ba', 'bˈɛ', 'tʃɪ']",2
babilónia,"['ba', 'bi', 'ló', 'ni', 'a']",nome feminino,"['ba', 'bi', 'lˈɔ̃', 'njɐ']",3
babilônia,"['ba', 'bi', 'lô', 'ni', 'a']",nome feminino,"['ba', 'bi', 'lˈõ', 'njɐ']",3
babilónico,"['ba', 'bi', 'ló', 'ni', 'co']",adjetivo,"['ba', 'bi', 'lˈɔ̃', 'ni', 'kʊ']",3
babilônico,"['ba', 'bi', 'lô', 'ni', 'co']",adjetivo,"['ba', 'bi', 'lˈõ', 'ni', 'kʊ']",3
babilônio,"['ba', 'bi', 'lô', 'ni', 'o']",adjetivo,"['ba', 'bi', 'lˈõ', 'njʊ']",3
babilónio,"['ba', 'bi', 'ló', 'ni', 'o']",nome masculino,"['ba', 'bi', 'lˈɔ̃', 'njʊ']",3
babilónio,"['ba', 'bi', 'ló', 'ni', 'o']",adjetivo,"['ba', 'bi', 'lˈɔ̃', 'njʊ']",3
babosa,"['ba', 'bo', 'sa']",nome feminino,"['ba', 'bˈɔ', 'zɐ']",2
baboseira,"['ba', 'bo', 'sei', 'ra']",nome feminino,"['ba', 'bo', 'zˈej', 'ɾɐ']",2
baboso,"['ba', 'bo', 'so']",adjetivo,"['ba', 'bˈo', 'zʊ']",2
baboso,"['ba', 'bo', 'so']",nome masculino,"['ba', 'bˈo', 'zʊ']",2
babucha,"['ba', 'bu', 'cha']",nome feminino,"['ba', 'bˈu', 'ʃɐ']",2
babugem,"['ba', 'bu', 'gem']",nome feminino,"['ba', 'bˈu', 'ʒẽj']",2
babuíno,"['ba', 'bu', 'í', 'no']",nome masculino,"['ba', 'bu', 'ˈĩ', 'nʊ']",2
baby-sitter,"['ba', 'by', 'sit', 'ter']",nome masculino,['ou'],2
bacalhau,"['ba', 'ca', 'lhau']",nome masculino,"['ba', 'ka', 'ʎˈaw']",1
bacalhoeira,"['ba', 'ca', 'lho', 'ei', 'ra']",nome feminino,"['ba', 'ka', 'ʎo', 'ˈej', 'ɾɐ']",2
bacalhoeiro,"['ba', 'ca', 'lho', 'ei', 'ro']",adjetivo,"['ba', 'ka', 'ʎo', 'ˈej', 'ɾʊ']",2
bacalhoeiro,"['ba', 'ca', 'lho', 'ei', 'ro']",nome masculino,"['ba', 'ka', 'ʎo', 'ˈej', 'ɾʊ']",2
bacamarte,"['ba', 'ca', 'mar', 'te']",nome masculino,"['ba', 'kã', 'mˈah', 'tʃɪ']",2
bacana,"['ba', 'ca', 'na']",adjetivo,"['ba', 'kˈɐ̃', 'nɐ']",2
bacanal,"['ba', 'ca', 'nal']",nome masculino,"['ba', 'kã', 'nˈaw']",1
bacanal,"['ba', 'ca', 'nal']",nome feminino,"['ba', 'kã', 'nˈaw']",1
bacanal,"['ba', 'ca', 'nal']",adjetivo,"['ba', 'kã', 'nˈaw']",1
bacano,"['ba', 'ca', 'no']",adjetivo,"['ba', 'kˈɐ̃', 'nʊ']",2
bacano,"['ba', 'ca', 'no']",nome masculino,"['ba', 'kˈɐ̃', 'nʊ']",2
bacante,"['ba', 'can', 'te']",nome feminino,"['ba', 'kˈɐ̃', 'tʃɪ']",2
bacante,"['ba', 'can', 'te']",adjetivo,"['ba', 'kˈɐ̃', 'tʃɪ']",2
