palavra,divisao,categoria,fonetica,tonic
gabão,"['ga', 'bão']",nome masculino,"['ga', 'bˈɐ̃w']",1
gabar,"['ga', 'bar']",verbo,"['ga', 'bˈa']",1
gabardina,"['ga', 'bar', 'di', 'na']",nome feminino,"['ga', 'baɦ', 'dʒˈĩ', 'nɐ']",2
gabardine,"['ga', 'bar', 'di', 'ne']",nome feminino,"['ga', 'baɦ', 'dʒˈĩ', 'nɪ']",2
gabarito,"['ga', 'ba', 'ri', 'to']",nome masculino,"['ga', 'ba', 'ɾˈi', 'tʊ']",2
gabarola,"['ga', 'ba', 'ro', 'la']",adjetivo,"['ga', 'ba', 'ɾˈɔ', 'lɐ']",2
gabarola,"['ga', 'ba', 'ro', 'la']",nome masculino,"['ga', 'ba', 'ɾˈɔ', 'lɐ ou ga', 'ba', 'ɾˈɔ', 'lɐ']",2
gabarolas,"['ga', 'ba', 'ro', 'las']",nome masculino,"['ga', 'ba', 'ɾˈɔ', 'lɐʃ']",2
gabarolice,"['ga', 'ba', 'ro', 'li', 'ce']",nome feminino,"['ga', 'ba', 'ɾo', 'lˈi', 'sɪ']",2
gabarra,"['ga', 'bar', 'ra']",nome feminino,"['ga', 'bˈa', 'ɦɐ']",2
gabela,"['ga', 'be', 'la']",nome feminino,"['ga', 'bˈɛ', 'lɐ']",2
gabiar,"['ga', 'bi', 'ar']",verbo,"['ga', 'bi', 'ˈa']",1
gabinete,"['ga', 'bi', 'ne', 'te']",nome masculino,"['ga', 'bĩ', 'nˈe', 'tʃɪ']",2
gabiru,"['ga', 'bi', 'ru']",nome masculino,"['ga', 'bi', 'ɾˈu']",1
gabiru,"['ga', 'bi', 'ru']",adjetivo,"['ga', 'bi', 'ɾˈu']",1
gabo,"['ga', 'bo']",nome masculino,"['gˈa', 'bʊ']",2
gabonês,"['ga', 'bo', 'nês']",adjetivo,"['ga', 'bõ', 'nˈeʃ']",1
gabonês,"['ga', 'bo', 'nês']",nome masculino,"['ga', 'bõ', 'nˈeʃ']",1
gacha,"['ga', 'cha']",nome feminino,"['gˈa', 'ʃɐ']",2
