palavra,divisao,categoria,fonetica,tonic
hã,['hã'],interjeição,['ˈɐ̃'],1
há,['há'],nome masculino,['ˈa'],1
habanera,"['ha', 'ba', 'ne', 'ra']",nome feminino,"['a', 'bã', 'nˈɛ', 'ɾɐ']",2
hábil,"['há', 'bil']",adjetivo,"['ˈa', 'biw']",2
habilidade,"['ha', 'bi', 'li', 'da', 'de']",nome feminino,"['a', 'bi', 'li', 'dˈa', 'dʒɪ']",2
habilidosa,"['ha', 'bi', 'li', 'do', 'sa']",nome feminino,"['a', 'bi', 'li', 'dˈɔ', 'zɐ']",2
habilidosamente,"['ha', 'bi', 'li', 'do', 'sa', 'men', 'te']",advérbio,"['a', 'bi', 'li', 'dɔ', 'zã', 'mˈẽ', 'tʃɪ']",2
habilidoso,"['ha', 'bi', 'li', 'do', 'so']",adjetivo,"['a', 'bi', 'li', 'dˈo', 'zʊ']",2
habilidoso,"['ha', 'bi', 'li', 'do', 'so']",nome masculino,"['a', 'bi', 'li', 'dˈo', 'zʊ']",2
habilitação,"['ha', 'bi', 'li', 'ta', 'ção']",nome feminino,"['a', 'bi', 'li', 'ta', 'sˈɐ̃w']",1
habilitado,"['ha', 'bi', 'li', 'ta', 'do']",adjetivo,"['a', 'bi', 'li', 'tˈa', 'dʊ']",2
habilitando,"['ha', 'bi', 'li', 'tan', 'do']",adjetivo,"['a', 'bi', 'li', 'tˈɐ̃', 'dʊ']",2
habilitando,"['ha', 'bi', 'li', 'tan', 'do']",nome masculino,"['a', 'bi', 'li', 'tˈɐ̃', 'dʊ']",2
habilitante,"['ha', 'bi', 'li', 'tan', 'te']",adjetivo,"['a', 'bi', 'li', 'tˈɐ̃', 'tʃɪ']",2
habilitante,"['ha', 'bi', 'li', 'tan', 'te']",nome masculino,"['a', 'bi', 'li', 'tˈɐ̃', 'tʃɪ']",2
habilitante,"['ha', 'bi', 'li', 'tan', 'te']",nome feminino,"['a', 'bi', 'li', 'tˈɐ̃', 'tʃɪ']",2
habilitar,"['ha', 'bi', 'li', 'tar']",verbo,"['a', 'bi', 'li', 'tˈa']",1
habilmente,"['ha', 'bil', 'men', 'te']",advérbio,"['a', 'biw', 'mˈẽ', 'tʃɪ']",2
habitabilidade,"['ha', 'bi', 'ta', 'bi', 'li', 'da', 'de']",nome feminino,"['a', 'bi', 'ta', 'bi', 'li', 'dˈa', 'dʒɪ']",2
habitação,"['ha', 'bi', 'ta', 'ção']",nome feminino,"['a', 'bi', 'ta', 'sˈɐ̃w']",1
habitacional,"['ha', 'bi', 'ta', 'ci', 'o', 'nal']",adjetivo,"['a', 'bi', 'ta', 'sjõ', 'nˈaw']",1
