palavra,divisao,categoria,fonetica,tonic
já,['já'],advérbio,['ʒˈa'],1
já,['já'],conjunção,['ʒˈa'],1
jabiru,"['ja', 'bi', 'ru']",nome masculino,"['ʒa', 'bi', 'ɾˈu']",1
jabuti,"['ja', 'bu', 'ti']",nome masculino,"['ʒa', 'bu', 'tʃˈi']",1
jaca,"['ja', 'ca']",nome masculino,"['ʒˈa', 'kɐ']",2
jaca,"['ja', 'ca']",nome feminino,"['ʒˈa', 'kɐ']",2
jacarandá,"['ja', 'ca', 'ran', 'dá']",nome masculino,"['ʒa', 'ka', 'ɾɐ̃', 'dˈa']",1
jacaré,"['ja', 'ca', 'ré']",nome masculino,"['ʒa', 'ka', 'ɾˈɛ']",1
jacente,"['ja', 'cen', 'te']",adjetivo,"['ʒa', 'sˈẽ', 'tʃɪ']",2
jacente,"['ja', 'cen', 'te']",nome masculino,"['ʒa', 'sˈẽ', 'tʃɪ']",2
jacinto,"['ja', 'cin', 'to']",nome masculino,"['ʒa', 'sˈĩ', 'tʊ']",2
jackpot,"['jack', 'pot']",nome masculino,[''],1
jacobeia,"['ja', 'co', 'bei', 'a']",nome feminino,"['ʒa', 'ko', 'bˈej', 'ɐ']",2
jacobeu,"['ja', 'co', 'beu']",nome masculino,"['ʒa', 'ko', 'bˈew']",1
jacobinamente,"['ja', 'co', 'bi', 'na', 'men', 'te']",advérbio,"['ʒa', 'ko', 'bĩ', 'nã', 'mˈẽ', 'tʃɪ']",2
jacobinismo,"['ja', 'co', 'bi', 'nis', 'mo']",nome masculino,"['ʒa', 'ko', 'bĩ', 'nˈiʒ', 'mʊ']",2
jacobino,"['ja', 'co', 'bi', 'no']",nome masculino,"['ʒa', 'ko', 'bˈĩ', 'nʊ']",2
jacobino,"['ja', 'co', 'bi', 'no']",adjetivo,"['ʒa', 'ko', 'bˈĩ', 'nʊ']",2
jactância,"['jac', 'tân', 'ci', 'a']",nome feminino,"['ʒa', 'kə', 'tˈɐ̃', 'sjɐ']",3
jactar,"['jac', 'tar']",verbo,"['ʒa', 'kə', 'tˈa']",1
jacto,"['jac', 'to']",nome masculino,"['ʒˈa', 'kə', 'tʊ']",2
jaculatória,"['ja', 'cu', 'la', 'tó', 'ri', 'a']",nome feminino,"['ʒa', 'ku', 'la', 'tˈɔ', 'ɾjɐ']",3
jaculatório,"['ja', 'cu', 'la', 'tó', 'ri', 'o']",adjetivo,"['ʒa', 'ku', 'la', 'tˈɔ', 'ɾjʊ']",3
jacutinga,"['ja', 'cu', 'tin', 'ga']",nome feminino,"['ʒa', 'ku', 'tʃˈĩ', 'gɐ']",2
jacuzzi,"['ja', 'cuz', 'zi']",nome masculino,[''],2
jade,"['ja', 'de']",nome masculino,"['ʒˈa', 'dʒɪ']",2
jaez,"['ja', 'ez']",nome masculino,"['ʒa', 'ˈeʃ']",1
jaga,"['ja', 'ga']",nome masculino,"['ʒˈa', 'gɐ ou ʒˈa', 'gɐ']",2
jaga,"['ja', 'ga']",adjetivo,"['ʒˈa', 'gɐ']",2
