palavra,divisao,categoria,fonetica,tonic
má,['má'],nome feminino,['mˈa'],1
má-criação,"['má', 'cri', 'a', 'ção']",nome feminino,"['mˌa', 'kɾi', 'a', 'sˈɐ̃w']",1
má-fé,"['má', 'fé']",nome feminino,"['mˌa', 'fˈɛ']",1
má-língua,"['má', 'lín', 'gua']",adjetivo,"['mˌa', 'lˈĩ', 'gwɐ']",2
má-língua,"['má', 'lín', 'gua']",nome masculino,"['mˌa', 'lˈĩ', 'gwɐ ou mˌa', 'lˈĩ', 'gwɐ']",2
maboque,"['ma', 'bo', 'que']",nome masculino,"['ma', 'bˈɔ', 'kɪ']",2
mabuba,"['ma', 'bu', 'ba']",nome feminino,"['ma', 'bˈu', 'bɐ']",2
mabunda,"['ma', 'bun', 'da']",nome feminino,"['ma', 'bˈũ', 'dɐ']",2
maca,"['ma', 'ca']",nome feminino,"['mˈa', 'kɐ']",2
maçã,"['ma', 'çã']",nome feminino,"['ma', 'sˈɐ̃']",1
maça,"['ma', 'ça']",nome feminino,"['mˈa', 'sɐ']",2
maçã de Adão,"['ma', 'çã de A', 'dão']",nome feminino,"['ma', 'sˌɐ̃', 'dʒi', 'a', 'dˈɐ̃w']",0
macabeu,"['ma', 'ca', 'beu']",nome masculino,"['ma', 'ka', 'bˈew']",1
macabeu,"['ma', 'ca', 'beu']",adjetivo,"['ma', 'ka', 'bˈew']",1
macabramente,"['ma', 'ca', 'bra', 'men', 'te']",advérbio,"['ma', 'ka', 'bɾã', 'mˈẽ', 'tʃɪ']",2
macabro,"['ma', 'ca', 'bro']",adjetivo,"['ma', 'kˈa', 'bɾʊ']",2
macaca,"['ma', 'ca', 'ca']",nome feminino,"['ma', 'kˈa', 'kɐ']",2
macacada,"['ma', 'ca', 'ca', 'da']",nome feminino,"['ma', 'ka', 'kˈa', 'dɐ']",2
macacão,"['ma', 'ca', 'cão']",nome masculino,"['ma', 'ka', 'kˈɐ̃w']",1
macaco,"['ma', 'ca', 'co']",nome masculino,"['ma', 'kˈa', 'kʊ']",2
macaco,"['ma', 'ca', 'co']",adjetivo,"['ma', 'kˈa', 'kʊ']",2
maçada,"['ma', 'ça', 'da']",nome feminino,"['ma', 'sˈa', 'dɐ']",2
macadame,"['ma', 'ca', 'da', 'me']",nome masculino,"['ma', 'ka', 'dˈɐ̃', 'mɪ']",2
maçado,"['ma', 'ça', 'do']",adjetivo,"['ma', 'sˈa', 'dʊ']",2
maçador,"['ma', 'ça', 'dor']",adjetivo,"['ma', 'sa', 'dˈo']",1
maçador,"['ma', 'ça', 'dor']",nome masculino,"['ma', 'sa', 'dˈo']",1
maçadora,"['ma', 'ça', 'do', 'ra']",nome feminino,"['ma', 'sa', 'dˈo', 'ɾɐ']",2
maçadoria,"['ma', 'ça', 'do', 'ri', 'a']",nome feminino,"['ma', 'sa', 'do', 'ɾˈi', 'ɐ']",2
macaense,"['ma', 'ca', 'en', 'se']",nome masculino,"['ma', 'ka', 'ˈẽ', 'sɪ ou ma', 'ka', 'ˈẽ', 'sɪ']",2
macaense,"['ma', 'ca', 'en', 'se']",adjetivo,"['ma', 'ka', 'ˈẽ', 'sɪ']",2
maçagem,"['ma', 'ça', 'gem']",nome feminino,"['ma', 'sˈa', 'ʒẽj']",2
macaio,"['ma', 'cai', 'o']",nome masculino,"['ma', 'kˈaj', 'ʊ']",2
macaísta,"['ma', 'ca', 'ís', 'ta']",adjetivo,"['ma', 'ka', 'ˈiʃ', 'tɐ']",2
macaísta,"['ma', 'ca', 'ís', 'ta']",nome masculino,"['ma', 'ka', 'ˈiʃ', 'tɐ ou ma', 'ka', 'ˈiʃ', 'tɐ']",2
maçal,"['ma', 'çal']",nome masculino,"['ma', 'sˈaw']",1
macala,"['ma', 'ca', 'la']",nome masculino,"['ma', 'kˈa', 'lɐ']",2
macambúzio,"['ma', 'cam', 'bú', 'zi', 'o']",adjetivo,"['ma', 'kɐ̃', 'bˈu', 'zjʊ']",3
macambúzio,"['ma', 'cam', 'bú', 'zi', 'o']",nome masculino,"['ma', 'kɐ̃', 'bˈu', 'zjʊ']",3
maçaneta,"['ma', 'ça', 'ne', 'ta']",nome feminino,"['ma', 'sã', 'nˈe', 'tɐ']",2
mação,"['ma', 'ção']",nome masculino,"['ma', 'sˈɐ̃w']",1
macaqueação,"['ma', 'ca', 'que', 'a', 'ção']",nome feminino,"['ma', 'ka', 'ke', 'a', 'sˈɐ̃w']",1
macaquear,"['ma', 'ca', 'que', 'ar']",verbo,"['ma', 'ka', 'ki', 'ˈa']",1
macaquice,"['ma', 'ca', 'qui', 'ce']",nome feminino,"['ma', 'ka', 'kˈi', 'sɪ']",2
macaquinho,"['ma', 'ca', 'qui', 'nho']",nome masculino,"['ma', 'ka', 'kˈĩ', 'ɲʊ']",2
maçar,"['ma', 'çar']",verbo,"['ma', 'sˈa']",1
macareno,"['ma', 'ca', 're', 'no']",adjetivo,"['ma', 'ka', 'ɾˈẽ', 'nʊ']",2
macaréu,"['ma', 'ca', 'réu']",nome masculino,"['ma', 'ka', 'ɾˈɛw']",1
maçarico,"['ma', 'ça', 'ri', 'co']",nome masculino,"['ma', 'sa', 'ɾˈi', 'kʊ']",2
maçarico-de-bico-direito,"['ma', 'ça', 'ri', 'co', 'de', 'bi', 'co', 'di', 'rei', 'to']",nome masculino,"['ma', 'sa', 'ɾˌi', 'kʊ', 'dʒi', 'bi', 'kʊ', 'dʒi', 'ɾˈej', 'tʊ']",2
maçaroca,"['ma', 'ça', 'ro', 'ca']",nome feminino,"['ma', 'sa', 'ɾˈɔ', 'kɐ']",2
macaronésio,"['ma', 'ca', 'ro', 'né', 'si', 'o']",adjetivo,"['ma', 'ka', 'ɾõ', 'nˈɛ', 'zju']",3
macarrão,"['ma', 'car', 'rão']",nome masculino,"['ma', 'ka', 'ɦˈɐ̃w']",1
macarronicamente,"['ma', 'car', 'ro', 'ni', 'ca', 'men', 'te']",advérbio,"['ma', 'ka', 'ɦɔ̃', 'ni', 'kã', 'mˈẽ', 'tʃɪ']",2
macarrónico,"['ma', 'car', 'ró', 'ni', 'co']",adjetivo,"['ma', 'ka', 'ɦˈɔ̃', 'ni', 'kʊ']",3
macau,"['ma', 'cau']",nome masculino,"['ma', 'kˈaw']",1
macedense,"['ma', 'ce', 'den', 'se']",nome masculino,"['ma', 'se', 'dˈẽ', 'sɪ ou ma', 'se', 'dˈẽ', 'sɪ']",2
macedense,"['ma', 'ce', 'den', 'se']",adjetivo,"['ma', 'se', 'dˈẽ', 'sɪ']",2
macedónia,"['ma', 'ce', 'dó', 'ni', 'a']",nome feminino,"['ma', 'se', 'dˈɔ̃', 'njɐ']",3
macedónico,"['ma', 'ce', 'dó', 'ni', 'co']",adjetivo,"['ma', 'se', 'dˈɔ̃', 'ni', 'kʊ']",3
