palavra,divisao,categoria,fonetica,tonic
pá,['pá'],interjeição,['pˈa'],1
pá,['pá'],nome masculino,['pˈa'],1
pá,['pá'],nome feminino,['pˈa'],1
paca,"['pa', 'ca']",nome feminino,"['pˈa', 'kɐ']",2
paca,"['pa', 'ca']",adjetivo,"['pˈa', 'kɐ']",2
pacaça,"['pa', 'ca', 'ça']",nome feminino,"['pa', 'kˈa', 'sɐ']",2
pacata,"['pa', 'ca', 'ta']",nome feminino,"['pa', 'kˈa', 'tɐ']",2
pacatamente,"['pa', 'ca', 'ta', 'men', 'te']",advérbio,"['pa', 'ka', 'tã', 'mˈẽ', 'tʃɪ']",2
pacatez,"['pa', 'ca', 'tez']",nome feminino,"['pa', 'ka', 'tˈeʃ']",1
pacato,"['pa', 'ca', 'to']",adjetivo,"['pa', 'kˈa', 'tʊ']",2
pacato,"['pa', 'ca', 'to']",nome masculino,"['pa', 'kˈa', 'tʊ']",2
pacau,"['pa', 'cau']",nome masculino,"['pa', 'kˈaw']",1
pacemaker,"['pa', 'ce', 'ma', 'ker']",nome masculino,[''],2
pacense,"['pa', 'cen', 'se']",nome masculino,"['pa', 'sˈẽ', 'sɪ ou pa', 'sˈẽ', 'sɪ']",2
pacense,"['pa', 'cen', 'se']",adjetivo,"['pa', 'sˈẽ', 'sɪ']",2
pacho,"['pa', 'cho']",nome masculino,"['pˈa', 'ʃʊ']",2
pachorra,"['pa', 'chor', 'ra']",nome feminino,"['pa', 'ʃˈo', 'ɦɐ']",2
pachorrentamente,"['pa', 'chor', 'ren', 'ta', 'men', 'te']",advérbio,"['pa', 'ʃo', 'ɦẽ', 'tã', 'mˈẽ', 'tʃɪ']",2
pachorrento,"['pa', 'chor', 'ren', 'to']",adjetivo,"['pa', 'ʃo', 'ɦˈẽ', 'tʊ']",2
paciência,"['pa', 'ci', 'ên', 'ci', 'a']",nome feminino,"['pa', 'si', 'ˈẽ', 'sjɐ']",3
pacientar,"['pa', 'ci', 'en', 'tar']",verbo,"['pa', 'si', 'ẽ', 'tˈa']",1
paciente,"['pa', 'ci', 'en', 'te']",nome masculino,"['pa', 'si', 'ˈẽ', 'tʃɪ']",2
paciente,"['pa', 'ci', 'en', 'te']",adjetivo,"['pa', 'si', 'ˈẽ', 'tʃɪ']",2
paciente,"['pa', 'ci', 'en', 'te']",nome feminino,"['pa', 'si', 'ˈẽ', 'tʃɪ']",2
pacientemente,"['pa', 'ci', 'en', 'te', 'men', 'te']",advérbio,"['pa', 'si', 'ẽ', 'tẽ', 'mˈẽ', 'tʃɪ']",2
pacificação,"['pa', 'ci', 'fi', 'ca', 'ção']",nome feminino,"['pa', 'si', 'fi', 'ka', 'sˈɐ̃w']",1
pacificado,"['pa', 'ci', 'fi', 'ca', 'do']",adjetivo,"['pa', 'si', 'fi', 'kˈa', 'dʊ']",2
pacificador,"['pa', 'ci', 'fi', 'ca', 'dor']",adjetivo,"['pa', 'si', 'fi', 'ka', 'dˈo']",1
pacificador,"['pa', 'ci', 'fi', 'ca', 'dor']",nome masculino,"['pa', 'si', 'fi', 'ka', 'dˈo']",1
pacificadora,"['pa', 'ci', 'fi', 'ca', 'do', 'ra']",nome feminino,"['pa', 'si', 'fi', 'ka', 'dˈo', 'ɾɐ']",2
pacificamente,"['pa', 'ci', 'fi', 'ca', 'men', 'te']",advérbio,"['pa', 'si', 'fi', 'kã', 'mˈẽ', 'tʃɪ']",2
pacificar,"['pa', 'ci', 'fi', 'car']",verbo,"['pa', 'si', 'fi', 'kˈa']",1
pacífico,"['pa', 'cí', 'fi', 'co']",adjetivo,"['pa', 'sˈi', 'fi', 'kʊ']",3
pacífico,"['pa', 'cí', 'fi', 'co']",nome masculino,"['pa', 'sˈi', 'fi', 'kʊ']",3
pacifismo,"['pa', 'ci', 'fis', 'mo']",nome masculino,"['pa', 'si', 'fˈiʒ', 'mʊ']",2
pacifista,"['pa', 'ci', 'fis', 'ta']",adjetivo,"['pa', 'si', 'fˈiʃ', 'tɐ']",2
pacifista,"['pa', 'ci', 'fis', 'ta']",nome masculino,"['pa', 'si', 'fˈiʃ', 'tɐ']",2
pacifista,"['pa', 'ci', 'fis', 'ta']",nome feminino,"['pa', 'si', 'fˈiʃ', 'tɐ']",2
pack,['pack'],nome masculino,[''],1
paco,"['pa', 'co']",nome masculino,"['pˈa', 'kʊ']",2
paço,"['pa', 'ço']",nome masculino,"['pˈa', 'sʊ']",2
pacote,"['pa', 'co', 'te']",nome masculino,"['pa', 'kˈɔ', 'tʃɪ']",2
pacotilha,"['pa', 'co', 'ti', 'lha']",nome feminino,"['pa', 'ko', 'tʃˈi', 'ʎɐ']",2
pacóvia,"['pa', 'có', 'vi', 'a']",nome feminino,"['pa', 'kˈɔ', 'vjɐ']",3
pacoviamente,"['pa', 'co', 'vi', 'a', 'men', 'te']",advérbio,"['pa', 'kɔ', 'vi', 'ã', 'mˈẽ', 'tʃɪ']",2
pacóvio,"['pa', 'có', 'vi', 'o']",adjetivo,"['pa', 'kˈɔ', 'vjʊ']",3
pacóvio,"['pa', 'có', 'vi', 'o']",nome masculino,"['pa', 'kˈɔ', 'vjʊ']",3
pacto,"['pac', 'to']",nome masculino,"['pˈa', 'kə', 'tʊ']",2
pactuado,"['pac', 'tu', 'a', 'do']",adjetivo,"['pa', 'kə', 'tu', 'ˈa', 'dʊ']",2
pactuar,"['pac', 'tu', 'ar']",verbo,"['pa', 'kə', 'tu', 'ˈa']",1
pada,"['pa', 'da']",nome feminino,"['pˈa', 'dɐ']",2
padaria,"['pa', 'da', 'ri', 'a']",nome feminino,"['pa', 'da', 'ɾˈi', 'ɐ']",2
padecer,"['pa', 'de', 'cer']",verbo,"['pa', 'de', 'sˈe']",1
padecimento,"['pa', 'de', 'ci', 'men', 'to']",nome masculino,"['pa', 'de', 'sĩ', 'mˈẽ', 'tʊ']",2
padeira,"['pa', 'dei', 'ra']",nome feminino,"['pa', 'dˈej', 'ɾɐ']",2
padeiro,"['pa', 'dei', 'ro']",nome masculino,"['pa', 'dˈej', 'ɾʊ']",2
padinha,"['pa', 'di', 'nha']",nome feminino,"['pa', 'dʒˈĩ', 'ɲɐ']",2
padiola,"['pa', 'di', 'o', 'la']",nome feminino,"['pa', 'dʒjˈɔ', 'lɐ']",2
padralhada,"['pa', 'dra', 'lha', 'da']",nome feminino,"['pa', 'dɾa', 'ʎˈa', 'dɐ']",2
padrão,"['pa', 'drão']",nome masculino,"['pa', 'dɾˈɐ̃w']",1
padrar,"['pa', 'drar']",verbo,"['pa', 'dɾˈa']",1
padrasto,"['pa', 'dras', 'to']",nome masculino,"['pa', 'dɾˈaʃ', 'tʊ']",2
padre,"['pa', 'dre']",nome masculino,"['pˈa', 'dɾɪ']",2
padre-nosso,"['pa', 'dre', 'nos', 'so']",nome masculino,"['pˌa', 'dɾi', 'nˈɔ', 'sʊ']",2
padreca,"['pa', 'dre', 'ca']",nome masculino,"['pa', 'dɾˈɛ', 'kɐ']",2
padrinho,"['pa', 'dri', 'nho']",nome masculino,"['pa', 'dɾˈĩ', 'ɲʊ']",2
padroado,"['pa', 'dro', 'a', 'do']",nome masculino,"['pa', 'dɾo', 'ˈa', 'dʊ']",2
padroeira,"['pa', 'dro', 'ei', 'ra']",nome feminino,"['pa', 'dɾo', 'ˈej', 'ɾɐ']",2
padroeiro,"['pa', 'dro', 'ei', 'ro']",adjetivo,"['pa', 'dɾo', 'ˈej', 'ɾʊ']",2
padroeiro,"['pa', 'dro', 'ei', 'ro']",nome masculino,"['pa', 'dɾo', 'ˈej', 'ɾʊ']",2
padronização,"['pa', 'dro', 'ni', 'za', 'ção']",nome feminino,"['pa', 'dɾõ', 'ni', 'za', 'sˈɐ̃w']",1
padronizado,"['pa', 'dro', 'ni', 'za', 'do']",adjetivo,"['pa', 'dɾõ', 'ni', 'zˈa', 'dʊ']",2
