palavra,divisao,categoria,fonetica,tonic
sã,['sã'],nome feminino,['sˈɐ̃'],1
saariano,"['sa', 'a', 'ri', 'a', 'no']",adjetivo,"['sa', 'a', 'ɾi', 'ˈɐ̃', 'nʊ']",2
saariano,"['sa', 'a', 'ri', 'a', 'no']",nome masculino,"['sa', 'a', 'ɾi', 'ˈɐ̃', 'nʊ']",2
saba,"['sa', 'ba']",nome feminino,"['sˈa', 'bɐ']",2
sábado,"['sá', 'ba', 'do']",nome masculino,"['sˈa', 'ba', 'dʊ']",3
sabão,"['sa', 'bão']",nome masculino,"['sa', 'bˈɐ̃w']",1
sabat,"['sa', 'bat']",nome masculino,"['sa', 'bˈat']",1
sabateno,"['sa', 'ba', 'te', 'no']",adjetivo,"['sa', 'ba', 'tˈẽ', 'nʊ']",2
sabático,"['sa', 'bá', 'ti', 'co']",adjetivo,"['sa', 'bˈa', 'tʃi', 'kʊ']",3
sabatina,"['sa', 'ba', 'ti', 'na']",nome feminino,"['sa', 'ba', 'tʃˈĩ', 'nɐ']",2
sabatinar,"['sa', 'ba', 'ti', 'nar']",verbo,"['sa', 'ba', 'tʃĩ', 'nˈa']",1
sabatino,"['sa', 'ba', 'ti', 'no']",adjetivo,"['sa', 'ba', 'tʃˈĩ', 'nʊ']",2
sabatino,"['sa', 'ba', 'ti', 'no']",nome masculino,"['sa', 'ba', 'tʃˈĩ', 'nʊ']",2
sabe,"['sa', 'be']",adjetivo,"['sˈa', 'bɪ']",2
sabe,"['sa', 'be']",advérbio,"['sˈa', 'bɪ']",2
sabe,"['sa', 'be']",nome masculino,"['sˈa', 'bɪ']",2
sabedor,"['sa', 'be', 'dor']",adjetivo,"['sa', 'be', 'dˈo']",1
sabedor,"['sa', 'be', 'dor']",nome masculino,"['sa', 'be', 'dˈo']",1
sabedora,"['sa', 'be', 'do', 'ra']",nome feminino,"['sa', 'be', 'dˈo', 'ɾɐ']",2
sabedoramente,"['sa', 'be', 'do', 'ra', 'men', 'te']",advérbio,"['sa', 'be', 'do', 'ɾã', 'mˈẽ', 'tʃɪ']",2
sabedoria,"['sa', 'be', 'do', 'ri', 'a']",nome feminino,"['sa', 'be', 'do', 'ɾˈi', 'ɐ']",2
sabença,"['sa', 'ben', 'ça']",nome feminino,"['sa', 'bˈẽ', 'sɐ']",2
saber,"['sa', 'ber']",verbo,"['sa', 'bˈe']",1
saber,"['sa', 'ber']",nome masculino,"['sa', 'bˈe']",1
saber,"['sa', 'ber']",verbo,"['sa', 'bˈe']",1
saber-fazer,"['sa', 'ber', 'fa', 'zer']",nome masculino,"['sa', 'bˌeɾ', 'fa', 'zˈe']",1
sabiá,"['sa', 'bi', 'á']",nome masculino,"['sa', 'bi', 'ˈa']",1
sábia,"['sá', 'bi', 'a']",nome feminino,"['sˈa', 'bjɐ']",3
sabiamente,"['sa', 'bi', 'a', 'men', 'te']",advérbio,"['sa', 'bi', 'ã', 'mˈẽ', 'tʃɪ']",2
sabichão,"['sa', 'bi', 'chão']",adjetivo,"['sa', 'bi', 'ʃˈɐ̃w']",1
sabichão,"['sa', 'bi', 'chão']",nome masculino,"['sa', 'bi', 'ʃˈɐ̃w']",1
sabichona,"['sa', 'bi', 'cho', 'na']",nome feminino,"['sa', 'bi', 'ʃˈõ', 'nɐ']",2
sabida,"['sa', 'bi', 'da']",nome feminino,"['sa', 'bˈi', 'dɐ']",2
sabidamente,"['sa', 'bi', 'da', 'men', 'te']",advérbio,"['sa', 'bi', 'dã', 'mˈẽ', 'tʃɪ']",2
sabidas,"['sa', 'bi', 'das']",nome feminino,"['sa', 'bˈi', 'dɐʃ']",2
sabido,"['sa', 'bi', 'do']",adjetivo,"['sa', 'bˈi', 'dʊ']",2
sabido,"['sa', 'bi', 'do']",nome masculino,"['sa', 'bˈi', 'dʊ']",2
sabina,"['sa', 'bi', 'na']",nome feminino,"['sa', 'bˈĩ', 'nɐ']",2
sabino,"['sa', 'bi', 'no']",nome masculino,"['sa', 'bˈĩ', 'nʊ']",2
sabino,"['sa', 'bi', 'no']",adjetivo,"['sa', 'bˈĩ', 'nʊ']",2
sábio,"['sá', 'bi', 'o']",nome masculino,"['sˈa', 'bjʊ']",3
sábio,"['sá', 'bi', 'o']",adjetivo,"['sˈa', 'bjʊ']",3
sable,"['sa', 'ble']",nome masculino,"['sˈa', 'blɪ']",2
saboaria,"['sa', 'bo', 'a', 'ri', 'a']",nome feminino,"['sa', 'bo', 'a', 'ɾˈi', 'ɐ']",2
saboga,"['sa', 'bo', 'ga']",nome masculino,"['sa', 'bˈɔ', 'gɐ']",2
saboia,"['sa', 'boi', 'a']",nome feminino,"['sa', 'bˈɔj', 'ɐ']",2
sabonete,"['sa', 'bo', 'ne', 'te']",nome masculino,"['sa', 'bõ', 'nˈe', 'tʃɪ']",2
saboneteira,"['sa', 'bo', 'ne', 'tei', 'ra']",nome feminino,"['sa', 'bõ', 'ne', 'tˈej', 'ɾɐ']",2
sabor,"['sa', 'bor']",nome masculino,"['sa', 'bˈo']",1
saborear,"['sa', 'bo', 're', 'ar']",verbo,"['sa', 'bo', 'ɾi', 'ˈa']",1
saborido,"['sa', 'bo', 'ri', 'do']",adjetivo,"['sa', 'bo', 'ɾˈi', 'dʊ']",2
saborosamente,"['sa', 'bo', 'ro', 'sa', 'men', 'te']",advérbio,"['sa', 'bo', 'ɾo', 'zã', 'mˈẽ', 'tʃɪ']",2
