palavra,divisao,categoria,fonetica,tonic
u,['u'],advérbio,['ˈu'],1
úbere,"['ú', 'be', 're']",adjetivo,"['ˈu', 'be', 'ɾɪ']",3
úbere,"['ú', 'be', 're']",nome masculino,"['ˈu', 'be', 'ɾɪ']",3
ubérrimo,"['u', 'bér', 'ri', 'mo']",adjetivo,"['u', 'bˈɛ', 'ɦĩ', 'mʊ']",3
ubi,"['u', 'bi']",nome masculino,"['u', 'bˈi']",1
ubiquamente,"['u', 'bi', 'qua', 'men', 'te']",advérbio,"['u', 'bi', 'kwã', 'mˈẽ', 'tʃɪ']",2
ubiquidade,"['u', 'bi', 'qui', 'da', 'de']",nome feminino,"['u', 'bi', 'kwi', 'dˈa', 'dʒɪ']",2
ubíquo,"['u', 'bí', 'quo']",adjetivo,"['u', 'bˈi', 'ku', 'ʊ']",2
ucha,"['u', 'cha']",nome feminino,"['ˈu', 'ʃɐ']",2
ucraniana,"['u', 'cra', 'ni', 'a', 'na']",nome feminino,"['u', 'kɾã', 'ni', 'ˈɐ̃', 'nɐ']",2
ucraniano,"['u', 'cra', 'ni', 'a', 'no']",adjetivo,"['u', 'kɾã', 'ni', 'ˈɐ̃', 'nʊ']",2
ucraniano,"['u', 'cra', 'ni', 'a', 'no']",nome masculino,"['u', 'kɾã', 'ni', 'ˈɐ̃', 'nʊ']",2
ucronia,"['u', 'cro', 'ni', 'a']",nome feminino,"['u', 'kɾõ', 'nˈi', 'ɐ']",2
udo,"['u', 'do']",adjetivo,"['ˈu', 'dʊ']",2
udu,"['u', 'du']",nome masculino,"['u', 'dˈu']",1
ué,"['u', 'é']",interjeição,"['u', 'ˈɛ']",1
uê,"['u', 'ê']",interjeição,"['u', 'ˈe']",1
uf,['uf'],interjeição,['ˈuf'],1
ufa,"['u', 'fa']",interjeição,"['ˈu', 'fɐ']",2
ufa,"['u', 'fa']",nome feminino,"['ˈu', 'fɐ']",2
ufanamente,"['u', 'fa', 'na', 'men', 'te']",advérbio,"['u', 'fã', 'nã', 'mˈẽ', 'tʃɪ']",2
ufanar,"['u', 'fa', 'nar']",verbo,"['u', 'fã', 'nˈa']",1
ufania,"['u', 'fa', 'ni', 'a']",nome feminino,"['u', 'fã', 'nˈi', 'ɐ']",2
ufano,"['u', 'fa', 'no']",adjetivo,"['u', 'fˈɐ̃', 'nʊ']",2
ugandês,"['u', 'gan', 'dês']",nome masculino,"['u', 'gɐ̃', 'dˈeʃ']",1
ugandês,"['u', 'gan', 'dês']",adjetivo,"['u', 'gɐ̃', 'dˈeʃ']",1
ugandesa,"['u', 'gan', 'de', 'sa']",nome feminino,"['u', 'gɐ̃', 'dˈe', 'zɐ']",2
ugar,"['u', 'gar']",verbo,"['u', 'gˈa']",1
uh,['uh'],interjeição,['ˈu'],1
ui,['ui'],interjeição,"['ˈu', 'ɪ']",1
uigure,"['ui', 'gu', 're']",nome masculino,"['uj', 'gˈu', 'ɾɪ']",2
uísque,"['u', 'ís', 'que']",nome masculino,"['u', 'ˈiʃ', 'kɪ']",2
uivante,"['ui', 'van', 'te']",adjetivo,"['uj', 'vˈɐ̃', 'tʃɪ']",2
uivar,"['ui', 'var']",verbo,"['uj', 'vˈa']",1
