palavra,divisao,categoria,fonetica,tonic
vaca,"['va', 'ca']",nome feminino,"['vˈa', 'kɐ']",2
vacada,"['va', 'ca', 'da']",nome feminino,"['va', 'kˈa', 'dɐ']",2
vacante,"['va', 'can', 'te']",adjetivo,"['va', 'kˈɐ̃', 'tʃɪ']",2
vacar,"['va', 'car']",verbo,"['va', 'kˈa']",1
vacaria,"['va', 'ca', 'ri', 'a']",nome feminino,"['va', 'ka', 'ɾˈi', 'ɐ']",2
vacatura,"['va', 'ca', 'tu', 'ra']",nome feminino,"['va', 'ka', 'tˈu', 'ɾɐ']",2
vacilação,"['va', 'ci', 'la', 'ção']",nome feminino,"['va', 'si', 'la', 'sˈɐ̃w']",1
vacilante,"['va', 'ci', 'lan', 'te']",adjetivo,"['va', 'si', 'lˈɐ̃', 'tʃɪ']",2
vacilantemente,"['va', 'ci', 'lan', 'te', 'men', 'te']",advérbio,"['va', 'si', 'lɐ̃', 'tẽ', 'mˈẽ', 'tʃɪ']",2
vacilar,"['va', 'ci', 'lar']",verbo,"['va', 'si', 'lˈa']",1
vacina,"['va', 'ci', 'na']",nome feminino,"['va', 'sˈĩ', 'nɐ']",2
vacinação,"['va', 'ci', 'na', 'ção']",nome feminino,"['va', 'sĩ', 'na', 'sˈɐ̃w']",1
vacinado,"['va', 'ci', 'na', 'do']",adjetivo,"['va', 'sĩ', 'nˈa', 'dʊ']",2
vacinal,"['va', 'ci', 'nal']",adjetivo,"['va', 'sĩ', 'nˈaw']",1
vacinar,"['va', 'ci', 'nar']",verbo,"['va', 'sĩ', 'nˈa']",1
vacuidade,"['va', 'cui', 'da', 'de']",nome feminino,"['va', 'kuj', 'dˈa', 'dʒɪ']",2
vacum,"['va', 'cum']",adjetivo,"['va', 'kˈũ']",1
vacum,"['va', 'cum']",nome masculino,"['va', 'kˈũ']",1
vácuo,"['vá', 'cu', 'o']",adjetivo,"['vˈa', 'ku', 'ʊ']",3
vácuo,"['vá', 'cu', 'o']",nome masculino,"['vˈa', 'ku', 'ʊ']",3
vadia,"['va', 'di', 'a']",nome feminino,"['va', 'dʒˈi', 'ɐ']",2
vadiagem,"['va', 'di', 'a', 'gem']",nome feminino,"['va', 'dʒi', 'ˈa', 'ʒẽj']",2
vadiamente,"['va', 'di', 'a', 'men', 'te']",advérbio,"['va', 'dʒi', 'ã', 'mˈẽ', 'tʃɪ']",2
vadiar,"['va', 'di', 'ar']",verbo,"['va', 'dʒi', 'ˈa']",1
vadio,"['va', 'di', 'o']",nome masculino,"['va', 'dʒˈi', 'ʊ']",2
vadio,"['va', 'di', 'o']",adjetivo,"['va', 'dʒˈi', 'ʊ']",2
vaga,"['va', 'ga']",nome feminino,"['vˈa', 'gɐ']",2
vagabunda,"['va', 'ga', 'bun', 'da']",nome feminino,"['va', 'ga', 'bˈũ', 'dɐ']",2
vagabundagem,"['va', 'ga', 'bun', 'da', 'gem']",nome feminino,"['va', 'ga', 'bũ', 'dˈa', 'ʒẽj']",2
vagabundar,"['va', 'ga', 'bun', 'dar']",verbo,"['va', 'ga', 'bũ', 'dˈa']",1
vagabundear,"['va', 'ga', 'bun', 'de', 'ar']",verbo,"['va', 'ga', 'bũ', 'dʒi', 'ˈa']",1
vagabundo,"['va', 'ga', 'bun', 'do']",nome masculino,"['va', 'ga', 'bˈũ', 'dʊ']",2
vagabundo,"['va', 'ga', 'bun', 'do']",adjetivo,"['va', 'ga', 'bˈũ', 'dʊ']",2
vagalhão,"['va', 'ga', 'lhão']",nome masculino,"['va', 'ga', 'ʎˈɐ̃w']",1
vagamente,"['va', 'ga', 'men', 'te']",advérbio,"['va', 'gã', 'mˈẽ', 'tʃɪ']",2
vagamundo,"['va', 'ga', 'mun', 'do']",adjetivo,"['va', 'gã', 'mˈũ', 'dʊ']",2
vagamundo,"['va', 'ga', 'mun', 'do']",nome masculino,"['va', 'gã', 'mˈũ', 'dʊ']",2
vagão,"['va', 'gão']",nome masculino,"['va', 'gˈɐ̃w']",1
vagão-restaurante,"['va', 'gão', 'res', 'tau', 'ran', 'te']",nome masculino,"['va', 'gˌɐ̃w', 'ɦeʃ', 'taw', 'ɾˈɐ̃', 'tʃɪ']",2
vagar,"['va', 'gar']",verbo,"['va', 'gˈa']",1
vagar,"['va', 'gar']",nome masculino,"['va', 'gˈa']",1
vagarosa,"['va', 'ga', 'ro', 'sa']",nome feminino,"['va', 'ga', 'ɾˈɔ', 'zɐ']",2
vagarosamente,"['va', 'ga', 'ro', 'sa', 'men', 'te']",advérbio,"['va', 'ga', 'ɾo', 'zã', 'mˈẽ', 'tʃɪ']",2
vagaroso,"['va', 'ga', 'ro', 'so']",adjetivo,"['va', 'ga', 'ɾˈo', 'zʊ']",2
vagem,"['va', 'gem']",nome feminino,"['vˈa', 'ʒẽj']",2
vagido,"['va', 'gi', 'do']",nome masculino,"['va', 'ʒˈi', 'dʊ']",2
vagina,"['va', 'gi', 'na']",nome feminino,"['va', 'ʒˈĩ', 'nɐ']",2
vaginal,"['va', 'gi', 'nal']",adjetivo,"['va', 'ʒĩ', 'nˈaw']",1
vaginismo,"['va', 'gi', 'nis', 'mo']",nome masculino,"['va', 'ʒĩ', 'nˈiʒ', 'mʊ']",2
vagir,"['va', 'gir']",verbo,"['va', 'ʒˈi']",1
vago,"['va', 'go']",adjetivo,"['vˈa', 'gʊ']",2
vago,"['va', 'go']",nome masculino,"['vˈa', 'gʊ']",2
vagoneta,"['va', 'go', 'ne', 'ta']",nome feminino,"['va', 'gõ', 'nˈe', 'tɐ']",2
vagonete,"['va', 'go', 'ne', 'te']",nome masculino,"['va', 'gõ', 'nˈɛ', 'tʃɪ']",2
vaguear,"['va', 'gue', 'ar']",verbo,"['va', 'gi', 'ˈa']",1
vagueira,"['va', 'guei', 'ra']",nome feminino,"['va', 'gˈej', 'ɾɐ']",2
vagueiro,"['va', 'guei', 'ro']",adjetivo,"['va', 'gˈej', 'ɾʊ']",2
vaguense,"['va', 'guen', 'se']",adjetivo,"['va', 'gˈẽ', 'sɪ']",2
vaguense,"['va', 'guen', 'se']",nome masculino,"['va', 'gˈẽ', 'sɪ ou va', 'gˈẽ', 'sɪ']",2
vaguíssimo,"['va', 'guís', 'si', 'mo']",adjetivo,"['va', 'gˈi', 'sĩ', 'mʊ']",3
vai-não-vai,"['vai', 'não', 'vai']",advérbio,"['vˌaj', 'nɐ̃w', 'vˈaj']",1
