palavra,divisao,categoria,fonetica,tonic
zabumba,"['za', 'bum', 'ba']",nome masculino,"['za', 'bˈũ', 'bɐ']",2
zabumbar,"['za', 'bum', 'bar']",verbo,"['za', 'bũ', 'bˈa']",1
zaga,"['za', 'ga']",nome feminino,"['zˈa', 'gɐ']",2
zagaia,"['za', 'gai', 'a']",nome feminino,"['za', 'gˈaj', 'ɐ']",2
zagaiada,"['za', 'gai', 'a', 'da']",nome feminino,"['za', 'gaj', 'ˈa', 'dɐ']",2
zagaiar,"['za', 'gai', 'ar']",verbo,"['za', 'gaj', 'ˈa']",1
zagal,"['za', 'gal']",nome masculino,"['za', 'gˈaw']",1
zagalote,"['za', 'ga', 'lo', 'te']",nome masculino,"['za', 'ga', 'lˈɔ', 'tʃɪ']",2
zagueiro,"['za', 'guei', 'ro']",nome masculino,"['za', 'gˈej', 'ɾʊ']",2
zaida,"['zai', 'da']",nome feminino,"['zˈaj', 'dɐ']",2
zaina,"['zai', 'na']",nome feminino,"['zˈãj', 'nɐ']",2
zaino,"['zai', 'no']",nome masculino,"['zˈãj', 'nʊ']",2
zaino,"['zai', 'no']",adjetivo,"['zˈãj', 'nʊ']",2
zaira,"['zai', 'ra']",nome feminino,"['zˈaj', 'ɾɐ']",2
zaire,"['zai', 're']",nome masculino,"['zˈaj', 'ɾɪ']",2
zairense,"['zai', 'ren', 'se']",adjetivo,"['zaj', 'ɾˈẽ', 'sɪ']",2
zairense,"['zai', 'ren', 'se']",nome masculino,"['zaj', 'ɾˈẽ', 'sɪ']",2
zairense,"['zai', 'ren', 'se']",nome feminino,"['zaj', 'ɾˈẽ', 'sɪ']",2
zairota,"['zai', 'ro', 'ta']",nome masculino,"['zaj', 'ɾˈɔ', 'tɐ ou zaj', 'ɾˈɔ', 'tɐ']",2
zamba,"['zam', 'ba']",nome feminino,"['zˈɐ̃', 'bɐ']",2
zambiana,"['zam', 'bi', 'a', 'na']",nome feminino,"['zɐ̃', 'bi', 'ˈɐ̃', 'nɐ']",2
zambiano,"['zam', 'bi', 'a', 'no']",adjetivo,"['zɐ̃', 'bi', 'ˈɐ̃', 'nʊ']",2
