palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
a,['a'],a,artigo,['a'],a,1,ultima,,,a
a,['a'],a,preposição,['a'],a,1,ultima,,,a
á-bê-cê,"['á', 'bê', 'cê']",á-bê-cê,nome masculino,"['ˌa', 'bˌe', 'sˈe']",ˌa.bˌe.sˈe,1,ultima,ˌa,bˌe,sˈe
a-propósito,"['a', 'pro', 'pó', 'si', 'to']",a-pro·pó·si·to,nome masculino,"['a', 'pɾo', 'pˈɔ', 'zi', 'tʊ']",a.pɾo.pˈɔ.zi.tʊ,3,antepenultima,pˈɔ,zi,tʊ
à-vontade,"['à', 'von', 'ta', 'de']",à-von·ta·de,nome masculino,"['ˌa', 'võ', 'tˈa', 'dʒɪ']",ˌa.võ.tˈa.dʒɪ,2,penultima,võ,tˈa,dʒɪ
aa,"['a', 'a']",a·a,nome feminino,"['a', 'ˈa']",a.ˈa,2,penultima,,a,ˈa
aal,"['a', 'al']",a·al,nome masculino,"['a', 'ˈaw']",a.ˈaw,1,ultima,,a,ˈaw
ab-reativo,"['ab', 're', 'a', 'ti', 'vo']",ab-re·a·ti·vo,adjetivo,"['ab', 'ɦe', 'a', 'tʃˈi', 'vʊ']",ab.ɦe.a.tʃˈi.vʊ,2,penultima,a,tʃˈi,vʊ
ab-rogado,"['ab', 'ro', 'ga', 'do']",ab-ro·ga·do,adjetivo,"['ab', 'ɦo', 'gˈa', 'dʊ']",ab.ɦo.gˈa.dʊ,2,penultima,ɦo,gˈa,dʊ
ab-rogador,"['ab', 'ro', 'ga', 'dor']",ab-ro·ga·dor,adjetivo,"['ab', 'ɦo', 'ga', 'dˈoɾ']",ab.ɦo.ga.dˈoɾ,1,ultima,ɦo,ga,dˈoɾ
ab-rogador,"['ab', 'ro', 'ga', 'dor']",ab-ro·ga·dor,nome masculino,"['ab', 'ɦo', 'ga', 'dˈoɾ']",ab.ɦo.ga.dˈoɾ,1,ultima,ɦo,ga,dˈoɾ
ab-rogar,"['ab', 'ro', 'gar']",ab-ro·gar,verbo,"['ab', 'ɦo', 'gˈaɾ']",ab.ɦo.gˈaɾ,1,ultima,ab,ɦo,gˈaɾ
ab-rogatório,"['ab', 'ro', 'ga', 'tó', 'ri', 'o']",ab-ro·ga·tó·ri·o,adjetivo,"['ab', 'ɦo', 'ga', 'tˈɔ', 'ɾjʊ']",ab.ɦo.ga.tˈɔ.ɾjʊ,3,antepenultima,ga,tˈɔ,ɾjʊ
aba,"['a', 'ba']",a·ba,nome masculino,"['ˈa', 'bɐ']",ˈa.bɐ,2,penultima,,ˈa,bɐ
