palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
babá,"['ba', 'bá']",ba·bá,nome feminino,"['ba', 'bˈa']",ba.bˈa,1,ultima,,ba,bˈa
baba,"['ba', 'ba']",ba·ba,nome feminino,"['bˈa', 'bɐ']",bˈa.bɐ,2,penultima,,bˈa,bɐ
baba,"['ba', 'ba']",ba·ba,nome masculino,"['bˈa', 'bɐ']",bˈa.bɐ,2,penultima,,bˈa,bɐ
babá,"['ba', 'bá']",ba·bá,nome masculino,"['ba', 'bˈa']",ba.bˈa,1,ultima,,ba,bˈa
babaca,"['ba', 'ba', 'ca']",ba·ba·ca,adjetivo,"['ba', 'bˈa', 'kɐ']",ba.bˈa.kɐ,2,penultima,ba,bˈa,kɐ
babada,"['ba', 'ba', 'da']",ba·ba·da,nome feminino,"['ba', 'bˈa', 'dɐ']",ba.bˈa.dɐ,2,penultima,ba,bˈa,dɐ
babado,"['ba', 'ba', 'do']",ba·ba·do,adjetivo,"['ba', 'bˈa', 'dʊ']",ba.bˈa.dʊ,2,penultima,ba,bˈa,dʊ
babado,"['ba', 'ba', 'do']",ba·ba·do,nome masculino,"['ba', 'bˈa', 'dʊ']",ba.bˈa.dʊ,2,penultima,ba,bˈa,dʊ
babar,"['ba', 'bar']",ba·bar,verbo,"['ba', 'bˈa']",ba.bˈa,1,ultima,,ba,bˈa
babeiro,"['ba', 'bei', 'ro']",ba·bei·ro,nome masculino,"['ba', 'bˈej', 'ɾʊ']",ba.bˈej.ɾʊ,2,penultima,ba,bˈej,ɾʊ
babel,"['ba', 'bel']",ba·bel,nome feminino,"['ba', 'bˈɛw']",ba.bˈɛw,1,ultima,,ba,bˈɛw
babélico,"['ba', 'bé', 'li', 'co']",ba·bé·li·co,adjetivo,"['ba', 'bˈɛ', 'li', 'kʊ']",ba.bˈɛ.li.kʊ,3,antepenultima,bˈɛ,li,kʊ
babete,"['ba', 'be', 'te']",ba·be·te,nome masculino,"['ba', 'bˈɛ', 'tʃɪ']",ba.bˈɛ.tʃɪ,2,penultima,ba,bˈɛ,tʃɪ
babilónia,"['ba', 'bi', 'ló', 'ni', 'a']",ba·bi·ló·ni·a,nome feminino,"['ba', 'bi', 'lˈɔ̃', 'njɐ']",ba.bi.lˈɔ̃.njɐ,3,antepenultima,bi,lˈɔ̃,njɐ
babilônia,"['ba', 'bi', 'lô', 'ni', 'a']",ba·bi·lô·ni·a,nome feminino,"['ba', 'bi', 'lˈõ', 'njɐ']",ba.bi.lˈõ.njɐ,3,antepenultima,bi,lˈõ,njɐ
