palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
cá,['cá'],cá,nome masculino,['kˈa'],kˈa,1,ultima,,,kˈa
cã,['cã'],cã,nome feminino,['kˈɐ̃'],kˈɐ̃,1,ultima,,,kˈɐ̃
cá,['cá'],cá,advérbio,['kˈa'],kˈa,1,ultima,,,kˈa
ca,['ca'],ca,conjunção,['kˈa'],kˈa,1,ultima,,,kˈa
cã,['cã'],cã,nome masculino,['kˈɐ̃'],kˈɐ̃,1,ultima,,,kˈɐ̃
caba,"['ca', 'ba']",ca·ba,nome feminino,"['kˈa', 'bɐ']",kˈa.bɐ,2,penultima,,kˈa,bɐ
cabaça,"['ca', 'ba', 'ça']",ca·ba·ça,nome masculino,"['ka', 'bˈa', 'sɐ ou ka', 'bˈa', 'sɐ']",ka.bˈa.sɐ ou ka.bˈa.sɐ,2,penultima,sɐ ou ka,bˈa,sɐ
cabaceira,"['ca', 'ba', 'cei', 'ra']",ca·ba·cei·ra,nome feminino,"['ka', 'ba', 'sˈej', 'ɾɐ']",ka.ba.sˈej.ɾɐ,2,penultima,ba,sˈej,ɾɐ
cabaceiro,"['ca', 'ba', 'cei', 'ro']",ca·ba·cei·ro,nome masculino,"['ka', 'ba', 'sˈej', 'ɾʊ']",ka.ba.sˈej.ɾʊ,2,penultima,ba,sˈej,ɾʊ
cabacinha,"['ca', 'ba', 'ci', 'nha']",ca·ba·ci·nha,nome feminino,"['ka', 'ba', 'sˈĩ', 'ɲɐ']",ka.ba.sˈĩ.ɲɐ,2,penultima,ba,sˈĩ,ɲɐ
cabaço,"['ca', 'ba', 'ço']",ca·ba·ço,nome masculino,"['ka', 'bˈa', 'sʊ']",ka.bˈa.sʊ,2,penultima,ka,bˈa,sʊ
cabaia,"['ca', 'bai', 'a']",ca·bai·a,nome feminino,"['ka', 'bˈaj', 'ɐ']",ka.bˈaj.ɐ,2,penultima,ka,bˈaj,ɐ
cabal,"['ca', 'bal']",ca·bal,adjetivo,"['ka', 'bˈaw']",ka.bˈaw,1,ultima,,ka,bˈaw
cabala,"['ca', 'ba', 'la']",ca·ba·la,nome feminino,"['ka', 'bˈa', 'lɐ']",ka.bˈa.lɐ,2,penultima,ka,bˈa,lɐ
cabala,"['ca', 'ba', 'la']",ca·ba·la,adjetivo,"['ka', 'bˈa', 'lɐ']",ka.bˈa.lɐ,2,penultima,ka,bˈa,lɐ
cabala,"['ca', 'ba', 'la']",ca·ba·la,nome masculino,"['ka', 'bˈa', 'lɐ']",ka.bˈa.lɐ,2,penultima,ka,bˈa,lɐ
cabalar,"['ca', 'ba', 'lar']",ca·ba·lar,verbo,"['ka', 'ba', 'lˈa']",ka.ba.lˈa,1,ultima,ka,ba,lˈa
cabalista,"['ca', 'ba', 'lis', 'ta']",ca·ba·lis·ta,nome masculino,"['ka', 'ba', 'lˈiʃ', 'tɐ']",ka.ba.lˈiʃ.tɐ,2,penultima,ba,lˈiʃ,tɐ
cabalista,"['ca', 'ba', 'lis', 'ta']",ca·ba·lis·ta,nome feminino,"['ka', 'ba', 'lˈiʃ', 'tɐ']",ka.ba.lˈiʃ.tɐ,2,penultima,ba,lˈiʃ,tɐ
cabalisticamente,"['ca', 'ba', 'lis', 'ti', 'ca', 'men', 'te']",ca·ba·lis·ti·ca·men·te,advérbio,"['ka', 'ba', 'liʃ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",ka.ba.liʃ.tʃi.kã.mˈẽ.tʃɪ,2,penultima,kã,mˈẽ,tʃɪ
cabalístico,"['ca', 'ba', 'lís', 'ti', 'co']",ca·ba·lís·ti·co,adjetivo,"['ka', 'ba', 'lˈiʃ', 'tʃi', 'kʊ']",ka.ba.lˈiʃ.tʃi.kʊ,3,antepenultima,lˈiʃ,tʃi,kʊ
cabalmente,"['ca', 'bal', 'men', 'te']",ca·bal·men·te,advérbio,"['ka', 'baw', 'mˈẽ', 'tʃɪ']",ka.baw.mˈẽ.tʃɪ,2,penultima,baw,mˈẽ,tʃɪ
cabana,"['ca', 'ba', 'na']",ca·ba·na,nome feminino,"['ka', 'bˈɐ̃', 'nɐ']",ka.bˈɐ̃.nɐ,2,penultima,ka,bˈɐ̃,nɐ
cabaneiro,"['ca', 'ba', 'nei', 'ro']",ca·ba·nei·ro,nome masculino,"['ka', 'bã', 'nˈej', 'ɾʊ']",ka.bã.nˈej.ɾʊ,2,penultima,bã,nˈej,ɾʊ
cabano,"['ca', 'ba', 'no']",ca·ba·no,nome masculino,"['ka', 'bˈɐ̃', 'nʊ']",ka.bˈɐ̃.nʊ,2,penultima,ka,bˈɐ̃,nʊ
cabano,"['ca', 'ba', 'no']",ca·ba·no,adjetivo,"['ka', 'bˈɐ̃', 'nʊ']",ka.bˈɐ̃.nʊ,2,penultima,ka,bˈɐ̃,nʊ
cabaré,"['ca', 'ba', 'ré']",ca·ba·ré,nome masculino,"['ka', 'ba', 'ɾˈɛ']",ka.ba.ɾˈɛ,1,ultima,ka,ba,ɾˈɛ
cabaz,"['ca', 'baz']",ca·baz,nome masculino,"['ka', 'bˈaʃ']",ka.bˈaʃ,1,ultima,,ka,bˈaʃ
cabazada,"['ca', 'ba', 'za', 'da']",ca·ba·za·da,nome feminino,"['ka', 'ba', 'zˈa', 'dɐ']",ka.ba.zˈa.dɐ,2,penultima,ba,zˈa,dɐ
cabe,"['ca', 'be']",ca·be,nome masculino,"['kˈa', 'bɪ']",kˈa.bɪ,2,penultima,,kˈa,bɪ
