palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
dação,"['da', 'ção']",da·ção,nome feminino,"['da', 'sˈɐ̃w']",da.sˈɐ̃w,1,ultima,,da,sˈɐ̃w
dácia,"['dá', 'ci', 'a']",dá·ci·a,nome feminino,"['dˈa', 'sjɐ']",dˈa.sjɐ,3,antepenultima,,dˈa,sjɐ
dácio,"['dá', 'ci', 'o']",dá·ci·o,adjetivo,"['dˈa', 'sjʊ']",dˈa.sjʊ,3,antepenultima,,dˈa,sjʊ
dácio,"['dá', 'ci', 'o']",dá·ci·o,nome masculino,"['dˈa', 'sjʊ']",dˈa.sjʊ,3,antepenultima,,dˈa,sjʊ
daco,"['da', 'co']",da·co,adjetivo,"['dˈa', 'kʊ']",dˈa.kʊ,2,penultima,,dˈa,kʊ
daco,"['da', 'co']",da·co,nome masculino,"['dˈa', 'kʊ']",dˈa.kʊ,2,penultima,,dˈa,kʊ
dactilografado,"['dac', 'ti', 'lo', 'gra', 'fa', 'do']",dac·ti·lo·gra·fa·do,adjetivo,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈa', 'dʊ']",da.ki.tʃi.lo.gɾa.fˈa.dʊ,2,penultima,gɾa,fˈa,dʊ
dactilografar,"['dac', 'ti', 'lo', 'gra', 'far']",dac·ti·lo·gra·far,verbo,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈa']",da.ki.tʃi.lo.gɾa.fˈa,1,ultima,lo,gɾa,fˈa
dactilografia,"['dac', 'ti', 'lo', 'gra', 'fi', 'a']",dac·ti·lo·gra·fi·a,nome feminino,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈi', 'ɐ']",da.ki.tʃi.lo.gɾa.fˈi.ɐ,2,penultima,gɾa,fˈi,ɐ
dactilógrafo,"['dac', 'ti', 'ló', 'gra', 'fo']",dac·ti·ló·gra·fo,nome masculino,"['da', 'ki', 'tʃi', 'lˈɔ', 'gɾa', 'fʊ']",da.ki.tʃi.lˈɔ.gɾa.fʊ,3,antepenultima,lˈɔ,gɾa,fʊ
dactiloscopia,"['dac', 'ti', 'los', 'co', 'pi', 'a']",dac·ti·los·co·pi·a,nome feminino,"['da', 'ki', 'tʃi', 'lɔʃ', 'ko', 'pˈi', 'ɐ']",da.ki.tʃi.lɔʃ.ko.pˈi.ɐ,2,penultima,ko,pˈi,ɐ
dactiloscópico,"['dac', 'ti', 'los', 'có', 'pi', 'co']",dac·ti·los·có·pi·co,adjetivo,"['da', 'ki', 'tʃi', 'lɔʃ', 'kˈɔ', 'pi', 'kʊ']",da.ki.tʃi.lɔʃ.kˈɔ.pi.kʊ,3,antepenultima,kˈɔ,pi,kʊ
dadá,"['da', 'dá']",da·dá,nome masculino,"['da', 'dˈa']",da.dˈa,1,ultima,,da,dˈa
dada,"['da', 'da']",da·da,nome feminino,"['dˈa', 'dɐ']",dˈa.dɐ,2,penultima,,dˈa,dɐ
dadaísmo,"['da', 'da', 'ís', 'mo']",da·da·ís·mo,nome masculino,"['da', 'da', 'ˈiʒ', 'mʊ']",da.da.ˈiʒ.mʊ,2,penultima,da,ˈiʒ,mʊ
dadaísta,"['da', 'da', 'ís', 'ta']",da·da·ís·ta,adjetivo,"['da', 'da', 'ˈiʃ', 'tɐ']",da.da.ˈiʃ.tɐ,2,penultima,da,ˈiʃ,tɐ
dadaísta,"['da', 'da', 'ís', 'ta']",da·da·ís·ta,nome masculino,"['da', 'da', 'ˈiʃ', 'tɐ ou da', 'da', 'ˈiʃ', 'tɐ']",da.da.ˈiʃ.tɐ ou da.da.ˈiʃ.tɐ,2,penultima,da,ˈiʃ,tɐ
dádiva,"['dá', 'di', 'va']",dá·di·va,nome feminino,"['dˈa', 'dʒi', 'vɐ']",dˈa.dʒi.vɐ,3,antepenultima,dˈa,dʒi,vɐ
dado,"['da', 'do']",da·do,nome masculino,"['dˈa', 'dʊ']",dˈa.dʊ,2,penultima,,dˈa,dʊ
dado,"['da', 'do']",da·do,adjetivo,"['dˈa', 'dʊ']",dˈa.dʊ,2,penultima,,dˈa,dʊ
dado,"['da', 'do']",da·do,artigo,"['dˈa', 'dʊ']",dˈa.dʊ,2,penultima,,dˈa,dʊ
dado,"['da', 'do']",da·do,preposição,"['dˈa', 'dʊ']",dˈa.dʊ,2,penultima,,dˈa,dʊ
dador,"['da', 'dor']",da·dor,adjetivo,"['da', 'dˈo']",da.dˈo,1,ultima,,da,dˈo
dador,"['da', 'dor']",da·dor,nome masculino,"['da', 'dˈo']",da.dˈo,1,ultima,,da,dˈo
dafne,"['daf', 'ne']",daf·ne,nome feminino,"['dˈaf', 'nɪ']",dˈaf.nɪ,2,penultima,,dˈaf,nɪ
dáfnia,"['dáf', 'ni', 'a']",dáf·ni·a,nome feminino,"['dˈaf', 'njɐ']",dˈaf.njɐ,3,antepenultima,,dˈaf,njɐ
daguerreótipo,"['da', 'guer', 're', 'ó', 'ti', 'po']",da·guer·re·ó·ti·po,nome masculino,"['da', 'ge', 'ɦjˈɔ', 'tʃi', 'pʊ']",da.ge.ɦjˈɔ.tʃi.pʊ,3,antepenultima,ɦjˈɔ,tʃi,pʊ
daí,"['da', 'í']",da·í,,"['da', 'ˈi']",da.ˈi,1,ultima,,da,ˈi
