palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
e,['e'],e,conjunção,['i'],i,1,ultima,,,i
e-mail,"['e', 'mail']",e-mail,nome masculino,[''],,1,ultima,,,
ébano,"['é', 'ba', 'no']",é·ba·no,nome masculino,"['ˈɛ', 'bã', 'nʊ']",ˈɛ.bã.nʊ,3,antepenultima,ˈɛ,bã,nʊ
ébola,"['é', 'bo', 'la']",é·bo·la,nome masculino,"['ˈɛ', 'bo', 'lɐ']",ˈɛ.bo.lɐ,3,antepenultima,ˈɛ,bo,lɐ
ebonite,"['e', 'bo', 'ni', 'te']",e·bo·ni·te,nome feminino,"['ɛ', 'bõ', 'nˈi', 'tʃɪ']",ɛ.bõ.nˈi.tʃɪ,2,penultima,bõ,nˈi,tʃɪ
eborense,"['e', 'bo', 'ren', 'se']",e·bo·ren·se,nome masculino,"['e', 'bo', 'ɾˈẽ', 'sɪ ou e', 'bo', 'ɾˈẽ', 'sɪ']",e.bo.ɾˈẽ.sɪ ou e.bo.ɾˈẽ.sɪ,2,penultima,bo,ɾˈẽ,sɪ
eborense,"['e', 'bo', 'ren', 'se']",e·bo·ren·se,adjetivo,"['e', 'bo', 'ɾˈẽ', 'sɪ']",e.bo.ɾˈẽ.sɪ,2,penultima,bo,ɾˈẽ,sɪ
ébrio,"['é', 'bri', 'o']",é·bri·o,adjetivo,"['ˈɛ', 'bɾjʊ']",ˈɛ.bɾjʊ,3,antepenultima,,ˈɛ,bɾjʊ
ébrio,"['é', 'bri', 'o']",é·bri·o,nome masculino,"['ˈɛ', 'bɾjʊ ou ˈɛ', 'bɾjʊ']",ˈɛ.bɾjʊ ou ˈɛ.bɾjʊ,3,antepenultima,ˈɛ,bɾjʊ ou ˈɛ,bɾjʊ
ebulição,"['e', 'bu', 'li', 'ção']",e·bu·li·ção,nome feminino,"['e', 'bu', 'li', 'sˈɐ̃w']",e.bu.li.sˈɐ̃w,1,ultima,bu,li,sˈɐ̃w
ebuliente,"['e', 'bu', 'li', 'en', 'te']",e·bu·li·en·te,adjetivo,"['e', 'bu', 'li', 'ˈẽ', 'tʃɪ']",e.bu.li.ˈẽ.tʃɪ,2,penultima,li,ˈẽ,tʃɪ
echarpe,"['e', 'char', 'pe']",e·char·pe,nome feminino,[''],,2,penultima,,,
écharpe,"['é', 'char', 'pe']",é·char·pe,nome feminino,"['e', 'ʃˈah', 'pɪ']",e.ʃˈah.pɪ,2,penultima,e,ʃˈah,pɪ
éclair,"['é', 'clair']",é·clair,nome masculino,[''],,1,ultima,,,
