palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
fã,['fã'],fã,nome masculino,['fˈɐ̃'],fˈɐ̃,1,ultima,,,fˈɐ̃
fá,['fá'],fá,nome masculino,['fˈa'],fˈa,1,ultima,,,fˈa
fã,['fã'],fã,nome feminino,['fˈɐ̃'],fˈɐ̃,1,ultima,,,fˈɐ̃
fabiana,"['fa', 'bi', 'a', 'na']",fa·bi·a·na,nome feminino,"['fa', 'bi', 'ˈɐ̃', 'nɐ']",fa.bi.ˈɐ̃.nɐ,2,penultima,bi,ˈɐ̃,nɐ
fabiano,"['fa', 'bi', 'a', 'no']",fa·bi·a·no,adjetivo,"['fa', 'bi', 'ˈɐ̃', 'nʊ']",fa.bi.ˈɐ̃.nʊ,2,penultima,bi,ˈɐ̃,nʊ
fabiano,"['fa', 'bi', 'a', 'no']",fa·bi·a·no,nome masculino,"['fa', 'bi', 'ˈɐ̃', 'nʊ']",fa.bi.ˈɐ̃.nʊ,2,penultima,bi,ˈɐ̃,nʊ
fábrica,"['fá', 'bri', 'ca']",fá·bri·ca,nome feminino,"['fˈa', 'bɾi', 'kɐ']",fˈa.bɾi.kɐ,3,antepenultima,fˈa,bɾi,kɐ
fabricação,"['fa', 'bri', 'ca', 'ção']",fa·bri·ca·ção,nome feminino,"['fa', 'bɾi', 'ka', 'sˈɐ̃w']",fa.bɾi.ka.sˈɐ̃w,1,ultima,bɾi,ka,sˈɐ̃w
fabricado,"['fa', 'bri', 'ca', 'do']",fa·bri·ca·do,adjetivo,"['fa', 'bɾi', 'kˈa', 'dʊ']",fa.bɾi.kˈa.dʊ,2,penultima,bɾi,kˈa,dʊ
fabricador,"['fa', 'bri', 'ca', 'dor']",fa·bri·ca·dor,adjetivo,"['fa', 'bɾi', 'ka', 'dˈo']",fa.bɾi.ka.dˈo,1,ultima,bɾi,ka,dˈo
fabricador,"['fa', 'bri', 'ca', 'dor']",fa·bri·ca·dor,nome masculino,"['fa', 'bɾi', 'ka', 'dˈo']",fa.bɾi.ka.dˈo,1,ultima,bɾi,ka,dˈo
fabricando,"['fa', 'bri', 'can', 'do']",fa·bri·can·do,adjetivo,"['fa', 'bɾi', 'kˈɐ̃', 'dʊ']",fa.bɾi.kˈɐ̃.dʊ,2,penultima,bɾi,kˈɐ̃,dʊ
fabricante,"['fa', 'bri', 'can', 'te']",fa·bri·can·te,nome masculino,"['fa', 'bɾi', 'kˈɐ̃', 'tʃɪ']",fa.bɾi.kˈɐ̃.tʃɪ,2,penultima,bɾi,kˈɐ̃,tʃɪ
fabricante,"['fa', 'bri', 'can', 'te']",fa·bri·can·te,adjetivo,"['fa', 'bɾi', 'kˈɐ̃', 'tʃɪ']",fa.bɾi.kˈɐ̃.tʃɪ,2,penultima,bɾi,kˈɐ̃,tʃɪ
fabricante,"['fa', 'bri', 'can', 'te']",fa·bri·can·te,nome feminino,"['fa', 'bɾi', 'kˈɐ̃', 'tʃɪ']",fa.bɾi.kˈɐ̃.tʃɪ,2,penultima,bɾi,kˈɐ̃,tʃɪ
fabricar,"['fa', 'bri', 'car']",fa·bri·car,verbo,"['fa', 'bɾi', 'kˈa']",fa.bɾi.kˈa,1,ultima,fa,bɾi,kˈa
fabrico,"['fa', 'bri', 'co']",fa·bri·co,nome masculino,"['fa', 'bɾˈi', 'kʊ']",fa.bɾˈi.kʊ,2,penultima,fa,bɾˈi,kʊ
fabril,"['fa', 'bril']",fa·bril,adjetivo,"['fa', 'bɾˈiw ou fa', 'bɾˈiw']",fa.bɾˈiw ou fa.bɾˈiw,1,ultima,fa,bɾˈiw ou fa,bɾˈiw
fabrilmente,"['fa', 'bril', 'men', 'te']",fa·bril·men·te,advérbio,"['fa', 'bɾiw', 'mˈẽ', 'tʃɪ']",fa.bɾiw.mˈẽ.tʃɪ,2,penultima,bɾiw,mˈẽ,tʃɪ
fabriqueiro,"['fa', 'bri', 'quei', 'ro']",fa·bri·quei·ro,adjetivo,"['fa', 'bɾi', 'kˈej', 'ɾʊ']",fa.bɾi.kˈej.ɾʊ,2,penultima,bɾi,kˈej,ɾʊ
fabro,"['fa', 'bro']",fa·bro,nome masculino,"['fˈa', 'bɾʊ']",fˈa.bɾʊ,2,penultima,,fˈa,bɾʊ
