palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
gabão,"['ga', 'bão']",ga·bão,nome masculino,"['ga', 'bˈɐ̃w']",ga.bˈɐ̃w,1,ultima,,ga,bˈɐ̃w
gabar,"['ga', 'bar']",ga·bar,verbo,"['ga', 'bˈa']",ga.bˈa,1,ultima,,ga,bˈa
gabardina,"['ga', 'bar', 'di', 'na']",ga·bar·di·na,nome feminino,"['ga', 'baɦ', 'dʒˈĩ', 'nɐ']",ga.baɦ.dʒˈĩ.nɐ,2,penultima,baɦ,dʒˈĩ,nɐ
gabardine,"['ga', 'bar', 'di', 'ne']",ga·bar·di·ne,nome feminino,"['ga', 'baɦ', 'dʒˈĩ', 'nɪ']",ga.baɦ.dʒˈĩ.nɪ,2,penultima,baɦ,dʒˈĩ,nɪ
gabarito,"['ga', 'ba', 'ri', 'to']",ga·ba·ri·to,nome masculino,"['ga', 'ba', 'ɾˈi', 'tʊ']",ga.ba.ɾˈi.tʊ,2,penultima,ba,ɾˈi,tʊ
gabarola,"['ga', 'ba', 'ro', 'la']",ga·ba·ro·la,adjetivo,"['ga', 'ba', 'ɾˈɔ', 'lɐ']",ga.ba.ɾˈɔ.lɐ,2,penultima,ba,ɾˈɔ,lɐ
gabarola,"['ga', 'ba', 'ro', 'la']",ga·ba·ro·la,nome masculino,"['ga', 'ba', 'ɾˈɔ', 'lɐ']",ga.ba.ɾˈɔ.lɐ,2,penultima,ba,ɾˈɔ,lɐ
gabarolas,"['ga', 'ba', 'ro', 'las']",ga·ba·ro·las,nome masculino,"['ga', 'ba', 'ɾˈɔ', 'lɐʃ']",ga.ba.ɾˈɔ.lɐʃ,2,penultima,ba,ɾˈɔ,lɐʃ
gabarolice,"['ga', 'ba', 'ro', 'li', 'ce']",ga·ba·ro·li·ce,nome feminino,"['ga', 'ba', 'ɾo', 'lˈi', 'sɪ']",ga.ba.ɾo.lˈi.sɪ,2,penultima,ɾo,lˈi,sɪ
gabarra,"['ga', 'bar', 'ra']",ga·bar·ra,nome feminino,"['ga', 'bˈa', 'ɦɐ']",ga.bˈa.ɦɐ,2,penultima,ga,bˈa,ɦɐ
gabela,"['ga', 'be', 'la']",ga·be·la,nome feminino,"['ga', 'bˈɛ', 'lɐ']",ga.bˈɛ.lɐ,2,penultima,ga,bˈɛ,lɐ
gabiar,"['ga', 'bi', 'ar']",ga·bi·ar,verbo,"['ga', 'bi', 'ˈa']",ga.bi.ˈa,1,ultima,ga,bi,ˈa
gabinete,"['ga', 'bi', 'ne', 'te']",ga·bi·ne·te,nome masculino,"['ga', 'bĩ', 'nˈe', 'tʃɪ']",ga.bĩ.nˈe.tʃɪ,2,penultima,bĩ,nˈe,tʃɪ
gabiru,"['ga', 'bi', 'ru']",ga·bi·ru,nome masculino,"['ga', 'bi', 'ɾˈu']",ga.bi.ɾˈu,1,ultima,ga,bi,ɾˈu
gabiru,"['ga', 'bi', 'ru']",ga·bi·ru,adjetivo,"['ga', 'bi', 'ɾˈu']",ga.bi.ɾˈu,1,ultima,ga,bi,ɾˈu
gabo,"['ga', 'bo']",ga·bo,nome masculino,"['gˈa', 'bʊ']",gˈa.bʊ,2,penultima,,gˈa,bʊ
gabonês,"['ga', 'bo', 'nês']",ga·bo·nês,adjetivo,"['ga', 'bõ', 'nˈeʃ']",ga.bõ.nˈeʃ,1,ultima,ga,bõ,nˈeʃ
gabonês,"['ga', 'bo', 'nês']",ga·bo·nês,nome masculino,"['ga', 'bõ', 'nˈeʃ']",ga.bõ.nˈeʃ,1,ultima,ga,bõ,nˈeʃ
gacha,"['ga', 'cha']",ga·cha,nome feminino,"['gˈa', 'ʃɐ']",gˈa.ʃɐ,2,penultima,,gˈa,ʃɐ
gadanha,"['ga', 'da', 'nha']",ga·da·nha,nome feminino,"['ga', 'dˈɐ̃', 'ɲɐ']",ga.dˈɐ̃.ɲɐ,2,penultima,ga,dˈɐ̃,ɲɐ
gadanhar,"['ga', 'da', 'nhar']",ga·da·nhar,verbo,"['ga', 'dã', 'ɲˈa']",ga.dã.ɲˈa,1,ultima,ga,dã,ɲˈa
