palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
hã,['hã'],hã,interjeição,['ˈɐ̃'],ˈɐ̃,1,ultima,,,ˈɐ̃
há,['há'],há,nome masculino,['ˈa'],ˈa,1,ultima,,,ˈa
habanera,"['ha', 'ba', 'ne', 'ra']",ha·ba·ne·ra,nome feminino,"['a', 'bã', 'nˈɛ', 'ɾɐ']",a.bã.nˈɛ.ɾɐ,2,penultima,bã,nˈɛ,ɾɐ
hábil,"['há', 'bil']",há·bil,adjetivo,"['ˈa', 'biw']",ˈa.biw,2,penultima,,ˈa,biw
habilidade,"['ha', 'bi', 'li', 'da', 'de']",ha·bi·li·da·de,nome feminino,"['a', 'bi', 'li', 'dˈa', 'dʒɪ']",a.bi.li.dˈa.dʒɪ,2,penultima,li,dˈa,dʒɪ
habilidosa,"['ha', 'bi', 'li', 'do', 'sa']",ha·bi·li·do·sa,nome feminino,"['a', 'bi', 'li', 'dˈɔ', 'zɐ']",a.bi.li.dˈɔ.zɐ,2,penultima,li,dˈɔ,zɐ
habilidosamente,"['ha', 'bi', 'li', 'do', 'sa', 'men', 'te']",ha·bi·li·do·sa·men·te,advérbio,"['a', 'bi', 'li', 'dɔ', 'zã', 'mˈẽ', 'tʃɪ']",a.bi.li.dɔ.zã.mˈẽ.tʃɪ,2,penultima,zã,mˈẽ,tʃɪ
habilidoso,"['ha', 'bi', 'li', 'do', 'so']",ha·bi·li·do·so,adjetivo,"['a', 'bi', 'li', 'dˈo', 'zʊ']",a.bi.li.dˈo.zʊ,2,penultima,li,dˈo,zʊ
habilidoso,"['ha', 'bi', 'li', 'do', 'so']",ha·bi·li·do·so,nome masculino,"['a', 'bi', 'li', 'dˈo', 'zʊ']",a.bi.li.dˈo.zʊ,2,penultima,li,dˈo,zʊ
habilitação,"['ha', 'bi', 'li', 'ta', 'ção']",ha·bi·li·ta·ção,nome feminino,"['a', 'bi', 'li', 'ta', 'sˈɐ̃w']",a.bi.li.ta.sˈɐ̃w,1,ultima,li,ta,sˈɐ̃w
habilitado,"['ha', 'bi', 'li', 'ta', 'do']",ha·bi·li·ta·do,adjetivo,"['a', 'bi', 'li', 'tˈa', 'dʊ']",a.bi.li.tˈa.dʊ,2,penultima,li,tˈa,dʊ
habilitando,"['ha', 'bi', 'li', 'tan', 'do']",ha·bi·li·tan·do,adjetivo,"['a', 'bi', 'li', 'tˈɐ̃', 'dʊ']",a.bi.li.tˈɐ̃.dʊ,2,penultima,li,tˈɐ̃,dʊ
