palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
i,['i'],i,advérbio,['i'],i,1,ultima,,,i
iaiá,"['i', 'ai', 'á']",i·ai·á,nome feminino,"['i', 'aj', 'ˈa']",i.aj.ˈa,1,ultima,i,aj,ˈa
ianque,"['i', 'an', 'que']",i·an·que,adjetivo,"['i', 'ˈɐ̃', 'kɪ']",i.ˈɐ̃.kɪ,2,penultima,i,ˈɐ̃,kɪ
ianque,"['i', 'an', 'que']",i·an·que,nome masculino,"['i', 'ˈɐ̃', 'kɪ']",i.ˈɐ̃.kɪ,2,penultima,i,ˈɐ̃,kɪ
ianque,"['i', 'an', 'que']",i·an·que,nome feminino,"['i', 'ˈɐ̃', 'kɪ']",i.ˈɐ̃.kɪ,2,penultima,i,ˈɐ̃,kɪ
ião,"['i', 'ão']",i·ão,nome masculino,"['i', 'ˈɐ̃w']",i.ˈɐ̃w,1,ultima,,i,ˈɐ̃w
iao,"['i', 'ao']",i·ao,nome masculino,"['i', 'ˈɐ̃w']",i.ˈɐ̃w,1,ultima,,i,ˈɐ̃w
iaque,"['i', 'a', 'que']",i·a·que,nome masculino,"['i', 'ˈa', 'kɪ']",i.ˈa.kɪ,2,penultima,i,ˈa,kɪ
iara,"['i', 'a', 'ra']",i·a·ra,nome feminino,"['i', 'ˈa', 'ɾɐ']",i.ˈa.ɾɐ,2,penultima,i,ˈa,ɾɐ
iate,"['i', 'a', 'te']",i·a·te,nome masculino,"['i', 'ˈa', 'tʃɪ']",i.ˈa.tʃɪ,2,penultima,i,ˈa,tʃɪ
iatismo,"['i', 'a', 'tis', 'mo']",i·a·tis·mo,nome masculino,"['i', 'a', 'tʃˈiʒ', 'mʊ']",i.a.tʃˈiʒ.mʊ,2,penultima,a,tʃˈiʒ,mʊ
iatista,"['i', 'a', 'tis', 'ta']",i·a·tis·ta,adjetivo,"['i', 'a', 'tʃˈiʃ', 'tɐ']",i.a.tʃˈiʃ.tɐ,2,penultima,a,tʃˈiʃ,tɐ
iatista,"['i', 'a', 'tis', 'ta']",i·a·tis·ta,nome masculino,"['i', 'a', 'tʃˈiʃ', 'tɐ']",i.a.tʃˈiʃ.tɐ,2,penultima,a,tʃˈiʃ,tɐ
iatista,"['i', 'a', 'tis', 'ta']",i·a·tis·ta,nome feminino,"['i', 'a', 'tʃˈiʃ', 'tɐ']",i.a.tʃˈiʃ.tɐ,2,penultima,a,tʃˈiʃ,tɐ
ibéria,"['i', 'bé', 'ri', 'a']",i·bé·ri·a,nome feminino,"['i', 'bˈɛ', 'ɾjɐ']",i.bˈɛ.ɾjɐ,3,antepenultima,i,bˈɛ,ɾjɐ
ibérica,"['i', 'bé', 'ri', 'ca']",i·bé·ri·ca,nome feminino,"['i', 'bˈɛ', 'ɾi', 'kɐ']",i.bˈɛ.ɾi.kɐ,3,antepenultima,bˈɛ,ɾi,kɐ
ibérico,"['i', 'bé', 'ri', 'co']",i·bé·ri·co,adjetivo,"['i', 'bˈɛ', 'ɾi', 'kʊ']",i.bˈɛ.ɾi.kʊ,3,antepenultima,bˈɛ,ɾi,kʊ
ibérico,"['i', 'bé', 'ri', 'co']",i·bé·ri·co,nome masculino,"['i', 'bˈɛ', 'ɾi', 'kʊ']",i.bˈɛ.ɾi.kʊ,3,antepenultima,bˈɛ,ɾi,kʊ
ibério,"['i', 'bé', 'ri', 'o']",i·bé·ri·o,adjetivo,"['i', 'bˈɛ', 'ɾjʊ']",i.bˈɛ.ɾjʊ,3,antepenultima,i,bˈɛ,ɾjʊ
iberismo,"['i', 'be', 'ris', 'mo']",i·be·ris·mo,nome masculino,"['i', 'be', 'ɾˈiʒ', 'mʊ']",i.be.ɾˈiʒ.mʊ,2,penultima,be,ɾˈiʒ,mʊ
