palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
já,['já'],já,advérbio,['ʒˈa'],ʒˈa,1,ultima,,,ʒˈa
já,['já'],já,conjunção,['ʒˈa'],ʒˈa,1,ultima,,,ʒˈa
jabiru,"['ja', 'bi', 'ru']",ja·bi·ru,nome masculino,"['ʒa', 'bi', 'ɾˈu']",ʒa.bi.ɾˈu,1,ultima,ʒa,bi,ɾˈu
jabuti,"['ja', 'bu', 'ti']",ja·bu·ti,nome masculino,"['ʒa', 'bu', 'tʃˈi']",ʒa.bu.tʃˈi,1,ultima,ʒa,bu,tʃˈi
jaca,"['ja', 'ca']",ja·ca,nome masculino,"['ʒˈa', 'kɐ']",ʒˈa.kɐ,2,penultima,,ʒˈa,kɐ
jaca,"['ja', 'ca']",ja·ca,nome feminino,"['ʒˈa', 'kɐ']",ʒˈa.kɐ,2,penultima,,ʒˈa,kɐ
jacarandá,"['ja', 'ca', 'ran', 'dá']",ja·ca·ran·dá,nome masculino,"['ʒa', 'ka', 'ɾɐ̃', 'dˈa']",ʒa.ka.ɾɐ̃.dˈa,1,ultima,ka,ɾɐ̃,dˈa
jacaré,"['ja', 'ca', 'ré']",ja·ca·ré,nome masculino,"['ʒa', 'ka', 'ɾˈɛ']",ʒa.ka.ɾˈɛ,1,ultima,ʒa,ka,ɾˈɛ
jacente,"['ja', 'cen', 'te']",ja·cen·te,adjetivo,"['ʒa', 'sˈẽ', 'tʃɪ']",ʒa.sˈẽ.tʃɪ,2,penultima,ʒa,sˈẽ,tʃɪ
jacente,"['ja', 'cen', 'te']",ja·cen·te,nome masculino,"['ʒa', 'sˈẽ', 'tʃɪ']",ʒa.sˈẽ.tʃɪ,2,penultima,ʒa,sˈẽ,tʃɪ
jacinto,"['ja', 'cin', 'to']",ja·cin·to,nome masculino,"['ʒa', 'sˈĩ', 'tʊ']",ʒa.sˈĩ.tʊ,2,penultima,ʒa,sˈĩ,tʊ
jackpot,"['jack', 'pot']",jack·pot,nome masculino,[''],,1,ultima,,,
jacobeia,"['ja', 'co', 'bei', 'a']",ja·co·bei·a,nome feminino,"['ʒa', 'ko', 'bˈej', 'ɐ']",ʒa.ko.bˈej.ɐ,2,penultima,ko,bˈej,ɐ
jacobeu,"['ja', 'co', 'beu']",ja·co·beu,nome masculino,"['ʒa', 'ko', 'bˈew']",ʒa.ko.bˈew,1,ultima,ʒa,ko,bˈew
jacobinamente,"['ja', 'co', 'bi', 'na', 'men', 'te']",ja·co·bi·na·men·te,advérbio,"['ʒa', 'ko', 'bĩ', 'nã', 'mˈẽ', 'tʃɪ']",ʒa.ko.bĩ.nã.mˈẽ.tʃɪ,2,penultima,nã,mˈẽ,tʃɪ
jacobinismo,"['ja', 'co', 'bi', 'nis', 'mo']",ja·co·bi·nis·mo,nome masculino,"['ʒa', 'ko', 'bĩ', 'nˈiʒ', 'mʊ']",ʒa.ko.bĩ.nˈiʒ.mʊ,2,penultima,bĩ,nˈiʒ,mʊ
