palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
kafkiana,"['kaf', 'ki', 'a', 'na']",kaf·ki·a·na,nome feminino,"['kaf', 'ki', 'ˈɐ̃', 'nɐ']",kaf.ki.ˈɐ̃.nɐ,2,penultima,ki,ˈɐ̃,nɐ
kafkiano,"['kaf', 'ki', 'a', 'no']",kaf·ki·a·no,nome masculino,"['kaf', 'ki', 'ˈɐ̃', 'nʊ']",kaf.ki.ˈɐ̃.nʊ,2,penultima,ki,ˈɐ̃,nʊ
kafkiano,"['kaf', 'ki', 'a', 'no']",kaf·ki·a·no,adjetivo,"['kaf', 'ki', 'ˈɐ̃', 'nʊ']",kaf.ki.ˈɐ̃.nʊ,2,penultima,ki,ˈɐ̃,nʊ
kamikaze,"['ka', 'mi', 'ka', 'ze']",ka·mi·ka·ze,nome masculino,"['kã', 'mi', 'kˈa', 'zɪ']",kã.mi.kˈa.zɪ,2,penultima,mi,kˈa,zɪ
kamikaze,"['ka', 'mi', 'ka', 'ze']",ka·mi·ka·ze,adjetivo,"['kã', 'mi', 'kˈa', 'zɪ']",kã.mi.kˈa.zɪ,2,penultima,mi,kˈa,zɪ
kantiana,"['kan', 'ti', 'a', 'na']",kan·ti·a·na,nome feminino,"['kɐ̃', 'tʃi', 'ˈɐ̃', 'nɐ']",kɐ̃.tʃi.ˈɐ̃.nɐ,2,penultima,tʃi,ˈɐ̃,nɐ
kantiano,"['kan', 'ti', 'a', 'no']",kan·ti·a·no,adjetivo,"['kɐ̃', 'tʃi', 'ˈɐ̃', 'nʊ']",kɐ̃.tʃi.ˈɐ̃.nʊ,2,penultima,tʃi,ˈɐ̃,nʊ
kantiano,"['kan', 'ti', 'a', 'no']",kan·ti·a·no,nome masculino,"['kɐ̃', 'tʃi', 'ˈɐ̃', 'nʊ']",kɐ̃.tʃi.ˈɐ̃.nʊ,2,penultima,tʃi,ˈɐ̃,nʊ
karaoke,"['ka', 'ra', 'o', 'ke']",ka·ra·o·ke,nome masculino,[''],,2,penultima,,,
karaté,"['ka', 'ra', 'té']",ka·ra·té,nome masculino,"['ka', 'ɾa', 'tˈɛ']",ka.ɾa.tˈɛ,1,ultima,ka,ɾa,tˈɛ
karateca,"['ka', 'ra', 'te', 'ca']",ka·ra·te·ca,nome masculino,"['ka', 'ɾa', 'tˈɛ', 'kɐ ou ka', 'ɾa', 'tˈɛ', 'kɐ']",ka.ɾa.tˈɛ.kɐ ou ka.ɾa.tˈɛ.kɐ,2,penultima,ɾa,tˈɛ,kɐ
karbovanet,"['kar', 'bo', 'va', 'net']",kar·bo·va·net,nome masculino,[''],,1,ultima,,,
kart,['kart'],kart,nome masculino,[''],,1,ultima,,,
karting,"['kar', 'ting']",kar·ting,nome masculino,[''],,2,penultima,,,
kartódromo,"['kar', 'tó', 'dro', 'mo']",kar·tó·dro·mo,nome masculino,"['kah', 'tˈɔ', 'dɾõ', 'mʊ']",kah.tˈɔ.dɾõ.mʊ,3,antepenultima,tˈɔ,dɾõ,mʊ
kayak,"['kay', 'ak']",kay·ak,nome masculino,[''],,1,ultima,,,
kelvin,"['kel', 'vin']",kel·vin,nome masculino,[''],,1,ultima,,,
kelvin,"['kel', 'vin']",kel·vin,adjetivo,[''],,1,ultima,,,
kepleriano,"['ke', 'ple', 'ri', 'a', 'no']",ke·ple·ri·a·no,adjetivo,"['kɛ', 'ple', 'ɾi', 'ˈɐ̃', 'nʊ']",kɛ.ple.ɾi.ˈɐ̃.nʊ,2,penultima,ɾi,ˈɐ̃,nʊ
ketchup,"['ket', 'chup']",ket·chup,nome masculino,[''],,2,penultima,,,
keynesianismo,"['key', 'ne', 'si', 'a', 'nis', 'mo']",key·ne·si·a·nis·mo,nome masculino,"['kẽj', 'ne', 'zi', 'ã', 'nˈiʒ', 'mʊ']",kẽj.ne.zi.ã.nˈiʒ.mʊ,2,penultima,ã,nˈiʒ,mʊ
kibutz,"['ki', 'butz']",ki·butz,nome masculino,[''],,1,ultima,,,
kickboxer,"['kick', 'bo', 'xer']",kick·bo·xer,nome masculino,['ou'],ou,2,penultima,,,ou
kickboxing,"['kick', 'bo', 'xing']",kick·bo·xing,nome masculino,[''],,2,penultima,,,
kilobyte,"['ki', 'lo', 'by', 'te']",ki·lo·by·te,nome masculino,[''],,2,penultima,,,
kilohertz,"['ki', 'lo', 'hertz']",ki·lo·hertz,nome masculino,[''],,1,ultima,,,
kilowatt,"['ki', 'lo', 'watt']",ki·lo·watt,nome masculino,"['ki', 'lˈo', 'wɔt']",ki.lˈo.wɔt,2,penultima,ki,lˈo,wɔt
kilowatt-hora,"['ki', 'lo', 'watt', 'ho', 'ra']",ki·lo·watt-ho·ra,nome masculino,"['ki', 'lˌo', 'wɔt', 'ˈɔ', 'ɾɐ']",ki.lˌo.wɔt.ˈɔ.ɾɐ,2,penultima,wɔt,ˈɔ,ɾɐ
kilt,['kilt'],kilt,nome masculino,[''],,1,ultima,,,
kimono,"['ki', 'mo', 'no']",ki·mo·no,nome masculino,[''],,2,penultima,,,
kina,"['ki', 'na']",ki·na,nome masculino,[''],,2,penultima,,,
king,['king'],king,nome masculino,[''],,1,ultima,,,
kip,['kip'],kip,nome masculino,['kip'],kip,1,ultima,,,kip
kirsch,['kirsch'],kirsch,nome masculino,[''],,1,ultima,,,
kit,['kit'],kit,nome masculino,['kit'],kit,1,ultima,,,kit
kitchenette,"['kit', 'che', 'net', 'te']",kit·che·net·te,nome feminino,[''],,2,penultima,,,
kitsch,['kitsch'],kitsch,adjetivo,[''],,1,ultima,,,
kitsch,['kitsch'],kitsch,nome masculino,[''],,1,ultima,,,
kiwi,"['ki', 'wi']",ki·wi,nome masculino,[''],,1,ultima,,,
knock-out,"['knock', 'out']",knock-out,nome masculino,[''],,1,ultima,,,
knock-out,"['knock', 'out']",knock-out,adjetivo,[''],,1,ultima,,,
know-how,"['know', 'how']",know-how,nome masculino,[''],,1,ultima,,,
kosovar,"['ko', 'so', 'var']",ko·so·var,nome masculino,"['ko', 'zo', 'vˈa ou ko', 'zo', 'vˈa']",ko.zo.vˈa ou ko.zo.vˈa,1,ultima,vˈa ou ko,zo,vˈa
kosovar,"['ko', 'so', 'var']",ko·so·var,adjetivo,"['ko', 'zo', 'vˈa']",ko.zo.vˈa,1,ultima,ko,zo,vˈa
koweitiano,"['ko', 'wei', 'ti', 'a', 'no']",ko·wei·ti·a·no,adjetivo,"['ko', 'wej', 'tʃi', 'ˈɐ̃', 'nʊ']",ko.wej.tʃi.ˈɐ̃.nʊ,2,penultima,tʃi,ˈɐ̃,nʊ
