palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
lã,['lã'],lã,nome feminino,['lˈɐ̃'],lˈɐ̃,1,ultima,,,lˈɐ̃
lá,['lá'],lá,advérbio,['lˈa'],lˈa,1,ultima,,,lˈa
lá,['lá'],lá,nome masculino,['lˈa'],lˈa,1,ultima,,,lˈa
labareda,"['la', 'ba', 're', 'da']",la·ba·re·da,nome feminino,"['la', 'ba', 'ɾˈe', 'dɐ']",la.ba.ɾˈe.dɐ,2,penultima,ba,ɾˈe,dɐ
labareda,"['la', 'ba', 're', 'da']",la·ba·re·da,nome masculino,"['la', 'ba', 'ɾˈe', 'dɐ']",la.ba.ɾˈe.dɐ,2,penultima,ba,ɾˈe,dɐ
labéu,"['la', 'béu']",la·béu,nome masculino,"['la', 'bˈɛw']",la.bˈɛw,1,ultima,,la,bˈɛw
lábia,"['lá', 'bi', 'a']",lá·bi·a,nome feminino,"['lˈa', 'bjɐ']",lˈa.bjɐ,3,antepenultima,,lˈa,bjɐ
labiado,"['la', 'bi', 'a', 'do']",la·bi·a·do,adjetivo,"['la', 'bi', 'ˈa', 'dʊ']",la.bi.ˈa.dʊ,2,penultima,bi,ˈa,dʊ
labiado,"['la', 'bi', 'a', 'do']",la·bi·a·do,nome masculino,"['la', 'bi', 'ˈa', 'dʊ']",la.bi.ˈa.dʊ,2,penultima,bi,ˈa,dʊ
labial,"['la', 'bi', 'al']",la·bi·al,nome feminino,"['la', 'bi', 'ˈaw']",la.bi.ˈaw,1,ultima,la,bi,ˈaw
labial,"['la', 'bi', 'al']",la·bi·al,adjetivo,"['la', 'bi', 'ˈaw']",la.bi.ˈaw,1,ultima,la,bi,ˈaw
lábio,"['lá', 'bi', 'o']",lá·bi·o,nome masculino,"['lˈa', 'bjʊ']",lˈa.bjʊ,3,antepenultima,,lˈa,bjʊ
