palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
má,['má'],má,nome feminino,['mˈa'],mˈa,1,ultima,,,mˈa
má-criação,"['má', 'cri', 'a', 'ção']",má-cri·a·ção,nome feminino,"['mˌa', 'kɾi', 'a', 'sˈɐ̃w']",mˌa.kɾi.a.sˈɐ̃w,1,ultima,kɾi,a,sˈɐ̃w
má-fé,"['má', 'fé']",má-fé,nome feminino,"['mˌa', 'fˈɛ']",mˌa.fˈɛ,1,ultima,,mˌa,fˈɛ
má-língua,"['má', 'lín', 'gua']",má-lín·gua,adjetivo,"['mˌa', 'lˈĩ', 'gwɐ']",mˌa.lˈĩ.gwɐ,2,penultima,mˌa,lˈĩ,gwɐ
má-língua,"['má', 'lín', 'gua']",má-lín·gua,nome masculino,"['mˌa', 'lˈĩ', 'gwɐ']",mˌa.lˈĩ.gwɐ,2,penultima,mˌa,lˈĩ,gwɐ
maboque,"['ma', 'bo', 'que']",ma·bo·que,nome masculino,"['ma', 'bˈɔ', 'kɪ']",ma.bˈɔ.kɪ,2,penultima,ma,bˈɔ,kɪ
mabuba,"['ma', 'bu', 'ba']",ma·bu·ba,nome feminino,"['ma', 'bˈu', 'bɐ']",ma.bˈu.bɐ,2,penultima,ma,bˈu,bɐ
mabunda,"['ma', 'bun', 'da']",ma·bun·da,nome feminino,"['ma', 'bˈũ', 'dɐ']",ma.bˈũ.dɐ,2,penultima,ma,bˈũ,dɐ
maca,"['ma', 'ca']",ma·ca,nome feminino,"['mˈa', 'kɐ']",mˈa.kɐ,2,penultima,,mˈa,kɐ
maçã,"['ma', 'çã']",ma·çã,nome feminino,"['ma', 'sˈɐ̃']",ma.sˈɐ̃,1,ultima,,ma,sˈɐ̃
maça,"['ma', 'ça']",ma·ça,nome feminino,"['mˈa', 'sɐ']",mˈa.sɐ,2,penultima,,mˈa,sɐ
maçã de Adão,"['ma', 'çã de A', 'dão']",ma·çã de A·dão,nome feminino,"['ma', 'sˌɐ̃', 'dʒi', 'a', 'dˈɐ̃w']",ma.sˌɐ̃.dʒi.a.dˈɐ̃w,0,,dʒi,a,dˈɐ̃w
macabeu,"['ma', 'ca', 'beu']",ma·ca·beu,nome masculino,"['ma', 'ka', 'bˈew']",ma.ka.bˈew,1,ultima,ma,ka,bˈew
macabeu,"['ma', 'ca', 'beu']",ma·ca·beu,adjetivo,"['ma', 'ka', 'bˈew']",ma.ka.bˈew,1,ultima,ma,ka,bˈew
macabramente,"['ma', 'ca', 'bra', 'men', 'te']",ma·ca·bra·men·te,advérbio,"['ma', 'ka', 'bɾã', 'mˈẽ', 'tʃɪ']",ma.ka.bɾã.mˈẽ.tʃɪ,2,penultima,bɾã,mˈẽ,tʃɪ
macabro,"['ma', 'ca', 'bro']",ma·ca·bro,adjetivo,"['ma', 'kˈa', 'bɾʊ']",ma.kˈa.bɾʊ,2,penultima,ma,kˈa,bɾʊ
macaca,"['ma', 'ca', 'ca']",ma·ca·ca,nome feminino,"['ma', 'kˈa', 'kɐ']",ma.kˈa.kɐ,2,penultima,ma,kˈa,kɐ
macacada,"['ma', 'ca', 'ca', 'da']",ma·ca·ca·da,nome feminino,"['ma', 'ka', 'kˈa', 'dɐ']",ma.ka.kˈa.dɐ,2,penultima,ka,kˈa,dɐ
macacão,"['ma', 'ca', 'cão']",ma·ca·cão,nome masculino,"['ma', 'ka', 'kˈɐ̃w']",ma.ka.kˈɐ̃w,1,ultima,ma,ka,kˈɐ̃w
macaco,"['ma', 'ca', 'co']",ma·ca·co,nome masculino,"['ma', 'kˈa', 'kʊ']",ma.kˈa.kʊ,2,penultima,ma,kˈa,kʊ
macaco,"['ma', 'ca', 'co']",ma·ca·co,adjetivo,"['ma', 'kˈa', 'kʊ']",ma.kˈa.kʊ,2,penultima,ma,kˈa,kʊ
maçada,"['ma', 'ça', 'da']",ma·ça·da,nome feminino,"['ma', 'sˈa', 'dɐ']",ma.sˈa.dɐ,2,penultima,ma,sˈa,dɐ
macadame,"['ma', 'ca', 'da', 'me']",ma·ca·da·me,nome masculino,"['ma', 'ka', 'dˈɐ̃', 'mɪ']",ma.ka.dˈɐ̃.mɪ,2,penultima,ka,dˈɐ̃,mɪ
maçado,"['ma', 'ça', 'do']",ma·ça·do,adjetivo,"['ma', 'sˈa', 'dʊ']",ma.sˈa.dʊ,2,penultima,ma,sˈa,dʊ
maçador,"['ma', 'ça', 'dor']",ma·ça·dor,adjetivo,"['ma', 'sa', 'dˈo']",ma.sa.dˈo,1,ultima,ma,sa,dˈo
maçador,"['ma', 'ça', 'dor']",ma·ça·dor,nome masculino,"['ma', 'sa', 'dˈo']",ma.sa.dˈo,1,ultima,ma,sa,dˈo
maçadora,"['ma', 'ça', 'do', 'ra']",ma·ça·do·ra,nome feminino,"['ma', 'sa', 'dˈo', 'ɾɐ']",ma.sa.dˈo.ɾɐ,2,penultima,sa,dˈo,ɾɐ
maçadoria,"['ma', 'ça', 'do', 'ri', 'a']",ma·ça·do·ri·a,nome feminino,"['ma', 'sa', 'do', 'ɾˈi', 'ɐ']",ma.sa.do.ɾˈi.ɐ,2,penultima,do,ɾˈi,ɐ
macaense,"['ma', 'ca', 'en', 'se']",ma·ca·en·se,nome masculino,"['ma', 'ka', 'ˈẽ', 'sɪ']",ma.ka.ˈẽ.sɪ,2,penultima,ka,ˈẽ,sɪ
macaense,"['ma', 'ca', 'en', 'se']",ma·ca·en·se,adjetivo,"['ma', 'ka', 'ˈẽ', 'sɪ']",ma.ka.ˈẽ.sɪ,2,penultima,ka,ˈẽ,sɪ
maçagem,"['ma', 'ça', 'gem']",ma·ça·gem,nome feminino,"['ma', 'sˈa', 'ʒẽj']",ma.sˈa.ʒẽj,2,penultima,ma,sˈa,ʒẽj
macaio,"['ma', 'cai', 'o']",ma·cai·o,nome masculino,"['ma', 'kˈaj', 'ʊ']",ma.kˈaj.ʊ,2,penultima,ma,kˈaj,ʊ
macaísta,"['ma', 'ca', 'ís', 'ta']",ma·ca·ís·ta,adjetivo,"['ma', 'ka', 'ˈiʃ', 'tɐ']",ma.ka.ˈiʃ.tɐ,2,penultima,ka,ˈiʃ,tɐ
macaísta,"['ma', 'ca', 'ís', 'ta']",ma·ca·ís·ta,nome masculino,"['ma', 'ka', 'ˈiʃ', 'tɐ']",ma.ka.ˈiʃ.tɐ,2,penultima,ka,ˈiʃ,tɐ
maçal,"['ma', 'çal']",ma·çal,nome masculino,"['ma', 'sˈaw']",ma.sˈaw,1,ultima,,ma,sˈaw
macala,"['ma', 'ca', 'la']",ma·ca·la,nome masculino,"['ma', 'kˈa', 'lɐ']",ma.kˈa.lɐ,2,penultima,ma,kˈa,lɐ
macambúzio,"['ma', 'cam', 'bú', 'zi', 'o']",ma·cam·bú·zi·o,adjetivo,"['ma', 'kɐ̃', 'bˈu', 'zjʊ']",ma.kɐ̃.bˈu.zjʊ,3,antepenultima,kɐ̃,bˈu,zjʊ
macambúzio,"['ma', 'cam', 'bú', 'zi', 'o']",ma·cam·bú·zi·o,nome masculino,"['ma', 'kɐ̃', 'bˈu', 'zjʊ']",ma.kɐ̃.bˈu.zjʊ,3,antepenultima,kɐ̃,bˈu,zjʊ
maçaneta,"['ma', 'ça', 'ne', 'ta']",ma·ça·ne·ta,nome feminino,"['ma', 'sã', 'nˈe', 'tɐ']",ma.sã.nˈe.tɐ,2,penultima,sã,nˈe,tɐ
mação,"['ma', 'ção']",ma·ção,nome masculino,"['ma', 'sˈɐ̃w']",ma.sˈɐ̃w,1,ultima,,ma,sˈɐ̃w
