palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
nababo,"['na', 'ba', 'bo']",na·ba·bo,nome masculino,"['na', 'bˈa', 'bʊ']",na.bˈa.bʊ,2,penultima,na,bˈa,bʊ
nabal,"['na', 'bal']",na·bal,nome masculino,"['na', 'bˈaw']",na.bˈaw,1,ultima,,na,bˈaw
nabantina,"['na', 'ban', 'ti', 'na']",na·ban·ti·na,nome feminino,"['na', 'bɐ̃', 'tʃˈĩ', 'nɐ']",na.bɐ̃.tʃˈĩ.nɐ,2,penultima,bɐ̃,tʃˈĩ,nɐ
nabantino,"['na', 'ban', 'ti', 'no']",na·ban·ti·no,nome masculino,"['na', 'bɐ̃', 'tʃˈĩ', 'nʊ']",na.bɐ̃.tʃˈĩ.nʊ,2,penultima,bɐ̃,tʃˈĩ,nʊ
nabantino,"['na', 'ban', 'ti', 'no']",na·ban·ti·no,adjetivo,"['na', 'bɐ̃', 'tʃˈĩ', 'nʊ']",na.bɐ̃.tʃˈĩ.nʊ,2,penultima,bɐ̃,tʃˈĩ,nʊ
nabiça,"['na', 'bi', 'ça']",na·bi·ça,nome feminino,"['na', 'bˈi', 'sɐ']",na.bˈi.sɐ,2,penultima,na,bˈi,sɐ
nabo,"['na', 'bo']",na·bo,nome masculino,"['nˈa', 'bʊ']",nˈa.bʊ,2,penultima,,nˈa,bʊ
nação,"['na', 'ção']",na·ção,nome feminino,"['na', 'sˈɐ̃w']",na.sˈɐ̃w,1,ultima,,na,sˈɐ̃w
nácar,"['ná', 'car']",ná·car,nome masculino,"['nˈa', 'ka']",nˈa.ka,2,penultima,,nˈa,ka
nacarado,"['na', 'ca', 'ra', 'do']",na·ca·ra·do,adjetivo,"['na', 'ka', 'ɾˈa', 'dʊ']",na.ka.ɾˈa.dʊ,2,penultima,ka,ɾˈa,dʊ
nacarar,"['na', 'ca', 'rar']",na·ca·rar,verbo,"['na', 'ka', 'ɾˈa']",na.ka.ɾˈa,1,ultima,na,ka,ɾˈa
nacional,"['na', 'ci', 'o', 'nal']",na·ci·o·nal,nome masculino,"['na', 'sjõ', 'nˈaw']",na.sjõ.nˈaw,1,ultima,na,sjõ,nˈaw
nacional,"['na', 'ci', 'o', 'nal']",na·ci·o·nal,adjetivo,"['na', 'sjõ', 'nˈaw']",na.sjõ.nˈaw,1,ultima,na,sjõ,nˈaw
nacional,"['na', 'ci', 'o', 'nal']",na·ci·o·nal,nome feminino,"['na', 'sjõ', 'nˈaw']",na.sjõ.nˈaw,1,ultima,na,sjõ,nˈaw
nacional-sindicalismo,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'mo']",na·ci·o·nal-sin·di·ca·lis·mo,nome masculino,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʒ', 'mʊ']",na.sjõ.nˌaw.sĩ.dʒi.ka.lˈiʒ.mʊ,2,penultima,ka,lˈiʒ,mʊ
nacional-sindicalista,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'ta']",na·ci·o·nal-sin·di·ca·lis·ta,adjetivo,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",na.sjõ.nˌaw.sĩ.dʒi.ka.lˈiʃ.tɐ,2,penultima,ka,lˈiʃ,tɐ
nacional-sindicalista,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'ta']",na·ci·o·nal-sin·di·ca·lis·ta,nome masculino,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʃ', 'tɐ ou na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",na.sjõ.nˌaw.sĩ.dʒi.ka.lˈiʃ.tɐ ou na.sjõ.nˌaw.sĩ.dʒi.ka.lˈiʃ.tɐ,2,penultima,ka,lˈiʃ,tɐ
nacional-socialismo,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'mo']",na·ci·o·nal-so·ci·a·lis·mo,nome masculino,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʒ', 'mʊ']",na.sjõ.nˌaw.so.si.a.lˈiʒ.mʊ,2,penultima,a,lˈiʒ,mʊ
nacional-socialista,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'ta']",na·ci·o·nal-so·ci·a·lis·ta,nome masculino,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʃ', 'tɐ']",na.sjõ.nˌaw.so.si.a.lˈiʃ.tɐ,2,penultima,a,lˈiʃ,tɐ
nacional-socialista,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'ta']",na·ci·o·nal-so·ci·a·lis·ta,adjetivo,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʃ', 'tɐ']",na.sjõ.nˌaw.so.si.a.lˈiʃ.tɐ,2,penultima,a,lˈiʃ,tɐ
nacional-socialista,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'ta']",na·ci·o·nal-so·ci·a·lis·ta,nome feminino,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʃ', 'tɐ']",na.sjõ.nˌaw.so.si.a.lˈiʃ.tɐ,2,penultima,a,lˈiʃ,tɐ
nacionalidade,"['na', 'ci', 'o', 'na', 'li', 'da', 'de']",na·ci·o·na·li·da·de,nome feminino,"['na', 'sjõ', 'na', 'li', 'dˈa', 'dʒɪ']",na.sjõ.na.li.dˈa.dʒɪ,2,penultima,li,dˈa,dʒɪ
