palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
ó,['ó'],ó,interjeição,['ˈɔ'],ˈɔ,1,ultima,,,ˈɔ
o,['o'],o,artigo,['u ou u'],u ou u,1,ultima,,,u ou u
o,['o'],o,pronome,['u'],u,1,ultima,,,u
o,['o'],o,pronome,['u'],u,1,ultima,,,u
oásis,"['o', 'á', 'sis']",o·á·sis,nome masculino,"['o', 'ˈa', 'zɪʃ']",o.ˈa.zɪʃ,2,penultima,o,ˈa,zɪʃ
ob-rogar,"['ob', 'ro', 'gar']",ob-ro·gar,verbo,"['ob', 'ɦo', 'gˈaɾ']",ob.ɦo.gˈaɾ,1,ultima,ob,ɦo,gˈaɾ
oba,"['o', 'ba']",o·ba,interjeição,"['o', 'bɐ']",o.bɐ,2,penultima,,o,bɐ
oba,"['o', 'ba']",o·ba,nome feminino,"['o', 'bɐ']",o.bɐ,2,penultima,,o,bɐ
obaudição,"['o', 'bau', 'di', 'ção']",o·bau·di·ção,nome feminino,"['o', 'baw', 'dʒi', 'sˈɐ̃w']",o.baw.dʒi.sˈɐ̃w,1,ultima,baw,dʒi,sˈɐ̃w
obcecação,"['ob', 'ce', 'ca', 'ção']",ob·ce·ca·ção,nome feminino,"['o', 'bi', 'se', 'ka', 'sˈɐ̃w']",o.bi.se.ka.sˈɐ̃w,1,ultima,se,ka,sˈɐ̃w
obcecada,"['ob', 'ce', 'ca', 'da']",ob·ce·ca·da,nome feminino,"['o', 'bi', 'se', 'kˈa', 'dɐ']",o.bi.se.kˈa.dɐ,2,penultima,se,kˈa,dɐ
obcecadamente,"['ob', 'ce', 'ca', 'da', 'men', 'te']",ob·ce·ca·da·men·te,advérbio,"['o', 'bi', 'se', 'ka', 'dã', 'mˈẽ', 'tʃɪ']",o.bi.se.ka.dã.mˈẽ.tʃɪ,2,penultima,dã,mˈẽ,tʃɪ
obcecado,"['ob', 'ce', 'ca', 'do']",ob·ce·ca·do,adjetivo,"['o', 'bi', 'se', 'kˈa', 'dʊ']",o.bi.se.kˈa.dʊ,2,penultima,se,kˈa,dʊ
obcecado,"['ob', 'ce', 'ca', 'do']",ob·ce·ca·do,nome masculino,"['o', 'bi', 'se', 'kˈa', 'dʊ']",o.bi.se.kˈa.dʊ,2,penultima,se,kˈa,dʊ
obcecante,"['ob', 'ce', 'can', 'te']",ob·ce·can·te,adjetivo,"['o', 'bi', 'se', 'kˈɐ̃', 'tʃɪ']",o.bi.se.kˈɐ̃.tʃɪ,2,penultima,se,kˈɐ̃,tʃɪ
obcecar,"['ob', 'ce', 'car']",ob·ce·car,verbo,"['o', 'bi', 'se', 'kˈa']",o.bi.se.kˈa,1,ultima,bi,se,kˈa
obcomprimido,"['ob', 'com', 'pri', 'mi', 'do']",ob·com·pri·mi·do,adjetivo,"['ob', 'kõ', 'pɾĩ', 'mˈi', 'dʊ']",ob.kõ.pɾĩ.mˈi.dʊ,2,penultima,pɾĩ,mˈi,dʊ
obcónico,"['ob', 'có', 'ni', 'co']",ob·có·ni·co,adjetivo,"['ob', 'kˈɔ̃', 'ni', 'kʊ']",ob.kˈɔ̃.ni.kʊ,3,antepenultima,kˈɔ̃,ni,kʊ
obcordado,"['ob', 'cor', 'da', 'do']",ob·cor·da·do,adjetivo,"['ob', 'koɦ', 'dˈa', 'dʊ']",ob.koɦ.dˈa.dʊ,2,penultima,koɦ,dˈa,dʊ
obcorrente,"['ob', 'cor', 'ren', 'te']",ob·cor·ren·te,adjetivo,"['ob', 'ko', 'ɦˈẽ', 'tʃɪ']",ob.ko.ɦˈẽ.tʃɪ,2,penultima,ko,ɦˈẽ,tʃɪ
obdentado,"['ob', 'den', 'ta', 'do']",ob·den·ta·do,adjetivo,"['ob', 'dẽ', 'tˈa', 'dʊ']",ob.dẽ.tˈa.dʊ,2,penultima,dẽ,tˈa,dʊ
obduração,"['ob', 'du', 'ra', 'ção']",ob·du·ra·ção,nome feminino,"['ob', 'du', 'ɾa', 'sˈɐ̃w']",ob.du.ɾa.sˈɐ̃w,1,ultima,du,ɾa,sˈɐ̃w
obdurar,"['ob', 'du', 'rar']",ob·du·rar,verbo,"['ob', 'du', 'ɾˈaɾ']",ob.du.ɾˈaɾ,1,ultima,ob,du,ɾˈaɾ
obedecer,"['o', 'be', 'de', 'cer']",o·be·de·cer,verbo,"['o', 'be', 'de', 'sˈe']",o.be.de.sˈe,1,ultima,be,de,sˈe
obedecido,"['o', 'be', 'de', 'ci', 'do']",o·be·de·ci·do,adjetivo,"['o', 'be', 'de', 'sˈi', 'dʊ']",o.be.de.sˈi.dʊ,2,penultima,de,sˈi,dʊ
obediência,"['o', 'be', 'di', 'ên', 'ci', 'a']",o·be·di·ên·ci·a,nome feminino,"['o', 'be', 'dʒi', 'ˈẽ', 'sjɐ']",o.be.dʒi.ˈẽ.sjɐ,3,antepenultima,dʒi,ˈẽ,sjɐ
obediente,"['o', 'be', 'di', 'en', 'te']",o·be·di·en·te,adjetivo,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",o.be.dʒi.ˈẽ.tʃɪ,2,penultima,dʒi,ˈẽ,tʃɪ
obediente,"['o', 'be', 'di', 'en', 'te']",o·be·di·en·te,nome masculino,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",o.be.dʒi.ˈẽ.tʃɪ,2,penultima,dʒi,ˈẽ,tʃɪ
obediente,"['o', 'be', 'di', 'en', 'te']",o·be·di·en·te,nome feminino,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",o.be.dʒi.ˈẽ.tʃɪ,2,penultima,dʒi,ˈẽ,tʃɪ
obedientemente,"['o', 'be', 'di', 'en', 'te', 'men', 'te']",o·be·di·en·te·men·te,advérbio,"['o', 'be', 'dʒi', 'ẽ', 'tẽ', 'mˈẽ', 'tʃɪ']",o.be.dʒi.ẽ.tẽ.mˈẽ.tʃɪ,2,penultima,tẽ,mˈẽ,tʃɪ
obelisco,"['o', 'be', 'lis', 'co']",o·be·lis·co,nome masculino,"['o', 'be', 'lˈiʃ', 'kʊ']",o.be.lˈiʃ.kʊ,2,penultima,be,lˈiʃ,kʊ
obesidade,"['o', 'be', 'si', 'da', 'de']",o·be·si·da·de,nome feminino,"['o', 'be', 'zi', 'dˈa', 'dʒɪ']",o.be.zi.dˈa.dʒɪ,2,penultima,zi,dˈa,dʒɪ
obeso,"['o', 'be', 'so']",o·be·so,adjetivo,"['o', 'bˈe', 'zʊ']",o.bˈe.zʊ,2,penultima,o,bˈe,zʊ
obfirmado,"['ob', 'fir', 'ma', 'do']",ob·fir·ma·do,adjetivo,"['ob', 'fiɦ', 'mˈa', 'dʊ']",ob.fiɦ.mˈa.dʊ,2,penultima,fiɦ,mˈa,dʊ
obfirmar,"['ob', 'fir', 'mar']",ob·fir·mar,verbo,"['ob', 'fiɦ', 'mˈaɾ']",ob.fiɦ.mˈaɾ,1,ultima,ob,fiɦ,mˈaɾ
obi,"['o', 'bi']",o·bi,nome masculino,"['o', 'bɪ']",o.bɪ,1,ultima,,o,bɪ
óbice,"['ó', 'bi', 'ce']",ó·bi·ce,nome masculino,"['ˈɔ', 'bi', 'sɪ']",ˈɔ.bi.sɪ,3,antepenultima,ˈɔ,bi,sɪ
obidense,"['o', 'bi', 'den', 'se']",o·bi·den·se,nome masculino,"['ɔ', 'bi', 'dˈẽ', 'sɪ ou ɔ', 'bi', 'dˈẽ', 'sɪ']",ɔ.bi.dˈẽ.sɪ ou ɔ.bi.dˈẽ.sɪ,2,penultima,bi,dˈẽ,sɪ
obidense,"['o', 'bi', 'den', 'se']",o·bi·den·se,adjetivo,"['ɔ', 'bi', 'dˈẽ', 'sɪ']",ɔ.bi.dˈẽ.sɪ,2,penultima,bi,dˈẽ,sɪ
óbito,"['ó', 'bi', 'to']",ó·bi·to,nome masculino,"['ˈɔ', 'bi', 'tʊ']",ˈɔ.bi.tʊ,3,antepenultima,ˈɔ,bi,tʊ
obituário,"['o', 'bi', 'tu', 'á', 'ri', 'o']",o·bi·tu·á·ri·o,adjetivo,"['o', 'bi', 'tu', 'ˈa', 'ɾjʊ']",o.bi.tu.ˈa.ɾjʊ,3,antepenultima,tu,ˈa,ɾjʊ
obituário,"['o', 'bi', 'tu', 'á', 'ri', 'o']",o·bi·tu·á·ri·o,nome masculino,"['o', 'bi', 'tu', 'ˈa', 'ɾjʊ']",o.bi.tu.ˈa.ɾjʊ,3,antepenultima,tu,ˈa,ɾjʊ
objeção,"['ob', 'je', 'ção']",ob·je·ção,nome feminino,"['o', 'bi', 'ʒe', 'sˈɐ̃w']",o.bi.ʒe.sˈɐ̃w,1,ultima,bi,ʒe,sˈɐ̃w
objecção,"['ob', 'jec', 'ção']",ob·jec·ção,nome feminino,"['o', 'bi', 'ʒe', 'kə', 'sˈɐ̃w']",o.bi.ʒe.kə.sˈɐ̃w,1,ultima,ʒe,kə,sˈɐ̃w
objectado,"['ob', 'jec', 'ta', 'do']",ob·jec·ta·do,adjetivo,"['o', 'bi', 'ʒe', 'kə', 'tˈa', 'dʊ']",o.bi.ʒe.kə.tˈa.dʊ,2,penultima,kə,tˈa,dʊ
objectiva,"['ob', 'jec', 'ti', 'va']",ob·jec·ti·va,nome feminino,"['o', 'bi', 'ʒe', 'ki', 'tʃˈi', 'vɐ']",o.bi.ʒe.ki.tʃˈi.vɐ,2,penultima,ki,tʃˈi,vɐ
objectivação,"['ob', 'jec', 'ti', 'va', 'ção']",ob·jec·ti·va·ção,nome feminino,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'va', 'sˈɐ̃w']",o.bi.ʒe.ki.tʃi.va.sˈɐ̃w,1,ultima,tʃi,va,sˈɐ̃w
objectivado,"['ob', 'jec', 'ti', 'va', 'do']",ob·jec·ti·va·do,adjetivo,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈa', 'dʊ']",o.bi.ʒe.ki.tʃi.vˈa.dʊ,2,penultima,tʃi,vˈa,dʊ
objectivamente,"['ob', 'jec', 'ti', 'va', 'men', 'te']",ob·jec·ti·va·men·te,advérbio,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",o.bi.ʒe.ki.tʃi.vã.mˈẽ.tʃɪ,2,penultima,vã,mˈẽ,tʃɪ
objectividade,"['ob', 'jec', 'ti', 'vi', 'da', 'de']",ob·jec·ti·vi·da·de,nome feminino,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vi', 'dˈa', 'dʒɪ']",o.bi.ʒe.ki.tʃi.vi.dˈa.dʒɪ,2,penultima,vi,dˈa,dʒɪ
objectivismo,"['ob', 'jec', 'ti', 'vis', 'mo']",ob·jec·ti·vis·mo,nome masculino,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈiʒ', 'mʊ']",o.bi.ʒe.ki.tʃi.vˈiʒ.mʊ,2,penultima,tʃi,vˈiʒ,mʊ
objectivista,"['ob', 'jec', 'ti', 'vis', 'ta']",ob·jec·ti·vis·ta,adjetivo,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈiʃ', 'tɐ']",o.bi.ʒe.ki.tʃi.vˈiʃ.tɐ,2,penultima,tʃi,vˈiʃ,tɐ
objectivista,"['ob', 'jec', 'ti', 'vis', 'ta']",ob·jec·ti·vis·ta,nome masculino,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈiʃ', 'tɐ ou o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈiʃ', 'tɐ']",o.bi.ʒe.ki.tʃi.vˈiʃ.tɐ ou o.bi.ʒe.ki.tʃi.vˈiʃ.tɐ,2,penultima,tʃi,vˈiʃ,tɐ
objectivo,"['ob', 'jec', 'ti', 'vo']",ob·jec·ti·vo,nome masculino,"['o', 'bi', 'ʒe', 'ki', 'tʃˈi', 'vʊ']",o.bi.ʒe.ki.tʃˈi.vʊ,2,penultima,ki,tʃˈi,vʊ
