palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
pá,['pá'],pá,interjeição,['pˈa'],pˈa,1,ultima,,,pˈa
pá,['pá'],pá,nome masculino,['pˈa'],pˈa,1,ultima,,,pˈa
pá,['pá'],pá,nome feminino,['pˈa'],pˈa,1,ultima,,,pˈa
paca,"['pa', 'ca']",pa·ca,nome feminino,"['pˈa', 'kɐ']",pˈa.kɐ,2,penultima,,pˈa,kɐ
paca,"['pa', 'ca']",pa·ca,adjetivo,"['pˈa', 'kɐ']",pˈa.kɐ,2,penultima,,pˈa,kɐ
pacaça,"['pa', 'ca', 'ça']",pa·ca·ça,nome feminino,"['pa', 'kˈa', 'sɐ']",pa.kˈa.sɐ,2,penultima,pa,kˈa,sɐ
pacata,"['pa', 'ca', 'ta']",pa·ca·ta,nome feminino,"['pa', 'kˈa', 'tɐ']",pa.kˈa.tɐ,2,penultima,pa,kˈa,tɐ
pacatamente,"['pa', 'ca', 'ta', 'men', 'te']",pa·ca·ta·men·te,advérbio,"['pa', 'ka', 'tã', 'mˈẽ', 'tʃɪ']",pa.ka.tã.mˈẽ.tʃɪ,2,penultima,tã,mˈẽ,tʃɪ
pacatez,"['pa', 'ca', 'tez']",pa·ca·tez,nome feminino,"['pa', 'ka', 'tˈeʃ']",pa.ka.tˈeʃ,1,ultima,pa,ka,tˈeʃ
pacato,"['pa', 'ca', 'to']",pa·ca·to,adjetivo,"['pa', 'kˈa', 'tʊ']",pa.kˈa.tʊ,2,penultima,pa,kˈa,tʊ
pacato,"['pa', 'ca', 'to']",pa·ca·to,nome masculino,"['pa', 'kˈa', 'tʊ']",pa.kˈa.tʊ,2,penultima,pa,kˈa,tʊ
pacau,"['pa', 'cau']",pa·cau,nome masculino,"['pa', 'kˈaw']",pa.kˈaw,1,ultima,,pa,kˈaw
pacemaker,"['pa', 'ce', 'ma', 'ker']",pa·ce·ma·ker,nome masculino,[''],,2,penultima,,,
pacense,"['pa', 'cen', 'se']",pa·cen·se,nome masculino,"['pa', 'sˈẽ', 'sɪ']",pa.sˈẽ.sɪ,2,penultima,pa,sˈẽ,sɪ
pacense,"['pa', 'cen', 'se']",pa·cen·se,adjetivo,"['pa', 'sˈẽ', 'sɪ']",pa.sˈẽ.sɪ,2,penultima,pa,sˈẽ,sɪ
pacho,"['pa', 'cho']",pa·cho,nome masculino,"['pˈa', 'ʃʊ']",pˈa.ʃʊ,2,penultima,,pˈa,ʃʊ
pachorra,"['pa', 'chor', 'ra']",pa·chor·ra,nome feminino,"['pa', 'ʃˈo', 'ɦɐ']",pa.ʃˈo.ɦɐ,2,penultima,pa,ʃˈo,ɦɐ
pachorrentamente,"['pa', 'chor', 'ren', 'ta', 'men', 'te']",pa·chor·ren·ta·men·te,advérbio,"['pa', 'ʃo', 'ɦẽ', 'tã', 'mˈẽ', 'tʃɪ']",pa.ʃo.ɦẽ.tã.mˈẽ.tʃɪ,2,penultima,tã,mˈẽ,tʃɪ
pachorrento,"['pa', 'chor', 'ren', 'to']",pa·chor·ren·to,adjetivo,"['pa', 'ʃo', 'ɦˈẽ', 'tʊ']",pa.ʃo.ɦˈẽ.tʊ,2,penultima,ʃo,ɦˈẽ,tʊ
paciência,"['pa', 'ci', 'ên', 'ci', 'a']",pa·ci·ên·ci·a,nome feminino,"['pa', 'si', 'ˈẽ', 'sjɐ']",pa.si.ˈẽ.sjɐ,3,antepenultima,si,ˈẽ,sjɐ
pacientar,"['pa', 'ci', 'en', 'tar']",pa·ci·en·tar,verbo,"['pa', 'si', 'ẽ', 'tˈa']",pa.si.ẽ.tˈa,1,ultima,si,ẽ,tˈa
paciente,"['pa', 'ci', 'en', 'te']",pa·ci·en·te,nome masculino,"['pa', 'si', 'ˈẽ', 'tʃɪ']",pa.si.ˈẽ.tʃɪ,2,penultima,si,ˈẽ,tʃɪ
