palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
quadra,"['qua', 'dra']",qua·dra,nome feminino,"['kwˈa', 'dɾɐ']",kwˈa.dɾɐ,2,penultima,,kwˈa,dɾɐ
quadradinho,"['qua', 'dra', 'di', 'nho']",qua·dra·di·nho,nome masculino,"['kwa', 'dɾa', 'dʒˈĩ', 'ɲʊ']",kwa.dɾa.dʒˈĩ.ɲʊ,2,penultima,dɾa,dʒˈĩ,ɲʊ
quadrado,"['qua', 'dra', 'do']",qua·dra·do,adjetivo,"['kwa', 'dɾˈa', 'dʊ']",kwa.dɾˈa.dʊ,2,penultima,kwa,dɾˈa,dʊ
quadrado,"['qua', 'dra', 'do']",qua·dra·do,nome masculino,"['kwa', 'dɾˈa', 'dʊ']",kwa.dɾˈa.dʊ,2,penultima,kwa,dɾˈa,dʊ
quadragenário,"['qua', 'dra', 'ge', 'ná', 'ri', 'o']",qua·dra·ge·ná·ri·o,adjetivo,"['kwa', 'dɾa', 'ʒẽ', 'nˈa', 'ɾjʊ']",kwa.dɾa.ʒẽ.nˈa.ɾjʊ,3,antepenultima,ʒẽ,nˈa,ɾjʊ
quadragenário,"['qua', 'dra', 'ge', 'ná', 'ri', 'o']",qua·dra·ge·ná·ri·o,nome masculino,"['kwa', 'dɾa', 'ʒẽ', 'nˈa', 'ɾjʊ']",kwa.dɾa.ʒẽ.nˈa.ɾjʊ,3,antepenultima,ʒẽ,nˈa,ɾjʊ
quadragésima,"['qua', 'dra', 'gé', 'si', 'ma']",qua·dra·gé·si·ma,nome feminino,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mɐ']",kwa.dɾa.ʒˈɛ.zĩ.mɐ,3,antepenultima,ʒˈɛ,zĩ,mɐ
quadragésimo,"['qua', 'dra', 'gé', 'si', 'mo']",qua·dra·gé·si·mo,número,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mʊ ou kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mʊ']",kwa.dɾa.ʒˈɛ.zĩ.mʊ ou kwa.dɾa.ʒˈɛ.zĩ.mʊ,3,antepenultima,ʒˈɛ,zĩ,mʊ
quadragésimo,"['qua', 'dra', 'gé', 'si', 'mo']",qua·dra·gé·si·mo,nome masculino,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mʊ']",kwa.dɾa.ʒˈɛ.zĩ.mʊ,3,antepenultima,ʒˈɛ,zĩ,mʊ
quadrangular,"['qua', 'dran', 'gu', 'lar']",qua·dran·gu·lar,nome masculino,"['kwa', 'dɾɐ̃', 'gu', 'lˈa']",kwa.dɾɐ̃.gu.lˈa,1,ultima,dɾɐ̃,gu,lˈa
quadrangular,"['qua', 'dran', 'gu', 'lar']",qua·dran·gu·lar,adjetivo,"['kwa', 'dɾɐ̃', 'gu', 'lˈa']",kwa.dɾɐ̃.gu.lˈa,1,ultima,dɾɐ̃,gu,lˈa
quadrante,"['qua', 'dran', 'te']",qua·dran·te,nome masculino,"['kwa', 'dɾˈɐ̃', 'tʃɪ']",kwa.dɾˈɐ̃.tʃɪ,2,penultima,kwa,dɾˈɐ̃,tʃɪ
quadrar,"['qua', 'drar']",qua·drar,verbo,"['kwa', 'dɾˈa']",kwa.dɾˈa,1,ultima,,kwa,dɾˈa
quadratura,"['qua', 'dra', 'tu', 'ra']",qua·dra·tu·ra,nome feminino,"['kwa', 'dɾa', 'tˈu', 'ɾɐ']",kwa.dɾa.tˈu.ɾɐ,2,penultima,dɾa,tˈu,ɾɐ
quadricromia,"['qua', 'dri', 'cro', 'mi', 'a']",qua·dri·cro·mi·a,nome feminino,"['kwa', 'dɾi', 'kɾõ', 'mˈi', 'ɐ']",kwa.dɾi.kɾõ.mˈi.ɐ,2,penultima,kɾõ,mˈi,ɐ
quadrícula,"['qua', 'drí', 'cu', 'la']",qua·drí·cu·la,nome feminino,"['kwa', 'dɾˈi', 'ku', 'lɐ']",kwa.dɾˈi.ku.lɐ,3,antepenultima,dɾˈi,ku,lɐ
quadriculado,"['qua', 'dri', 'cu', 'la', 'do']",qua·dri·cu·la·do,adjetivo,"['kwa', 'dɾi', 'ku', 'lˈa', 'dʊ']",kwa.dɾi.ku.lˈa.dʊ,2,penultima,ku,lˈa,dʊ
quadriculado,"['qua', 'dri', 'cu', 'la', 'do']",qua·dri·cu·la·do,nome masculino,"['kwa', 'dɾi', 'ku', 'lˈa', 'dʊ']",kwa.dɾi.ku.lˈa.dʊ,2,penultima,ku,lˈa,dʊ
quadricular,"['qua', 'dri', 'cu', 'lar']",qua·dri·cu·lar,verbo,"['kwa', 'dɾi', 'ku', 'lˈa']",kwa.dɾi.ku.lˈa,1,ultima,dɾi,ku,lˈa
quadricular,"['qua', 'dri', 'cu', 'lar']",qua·dri·cu·lar,adjetivo,"['kwa', 'dɾi', 'ku', 'lˈa']",kwa.dɾi.ku.lˈa,1,ultima,dɾi,ku,lˈa
quadrienal,"['qua', 'dri', 'e', 'nal']",qua·dri·e·nal,adjetivo,"['kwa', 'dɾi', 'ẽ', 'nˈaw']",kwa.dɾi.ẽ.nˈaw,1,ultima,dɾi,ẽ,nˈaw
quadrienalmente,"['qua', 'dri', 'e', 'nal', 'men', 'te']",qua·dri·e·nal·men·te,advérbio,"['kwa', 'dɾi', 'ẽ', 'naw', 'mˈẽ', 'tʃɪ']",kwa.dɾi.ẽ.naw.mˈẽ.tʃɪ,2,penultima,naw,mˈẽ,tʃɪ
quadriénio,"['qua', 'dri', 'é', 'ni', 'o']",qua·dri·é·ni·o,nome masculino,"['kwa', 'dɾi', 'ˈɛ̃', 'njʊ']",kwa.dɾi.ˈɛ̃.njʊ,3,antepenultima,dɾi,ˈɛ̃,njʊ
quadrifonia,"['qua', 'dri', 'fo', 'ni', 'a']",qua·dri·fo·ni·a,nome feminino,"['kwa', 'dɾi', 'fõ', 'nˈi', 'ɐ']",kwa.dɾi.fõ.nˈi.ɐ,2,penultima,fõ,nˈi,ɐ
quadriga,"['qua', 'dri', 'ga']",qua·dri·ga,nome feminino,"['kwa', 'dɾˈi', 'gɐ']",kwa.dɾˈi.gɐ,2,penultima,kwa,dɾˈi,gɐ
quadril,"['qua', 'dril']",qua·dril,nome masculino,"['kwa', 'dɾˈiw']",kwa.dɾˈiw,1,ultima,,kwa,dɾˈiw
quadrilateral,"['qua', 'dri', 'la', 'te', 'ral']",qua·dri·la·te·ral,adjetivo,"['kwa', 'dɾi', 'la', 'te', 'ɾˈaw']",kwa.dɾi.la.te.ɾˈaw,1,ultima,la,te,ɾˈaw
quadrilátero,"['qua', 'dri', 'lá', 'te', 'ro']",qua·dri·lá·te·ro,nome masculino,"['kwa', 'dɾi', 'lˈa', 'te', 'ɾʊ']",kwa.dɾi.lˈa.te.ɾʊ,3,antepenultima,lˈa,te,ɾʊ
quadrilátero,"['qua', 'dri', 'lá', 'te', 'ro']",qua·dri·lá·te·ro,adjetivo,"['kwa', 'dɾi', 'lˈa', 'te', 'ɾʊ']",kwa.dɾi.lˈa.te.ɾʊ,3,antepenultima,lˈa,te,ɾʊ
quadrilha,"['qua', 'dri', 'lha']",qua·dri·lha,nome feminino,"['kwa', 'dɾˈi', 'ʎɐ']",kwa.dɾˈi.ʎɐ,2,penultima,kwa,dɾˈi,ʎɐ
quadrilhar,"['qua', 'dri', 'lhar']",qua·dri·lhar,verbo,"['kwa', 'dɾi', 'ʎˈa']",kwa.dɾi.ʎˈa,1,ultima,kwa,dɾi,ʎˈa
quadrilheiro,"['qua', 'dri', 'lhei', 'ro']",qua·dri·lhei·ro,nome masculino,"['kwa', 'dɾi', 'ʎˈej', 'ɾʊ']",kwa.dɾi.ʎˈej.ɾʊ,2,penultima,dɾi,ʎˈej,ɾʊ
quadrilheiro,"['qua', 'dri', 'lhei', 'ro']",qua·dri·lhei·ro,adjetivo,"['kwa', 'dɾi', 'ʎˈej', 'ɾʊ']",kwa.dɾi.ʎˈej.ɾʊ,2,penultima,dɾi,ʎˈej,ɾʊ
quadrimestral,"['qua', 'dri', 'mes', 'tral']",qua·dri·mes·tral,adjetivo,"['kwa', 'dɾĩ', 'meʃ', 'tɾˈaw']",kwa.dɾĩ.meʃ.tɾˈaw,1,ultima,dɾĩ,meʃ,tɾˈaw
quadrimestralmente,"['qua', 'dri', 'mes', 'tral', 'men', 'te']",qua·dri·mes·tral·men·te,advérbio,"['kwa', 'dɾĩ', 'meʃ', 'tɾaw', 'mˈẽ', 'tʃɪ']",kwa.dɾĩ.meʃ.tɾaw.mˈẽ.tʃɪ,2,penultima,tɾaw,mˈẽ,tʃɪ
quadrimestre,"['qua', 'dri', 'mes', 'tre']",qua·dri·mes·tre,nome masculino,"['kwa', 'dɾĩ', 'mˈɛʃ', 'tɾɪ']",kwa.dɾĩ.mˈɛʃ.tɾɪ,2,penultima,dɾĩ,mˈɛʃ,tɾɪ
quadrimotor,"['qua', 'dri', 'mo', 'tor']",qua·dri·mo·tor,nome masculino,"['kwa', 'dɾĩ', 'mo', 'tˈo']",kwa.dɾĩ.mo.tˈo,1,ultima,dɾĩ,mo,tˈo
quadrimotor,"['qua', 'dri', 'mo', 'tor']",qua·dri·mo·tor,adjetivo,"['kwa', 'dɾĩ', 'mo', 'tˈo']",kwa.dɾĩ.mo.tˈo,1,ultima,dɾĩ,mo,tˈo
quadripartido,"['qua', 'dri', 'par', 'ti', 'do']",qua·dri·par·ti·do,adjetivo,"['kwa', 'dɾi', 'pah', 'tʃˈi', 'dʊ']",kwa.dɾi.pah.tʃˈi.dʊ,2,penultima,pah,tʃˈi,dʊ
quadro,"['qua', 'dro']",qua·dro,nome masculino,"['kwˈa', 'dɾʊ']",kwˈa.dɾʊ,2,penultima,,kwˈa,dɾʊ
quadrúpede,"['qua', 'drú', 'pe', 'de']",qua·drú·pe·de,nome masculino,"['kwa', 'dɾˈu', 'pe', 'dʒɪ ou kwa', 'dɾˈu', 'pe', 'dʒɪ']",kwa.dɾˈu.pe.dʒɪ ou kwa.dɾˈu.pe.dʒɪ,3,antepenultima,dɾˈu,pe,dʒɪ
quadrúpede,"['qua', 'drú', 'pe', 'de']",qua·drú·pe·de,adjetivo,"['kwa', 'dɾˈu', 'pe', 'dʒɪ']",kwa.dɾˈu.pe.dʒɪ,3,antepenultima,dɾˈu,pe,dʒɪ
quadruplar,"['qua', 'dru', 'plar']",qua·dru·plar,verbo,"['kwa', 'dɾu', 'plˈa']",kwa.dɾu.plˈa,1,ultima,kwa,dɾu,plˈa
quadruplicação,"['qua', 'dru', 'pli', 'ca', 'ção']",qua·dru·pli·ca·ção,nome feminino,"['kwa', 'dɾu', 'pli', 'ka', 'sˈɐ̃w']",kwa.dɾu.pli.ka.sˈɐ̃w,1,ultima,pli,ka,sˈɐ̃w
quadruplicar,"['qua', 'dru', 'pli', 'car']",qua·dru·pli·car,verbo,"['kwa', 'dɾu', 'pli', 'kˈa']",kwa.dɾu.pli.kˈa,1,ultima,dɾu,pli,kˈa
quádruplo,"['quá', 'dru', 'plo']",quá·dru·plo,número,"['kwˈa', 'dɾu', 'plʊ']",kwˈa.dɾu.plʊ,3,antepenultima,kwˈa,dɾu,plʊ
quádruplo,"['quá', 'dru', 'plo']",quá·dru·plo,nome masculino,"['kwˈa', 'dɾu', 'plʊ']",kwˈa.dɾu.plʊ,3,antepenultima,kwˈa,dɾu,plʊ
quádruplo,"['quá', 'dru', 'plo']",quá·dru·plo,adjetivo,"['kwˈa', 'dɾu', 'plʊ']",kwˈa.dɾu.plʊ,3,antepenultima,kwˈa,dɾu,plʊ
qual,['qual'],qual,pronome,['kwˈaw'],kwˈaw,1,ultima,,,kwˈaw
qual,['qual'],qual,artigo,['kwˈaw'],kwˈaw,1,ultima,,,kwˈaw
qual,['qual'],qual,pronome,['kwˈaw'],kwˈaw,1,ultima,,,kwˈaw
qual,['qual'],qual,conjunção,['kwˈaw'],kwˈaw,1,ultima,,,kwˈaw
qual,['qual'],qual,interjeição,['kwˈaw'],kwˈaw,1,ultima,,,kwˈaw
