palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
rã,['rã'],rã,nome feminino,['ɦˈɐ̃'],ɦˈɐ̃,1,ultima,,,ɦˈɐ̃
rabaça,"['ra', 'ba', 'ça']",ra·ba·ça,nome feminino,"['ɦa', 'bˈa', 'sɐ']",ɦa.bˈa.sɐ,2,penultima,ɦa,bˈa,sɐ
rabaçal,"['ra', 'ba', 'çal']",ra·ba·çal,nome masculino,"['ɦa', 'ba', 'sˈaw']",ɦa.ba.sˈaw,1,ultima,ɦa,ba,sˈaw
rabaçal,"['ra', 'ba', 'çal']",ra·ba·çal,adjetivo,"['ɦa', 'ba', 'sˈaw']",ɦa.ba.sˈaw,1,ultima,ɦa,ba,sˈaw
rabada,"['ra', 'ba', 'da']",ra·ba·da,nome feminino,"['ɦa', 'bˈa', 'dɐ']",ɦa.bˈa.dɐ,2,penultima,ɦa,bˈa,dɐ
rabado,"['ra', 'ba', 'do']",ra·ba·do,adjetivo,"['ɦa', 'bˈa', 'dʊ']",ɦa.bˈa.dʊ,2,penultima,ɦa,bˈa,dʊ
rabanada,"['ra', 'ba', 'na', 'da']",ra·ba·na·da,nome feminino,"['ɦa', 'bã', 'nˈa', 'dɐ']",ɦa.bã.nˈa.dɐ,2,penultima,bã,nˈa,dɐ
rabanal,"['ra', 'ba', 'nal']",ra·ba·nal,nome masculino,"['ɦa', 'bã', 'nˈaw']",ɦa.bã.nˈaw,1,ultima,ɦa,bã,nˈaw
rabanar,"['ra', 'ba', 'nar']",ra·ba·nar,verbo,"['ɦa', 'bã', 'nˈa']",ɦa.bã.nˈa,1,ultima,ɦa,bã,nˈa
rabanete,"['ra', 'ba', 'ne', 'te']",ra·ba·ne·te,nome masculino,"['ɦa', 'bã', 'nˈe', 'tʃɪ']",ɦa.bã.nˈe.tʃɪ,2,penultima,bã,nˈe,tʃɪ
rábano,"['rá', 'ba', 'no']",rá·ba·no,nome masculino,"['ɦˈa', 'bã', 'nʊ']",ɦˈa.bã.nʊ,3,antepenultima,ɦˈa,bã,nʊ
