palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
sã,['sã'],sã,nome feminino,['sˈɐ̃'],sˈɐ̃,1,ultima,,,sˈɐ̃
saariano,"['sa', 'a', 'ri', 'a', 'no']",sa·a·ri·a·no,adjetivo,"['sa', 'a', 'ɾi', 'ˈɐ̃', 'nʊ']",sa.a.ɾi.ˈɐ̃.nʊ,2,penultima,ɾi,ˈɐ̃,nʊ
saariano,"['sa', 'a', 'ri', 'a', 'no']",sa·a·ri·a·no,nome masculino,"['sa', 'a', 'ɾi', 'ˈɐ̃', 'nʊ']",sa.a.ɾi.ˈɐ̃.nʊ,2,penultima,ɾi,ˈɐ̃,nʊ
saba,"['sa', 'ba']",sa·ba,nome feminino,"['sˈa', 'bɐ']",sˈa.bɐ,2,penultima,,sˈa,bɐ
sábado,"['sá', 'ba', 'do']",sá·ba·do,nome masculino,"['sˈa', 'ba', 'dʊ']",sˈa.ba.dʊ,3,antepenultima,sˈa,ba,dʊ
sabão,"['sa', 'bão']",sa·bão,nome masculino,"['sa', 'bˈɐ̃w']",sa.bˈɐ̃w,1,ultima,,sa,bˈɐ̃w
sabat,"['sa', 'bat']",sa·bat,nome masculino,"['sa', 'bˈat']",sa.bˈat,1,ultima,,sa,bˈat
sabateno,"['sa', 'ba', 'te', 'no']",sa·ba·te·no,adjetivo,"['sa', 'ba', 'tˈẽ', 'nʊ']",sa.ba.tˈẽ.nʊ,2,penultima,ba,tˈẽ,nʊ
sabático,"['sa', 'bá', 'ti', 'co']",sa·bá·ti·co,adjetivo,"['sa', 'bˈa', 'tʃi', 'kʊ']",sa.bˈa.tʃi.kʊ,3,antepenultima,bˈa,tʃi,kʊ
sabatina,"['sa', 'ba', 'ti', 'na']",sa·ba·ti·na,nome feminino,"['sa', 'ba', 'tʃˈĩ', 'nɐ']",sa.ba.tʃˈĩ.nɐ,2,penultima,ba,tʃˈĩ,nɐ
sabatinar,"['sa', 'ba', 'ti', 'nar']",sa·ba·ti·nar,verbo,"['sa', 'ba', 'tʃĩ', 'nˈa']",sa.ba.tʃĩ.nˈa,1,ultima,ba,tʃĩ,nˈa
sabatino,"['sa', 'ba', 'ti', 'no']",sa·ba·ti·no,adjetivo,"['sa', 'ba', 'tʃˈĩ', 'nʊ']",sa.ba.tʃˈĩ.nʊ,2,penultima,ba,tʃˈĩ,nʊ
sabatino,"['sa', 'ba', 'ti', 'no']",sa·ba·ti·no,nome masculino,"['sa', 'ba', 'tʃˈĩ', 'nʊ']",sa.ba.tʃˈĩ.nʊ,2,penultima,ba,tʃˈĩ,nʊ
sabe,"['sa', 'be']",sa·be,adjetivo,"['sˈa', 'bɪ']",sˈa.bɪ,2,penultima,,sˈa,bɪ
sabe,"['sa', 'be']",sa·be,advérbio,"['sˈa', 'bɪ']",sˈa.bɪ,2,penultima,,sˈa,bɪ
sabe,"['sa', 'be']",sa·be,nome masculino,"['sˈa', 'bɪ']",sˈa.bɪ,2,penultima,,sˈa,bɪ
sabedor,"['sa', 'be', 'dor']",sa·be·dor,adjetivo,"['sa', 'be', 'dˈo']",sa.be.dˈo,1,ultima,sa,be,dˈo
sabedor,"['sa', 'be', 'dor']",sa·be·dor,nome masculino,"['sa', 'be', 'dˈo']",sa.be.dˈo,1,ultima,sa,be,dˈo
sabedora,"['sa', 'be', 'do', 'ra']",sa·be·do·ra,nome feminino,"['sa', 'be', 'dˈo', 'ɾɐ']",sa.be.dˈo.ɾɐ,2,penultima,be,dˈo,ɾɐ
sabedoramente,"['sa', 'be', 'do', 'ra', 'men', 'te']",sa·be·do·ra·men·te,advérbio,"['sa', 'be', 'do', 'ɾã', 'mˈẽ', 'tʃɪ']",sa.be.do.ɾã.mˈẽ.tʃɪ,2,penultima,ɾã,mˈẽ,tʃɪ
sabedoria,"['sa', 'be', 'do', 'ri', 'a']",sa·be·do·ri·a,nome feminino,"['sa', 'be', 'do', 'ɾˈi', 'ɐ']",sa.be.do.ɾˈi.ɐ,2,penultima,do,ɾˈi,ɐ
sabença,"['sa', 'ben', 'ça']",sa·ben·ça,nome feminino,"['sa', 'bˈẽ', 'sɐ']",sa.bˈẽ.sɐ,2,penultima,sa,bˈẽ,sɐ
saber,"['sa', 'ber']",sa·ber,verbo,"['sa', 'bˈe']",sa.bˈe,1,ultima,,sa,bˈe
saber,"['sa', 'ber']",sa·ber,nome masculino,"['sa', 'bˈe']",sa.bˈe,1,ultima,,sa,bˈe
saber,"['sa', 'ber']",sa·ber,verbo,"['sa', 'bˈe']",sa.bˈe,1,ultima,,sa,bˈe
saber-fazer,"['sa', 'ber', 'fa', 'zer']",sa·ber-fa·zer,nome masculino,"['sa', 'bˌeɾ', 'fa', 'zˈe']",sa.bˌeɾ.fa.zˈe,1,ultima,bˌeɾ,fa,zˈe
sabiá,"['sa', 'bi', 'á']",sa·bi·á,nome masculino,"['sa', 'bi', 'ˈa']",sa.bi.ˈa,1,ultima,sa,bi,ˈa
sábia,"['sá', 'bi', 'a']",sá·bi·a,nome feminino,"['sˈa', 'bjɐ']",sˈa.bjɐ,3,antepenultima,,sˈa,bjɐ
sabiamente,"['sa', 'bi', 'a', 'men', 'te']",sa·bi·a·men·te,advérbio,"['sa', 'bi', 'ã', 'mˈẽ', 'tʃɪ']",sa.bi.ã.mˈẽ.tʃɪ,2,penultima,ã,mˈẽ,tʃɪ
sabichão,"['sa', 'bi', 'chão']",sa·bi·chão,adjetivo,"['sa', 'bi', 'ʃˈɐ̃w']",sa.bi.ʃˈɐ̃w,1,ultima,sa,bi,ʃˈɐ̃w
sabichão,"['sa', 'bi', 'chão']",sa·bi·chão,nome masculino,"['sa', 'bi', 'ʃˈɐ̃w']",sa.bi.ʃˈɐ̃w,1,ultima,sa,bi,ʃˈɐ̃w
sabichona,"['sa', 'bi', 'cho', 'na']",sa·bi·cho·na,nome feminino,"['sa', 'bi', 'ʃˈõ', 'nɐ']",sa.bi.ʃˈõ.nɐ,2,penultima,bi,ʃˈõ,nɐ
sabida,"['sa', 'bi', 'da']",sa·bi·da,nome feminino,"['sa', 'bˈi', 'dɐ']",sa.bˈi.dɐ,2,penultima,sa,bˈi,dɐ
sabidamente,"['sa', 'bi', 'da', 'men', 'te']",sa·bi·da·men·te,advérbio,"['sa', 'bi', 'dã', 'mˈẽ', 'tʃɪ']",sa.bi.dã.mˈẽ.tʃɪ,2,penultima,dã,mˈẽ,tʃɪ
sabidas,"['sa', 'bi', 'das']",sa·bi·das,nome feminino,"['sa', 'bˈi', 'dɐʃ']",sa.bˈi.dɐʃ,2,penultima,sa,bˈi,dɐʃ
sabido,"['sa', 'bi', 'do']",sa·bi·do,adjetivo,"['sa', 'bˈi', 'dʊ']",sa.bˈi.dʊ,2,penultima,sa,bˈi,dʊ
sabido,"['sa', 'bi', 'do']",sa·bi·do,nome masculino,"['sa', 'bˈi', 'dʊ']",sa.bˈi.dʊ,2,penultima,sa,bˈi,dʊ
sabina,"['sa', 'bi', 'na']",sa·bi·na,nome feminino,"['sa', 'bˈĩ', 'nɐ']",sa.bˈĩ.nɐ,2,penultima,sa,bˈĩ,nɐ
sabino,"['sa', 'bi', 'no']",sa·bi·no,nome masculino,"['sa', 'bˈĩ', 'nʊ']",sa.bˈĩ.nʊ,2,penultima,sa,bˈĩ,nʊ
sabino,"['sa', 'bi', 'no']",sa·bi·no,adjetivo,"['sa', 'bˈĩ', 'nʊ']",sa.bˈĩ.nʊ,2,penultima,sa,bˈĩ,nʊ
sábio,"['sá', 'bi', 'o']",sá·bi·o,nome masculino,"['sˈa', 'bjʊ']",sˈa.bjʊ,3,antepenultima,,sˈa,bjʊ
sábio,"['sá', 'bi', 'o']",sá·bi·o,adjetivo,"['sˈa', 'bjʊ']",sˈa.bjʊ,3,antepenultima,,sˈa,bjʊ
sable,"['sa', 'ble']",sa·ble,nome masculino,"['sˈa', 'blɪ']",sˈa.blɪ,2,penultima,,sˈa,blɪ
saboaria,"['sa', 'bo', 'a', 'ri', 'a']",sa·bo·a·ri·a,nome feminino,"['sa', 'bo', 'a', 'ɾˈi', 'ɐ']",sa.bo.a.ɾˈi.ɐ,2,penultima,a,ɾˈi,ɐ
