palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
tá,['tá'],tá,interjeição,['tˈa'],tˈa,1,ultima,,,tˈa
taba,"['ta', 'ba']",ta·ba,nome feminino,"['tˈa', 'bɐ']",tˈa.bɐ,2,penultima,,tˈa,bɐ
tabacaria,"['ta', 'ba', 'ca', 'ri', 'a']",ta·ba·ca·ri·a,nome feminino,"['ta', 'ba', 'ka', 'ɾˈi', 'ɐ']",ta.ba.ka.ɾˈi.ɐ,2,penultima,ka,ɾˈi,ɐ
tabaco,"['ta', 'ba', 'co']",ta·ba·co,nome masculino,"['ta', 'bˈa', 'kʊ']",ta.bˈa.kʊ,2,penultima,ta,bˈa,kʊ
tabaco,"['ta', 'ba', 'co']",ta·ba·co,adjetivo,"['ta', 'bˈa', 'kʊ']",ta.bˈa.kʊ,2,penultima,ta,bˈa,kʊ
tabagismo,"['ta', 'ba', 'gis', 'mo']",ta·ba·gis·mo,nome masculino,"['ta', 'ba', 'ʒˈiʒ', 'mʊ']",ta.ba.ʒˈiʒ.mʊ,2,penultima,ba,ʒˈiʒ,mʊ
tabagista,"['ta', 'ba', 'gis', 'ta']",ta·ba·gis·ta,nome masculino,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",ta.ba.ʒˈiʃ.tɐ,2,penultima,ba,ʒˈiʃ,tɐ
tabagista,"['ta', 'ba', 'gis', 'ta']",ta·ba·gis·ta,adjetivo,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",ta.ba.ʒˈiʃ.tɐ,2,penultima,ba,ʒˈiʃ,tɐ
tabagista,"['ta', 'ba', 'gis', 'ta']",ta·ba·gis·ta,nome feminino,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",ta.ba.ʒˈiʃ.tɐ,2,penultima,ba,ʒˈiʃ,tɐ
tabagístico,"['ta', 'ba', 'gís', 'ti', 'co']",ta·ba·gís·ti·co,adjetivo,"['ta', 'ba', 'ʒˈiʃ', 'tʃi', 'kʊ']",ta.ba.ʒˈiʃ.tʃi.kʊ,3,antepenultima,ʒˈiʃ,tʃi,kʊ
tabanca,"['ta', 'ban', 'ca']",ta·ban·ca,nome feminino,"['ta', 'bˈɐ̃', 'kɐ']",ta.bˈɐ̃.kɐ,2,penultima,ta,bˈɐ̃,kɐ
tabaqueira,"['ta', 'ba', 'quei', 'ra']",ta·ba·quei·ra,nome feminino,"['ta', 'ba', 'kˈej', 'ɾɐ']",ta.ba.kˈej.ɾɐ,2,penultima,ba,kˈej,ɾɐ
tabaqueiro,"['ta', 'ba', 'quei', 'ro']",ta·ba·quei·ro,nome masculino,"['ta', 'ba', 'kˈej', 'ɾʊ']",ta.ba.kˈej.ɾʊ,2,penultima,ba,kˈej,ɾʊ
tabaqueiro,"['ta', 'ba', 'quei', 'ro']",ta·ba·quei·ro,adjetivo,"['ta', 'ba', 'kˈej', 'ɾʊ']",ta.ba.kˈej.ɾʊ,2,penultima,ba,kˈej,ɾʊ
tabatinga,"['ta', 'ba', 'tin', 'ga']",ta·ba·tin·ga,nome feminino,"['ta', 'ba', 'tʃˈĩ', 'gɐ']",ta.ba.tʃˈĩ.gɐ,2,penultima,ba,tʃˈĩ,gɐ
tabefe,"['ta', 'be', 'fe']",ta·be·fe,nome masculino,"['ta', 'bˈɛ', 'fɪ']",ta.bˈɛ.fɪ,2,penultima,ta,bˈɛ,fɪ
tabela,"['ta', 'be', 'la']",ta·be·la,nome feminino,"['ta', 'bˈɛ', 'lɐ']",ta.bˈɛ.lɐ,2,penultima,ta,bˈɛ,lɐ
tabelado,"['ta', 'be', 'la', 'do']",ta·be·la·do,adjetivo,"['ta', 'be', 'lˈa', 'dʊ']",ta.be.lˈa.dʊ,2,penultima,be,lˈa,dʊ
tabelar,"['ta', 'be', 'lar']",ta·be·lar,verbo,"['ta', 'be', 'lˈa']",ta.be.lˈa,1,ultima,ta,be,lˈa
tabelar,"['ta', 'be', 'lar']",ta·be·lar,adjetivo,"['ta', 'be', 'lˈa']",ta.be.lˈa,1,ultima,ta,be,lˈa
tabelião,"['ta', 'be', 'li', 'ão']",ta·be·li·ão,nome masculino,"['ta', 'be', 'li', 'ˈɐ̃w']",ta.be.li.ˈɐ̃w,1,ultima,be,li,ˈɐ̃w
tabelião,"['ta', 'be', 'li', 'ão']",ta·be·li·ão,adjetivo,"['ta', 'be', 'li', 'ˈɐ̃w']",ta.be.li.ˈɐ̃w,1,ultima,be,li,ˈɐ̃w
tabelinha,"['ta', 'be', 'li', 'nha']",ta·be·li·nha,nome feminino,"['ta', 'be', 'lˈĩ', 'ɲɐ']",ta.be.lˈĩ.ɲɐ,2,penultima,be,lˈĩ,ɲɐ
taberna,"['ta', 'ber', 'na']",ta·ber·na,nome feminino,"['ta', 'bˈɛɦ', 'nɐ']",ta.bˈɛɦ.nɐ,2,penultima,ta,bˈɛɦ,nɐ
tabernáculo,"['ta', 'ber', 'ná', 'cu', 'lo']",ta·ber·ná·cu·lo,nome masculino,"['ta', 'beɦ', 'nˈa', 'ku', 'lʊ']",ta.beɦ.nˈa.ku.lʊ,3,antepenultima,nˈa,ku,lʊ
taberneira,"['ta', 'ber', 'nei', 'ra']",ta·ber·nei·ra,nome feminino,"['ta', 'beɦ', 'nˈej', 'ɾɐ']",ta.beɦ.nˈej.ɾɐ,2,penultima,beɦ,nˈej,ɾɐ
taberneiro,"['ta', 'ber', 'nei', 'ro']",ta·ber·nei·ro,nome masculino,"['ta', 'beɦ', 'nˈej', 'ɾʊ']",ta.beɦ.nˈej.ɾʊ,2,penultima,beɦ,nˈej,ɾʊ
taberneiro,"['ta', 'ber', 'nei', 'ro']",ta·ber·nei·ro,adjetivo,"['ta', 'beɦ', 'nˈej', 'ɾʊ']",ta.beɦ.nˈej.ɾʊ,2,penultima,beɦ,nˈej,ɾʊ
tabicar,"['ta', 'bi', 'car']",ta·bi·car,verbo,"['ta', 'bi', 'kˈa']",ta.bi.kˈa,1,ultima,ta,bi,kˈa
tabique,"['ta', 'bi', 'que']",ta·bi·que,nome masculino,"['ta', 'bˈi', 'kɪ']",ta.bˈi.kɪ,2,penultima,ta,bˈi,kɪ
tabla,"['ta', 'bla']",ta·bla,nome feminino,"['tˈa', 'blɐ']",tˈa.blɐ,2,penultima,,tˈa,blɐ
tablado,"['ta', 'bla', 'do']",ta·bla·do,nome masculino,"['ta', 'blˈa', 'dʊ']",ta.blˈa.dʊ,2,penultima,ta,blˈa,dʊ
tablete,"['ta', 'ble', 'te']",ta·ble·te,nome feminino,"['ta', 'blˈɛ', 'tʃɪ']",ta.blˈɛ.tʃɪ,2,penultima,ta,blˈɛ,tʃɪ
tablier,"['ta', 'blier']",ta·blier,nome masculino,[''],,1,ultima,,,
tabloide,"['ta', 'bloi', 'de']",ta·bloi·de,adjetivo,"['ta', 'blˈɔj', 'dʒɪ']",ta.blˈɔj.dʒɪ,2,penultima,ta,blˈɔj,dʒɪ
tabloide,"['ta', 'bloi', 'de']",ta·bloi·de,nome masculino,"['ta', 'blˈɔj', 'dʒɪ']",ta.blˈɔj.dʒɪ,2,penultima,ta,blˈɔj,dʒɪ
tabloidização,"['ta', 'bloi', 'di', 'za', 'ção']",ta·bloi·di·za·ção,nome feminino,"['ta', 'blɔj', 'dʒi', 'za', 'sˈɐ̃w']",ta.blɔj.dʒi.za.sˈɐ̃w,1,ultima,dʒi,za,sˈɐ̃w
tabo,"['ta', 'bo']",ta·bo,adjetivo,"['tˈa', 'bʊ']",tˈa.bʊ,2,penultima,,tˈa,bʊ
tabu,"['ta', 'bu']",ta·bu,adjetivo,"['ta', 'bˈu']",ta.bˈu,1,ultima,,ta,bˈu
tabu,"['ta', 'bu']",ta·bu,nome masculino,"['ta', 'bˈu']",ta.bˈu,1,ultima,,ta,bˈu
tabua,"['ta', 'bu', 'a']",ta·bu·a,nome feminino,"['ta', 'bˈu', 'ɐ']",ta.bˈu.ɐ,2,penultima,ta,bˈu,ɐ
tábua,"['tá', 'bu', 'a']",tá·bu·a,nome feminino,"['tˈa', 'bu', 'ɐ']",tˈa.bu.ɐ,3,antepenultima,tˈa,bu,ɐ
tabuada,"['ta', 'bu', 'a', 'da']",ta·bu·a·da,nome feminino,"['ta', 'bu', 'ˈa', 'dɐ']",ta.bu.ˈa.dɐ,2,penultima,bu,ˈa,dɐ
tabuado,"['ta', 'bu', 'a', 'do']",ta·bu·a·do,nome masculino,"['ta', 'bu', 'ˈa', 'dʊ']",ta.bu.ˈa.dʊ,2,penultima,bu,ˈa,dʊ
tabuão,"['ta', 'bu', 'ão']",ta·bu·ão,nome masculino,"['ta', 'bu', 'ˈɐ̃w']",ta.bu.ˈɐ̃w,1,ultima,ta,bu,ˈɐ̃w
tabuense,"['ta', 'bu', 'en', 'se']",ta·bu·en·se,adjetivo,"['ta', 'bu', 'ˈẽ', 'sɪ']",ta.bu.ˈẽ.sɪ,2,penultima,bu,ˈẽ,sɪ
tabuense,"['ta', 'bu', 'en', 'se']",ta·bu·en·se,nome masculino,"['ta', 'bu', 'ˈẽ', 'sɪ']",ta.bu.ˈẽ.sɪ,2,penultima,bu,ˈẽ,sɪ
tabuinha,"['ta', 'bu', 'i', 'nha']",ta·bu·i·nha,nome feminino,"['ta', 'bu', 'ˈĩ', 'ɲɐ']",ta.bu.ˈĩ.ɲɐ,2,penultima,bu,ˈĩ,ɲɐ
tabular,"['ta', 'bu', 'lar']",ta·bu·lar,verbo,"['ta', 'bu', 'lˈa']",ta.bu.lˈa,1,ultima,ta,bu,lˈa
