palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
u,['u'],u,advérbio,['ˈu'],ˈu,1,ultima,,,ˈu
úbere,"['ú', 'be', 're']",ú·be·re,adjetivo,"['ˈu', 'be', 'ɾɪ']",ˈu.be.ɾɪ,3,antepenultima,ˈu,be,ɾɪ
úbere,"['ú', 'be', 're']",ú·be·re,nome masculino,"['ˈu', 'be', 'ɾɪ']",ˈu.be.ɾɪ,3,antepenultima,ˈu,be,ɾɪ
ubérrimo,"['u', 'bér', 'ri', 'mo']",u·bér·ri·mo,adjetivo,"['u', 'bˈɛ', 'ɦĩ', 'mʊ']",u.bˈɛ.ɦĩ.mʊ,3,antepenultima,bˈɛ,ɦĩ,mʊ
ubi,"['u', 'bi']",u·bi,nome masculino,"['u', 'bˈi']",u.bˈi,1,ultima,,u,bˈi
ubiquamente,"['u', 'bi', 'qua', 'men', 'te']",u·bi·qua·men·te,advérbio,"['u', 'bi', 'kwã', 'mˈẽ', 'tʃɪ']",u.bi.kwã.mˈẽ.tʃɪ,2,penultima,kwã,mˈẽ,tʃɪ
ubiquidade,"['u', 'bi', 'qui', 'da', 'de']",u·bi·qui·da·de,nome feminino,"['u', 'bi', 'kwi', 'dˈa', 'dʒɪ']",u.bi.kwi.dˈa.dʒɪ,2,penultima,kwi,dˈa,dʒɪ
ubíquo,"['u', 'bí', 'quo']",u·bí·quo,adjetivo,"['u', 'bˈi', 'ku', 'ʊ']",u.bˈi.ku.ʊ,2,penultima,bˈi,ku,ʊ
ucha,"['u', 'cha']",u·cha,nome feminino,"['ˈu', 'ʃɐ']",ˈu.ʃɐ,2,penultima,,ˈu,ʃɐ
ucraniana,"['u', 'cra', 'ni', 'a', 'na']",u·cra·ni·a·na,nome feminino,"['u', 'kɾã', 'ni', 'ˈɐ̃', 'nɐ']",u.kɾã.ni.ˈɐ̃.nɐ,2,penultima,ni,ˈɐ̃,nɐ
ucraniano,"['u', 'cra', 'ni', 'a', 'no']",u·cra·ni·a·no,adjetivo,"['u', 'kɾã', 'ni', 'ˈɐ̃', 'nʊ']",u.kɾã.ni.ˈɐ̃.nʊ,2,penultima,ni,ˈɐ̃,nʊ
