palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
vaca,"['va', 'ca']",va·ca,nome feminino,"['vˈa', 'kɐ']",vˈa.kɐ,2,penultima,,vˈa,kɐ
vacada,"['va', 'ca', 'da']",va·ca·da,nome feminino,"['va', 'kˈa', 'dɐ']",va.kˈa.dɐ,2,penultima,va,kˈa,dɐ
vacante,"['va', 'can', 'te']",va·can·te,adjetivo,"['va', 'kˈɐ̃', 'tʃɪ']",va.kˈɐ̃.tʃɪ,2,penultima,va,kˈɐ̃,tʃɪ
vacar,"['va', 'car']",va·car,verbo,"['va', 'kˈa']",va.kˈa,1,ultima,,va,kˈa
vacaria,"['va', 'ca', 'ri', 'a']",va·ca·ri·a,nome feminino,"['va', 'ka', 'ɾˈi', 'ɐ']",va.ka.ɾˈi.ɐ,2,penultima,ka,ɾˈi,ɐ
vacatura,"['va', 'ca', 'tu', 'ra']",va·ca·tu·ra,nome feminino,"['va', 'ka', 'tˈu', 'ɾɐ']",va.ka.tˈu.ɾɐ,2,penultima,ka,tˈu,ɾɐ
vacilação,"['va', 'ci', 'la', 'ção']",va·ci·la·ção,nome feminino,"['va', 'si', 'la', 'sˈɐ̃w']",va.si.la.sˈɐ̃w,1,ultima,si,la,sˈɐ̃w
vacilante,"['va', 'ci', 'lan', 'te']",va·ci·lan·te,adjetivo,"['va', 'si', 'lˈɐ̃', 'tʃɪ']",va.si.lˈɐ̃.tʃɪ,2,penultima,si,lˈɐ̃,tʃɪ
vacilantemente,"['va', 'ci', 'lan', 'te', 'men', 'te']",va·ci·lan·te·men·te,advérbio,"['va', 'si', 'lɐ̃', 'tẽ', 'mˈẽ', 'tʃɪ']",va.si.lɐ̃.tẽ.mˈẽ.tʃɪ,2,penultima,tẽ,mˈẽ,tʃɪ
vacilar,"['va', 'ci', 'lar']",va·ci·lar,verbo,"['va', 'si', 'lˈa']",va.si.lˈa,1,ultima,va,si,lˈa
vacina,"['va', 'ci', 'na']",va·ci·na,nome feminino,"['va', 'sˈĩ', 'nɐ']",va.sˈĩ.nɐ,2,penultima,va,sˈĩ,nɐ
vacinação,"['va', 'ci', 'na', 'ção']",va·ci·na·ção,nome feminino,"['va', 'sĩ', 'na', 'sˈɐ̃w']",va.sĩ.na.sˈɐ̃w,1,ultima,sĩ,na,sˈɐ̃w
vacinado,"['va', 'ci', 'na', 'do']",va·ci·na·do,adjetivo,"['va', 'sĩ', 'nˈa', 'dʊ']",va.sĩ.nˈa.dʊ,2,penultima,sĩ,nˈa,dʊ
vacinal,"['va', 'ci', 'nal']",va·ci·nal,adjetivo,"['va', 'sĩ', 'nˈaw']",va.sĩ.nˈaw,1,ultima,va,sĩ,nˈaw
vacinar,"['va', 'ci', 'nar']",va·ci·nar,verbo,"['va', 'sĩ', 'nˈa']",va.sĩ.nˈa,1,ultima,va,sĩ,nˈa
vacuidade,"['va', 'cui', 'da', 'de']",va·cui·da·de,nome feminino,"['va', 'kuj', 'dˈa', 'dʒɪ']",va.kuj.dˈa.dʒɪ,2,penultima,kuj,dˈa,dʒɪ
vacum,"['va', 'cum']",va·cum,adjetivo,"['va', 'kˈũ']",va.kˈũ,1,ultima,,va,kˈũ
vacum,"['va', 'cum']",va·cum,nome masculino,"['va', 'kˈũ']",va.kˈũ,1,ultima,,va,kˈũ
vácuo,"['vá', 'cu', 'o']",vá·cu·o,adjetivo,"['vˈa', 'ku', 'ʊ']",vˈa.ku.ʊ,3,antepenultima,vˈa,ku,ʊ
vácuo,"['vá', 'cu', 'o']",vá·cu·o,nome masculino,"['vˈa', 'ku', 'ʊ']",vˈa.ku.ʊ,3,antepenultima,vˈa,ku,ʊ
vadia,"['va', 'di', 'a']",va·di·a,nome feminino,"['va', 'dʒˈi', 'ɐ']",va.dʒˈi.ɐ,2,penultima,va,dʒˈi,ɐ
vadiagem,"['va', 'di', 'a', 'gem']",va·di·a·gem,nome feminino,"['va', 'dʒi', 'ˈa', 'ʒẽj']",va.dʒi.ˈa.ʒẽj,2,penultima,dʒi,ˈa,ʒẽj
vadiamente,"['va', 'di', 'a', 'men', 'te']",va·di·a·men·te,advérbio,"['va', 'dʒi', 'ã', 'mˈẽ', 'tʃɪ']",va.dʒi.ã.mˈẽ.tʃɪ,2,penultima,ã,mˈẽ,tʃɪ
vadiar,"['va', 'di', 'ar']",va·di·ar,verbo,"['va', 'dʒi', 'ˈa']",va.dʒi.ˈa,1,ultima,va,dʒi,ˈa
vadio,"['va', 'di', 'o']",va·di·o,nome masculino,"['va', 'dʒˈi', 'ʊ']",va.dʒˈi.ʊ,2,penultima,va,dʒˈi,ʊ
vadio,"['va', 'di', 'o']",va·di·o,adjetivo,"['va', 'dʒˈi', 'ʊ']",va.dʒˈi.ʊ,2,penultima,va,dʒˈi,ʊ
vaga,"['va', 'ga']",va·ga,nome feminino,"['vˈa', 'gɐ']",vˈa.gɐ,2,penultima,,vˈa,gɐ
vagabunda,"['va', 'ga', 'bun', 'da']",va·ga·bun·da,nome feminino,"['va', 'ga', 'bˈũ', 'dɐ']",va.ga.bˈũ.dɐ,2,penultima,ga,bˈũ,dɐ
vagabundagem,"['va', 'ga', 'bun', 'da', 'gem']",va·ga·bun·da·gem,nome feminino,"['va', 'ga', 'bũ', 'dˈa', 'ʒẽj']",va.ga.bũ.dˈa.ʒẽj,2,penultima,bũ,dˈa,ʒẽj
vagabundar,"['va', 'ga', 'bun', 'dar']",va·ga·bun·dar,verbo,"['va', 'ga', 'bũ', 'dˈa']",va.ga.bũ.dˈa,1,ultima,ga,bũ,dˈa
vagabundear,"['va', 'ga', 'bun', 'de', 'ar']",va·ga·bun·de·ar,verbo,"['va', 'ga', 'bũ', 'dʒi', 'ˈa']",va.ga.bũ.dʒi.ˈa,1,ultima,bũ,dʒi,ˈa
vagabundo,"['va', 'ga', 'bun', 'do']",va·ga·bun·do,nome masculino,"['va', 'ga', 'bˈũ', 'dʊ']",va.ga.bˈũ.dʊ,2,penultima,ga,bˈũ,dʊ
vagabundo,"['va', 'ga', 'bun', 'do']",va·ga·bun·do,adjetivo,"['va', 'ga', 'bˈũ', 'dʊ']",va.ga.bˈũ.dʊ,2,penultima,ga,bˈũ,dʊ
vagalhão,"['va', 'ga', 'lhão']",va·ga·lhão,nome masculino,"['va', 'ga', 'ʎˈɐ̃w']",va.ga.ʎˈɐ̃w,1,ultima,va,ga,ʎˈɐ̃w
vagamente,"['va', 'ga', 'men', 'te']",va·ga·men·te,advérbio,"['va', 'gã', 'mˈẽ', 'tʃɪ']",va.gã.mˈẽ.tʃɪ,2,penultima,gã,mˈẽ,tʃɪ
vagamundo,"['va', 'ga', 'mun', 'do']",va·ga·mun·do,adjetivo,"['va', 'gã', 'mˈũ', 'dʊ']",va.gã.mˈũ.dʊ,2,penultima,gã,mˈũ,dʊ
vagamundo,"['va', 'ga', 'mun', 'do']",va·ga·mun·do,nome masculino,"['va', 'gã', 'mˈũ', 'dʊ']",va.gã.mˈũ.dʊ,2,penultima,gã,mˈũ,dʊ
vagão,"['va', 'gão']",va·gão,nome masculino,"['va', 'gˈɐ̃w']",va.gˈɐ̃w,1,ultima,,va,gˈɐ̃w
vagão-restaurante,"['va', 'gão', 'res', 'tau', 'ran', 'te']",va·gão-res·tau·ran·te,nome masculino,"['va', 'gˌɐ̃w', 'ɦeʃ', 'taw', 'ɾˈɐ̃', 'tʃɪ']",va.gˌɐ̃w.ɦeʃ.taw.ɾˈɐ̃.tʃɪ,2,penultima,taw,ɾˈɐ̃,tʃɪ
vagar,"['va', 'gar']",va·gar,verbo,"['va', 'gˈa']",va.gˈa,1,ultima,,va,gˈa
vagar,"['va', 'gar']",va·gar,nome masculino,"['va', 'gˈa']",va.gˈa,1,ultima,,va,gˈa
vagarosa,"['va', 'ga', 'ro', 'sa']",va·ga·ro·sa,nome feminino,"['va', 'ga', 'ɾˈɔ', 'zɐ']",va.ga.ɾˈɔ.zɐ,2,penultima,ga,ɾˈɔ,zɐ
vagarosamente,"['va', 'ga', 'ro', 'sa', 'men', 'te']",va·ga·ro·sa·men·te,advérbio,"['va', 'ga', 'ɾo', 'zã', 'mˈẽ', 'tʃɪ']",va.ga.ɾo.zã.mˈẽ.tʃɪ,2,penultima,zã,mˈẽ,tʃɪ
vagaroso,"['va', 'ga', 'ro', 'so']",va·ga·ro·so,adjetivo,"['va', 'ga', 'ɾˈo', 'zʊ']",va.ga.ɾˈo.zʊ,2,penultima,ga,ɾˈo,zʊ
vagem,"['va', 'gem']",va·gem,nome feminino,"['vˈa', 'ʒẽj']",vˈa.ʒẽj,2,penultima,,vˈa,ʒẽj
vagido,"['va', 'gi', 'do']",va·gi·do,nome masculino,"['va', 'ʒˈi', 'dʊ']",va.ʒˈi.dʊ,2,penultima,va,ʒˈi,dʊ
vagina,"['va', 'gi', 'na']",va·gi·na,nome feminino,"['va', 'ʒˈĩ', 'nɐ']",va.ʒˈĩ.nɐ,2,penultima,va,ʒˈĩ,nɐ
vaginal,"['va', 'gi', 'nal']",va·gi·nal,adjetivo,"['va', 'ʒĩ', 'nˈaw']",va.ʒĩ.nˈaw,1,ultima,va,ʒĩ,nˈaw
vaginismo,"['va', 'gi', 'nis', 'mo']",va·gi·nis·mo,nome masculino,"['va', 'ʒĩ', 'nˈiʒ', 'mʊ']",va.ʒĩ.nˈiʒ.mʊ,2,penultima,ʒĩ,nˈiʒ,mʊ
vagir,"['va', 'gir']",va·gir,verbo,"['va', 'ʒˈi']",va.ʒˈi,1,ultima,,va,ʒˈi
vago,"['va', 'go']",va·go,adjetivo,"['vˈa', 'gʊ']",vˈa.gʊ,2,penultima,,vˈa,gʊ
vago,"['va', 'go']",va·go,nome masculino,"['vˈa', 'gʊ']",vˈa.gʊ,2,penultima,,vˈa,gʊ
vagoneta,"['va', 'go', 'ne', 'ta']",va·go·ne·ta,nome feminino,"['va', 'gõ', 'nˈe', 'tɐ']",va.gõ.nˈe.tɐ,2,penultima,gõ,nˈe,tɐ
vagonete,"['va', 'go', 'ne', 'te']",va·go·ne·te,nome masculino,"['va', 'gõ', 'nˈɛ', 'tʃɪ']",va.gõ.nˈɛ.tʃɪ,2,penultima,gõ,nˈɛ,tʃɪ
vaguear,"['va', 'gue', 'ar']",va·gue·ar,verbo,"['va', 'gi', 'ˈa']",va.gi.ˈa,1,ultima,va,gi,ˈa
vagueira,"['va', 'guei', 'ra']",va·guei·ra,nome feminino,"['va', 'gˈej', 'ɾɐ']",va.gˈej.ɾɐ,2,penultima,va,gˈej,ɾɐ
vagueiro,"['va', 'guei', 'ro']",va·guei·ro,adjetivo,"['va', 'gˈej', 'ɾʊ']",va.gˈej.ɾʊ,2,penultima,va,gˈej,ɾʊ
vaguense,"['va', 'guen', 'se']",va·guen·se,adjetivo,"['va', 'gˈẽ', 'sɪ']",va.gˈẽ.sɪ,2,penultima,va,gˈẽ,sɪ
vaguense,"['va', 'guen', 'se']",va·guen·se,nome masculino,"['va', 'gˈẽ', 'sɪ ou va', 'gˈẽ', 'sɪ']",va.gˈẽ.sɪ ou va.gˈẽ.sɪ,2,penultima,sɪ ou va,gˈẽ,sɪ
vaguíssimo,"['va', 'guís', 'si', 'mo']",va·guís·si·mo,adjetivo,"['va', 'gˈi', 'sĩ', 'mʊ']",va.gˈi.sĩ.mʊ,3,antepenultima,gˈi,sĩ,mʊ
vai-não-vai,"['vai', 'não', 'vai']",vai-não-vai,advérbio,"['vˌaj', 'nɐ̃w', 'vˈaj']",vˌaj.nɐ̃w.vˈaj,1,ultima,vˌaj,nɐ̃w,vˈaj
vai-não-vai,"['vai', 'não', 'vai']",vai-não-vai,nome masculino,"['vˌaj', 'nɐ̃w', 'vˈaj']",vˌaj.nɐ̃w.vˈaj,1,ultima,vˌaj,nɐ̃w,vˈaj
vaia,"['vai', 'a']",vai·a,nome feminino,"['vˈaj', 'ɐ']",vˈaj.ɐ,2,penultima,,vˈaj,ɐ
vaiar,"['vai', 'ar']",vai·ar,verbo,"['vaj', 'ˈa']",vaj.ˈa,1,ultima,,vaj,ˈa
vaidade,"['vai', 'da', 'de']",vai·da·de,nome feminino,"['vaj', 'dˈa', 'dʒɪ']",vaj.dˈa.dʒɪ,2,penultima,vaj,dˈa,dʒɪ
vaidosa,"['vai', 'do', 'sa']",vai·do·sa,nome feminino,"['vaj', 'dˈɔ', 'zɐ']",vaj.dˈɔ.zɐ,2,penultima,vaj,dˈɔ,zɐ
vaidosamente,"['vai', 'do', 'sa', 'men', 'te']",vai·do·sa·men·te,advérbio,"['vaj', 'dɔ', 'zã', 'mˈẽ', 'tʃɪ']",vaj.dɔ.zã.mˈẽ.tʃɪ,2,penultima,zã,mˈẽ,tʃɪ
vaidoso,"['vai', 'do', 'so']",vai·do·so,nome masculino,"['vaj', 'dˈo', 'zʊ']",vaj.dˈo.zʊ,2,penultima,vaj,dˈo,zʊ
vaidoso,"['vai', 'do', 'so']",vai·do·so,adjetivo,"['vaj', 'dˈo', 'zʊ']",vaj.dˈo.zʊ,2,penultima,vaj,dˈo,zʊ
vairão,"['vai', 'rão']",vai·rão,nome masculino,"['vaj', 'ɾˈɐ̃w']",vaj.ɾˈɐ̃w,1,ultima,,vaj,ɾˈɐ̃w
vaivém,"['vai', 'vém']",vai·vém,nome masculino,"['vaj', 'vˈẽj']",vaj.vˈẽj,1,ultima,,vaj,vˈẽj
vala,"['va', 'la']",va·la,nome feminino,"['vˈa', 'lɐ']",vˈa.lɐ,2,penultima,,vˈa,lɐ
valada,"['va', 'la', 'da']",va·la·da,nome feminino,"['va', 'lˈa', 'dɐ']",va.lˈa.dɐ,2,penultima,va,lˈa,dɐ
valado,"['va', 'la', 'do']",va·la·do,adjetivo,"['va', 'lˈa', 'dʊ']",va.lˈa.dʊ,2,penultima,va,lˈa,dʊ
valado,"['va', 'la', 'do']",va·la·do,nome masculino,"['va', 'lˈa', 'dʊ']",va.lˈa.dʊ,2,penultima,va,lˈa,dʊ
valador,"['va', 'la', 'dor']",va·la·dor,adjetivo,"['va', 'la', 'dˈo']",va.la.dˈo,1,ultima,va,la,dˈo
valador,"['va', 'la', 'dor']",va·la·dor,nome masculino,"['va', 'la', 'dˈo']",va.la.dˈo,1,ultima,va,la,dˈo
valão,"['va', 'lão']",va·lão,nome masculino,"['va', 'lˈɐ̃w']",va.lˈɐ̃w,1,ultima,,va,lˈɐ̃w
valão,"['va', 'lão']",va·lão,adjetivo,"['va', 'lˈɐ̃w']",va.lˈɐ̃w,1,ultima,,va,lˈɐ̃w
valáquia,"['va', 'lá', 'qui', 'a']",va·lá·qui·a,nome feminino,"['va', 'lˈa', 'kjɐ']",va.lˈa.kjɐ,3,antepenultima,va,lˈa,kjɐ
valáquio,"['va', 'lá', 'qui', 'o']",va·lá·qui·o,nome masculino,"['va', 'lˈa', 'kjʊ']",va.lˈa.kjʊ,3,antepenultima,va,lˈa,kjʊ
valáquio,"['va', 'lá', 'qui', 'o']",va·lá·qui·o,adjetivo,"['va', 'lˈa', 'kjʊ']",va.lˈa.kjʊ,3,antepenultima,va,lˈa,kjʊ
valar,"['va', 'lar']",va·lar,verbo,"['va', 'lˈa']",va.lˈa,1,ultima,,va,lˈa
valar,"['va', 'lar']",va·lar,adjetivo,"['va', 'lˈa']",va.lˈa,1,ultima,,va,lˈa
valboense,"['val', 'bo', 'en', 'se']",val·bo·en·se,adjetivo,"['vaw', 'bo', 'ˈẽ', 'sɪ']",vaw.bo.ˈẽ.sɪ,2,penultima,bo,ˈẽ,sɪ
valboense,"['val', 'bo', 'en', 'se']",val·bo·en·se,nome masculino,"['vaw', 'bo', 'ˈẽ', 'sɪ ou vaw', 'bo', 'ˈẽ', 'sɪ']",vaw.bo.ˈẽ.sɪ ou vaw.bo.ˈẽ.sɪ,2,penultima,bo,ˈẽ,sɪ
valdense,"['val', 'den', 'se']",val·den·se,nome masculino,"['vaw', 'dˈẽ', 'sɪ']",vaw.dˈẽ.sɪ,2,penultima,vaw,dˈẽ,sɪ
