palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
wagneriana,"['wag', 'ne', 'ri', 'a', 'na']",wag·ne·ri·a·na,nome feminino,"['va', 'gĩ', 'ne', 'ɾi', 'ˈɐ̃', 'nɐ']",va.gĩ.ne.ɾi.ˈɐ̃.nɐ,2,penultima,ɾi,ˈɐ̃,nɐ
wagneriano,"['wag', 'ne', 'ri', 'a', 'no']",wag·ne·ri·a·no,nome masculino,"['va', 'gĩ', 'ne', 'ɾi', 'ˈɐ̃', 'nʊ']",va.gĩ.ne.ɾi.ˈɐ̃.nʊ,2,penultima,ɾi,ˈɐ̃,nʊ
wagneriano,"['wag', 'ne', 'ri', 'a', 'no']",wag·ne·ri·a·no,adjetivo,"['va', 'gĩ', 'ne', 'ɾi', 'ˈɐ̃', 'nʊ']",va.gĩ.ne.ɾi.ˈɐ̃.nʊ,2,penultima,ɾi,ˈɐ̃,nʊ
walkie-talkie,"['wal', 'kie', 'tal', 'kie']",wal·kie-tal·kie,nome masculino,[''],,0,,,,
warrant,"['war', 'rant']",war·rant,nome masculino,[''],,2,penultima,,,
washingtoniano,"['wa', 'shing', 'to', 'ni', 'a', 'no']",wa·shing·to·ni·a·no,adjetivo,"['wo', 'ʃĩ', 'gə', 'tõ', 'ni', 'ˈɐ̃', 'nʊ']",wo.ʃĩ.gə.tõ.ni.ˈɐ̃.nʊ,2,penultima,ni,ˈɐ̃,nʊ
washingtoniano,"['wa', 'shing', 'to', 'ni', 'a', 'no']",wa·shing·to·ni·a·no,nome masculino,"['wo', 'ʃĩ', 'gə', 'tõ', 'ni', 'ˈɐ̃', 'nʊ']",wo.ʃĩ.gə.tõ.ni.ˈɐ̃.nʊ,2,penultima,ni,ˈɐ̃,nʊ
watt,['watt'],watt,nome masculino,[''],,1,ultima,,,
web,['web'],web,nome feminino,[''],,1,ultima,,,
weber,"['we', 'ber']",we·ber,nome masculino,[''],,2,penultima,,,
weberiano,"['we', 'be', 'ri', 'a', 'no']",we·be·ri·a·no,adjetivo,"['wɛ', 'be', 'ɾi', 'ˈɐ̃', 'nʊ']",wɛ.be.ɾi.ˈɐ̃.nʊ,2,penultima,ɾi,ˈɐ̃,nʊ
western,"['wes', 'tern']",wes·tern,nome masculino,[''],,2,penultima,,,
whiskey,"['whis', 'key']",whis·key,nome masculino,[''],,2,penultima,,,
whisky,"['whis', 'ky']",whis·ky,nome masculino,[''],,2,penultima,,,
wilsoniano,"['wil', 'so', 'ni', 'a', 'no']",wil·so·ni·a·no,adjetivo,"['wiw', 'sõ', 'ni', 'ˈɐ̃', 'nʊ']",wiw.sõ.ni.ˈɐ̃.nʊ,2,penultima,ni,ˈɐ̃,nʊ
windsurf,"['wind', 'surf']",wind·surf,nome masculino,[''],,2,penultima,,,
windsurfista,"['wind', 'sur', 'fis', 'ta']",wind·sur·fis·ta,nome masculino,"['wĩnd', 'suh', 'fˈiʃ', 'tɐ']",wĩnd.suh.fˈiʃ.tɐ,2,penultima,suh,fˈiʃ,tɐ
windsurfista,"['wind', 'sur', 'fis', 'ta']",wind·sur·fis·ta,nome feminino,"['wĩnd', 'suh', 'fˈiʃ', 'tɐ']",wĩnd.suh.fˈiʃ.tɐ,2,penultima,suh,fˈiʃ,tɐ
won,['won'],won,nome masculino,[''],,1,ultima,,,
workshop,"['work', 'shop']",work·shop,nome masculino,[''],,1,ultima,,,
