palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
xá,['xá'],xá,nome masculino,['ʃˈa'],ʃˈa,1,ultima,,,ʃˈa
xabrega,"['xa', 'bre', 'ga']",xa·bre·ga,nome feminino,"['ʃa', 'bɾˈɛ', 'gɐ']",ʃa.bɾˈɛ.gɐ,2,penultima,ʃa,bɾˈɛ,gɐ
xabregas,"['xa', 'bre', 'gas']",xa·bre·gas,adjetivo,"['ʃa', 'bɾˈɛ', 'gɐʃ']",ʃa.bɾˈɛ.gɐʃ,2,penultima,ʃa,bɾˈɛ,gɐʃ
xácara,"['xá', 'ca', 'ra']",xá·ca·ra,nome feminino,"['ʃˈa', 'ka', 'ɾɐ']",ʃˈa.ka.ɾɐ,3,antepenultima,ʃˈa,ka,ɾɐ
xadrez,"['xa', 'drez']",xa·drez,nome masculino,"['ʃa', 'dɾˈeʃ']",ʃa.dɾˈeʃ,1,ultima,,ʃa,dɾˈeʃ
xadrezista,"['xa', 'dre', 'zis', 'ta']",xa·dre·zis·ta,nome masculino,"['ʃa', 'dɾe', 'zˈiʃ', 'tɐ ou ʃa', 'dɾe', 'zˈiʃ', 'tɐ']",ʃa.dɾe.zˈiʃ.tɐ ou ʃa.dɾe.zˈiʃ.tɐ,2,penultima,dɾe,zˈiʃ,tɐ
xaile,"['xai', 'le']",xai·le,nome masculino,"['ʃˈaj', 'lɪ']",ʃˈaj.lɪ,2,penultima,,ʃˈaj,lɪ
xale,"['xa', 'le']",xa·le,nome masculino,"['ʃˈa', 'lɪ']",ʃˈa.lɪ,2,penultima,,ʃˈa,lɪ
xamã,"['xa', 'mã']",xa·mã,nome masculino,"['ʃã', 'mˈɐ̃']",ʃã.mˈɐ̃,1,ultima,,ʃã,mˈɐ̃
xamane,"['xa', 'ma', 'ne']",xa·ma·ne,nome masculino,"['ʃã', 'mˈɐ̃', 'nɪ']",ʃã.mˈɐ̃.nɪ,2,penultima,ʃã,mˈɐ̃,nɪ
xamanismo,"['xa', 'ma', 'nis', 'mo']",xa·ma·nis·mo,nome masculino,"['ʃã', 'mã', 'nˈiʒ', 'mʊ']",ʃã.mã.nˈiʒ.mʊ,2,penultima,mã,nˈiʒ,mʊ
xamanístico,"['xa', 'ma', 'nís', 'ti', 'co']",xa·ma·nís·ti·co,adjetivo,"['ʃã', 'mã', 'nˈiʃ', 'tʃi', 'kʊ']",ʃã.mã.nˈiʃ.tʃi.kʊ,3,antepenultima,nˈiʃ,tʃi,kʊ
xangaiense,"['xan', 'gai', 'en', 'se']",xan·gai·en·se,adjetivo,"['ʃɐ̃', 'gaj', 'ˈẽ', 'sɪ']",ʃɐ̃.gaj.ˈẽ.sɪ,2,penultima,gaj,ˈẽ,sɪ
xangaiense,"['xan', 'gai', 'en', 'se']",xan·gai·en·se,nome masculino,"['ʃɐ̃', 'gaj', 'ˈẽ', 'sɪ ou ʃɐ̃', 'gaj', 'ˈẽ', 'sɪ']",ʃɐ̃.gaj.ˈẽ.sɪ ou ʃɐ̃.gaj.ˈẽ.sɪ,2,penultima,gaj,ˈẽ,sɪ
xantina,"['xan', 'ti', 'na']",xan·ti·na,nome feminino,"['ʃɐ̃', 'tʃˈĩ', 'nɐ']",ʃɐ̃.tʃˈĩ.nɐ,2,penultima,ʃɐ̃,tʃˈĩ,nɐ
xara,"['xa', 'ra']",xa·ra,nome feminino,"['ʃˈa', 'ɾɐ']",ʃˈa.ɾɐ,2,penultima,,ʃˈa,ɾɐ
xarém,"['xa', 'rém']",xa·rém,nome masculino,"['ʃa', 'ɾˈẽj']",ʃa.ɾˈẽj,1,ultima,,ʃa,ɾˈẽj
xaropada,"['xa', 'ro', 'pa', 'da']",xa·ro·pa·da,nome feminino,"['ʃa', 'ɾo', 'pˈa', 'dɐ']",ʃa.ɾo.pˈa.dɐ,2,penultima,ɾo,pˈa,dɐ
xaropar,"['xa', 'ro', 'par']",xa·ro·par,verbo,"['ʃa', 'ɾo', 'pˈa']",ʃa.ɾo.pˈa,1,ultima,ʃa,ɾo,pˈa
