palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
zabumba,"['za', 'bum', 'ba']",za·bum·ba,nome masculino,"['za', 'bˈũ', 'bɐ']",za.bˈũ.bɐ,2,penultima,za,bˈũ,bɐ
zabumbar,"['za', 'bum', 'bar']",za·bum·bar,verbo,"['za', 'bũ', 'bˈa']",za.bũ.bˈa,1,ultima,za,bũ,bˈa
zaga,"['za', 'ga']",za·ga,nome feminino,"['zˈa', 'gɐ']",zˈa.gɐ,2,penultima,,zˈa,gɐ
zagaia,"['za', 'gai', 'a']",za·gai·a,nome feminino,"['za', 'gˈaj', 'ɐ']",za.gˈaj.ɐ,2,penultima,za,gˈaj,ɐ
zagaiada,"['za', 'gai', 'a', 'da']",za·gai·a·da,nome feminino,"['za', 'gaj', 'ˈa', 'dɐ']",za.gaj.ˈa.dɐ,2,penultima,gaj,ˈa,dɐ
zagaiar,"['za', 'gai', 'ar']",za·gai·ar,verbo,"['za', 'gaj', 'ˈa']",za.gaj.ˈa,1,ultima,za,gaj,ˈa
zagal,"['za', 'gal']",za·gal,nome masculino,"['za', 'gˈaw']",za.gˈaw,1,ultima,,za,gˈaw
zagalote,"['za', 'ga', 'lo', 'te']",za·ga·lo·te,nome masculino,"['za', 'ga', 'lˈɔ', 'tʃɪ']",za.ga.lˈɔ.tʃɪ,2,penultima,ga,lˈɔ,tʃɪ
zagueiro,"['za', 'guei', 'ro']",za·guei·ro,nome masculino,"['za', 'gˈej', 'ɾʊ']",za.gˈej.ɾʊ,2,penultima,za,gˈej,ɾʊ
zaida,"['zai', 'da']",zai·da,nome feminino,"['zˈaj', 'dɐ']",zˈaj.dɐ,2,penultima,,zˈaj,dɐ
zaina,"['zai', 'na']",zai·na,nome feminino,"['zˈãj', 'nɐ']",zˈãj.nɐ,2,penultima,,zˈãj,nɐ
zaino,"['zai', 'no']",zai·no,nome masculino,"['zˈãj', 'nʊ']",zˈãj.nʊ,2,penultima,,zˈãj,nʊ
zaino,"['zai', 'no']",zai·no,adjetivo,"['zˈãj', 'nʊ']",zˈãj.nʊ,2,penultima,,zˈãj,nʊ
zaira,"['zai', 'ra']",zai·ra,nome feminino,"['zˈaj', 'ɾɐ']",zˈaj.ɾɐ,2,penultima,,zˈaj,ɾɐ
zaire,"['zai', 're']",zai·re,nome masculino,"['zˈaj', 'ɾɪ']",zˈaj.ɾɪ,2,penultima,,zˈaj,ɾɪ
zairense,"['zai', 'ren', 'se']",zai·ren·se,adjetivo,"['zaj', 'ɾˈẽ', 'sɪ']",zaj.ɾˈẽ.sɪ,2,penultima,zaj,ɾˈẽ,sɪ
zairense,"['zai', 'ren', 'se']",zai·ren·se,nome masculino,"['zaj', 'ɾˈẽ', 'sɪ']",zaj.ɾˈẽ.sɪ,2,penultima,zaj,ɾˈẽ,sɪ
zairense,"['zai', 'ren', 'se']",zai·ren·se,nome feminino,"['zaj', 'ɾˈẽ', 'sɪ']",zaj.ɾˈẽ.sɪ,2,penultima,zaj,ɾˈẽ,sɪ
zairota,"['zai', 'ro', 'ta']",zai·ro·ta,nome masculino,"['zaj', 'ɾˈɔ', 'tɐ']",zaj.ɾˈɔ.tɐ,2,penultima,zaj,ɾˈɔ,tɐ
zamba,"['zam', 'ba']",zam·ba,nome feminino,"['zˈɐ̃', 'bɐ']",zˈɐ̃.bɐ,2,penultima,,zˈɐ̃,bɐ
zambiana,"['zam', 'bi', 'a', 'na']",zam·bi·a·na,nome feminino,"['zɐ̃', 'bi', 'ˈɐ̃', 'nɐ']",zɐ̃.bi.ˈɐ̃.nɐ,2,penultima,bi,ˈɐ̃,nɐ
zambiano,"['zam', 'bi', 'a', 'no']",zam·bi·a·no,adjetivo,"['zɐ̃', 'bi', 'ˈɐ̃', 'nʊ']",zɐ̃.bi.ˈɐ̃.nʊ,2,penultima,bi,ˈɐ̃,nʊ
zambiano,"['zam', 'bi', 'a', 'no']",zam·bi·a·no,nome masculino,"['zɐ̃', 'bi', 'ˈɐ̃', 'nʊ']",zɐ̃.bi.ˈɐ̃.nʊ,2,penultima,bi,ˈɐ̃,nʊ
zambo,"['zam', 'bo']",zam·bo,adjetivo,"['zˈɐ̃', 'bʊ']",zˈɐ̃.bʊ,2,penultima,,zˈɐ̃,bʊ
zambra,"['zam', 'bra']",zam·bra,nome feminino,"['zˈɐ̃', 'bɾɐ']",zˈɐ̃.bɾɐ,2,penultima,,zˈɐ̃,bɾɐ
zambro,"['zam', 'bro']",zam·bro,adjetivo,"['zˈɐ̃', 'bɾʊ']",zˈɐ̃.bɾʊ,2,penultima,,zˈɐ̃,bɾʊ
zambujal,"['zam', 'bu', 'jal']",zam·bu·jal,nome masculino,"['zɐ̃', 'bu', 'ʒˈaw']",zɐ̃.bu.ʒˈaw,1,ultima,zɐ̃,bu,ʒˈaw
zambujeiro,"['zam', 'bu', 'jei', 'ro']",zam·bu·jei·ro,nome masculino,"['zɐ̃', 'bu', 'ʒˈej', 'ɾʊ']",zɐ̃.bu.ʒˈej.ɾʊ,2,penultima,bu,ʒˈej,ɾʊ
zambujo,"['zam', 'bu', 'jo']",zam·bu·jo,nome masculino,"['zɐ̃', 'bˈu', 'ʒʊ']",zɐ̃.bˈu.ʒʊ,2,penultima,zɐ̃,bˈu,ʒʊ
zampar,"['zam', 'par']",zam·par,verbo,"['zɐ̃', 'pˈa']",zɐ̃.pˈa,1,ultima,,zɐ̃,pˈa
zanga,"['zan', 'ga']",zan·ga,nome feminino,"['zˈɐ̃', 'gɐ']",zˈɐ̃.gɐ,2,penultima,,zˈɐ̃,gɐ
zangado,"['zan', 'ga', 'do']",zan·ga·do,adjetivo,"['zɐ̃', 'gˈa', 'dʊ']",zɐ̃.gˈa.dʊ,2,penultima,zɐ̃,gˈa,dʊ
zangão,"['zan', 'gão']",zan·gão,adjetivo,"['zɐ̃', 'gˈɐ̃w']",zɐ̃.gˈɐ̃w,1,ultima,,zɐ̃,gˈɐ̃w
zangão,"['zan', 'gão']",zan·gão,nome masculino,"['zɐ̃', 'gˈɐ̃w']",zɐ̃.gˈɐ̃w,1,ultima,,zɐ̃,gˈɐ̃w
zangar,"['zan', 'gar']",zan·gar,verbo,"['zɐ̃', 'gˈa']",zɐ̃.gˈa,1,ultima,,zɐ̃,gˈa
zanzibar,"['zan', 'zi', 'bar']",zan·zi·bar,adjetivo,"['zɐ̃', 'zi', 'bˈa']",zɐ̃.zi.bˈa,1,ultima,zɐ̃,zi,bˈa
