palavra,divisao,categoria,fonetica,tonic
cá,['cá'],nome masculino,['kˈa'],1
cã,['cã'],nome feminino,['kˈɐ̃'],1
cá,['cá'],advérbio,['kˈa'],1
ca,['ca'],conjunção,['kˈa'],1
cã,['cã'],nome masculino,['kˈɐ̃'],1
caba,"['ca', 'ba']",nome feminino,"['kˈa', 'bɐ']",2
cabaça,"['ca', 'ba', 'ça']",nome masculino,"['ka', 'bˈa', 'sɐ ou ka', 'bˈa', 'sɐ']",2
cabaceira,"['ca', 'ba', 'cei', 'ra']",nome feminino,"['ka', 'ba', 'sˈej', 'ɾɐ']",2
cabaceiro,"['ca', 'ba', 'cei', 'ro']",nome masculino,"['ka', 'ba', 'sˈej', 'ɾʊ']",2
cabacinha,"['ca', 'ba', 'ci', 'nha']",nome feminino,"['ka', 'ba', 'sˈĩ', 'ɲɐ']",2
cabaço,"['ca', 'ba', 'ço']",nome masculino,"['ka', 'bˈa', 'sʊ']",2
cabaia,"['ca', 'bai', 'a']",nome feminino,"['ka', 'bˈaj', 'ɐ']",2
cabal,"['ca', 'bal']",adjetivo,"['ka', 'bˈaw']",1
cabala,"['ca', 'ba', 'la']",nome feminino,"['ka', 'bˈa', 'lɐ']",2
cabala,"['ca', 'ba', 'la']",adjetivo,"['ka', 'bˈa', 'lɐ']",2
cabala,"['ca', 'ba', 'la']",nome masculino,"['ka', 'bˈa', 'lɐ']",2
cabalar,"['ca', 'ba', 'lar']",verbo,"['ka', 'ba', 'lˈa']",1
cabalista,"['ca', 'ba', 'lis', 'ta']",nome masculino,"['ka', 'ba', 'lˈiʃ', 'tɐ']",2
cabalista,"['ca', 'ba', 'lis', 'ta']",nome feminino,"['ka', 'ba', 'lˈiʃ', 'tɐ']",2
cabalisticamente,"['ca', 'ba', 'lis', 'ti', 'ca', 'men', 'te']",advérbio,"['ka', 'ba', 'liʃ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",2
