palavra,divisao,categoria,fonetica,tonic
dação,"['da', 'ção']",nome feminino,"['da', 'sˈɐ̃w']",1
dácia,"['dá', 'ci', 'a']",nome feminino,"['dˈa', 'sjɐ']",3
dácio,"['dá', 'ci', 'o']",adjetivo,"['dˈa', 'sjʊ']",3
dácio,"['dá', 'ci', 'o']",nome masculino,"['dˈa', 'sjʊ']",3
daco,"['da', 'co']",adjetivo,"['dˈa', 'kʊ']",2
daco,"['da', 'co']",nome masculino,"['dˈa', 'kʊ']",2
dactilografado,"['dac', 'ti', 'lo', 'gra', 'fa', 'do']",adjetivo,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈa', 'dʊ']",2
dactilografar,"['dac', 'ti', 'lo', 'gra', 'far']",verbo,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈa']",1
dactilografia,"['dac', 'ti', 'lo', 'gra', 'fi', 'a']",nome feminino,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈi', 'ɐ']",2
dactilógrafo,"['dac', 'ti', 'ló', 'gra', 'fo']",nome masculino,"['da', 'ki', 'tʃi', 'lˈɔ', 'gɾa', 'fʊ']",3
dactiloscopia,"['dac', 'ti', 'los', 'co', 'pi', 'a']",nome feminino,"['da', 'ki', 'tʃi', 'lɔʃ', 'ko', 'pˈi', 'ɐ']",2
dactiloscópico,"['dac', 'ti', 'los', 'có', 'pi', 'co']",adjetivo,"['da', 'ki', 'tʃi', 'lɔʃ', 'kˈɔ', 'pi', 'kʊ']",3
dadá,"['da', 'dá']",nome masculino,"['da', 'dˈa']",1
dada,"['da', 'da']",nome feminino,"['dˈa', 'dɐ']",2
dadaísmo,"['da', 'da', 'ís', 'mo']",nome masculino,"['da', 'da', 'ˈiʒ', 'mʊ']",2
dadaísta,"['da', 'da', 'ís', 'ta']",adjetivo,"['da', 'da', 'ˈiʃ', 'tɐ']",2
dadaísta,"['da', 'da', 'ís', 'ta']",nome masculino,"['da', 'da', 'ˈiʃ', 'tɐ ou da', 'da', 'ˈiʃ', 'tɐ']",2
dádiva,"['dá', 'di', 'va']",nome feminino,"['dˈa', 'dʒi', 'vɐ']",3
dado,"['da', 'do']",nome masculino,"['dˈa', 'dʊ']",2
dado,"['da', 'do']",adjetivo,"['dˈa', 'dʊ']",2
dado,"['da', 'do']",artigo,"['dˈa', 'dʊ']",2
dado,"['da', 'do']",preposição,"['dˈa', 'dʊ']",2
dador,"['da', 'dor']",adjetivo,"['da', 'dˈo']",1
dador,"['da', 'dor']",nome masculino,"['da', 'dˈo']",1
dafne,"['daf', 'ne']",nome feminino,"['dˈaf', 'nɪ']",2
dáfnia,"['dáf', 'ni', 'a']",nome feminino,"['dˈaf', 'njɐ']",3
daguerreótipo,"['da', 'guer', 're', 'ó', 'ti', 'po']",nome masculino,"['da', 'ge', 'ɦjˈɔ', 'tʃi', 'pʊ']",3
daí,"['da', 'í']",,"['da', 'ˈi']",1
dáimio,"['dá', 'i', 'mi', 'o']",nome masculino,"['dˈãj', 'mjʊ']",4
dal,['dal'],nome masculino,['dˈaw'],1
dala,"['da', 'la']",nome feminino,"['dˈa', 'lɐ']",2
dalai-lama,"['da', 'lai', 'la', 'ma']",nome masculino,"['da', 'lˌaj', 'lˈɐ̃', 'mɐ']",2
dali,"['da', 'li']",,"['da', 'lˈi']",1
dália,"['dá', 'li', 'a']",nome feminino,"['dˈa', 'ljɐ']",3
dálmata,"['dál', 'ma', 'ta']",nome masculino,"['dˈaw', 'ma', 'tɐ ou dˈaw', 'ma', 'tɐ']",3
dálmata,"['dál', 'ma', 'ta']",adjetivo,"['dˈaw', 'ma', 'tɐ']",3
dalmática,"['dal', 'má', 'ti', 'ca']",nome feminino,"['daw', 'mˈa', 'tʃi', 'kɐ']",3
dalmático,"['dal', 'má', 'ti', 'co']",adjetivo,"['daw', 'mˈa', 'tʃi', 'kʊ']",3
daltónico,"['dal', 'tó', 'ni', 'co']",adjetivo,"['daw', 'tˈɔ̃', 'ni', 'kʊ']",3
