palavra,divisao,categoria,fonetica,tonic
e,['e'],conjunção,['i'],1
e-mail,"['e', 'mail']",nome masculino,[''],1
ébano,"['é', 'ba', 'no']",nome masculino,"['ˈɛ', 'bã', 'nʊ']",3
ébola,"['é', 'bo', 'la']",nome masculino,"['ˈɛ', 'bo', 'lɐ']",3
ebonite,"['e', 'bo', 'ni', 'te']",nome feminino,"['ɛ', 'bõ', 'nˈi', 'tʃɪ']",2
eborense,"['e', 'bo', 'ren', 'se']",nome masculino,"['e', 'bo', 'ɾˈẽ', 'sɪ ou e', 'bo', 'ɾˈẽ', 'sɪ']",2
eborense,"['e', 'bo', 'ren', 'se']",adjetivo,"['e', 'bo', 'ɾˈẽ', 'sɪ']",2
ébrio,"['é', 'bri', 'o']",adjetivo,"['ˈɛ', 'bɾjʊ']",3
ébrio,"['é', 'bri', 'o']",nome masculino,"['ˈɛ', 'bɾjʊ ou ˈɛ', 'bɾjʊ']",3
ebulição,"['e', 'bu', 'li', 'ção']",nome feminino,"['e', 'bu', 'li', 'sˈɐ̃w']",1
ebuliente,"['e', 'bu', 'li', 'en', 'te']",adjetivo,"['e', 'bu', 'li', 'ˈẽ', 'tʃɪ']",2
echarpe,"['e', 'char', 'pe']",nome feminino,[''],2
écharpe,"['é', 'char', 'pe']",nome feminino,"['e', 'ʃˈah', 'pɪ']",2
éclair,"['é', 'clair']",nome masculino,[''],1
eclampsia,"['e', 'clamp', 'si', 'a']",nome feminino,"['e', 'klɐ̃m', 'pi', 'sˈi', 'ɐ']",2
eclésia,"['e', 'clé', 'si', 'a']",nome feminino,"['e', 'klˈɛ', 'zja']",3
eclesiasticamente,"['e', 'cle', 'si', 'as', 'ti', 'ca', 'men', 'te']",advérbio,"['e', 'kle', 'zi', 'aʃ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",2
eclesiástico,"['e', 'cle', 'si', 'ás', 'ti', 'co']",nome masculino,"['e', 'kle', 'zi', 'ˈaʃ', 'tʃi', 'kʊ']",3
eclesiástico,"['e', 'cle', 'si', 'ás', 'ti', 'co']",adjetivo,"['e', 'kle', 'zi', 'ˈaʃ', 'tʃi', 'kʊ']",3
eclética,"['e', 'clé', 'ti', 'ca']",nome feminino,"['e', 'klˈɛ', 'tʃi', 'kɐ']",3
ecleticamente,"['e', 'cle', 'ti', 'ca', 'men', 'te']",advérbio,"['e', 'klɛ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ ou e', 'klɛ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",2
eclético,"['e', 'clé', 'ti', 'co']",adjetivo,"['e', 'klˈɛ', 'tʃi', 'kʊ ou e', 'klˈɛ', 'tʃi', 'kʊ']",3
ecletismo,"['e', 'cle', 'tis', 'mo']",nome masculino,"['e', 'kle', 'tʃˈiʒ', 'mʊ ou e', 'kle', 'tʃˈiʒ', 'mʊ']",2
eclipsado,"['e', 'clip', 'sa', 'do']",adjetivo,"['e', 'kli', 'pə', 'sˈa', 'dʊ']",2
eclipsar,"['e', 'clip', 'sar']",verbo,"['e', 'kli', 'pə', 'sˈa']",1
eclipse,"['e', 'clip', 'se']",nome masculino,"['e', 'klˈi', 'pə', 'sɪ']",2
eclíptica,"['e', 'clíp', 'ti', 'ca']",nome feminino,"['e', 'klˈi', 'pi', 'tʃi', 'kɐ']",3
eclíptico,"['e', 'clíp', 'ti', 'co']",adjetivo,"['e', 'klˈi', 'pi', 'tʃi', 'kʊ']",3
eclodir,"['e', 'clo', 'dir']",verbo,"['e', 'klo', 'dʒˈi']",1
écloga,"['é', 'clo', 'ga']",nome feminino,"['ˈɛ', 'klo', 'gɐ']",3
eclosão,"['e', 'clo', 'são']",nome feminino,"['e', 'klo', 'zˈɐ̃w']",1
eclusa,"['e', 'clu', 'sa']",nome feminino,"['e', 'klˈu', 'zɐ']",2
eco,"['e', 'co']",nome masculino,"['ˈɛ', 'kʊ']",2
ecoante,"['e', 'co', 'an', 'te']",adjetivo,"['e', 'ko', 'ˈɐ̃', 'tʃɪ']",2
ecoar,"['e', 'co', 'ar']",verbo,"['e', 'ko', 'ˈa']",1
ecocardiografia,"['e', 'co', 'car', 'di', 'o', 'gra', 'fi', 'a']",nome feminino,"['e', 'ko', 'kaɦ', 'dʒjo', 'gɾa', 'fˈi', 'ɐ']",2
ecocardiograma,"['e', 'co', 'car', 'di', 'o', 'gra', 'ma']",nome masculino,"['e', 'ko', 'kaɦ', 'dʒjo', 'gɾˈɐ̃', 'mɐ']",2
ecocentro,"['e', 'co', 'cen', 'tro']",nome masculino,"['e', 'ko', 'sˈẽ', 'tɾʊ']",2
ecodesenvolvimento,"['e', 'co', 'de', 'sen', 'vol', 'vi', 'men', 'to']",nome masculino,"['e', 'ko', 'de', 'zẽ', 'vow', 'vĩ', 'mˈẽ', 'tʊ']",2
ecoeficiência,"['e', 'co', 'e', 'fi', 'ci', 'ên', 'ci', 'a']",nome feminino,"['e', 'ko', 'e', 'fi', 'si', 'ˈẽ', 'sjɐ']",3
ecoencefalograma,"['e', 'co', 'en', 'ce', 'fa', 'lo', 'gra', 'ma']",nome masculino,"['e', 'ko', 'ẽ', 'se', 'fa', 'lo', 'gɾˈɐ̃', 'mɐ']",2
ecografia,"['e', 'co', 'gra', 'fi', 'a']",nome feminino,"['ɛ', 'ko', 'gɾa', 'fˈi', 'ɐ']",2
ecográfico,"['e', 'co', 'grá', 'fi', 'co']",adjetivo,"['e', 'ko', 'gɾˈa', 'fi', 'kʊ']",3
ecógrafo,"['e', 'có', 'gra', 'fo']",nome masculino,"['e', 'kˈɔ', 'gɾa', 'fʊ']",3
ecograma,"['e', 'co', 'gra', 'ma']",nome masculino,"['e', 'ko', 'gɾˈɐ̃', 'mɐ']",2
ecolocação,"['e', 'co', 'lo', 'ca', 'ção']",nome feminino,"['e', 'ko', 'lo', 'ka', 'sˈɐ̃w']",1
ecolocador,"['e', 'co', 'lo', 'ca', 'dor']",adjetivo,"['e', 'ko', 'lo', 'ka', 'dˈoɾ']",1
ecolocador,"['e', 'co', 'lo', 'ca', 'dor']",nome masculino,"['e', 'ko', 'lo', 'ka', 'dˈoɾ']",1
ecolocalização,"['e', 'co', 'lo', 'ca', 'li', 'za', 'ção']",nome feminino,"['e', 'ko', 'lo', 'ka', 'li', 'za', 'sˈɐ̃w']",1
ecolocalizar,"['e', 'co', 'lo', 'ca', 'li', 'zar']",verbo,"['e', 'ko', 'lo', 'ka', 'li', 'zˈaɾ']",1
ecolocalizável,"['e', 'co', 'lo', 'ca', 'li', 'zá', 'vel']",adjetivo,"['e', 'ko', 'lo', 'ka', 'li', 'zˈa', 'vew']",2
ecolocar,"['e', 'co', 'lo', 'car']",verbo,"['e', 'ko', 'lo', 'kˈaɾ']",1
ecologia,"['e', 'co', 'lo', 'gi', 'a']",nome feminino,"['e', 'ko', 'lo', 'ʒˈi', 'ɐ']",2
ecologicamente,"['e', 'co', 'lo', 'gi', 'ca', 'men', 'te']",advérbio,"['e', 'ko', 'lɔ', 'ʒi', 'kã', 'mˈẽ', 'tʃɪ ou e', 'ko', 'lɔ', 'ʒi', 'kã', 'mˈẽ', 'tʃɪ']",2
ecológico,"['e', 'co', 'ló', 'gi', 'co']",adjetivo,"['e', 'ko', 'lˈɔ', 'ʒi', 'kʊ']",3
ecologista,"['e', 'co', 'lo', 'gis', 'ta']",nome masculino,"['e', 'ko', 'lo', 'ʒˈiʃ', 'tɐ']",2
ecologista,"['e', 'co', 'lo', 'gis', 'ta']",nome feminino,"['e', 'ko', 'lo', 'ʒˈiʃ', 'tɐ']",2
ecologista,"['e', 'co', 'lo', 'gis', 'ta']",adjetivo,"['e', 'ko', 'lo', 'ʒˈiʃ', 'tɐ']",2
ecólogo,"['e', 'có', 'lo', 'go']",nome masculino,"['e', 'kˈɔ', 'lo', 'gʊ']",3
