palavra,divisao,categoria,fonetica,tonic
i,['i'],advérbio,['i'],1
iaiá,"['i', 'ai', 'á']",nome feminino,"['i', 'aj', 'ˈa']",1
ianque,"['i', 'an', 'que']",adjetivo,"['i', 'ˈɐ̃', 'kɪ']",2
ianque,"['i', 'an', 'que']",nome masculino,"['i', 'ˈɐ̃', 'kɪ']",2
ianque,"['i', 'an', 'que']",nome feminino,"['i', 'ˈɐ̃', 'kɪ']",2
ião,"['i', 'ão']",nome masculino,"['i', 'ˈɐ̃w']",1
iao,"['i', 'ao']",nome masculino,"['i', 'ˈɐ̃w']",1
iaque,"['i', 'a', 'que']",nome masculino,"['i', 'ˈa', 'kɪ']",2
iara,"['i', 'a', 'ra']",nome feminino,"['i', 'ˈa', 'ɾɐ']",2
iate,"['i', 'a', 'te']",nome masculino,"['i', 'ˈa', 'tʃɪ']",2
iatismo,"['i', 'a', 'tis', 'mo']",nome masculino,"['i', 'a', 'tʃˈiʒ', 'mʊ']",2
iatista,"['i', 'a', 'tis', 'ta']",adjetivo,"['i', 'a', 'tʃˈiʃ', 'tɐ']",2
iatista,"['i', 'a', 'tis', 'ta']",nome masculino,"['i', 'a', 'tʃˈiʃ', 'tɐ']",2
iatista,"['i', 'a', 'tis', 'ta']",nome feminino,"['i', 'a', 'tʃˈiʃ', 'tɐ']",2
ibéria,"['i', 'bé', 'ri', 'a']",nome feminino,"['i', 'bˈɛ', 'ɾjɐ']",3
ibérica,"['i', 'bé', 'ri', 'ca']",nome feminino,"['i', 'bˈɛ', 'ɾi', 'kɐ']",3
ibérico,"['i', 'bé', 'ri', 'co']",adjetivo,"['i', 'bˈɛ', 'ɾi', 'kʊ']",3
ibérico,"['i', 'bé', 'ri', 'co']",nome masculino,"['i', 'bˈɛ', 'ɾi', 'kʊ']",3
ibério,"['i', 'bé', 'ri', 'o']",adjetivo,"['i', 'bˈɛ', 'ɾjʊ']",3
iberismo,"['i', 'be', 'ris', 'mo']",nome masculino,"['i', 'be', 'ɾˈiʒ', 'mʊ']",2
iberista,"['i', 'be', 'ris', 'ta']",nome masculino,"['i', 'be', 'ɾˈiʃ', 'tɐ ou i', 'be', 'ɾˈiʃ', 'tɐ']",2
iberização,"['i', 'be', 'ri', 'za', 'ção']",nome feminino,"['i', 'be', 'ɾi', 'za', 'sˈɐ̃w']",1
ibero,"['i', 'be', 'ro']",adjetivo,"['i', 'bˈɛ', 'ɾʊ']",2
ibero,"['i', 'be', 'ro']",nome masculino,"['i', 'bˈɛ', 'ɾʊ']",2
ibero-americana,"['i', 'be', 'ro', 'a', 'me', 'ri', 'ca', 'na']",nome feminino,"['i', 'bˌe', 'ɾo', 'ã', 'me', 'ɾi', 'kˈɐ̃', 'nɐ']",2
ibero-americano,"['i', 'be', 'ro', 'a', 'me', 'ri', 'ca', 'no']",adjetivo,"['i', 'bˌe', 'ɾo', 'ã', 'me', 'ɾi', 'kˈɐ̃', 'nʊ']",2
ibero-americano,"['i', 'be', 'ro', 'a', 'me', 'ri', 'ca', 'no']",nome masculino,"['i', 'bˌe', 'ɾo', 'ã', 'me', 'ɾi', 'kˈɐ̃', 'nʊ']",2
ibidem,"['i', 'bi', 'dem']",advérbio,"['i', 'bˈi', 'dɛm']",2
íbis,"['í', 'bis']",nome feminino,"['ˈi', 'bɪʃ']",2
ibogaína,"['i', 'bo', 'ga', 'í', 'na']",nome feminino,"['i', 'bɔ', 'ga', 'ˈĩ', 'nɐ']",2
ibseniano,"['ib', 'se', 'ni', 'a', 'no']",adjetivo,"['i', 'bi', 'sẽ', 'ni', 'ˈɐ̃', 'nʊ']",2
içá,"['i', 'çá']",nome masculino,"['i', 'sˈa']",1
içá,"['i', 'çá']",nome feminino,"['i', 'sˈa']",1
içar,"['i', 'çar']",verbo,"['i', 'sˈa']",1
içar,"['i', 'çar']",nome masculino,"['i', 'sˈa']",1
iceberg,"['i', 'ce', 'berg']",nome masculino,[''],3
icebergue,"['i', 'ce', 'ber', 'gue']",nome masculino,"['aj', 'se', 'bˈɛɦ', 'gɪ']",2
ícone,"['í', 'co', 'ne']",nome masculino,"['ˈi', 'kõ', 'nɪ']",3
icónico,"['i', 'có', 'ni', 'co']",adjetivo,"['i', 'kˈɔ̃', 'ni', 'kʊ']",3
iconoclasta,"['i', 'co', 'no', 'clas', 'ta']",adjetivo,"['i', 'kõ', 'no', 'klˈaʃ', 'tɐ']",2
iconoclasta,"['i', 'co', 'no', 'clas', 'ta']",nome masculino,"['i', 'kõ', 'no', 'klˈaʃ', 'tɐ']",2
iconoclasta,"['i', 'co', 'no', 'clas', 'ta']",nome feminino,"['i', 'kõ', 'no', 'klˈaʃ', 'tɐ']",2
iconoclastia,"['i', 'co', 'no', 'clas', 'ti', 'a']",nome feminino,"['i', 'kõ', 'no', 'klaʃ', 'tʃˈi', 'ɐ']",2
iconoclástico,"['i', 'co', 'no', 'clás', 'ti', 'co']",adjetivo,"['i', 'kõ', 'no', 'klˈaʃ', 'tʃi', 'kʊ']",3
iconografia,"['i', 'co', 'no', 'gra', 'fi', 'a']",nome feminino,"['i', 'kõ', 'no', 'gɾa', 'fˈi', 'ɐ']",2
iconograficamente,"['i', 'co', 'no', 'gra', 'fi', 'ca', 'men', 'te']",advérbio,"['i', 'kõ', 'no', 'gɾa', 'fi', 'kã', 'mˈẽ', 'tʃɪ']",2
iconográfico,"['i', 'co', 'no', 'grá', 'fi', 'co']",adjetivo,"['i', 'kõ', 'no', 'gɾˈa', 'fi', 'kʊ']",3
iconologia,"['i', 'co', 'no', 'lo', 'gi', 'a']",nome feminino,"['i', 'kõ', 'no', 'lo', 'ʒˈi', 'ɐ']",2
iconológico,"['i', 'co', 'no', 'ló', 'gi', 'co']",adjetivo,"['i', 'kõ', 'no', 'lˈɔ', 'ʒi', 'kʊ']",3
icosaedro,"['i', 'co', 'sa', 'e', 'dro']",nome masculino,"['i', 'ko', 'za', 'ˈɛ', 'dɾʊ']",2
icterícia,"['ic', 'te', 'rí', 'ci', 'a']",nome feminino,"['i', 'ki', 'te', 'ɾˈi', 'sjɐ']",3
ictiologia,"['ic', 'ti', 'o', 'lo', 'gi', 'a']",nome feminino,"['i', 'ki', 'tʃjo', 'lo', 'ʒˈi', 'ɐ']",2
ictiológico,"['ic', 'ti', 'o', 'ló', 'gi', 'co']",adjetivo,"['i', 'ki', 'tʃjo', 'lˈɔ', 'ʒi', 'kʊ']",3
ictus,"['ic', 'tus']",nome masculino,"['ˈi', 'kə', 'tʊʃ']",1
id,['id'],nome masculino,['ˈid'],1
ida,"['i', 'da']",nome feminino,"['ˈi', 'dɐ']",2
idade,"['i', 'da', 'de']",nome feminino,"['i', 'dˈa', 'dʒɪ']",2
idálio,"['i', 'dá', 'li', 'o']",adjetivo,"['i', 'dˈa', 'ljʊ']",3
idanhense,"['i', 'da', 'nhen', 'se']",adjetivo,"['i', 'dã', 'ɲˈẽ', 'sɪ']",2
idanhense,"['i', 'da', 'nhen', 'se']",nome masculino,"['i', 'dã', 'ɲˈẽ', 'sɪ ou i', 'dã', 'ɲˈẽ', 'sɪ']",2
ide,"['i', 'de']",nome masculino,"['ˈi', 'dʒɪ']",2
ideação,"['i', 'de', 'a', 'ção']",nome feminino,"['i', 'de', 'a', 'sˈɐ̃w']",1
ideal,"['i', 'de', 'al']",adjetivo,"['i', 'dʒi', 'ˈaw']",1
ideal,"['i', 'de', 'al']",nome masculino,"['i', 'dʒi', 'ˈaw']",1
idealidade,"['i', 'de', 'a', 'li', 'da', 'de']",nome feminino,"['i', 'de', 'a', 'li', 'dˈa', 'dʒɪ']",2
idealismo,"['i', 'de', 'a', 'lis', 'mo']",nome masculino,"['i', 'de', 'a', 'lˈiʒ', 'mʊ']",2
idealista,"['i', 'de', 'a', 'lis', 'ta']",nome masculino,"['i', 'de', 'a', 'lˈiʃ', 'tɐ']",2
