palavra,divisao,categoria,fonetica,tonic
kafkiana,"['kaf', 'ki', 'a', 'na']",nome feminino,"['kaf', 'ki', 'ˈɐ̃', 'nɐ']",2
kafkiano,"['kaf', 'ki', 'a', 'no']",nome masculino,"['kaf', 'ki', 'ˈɐ̃', 'nʊ']",2
kafkiano,"['kaf', 'ki', 'a', 'no']",adjetivo,"['kaf', 'ki', 'ˈɐ̃', 'nʊ']",2
kamikaze,"['ka', 'mi', 'ka', 'ze']",nome masculino,"['kã', 'mi', 'kˈa', 'zɪ']",2
kamikaze,"['ka', 'mi', 'ka', 'ze']",adjetivo,"['kã', 'mi', 'kˈa', 'zɪ']",2
kantiana,"['kan', 'ti', 'a', 'na']",nome feminino,"['kɐ̃', 'tʃi', 'ˈɐ̃', 'nɐ']",2
kantiano,"['kan', 'ti', 'a', 'no']",adjetivo,"['kɐ̃', 'tʃi', 'ˈɐ̃', 'nʊ']",2
kantiano,"['kan', 'ti', 'a', 'no']",nome masculino,"['kɐ̃', 'tʃi', 'ˈɐ̃', 'nʊ']",2
karaoke,"['ka', 'ra', 'o', 'ke']",nome masculino,[''],2
karaté,"['ka', 'ra', 'té']",nome masculino,"['ka', 'ɾa', 'tˈɛ']",1
karateca,"['ka', 'ra', 'te', 'ca']",nome masculino,"['ka', 'ɾa', 'tˈɛ', 'kɐ ou ka', 'ɾa', 'tˈɛ', 'kɐ']",2
karbovanet,"['kar', 'bo', 'va', 'net']",nome masculino,[''],1
kart,['kart'],nome masculino,[''],1
karting,"['kar', 'ting']",nome masculino,[''],2
kartódromo,"['kar', 'tó', 'dro', 'mo']",nome masculino,"['kah', 'tˈɔ', 'dɾõ', 'mʊ']",3
kayak,"['kay', 'ak']",nome masculino,[''],1
kelvin,"['kel', 'vin']",nome masculino,[''],1
kelvin,"['kel', 'vin']",adjetivo,[''],1
kepleriano,"['ke', 'ple', 'ri', 'a', 'no']",adjetivo,"['kɛ', 'ple', 'ɾi', 'ˈɐ̃', 'nʊ']",2
ketchup,"['ket', 'chup']",nome masculino,[''],2
keynesianismo,"['key', 'ne', 'si', 'a', 'nis', 'mo']",nome masculino,"['kẽj', 'ne', 'zi', 'ã', 'nˈiʒ', 'mʊ']",2
kibutz,"['ki', 'butz']",nome masculino,[''],1
kickboxer,"['kick', 'bo', 'xer']",nome masculino,['ou'],2
kickboxing,"['kick', 'bo', 'xing']",nome masculino,[''],2
kilobyte,"['ki', 'lo', 'by', 'te']",nome masculino,[''],2
kilohertz,"['ki', 'lo', 'hertz']",nome masculino,[''],1
kilowatt,"['ki', 'lo', 'watt']",nome masculino,"['ki', 'lˈo', 'wɔt']",2
kilowatt-hora,"['ki', 'lo', 'watt', 'ho', 'ra']",nome masculino,"['ki', 'lˌo', 'wɔt', 'ˈɔ', 'ɾɐ']",2
kilt,['kilt'],nome masculino,[''],1
kimono,"['ki', 'mo', 'no']",nome masculino,[''],2
kina,"['ki', 'na']",nome masculino,[''],2
king,['king'],nome masculino,[''],1
kip,['kip'],nome masculino,['kip'],1
kirsch,['kirsch'],nome masculino,[''],1
kit,['kit'],nome masculino,['kit'],1
kitchenette,"['kit', 'che', 'net', 'te']",nome feminino,[''],2
kitsch,['kitsch'],adjetivo,[''],1
kitsch,['kitsch'],nome masculino,[''],1
kiwi,"['ki', 'wi']",nome masculino,[''],1
knock-out,"['knock', 'out']",nome masculino,[''],1
knock-out,"['knock', 'out']",adjetivo,[''],1
know-how,"['know', 'how']",nome masculino,[''],1
kosovar,"['ko', 'so', 'var']",nome masculino,"['ko', 'zo', 'vˈa ou ko', 'zo', 'vˈa']",1
kosovar,"['ko', 'so', 'var']",adjetivo,"['ko', 'zo', 'vˈa']",1
koweitiano,"['ko', 'wei', 'ti', 'a', 'no']",adjetivo,"['ko', 'wej', 'tʃi', 'ˈɐ̃', 'nʊ']",2
koweitiano,"['ko', 'wei', 'ti', 'a', 'no']",nome masculino,"['ko', 'wej', 'tʃi', 'ˈɐ̃', 'nʊ']",2
kremlin,"['krem', 'lin']",nome masculino,[''],2
krill,['krill'],nome masculino,[''],1
kuna,"['ku', 'na']",nome masculino,[''],2
kung-fu,"['kung', 'fu']",nome masculino,[''],1
kuru,"['ku', 'ru']",nome masculino,"['ku', 'ɾˈu']",1
kuwaitiana,"['ku', 'wai', 'ti', 'a', 'na']",nome feminino,"['ku', 'waj', 'tʃi', 'ˈɐ̃', 'nɐ']",2
kuwaitiano,"['ku', 'wai', 'ti', 'a', 'no']",adjetivo,"['ku', 'waj', 'tʃi', 'ˈɐ̃', 'nʊ']",2
kuwaitiano,"['ku', 'wai', 'ti', 'a', 'no']",nome masculino,"['ku', 'waj', 'tʃi', 'ˈɐ̃', 'nʊ']",2
kwacha,"['kwa', 'cha']",nome masculino,[''],2
kwanza,"['kwan', 'za']",nome masculino,[''],2
