palavra,divisao,categoria,fonetica,tonic
lã,['lã'],nome feminino,['lˈɐ̃'],1
lá,['lá'],advérbio,['lˈa'],1
lá,['lá'],nome masculino,['lˈa'],1
labareda,"['la', 'ba', 're', 'da']",nome feminino,"['la', 'ba', 'ɾˈe', 'dɐ']",2
labareda,"['la', 'ba', 're', 'da']",nome masculino,"['la', 'ba', 'ɾˈe', 'dɐ']",2
labéu,"['la', 'béu']",nome masculino,"['la', 'bˈɛw']",1
lábia,"['lá', 'bi', 'a']",nome feminino,"['lˈa', 'bjɐ']",3
labiado,"['la', 'bi', 'a', 'do']",adjetivo,"['la', 'bi', 'ˈa', 'dʊ']",2
labiado,"['la', 'bi', 'a', 'do']",nome masculino,"['la', 'bi', 'ˈa', 'dʊ']",2
labial,"['la', 'bi', 'al']",nome feminino,"['la', 'bi', 'ˈaw']",1
labial,"['la', 'bi', 'al']",adjetivo,"['la', 'bi', 'ˈaw']",1
lábio,"['lá', 'bi', 'o']",nome masculino,"['lˈa', 'bjʊ']",3
labiríntico,"['la', 'bi', 'rín', 'ti', 'co']",adjetivo,"['la', 'bi', 'ɾˈĩ', 'tʃi', 'kʊ']",3
labirinto,"['la', 'bi', 'rin', 'to']",nome masculino,"['la', 'bi', 'ɾˈĩ', 'tʊ']",2
labor,"['la', 'bor']",nome masculino,"['la', 'bˈo']",1
laboração,"['la', 'bo', 'ra', 'ção']",nome feminino,"['la', 'bo', 'ɾa', 'sˈɐ̃w']",1
laboral,"['la', 'bo', 'ral']",adjetivo,"['la', 'bo', 'ɾˈaw']",1
laborar,"['la', 'bo', 'rar']",verbo,"['la', 'bo', 'ɾˈa']",1
laboratorial,"['la', 'bo', 'ra', 'to', 'ri', 'al']",adjetivo,"['la', 'bo', 'ɾa', 'to', 'ɾi', 'ˈaw']",1
laboratorialmente,"['la', 'bo', 'ra', 'to', 'ri', 'al', 'men', 'te']",advérbio,"['la', 'bo', 'ɾa', 'to', 'ɾi', 'aw', 'mˈẽ', 'tʃɪ']",2
laboratório,"['la', 'bo', 'ra', 'tó', 'ri', 'o']",nome masculino,"['la', 'bo', 'ɾa', 'tˈɔ', 'ɾjʊ']",3
laboriosamente,"['la', 'bo', 'ri', 'o', 'sa', 'men', 'te']",advérbio,"['la', 'bo', 'ɾjo', 'zã', 'mˈẽ', 'tʃɪ']",2
laboriosidade,"['la', 'bo', 'ri', 'o', 'si', 'da', 'de']",nome feminino,"['la', 'bo', 'ɾjo', 'zi', 'dˈa', 'dʒɪ']",2
laborioso,"['la', 'bo', 'ri', 'o', 'so']",adjetivo,"['la', 'bo', 'ɾjˈo', 'zʊ']",2
laborista,"['la', 'bo', 'ris', 'ta']",adjetivo,"['la', 'bo', 'ɾˈiʃ', 'tɐ']",2
laborista,"['la', 'bo', 'ris', 'ta']",nome masculino,"['la', 'bo', 'ɾˈiʃ', 'tɐ ou la', 'bo', 'ɾˈiʃ', 'tɐ']",2
labrador,"['la', 'bra', 'dor']",nome masculino,"['la', 'bɾa', 'dˈo']",1
labregar,"['la', 'bre', 'gar']",verbo,"['la', 'bɾe', 'gˈa']",1
labrego,"['la', 'bre', 'go']",nome masculino,"['la', 'bɾˈe', 'gʊ']",2
labrego,"['la', 'bre', 'go']",adjetivo,"['la', 'bɾˈe', 'gʊ']",2
labro,"['la', 'bro']",nome masculino,"['lˈa', 'bɾʊ']",2
labuta,"['la', 'bu', 'ta']",nome feminino,"['la', 'bˈu', 'tɐ']",2
labutar,"['la', 'bu', 'tar']",nome masculino,"['la', 'bu', 'tˈa']",1
labutar,"['la', 'bu', 'tar']",verbo,"['la', 'bu', 'tˈa']",1
laca,"['la', 'ca']",nome feminino,"['lˈa', 'kɐ']",2
laça,"['la', 'ça']",nome feminino,"['lˈa', 'sɐ']",2
laçada,"['la', 'ça', 'da']",nome feminino,"['la', 'sˈa', 'dɐ']",2
lacada,"['la', 'ca', 'da']",nome feminino,"['la', 'kˈa', 'dɐ']",2
lacado,"['la', 'ca', 'do']",adjetivo,"['la', 'kˈa', 'dʊ']",2
lacaio,"['la', 'cai', 'o']",nome masculino,"['la', 'kˈaj', 'ʊ']",2
lacaniano,"['la', 'ca', 'ni', 'a', 'no']",nome masculino,"['la', 'kã', 'ni', 'ˈɐ̃', 'nʊ']",2
lacaniano,"['la', 'ca', 'ni', 'a', 'no']",adjetivo,"['la', 'kã', 'ni', 'ˈɐ̃', 'nʊ']",2
