palavra,divisao,categoria,fonetica,tonic
nababo,"['na', 'ba', 'bo']",nome masculino,"['na', 'bˈa', 'bʊ']",2
nabal,"['na', 'bal']",nome masculino,"['na', 'bˈaw']",1
nabantina,"['na', 'ban', 'ti', 'na']",nome feminino,"['na', 'bɐ̃', 'tʃˈĩ', 'nɐ']",2
nabantino,"['na', 'ban', 'ti', 'no']",nome masculino,"['na', 'bɐ̃', 'tʃˈĩ', 'nʊ']",2
nabantino,"['na', 'ban', 'ti', 'no']",adjetivo,"['na', 'bɐ̃', 'tʃˈĩ', 'nʊ']",2
nabiça,"['na', 'bi', 'ça']",nome feminino,"['na', 'bˈi', 'sɐ']",2
nabo,"['na', 'bo']",nome masculino,"['nˈa', 'bʊ']",2
nação,"['na', 'ção']",nome feminino,"['na', 'sˈɐ̃w']",1
nácar,"['ná', 'car']",nome masculino,"['nˈa', 'ka']",2
nacarado,"['na', 'ca', 'ra', 'do']",adjetivo,"['na', 'ka', 'ɾˈa', 'dʊ']",2
nacarar,"['na', 'ca', 'rar']",verbo,"['na', 'ka', 'ɾˈa']",1
nacional,"['na', 'ci', 'o', 'nal']",nome masculino,"['na', 'sjõ', 'nˈaw']",1
nacional,"['na', 'ci', 'o', 'nal']",adjetivo,"['na', 'sjõ', 'nˈaw']",1
nacional,"['na', 'ci', 'o', 'nal']",nome feminino,"['na', 'sjõ', 'nˈaw']",1
nacional-sindicalismo,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'mo']",nome masculino,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʒ', 'mʊ']",2
nacional-sindicalista,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'ta']",adjetivo,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",2
nacional-sindicalista,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'ta']",nome masculino,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʃ', 'tɐ ou na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",2
nacional-socialismo,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'mo']",nome masculino,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʒ', 'mʊ']",2
nacional-socialista,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'ta']",nome masculino,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʃ', 'tɐ']",2
nacional-socialista,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'ta']",adjetivo,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʃ', 'tɐ']",2
