palavra,divisao,categoria,fonetica,tonic
ó,['ó'],interjeição,['ˈɔ'],1
o,['o'],artigo,['u ou u'],1
o,['o'],pronome,['u'],1
o,['o'],pronome,['u'],1
oásis,"['o', 'á', 'sis']",nome masculino,"['o', 'ˈa', 'zɪʃ']",2
ob-rogar,"['ob', 'ro', 'gar']",verbo,"['ob', 'ɦo', 'gˈaɾ']",1
oba,"['o', 'ba']",interjeição,"['o', 'bɐ']",2
oba,"['o', 'ba']",nome feminino,"['o', 'bɐ']",2
obaudição,"['o', 'bau', 'di', 'ção']",nome feminino,"['o', 'baw', 'dʒi', 'sˈɐ̃w']",1
obcecação,"['ob', 'ce', 'ca', 'ção']",nome feminino,"['o', 'bi', 'se', 'ka', 'sˈɐ̃w']",1
obcecada,"['ob', 'ce', 'ca', 'da']",nome feminino,"['o', 'bi', 'se', 'kˈa', 'dɐ']",2
obcecadamente,"['ob', 'ce', 'ca', 'da', 'men', 'te']",advérbio,"['o', 'bi', 'se', 'ka', 'dã', 'mˈẽ', 'tʃɪ']",2
obcecado,"['ob', 'ce', 'ca', 'do']",adjetivo,"['o', 'bi', 'se', 'kˈa', 'dʊ']",2
obcecado,"['ob', 'ce', 'ca', 'do']",nome masculino,"['o', 'bi', 'se', 'kˈa', 'dʊ']",2
obcecante,"['ob', 'ce', 'can', 'te']",adjetivo,"['o', 'bi', 'se', 'kˈɐ̃', 'tʃɪ']",2
obcecar,"['ob', 'ce', 'car']",verbo,"['o', 'bi', 'se', 'kˈa']",1
obcomprimido,"['ob', 'com', 'pri', 'mi', 'do']",adjetivo,"['ob', 'kõ', 'pɾĩ', 'mˈi', 'dʊ']",2
obcónico,"['ob', 'có', 'ni', 'co']",adjetivo,"['ob', 'kˈɔ̃', 'ni', 'kʊ']",3
obcordado,"['ob', 'cor', 'da', 'do']",adjetivo,"['ob', 'koɦ', 'dˈa', 'dʊ']",2
obcorrente,"['ob', 'cor', 'ren', 'te']",adjetivo,"['ob', 'ko', 'ɦˈẽ', 'tʃɪ']",2
obdentado,"['ob', 'den', 'ta', 'do']",adjetivo,"['ob', 'dẽ', 'tˈa', 'dʊ']",2
obduração,"['ob', 'du', 'ra', 'ção']",nome feminino,"['ob', 'du', 'ɾa', 'sˈɐ̃w']",1
obdurar,"['ob', 'du', 'rar']",verbo,"['ob', 'du', 'ɾˈaɾ']",1
obedecer,"['o', 'be', 'de', 'cer']",verbo,"['o', 'be', 'de', 'sˈe']",1
obedecido,"['o', 'be', 'de', 'ci', 'do']",adjetivo,"['o', 'be', 'de', 'sˈi', 'dʊ']",2
obediência,"['o', 'be', 'di', 'ên', 'ci', 'a']",nome feminino,"['o', 'be', 'dʒi', 'ˈẽ', 'sjɐ']",3
obediente,"['o', 'be', 'di', 'en', 'te']",adjetivo,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",2
obediente,"['o', 'be', 'di', 'en', 'te']",nome masculino,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",2
obediente,"['o', 'be', 'di', 'en', 'te']",nome feminino,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",2
obedientemente,"['o', 'be', 'di', 'en', 'te', 'men', 'te']",advérbio,"['o', 'be', 'dʒi', 'ẽ', 'tẽ', 'mˈẽ', 'tʃɪ']",2
obelisco,"['o', 'be', 'lis', 'co']",nome masculino,"['o', 'be', 'lˈiʃ', 'kʊ']",2
obesidade,"['o', 'be', 'si', 'da', 'de']",nome feminino,"['o', 'be', 'zi', 'dˈa', 'dʒɪ']",2
obeso,"['o', 'be', 'so']",adjetivo,"['o', 'bˈe', 'zʊ']",2
obfirmado,"['ob', 'fir', 'ma', 'do']",adjetivo,"['ob', 'fiɦ', 'mˈa', 'dʊ']",2
obfirmar,"['ob', 'fir', 'mar']",verbo,"['ob', 'fiɦ', 'mˈaɾ']",3
obi,"['o', 'bi']",nome masculino,"['o', 'bɪ']",2
óbice,"['ó', 'bi', 'ce']",nome masculino,"['ˈɔ', 'bi', 'sɪ']",3
obidense,"['o', 'bi', 'den', 'se']",nome masculino,"['ɔ', 'bi', 'dˈẽ', 'sɪ ou ɔ', 'bi', 'dˈẽ', 'sɪ']",2
obidense,"['o', 'bi', 'den', 'se']",adjetivo,"['ɔ', 'bi', 'dˈẽ', 'sɪ']",2
óbito,"['ó', 'bi', 'to']",nome masculino,"['ˈɔ', 'bi', 'tʊ']",3
obituário,"['o', 'bi', 'tu', 'á', 'ri', 'o']",adjetivo,"['o', 'bi', 'tu', 'ˈa', 'ɾjʊ']",3
obituário,"['o', 'bi', 'tu', 'á', 'ri', 'o']",nome masculino,"['o', 'bi', 'tu', 'ˈa', 'ɾjʊ']",3
objeção,"['ob', 'je', 'ção']",nome feminino,"['o', 'bi', 'ʒe', 'sˈɐ̃w']",1
objecção,"['ob', 'jec', 'ção']",nome feminino,"['o', 'bi', 'ʒe', 'kə', 'sˈɐ̃w']",1
objectado,"['ob', 'jec', 'ta', 'do']",adjetivo,"['o', 'bi', 'ʒe', 'kə', 'tˈa', 'dʊ']",2
objectiva,"['ob', 'jec', 'ti', 'va']",nome feminino,"['o', 'bi', 'ʒe', 'ki', 'tʃˈi', 'vɐ']",2
objectivação,"['ob', 'jec', 'ti', 'va', 'ção']",nome feminino,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'va', 'sˈɐ̃w']",1
objectivado,"['ob', 'jec', 'ti', 'va', 'do']",adjetivo,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈa', 'dʊ']",2
objectivamente,"['ob', 'jec', 'ti', 'va', 'men', 'te']",advérbio,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",2
objectividade,"['ob', 'jec', 'ti', 'vi', 'da', 'de']",nome feminino,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vi', 'dˈa', 'dʒɪ']",2
objectivismo,"['ob', 'jec', 'ti', 'vis', 'mo']",nome masculino,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈiʒ', 'mʊ']",2
objectivista,"['ob', 'jec', 'ti', 'vis', 'ta']",adjetivo,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈiʃ', 'tɐ']",2
objectivista,"['ob', 'jec', 'ti', 'vis', 'ta']",nome masculino,"['o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈiʃ', 'tɐ ou o', 'bi', 'ʒe', 'ki', 'tʃi', 'vˈiʃ', 'tɐ']",2
objectivo,"['ob', 'jec', 'ti', 'vo']",nome masculino,"['o', 'bi', 'ʒe', 'ki', 'tʃˈi', 'vʊ']",2
objectivo,"['ob', 'jec', 'ti', 'vo']",adjetivo,"['o', 'bi', 'ʒe', 'ki', 'tʃˈi', 'vʊ']",2
objector,"['ob', 'jec', 'tor']",adjetivo,"['o', 'bi', 'ʒe', 'kə', 'tˈo']",1
objector,"['ob', 'jec', 'tor']",nome masculino,"['o', 'bi', 'ʒe', 'kə', 'tˈo']",1
objectora,"['ob', 'jec', 'to', 'ra']",nome feminino,"['o', 'bi', 'ʒe', 'kə', 'tˈo', 'ɾɐ']",2
objeito,"['ob', 'jei', 'to']",nome masculino,"['ob', 'ʒˈej', 'tʊ']",2
objetar,"['ob', 'je', 'tar']",verbo,"['o', 'bi', 'ʒe', 'tˈa ou o', 'bi', 'ʒe', 'tˈa']",1
objetiva,"['ob', 'je', 'ti', 'va']",nome feminino,"['o', 'bi', 'ʒe', 'tʃˈi', 'vɐ']",2
objetivamente,"['ob', 'je', 'ti', 'va', 'men', 'te']",advérbio,"['o', 'bi', 'ʒe', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",2
objetivar,"['ob', 'je', 'ti', 'var']",verbo,"['o', 'bi', 'ʒe', 'tʃi', 'vˈa ou o', 'bi', 'ʒe', 'tʃi', 'vˈa']",1
objetivo,"['ob', 'je', 'ti', 'vo']",adjetivo,"['o', 'bi', 'ʒe', 'tʃˈi', 'vʊ']",2
objetivo,"['ob', 'je', 'ti', 'vo']",nome masculino,"['o', 'bi', 'ʒe', 'tʃˈi', 'vʊ']",2
objeto,"['ob', 'je', 'to']",nome masculino,"['o', 'bi', 'ʒˈɛ', 'tʊ ou o', 'bi', 'ʒˈɛ', 'tʊ']",2
objurgatória,"['ob', 'jur', 'ga', 'tó', 'ri', 'a']",nome feminino,"['ɔ', 'bə', 'ʒuɦ', 'ga', 'tˈɔ', 'ɾjɐ']",3
objurgatório,"['ob', 'jur', 'ga', 'tó', 'ri', 'o']",adjetivo,"['ɔ', 'bə', 'ʒuɦ', 'ga', 'tˈɔ', 'ɾjʊ']",3
oblada,"['o', 'bla', 'da']",nome feminino,"['ɔ', 'blˈa', 'dɐ']",2
oblata,"['o', 'bla', 'ta']",nome feminino,"['o', 'blˈa', 'tɐ']",2
oblatar,"['o', 'bla', 'tar']",verbo,"['o', 'bla', 'tˈa']",1
oblato,"['o', 'bla', 'to']",adjetivo,"['o', 'blˈa', 'tʊ']",2
oblíqua,"['o', 'blí', 'qua']",nome feminino,"['o', 'blˈi', 'kwɐ']",2
obliquamente,"['o', 'bli', 'qua', 'men', 'te']",advérbio,"['o', 'bli', 'kwã', 'mˈẽ', 'tʃɪ']",2
obliquar,"['o', 'bli', 'quar']",verbo,"['o', 'bli', 'kwˈa']",1
