palavra,divisao,categoria,fonetica,tonic
quadra,"['qua', 'dra']",nome feminino,"['kwˈa', 'dɾɐ']",2
quadradinho,"['qua', 'dra', 'di', 'nho']",nome masculino,"['kwa', 'dɾa', 'dʒˈĩ', 'ɲʊ']",2
quadrado,"['qua', 'dra', 'do']",adjetivo,"['kwa', 'dɾˈa', 'dʊ']",2
quadrado,"['qua', 'dra', 'do']",nome masculino,"['kwa', 'dɾˈa', 'dʊ']",2
quadragenário,"['qua', 'dra', 'ge', 'ná', 'ri', 'o']",adjetivo,"['kwa', 'dɾa', 'ʒẽ', 'nˈa', 'ɾjʊ']",3
quadragenário,"['qua', 'dra', 'ge', 'ná', 'ri', 'o']",nome masculino,"['kwa', 'dɾa', 'ʒẽ', 'nˈa', 'ɾjʊ']",3
quadragésima,"['qua', 'dra', 'gé', 'si', 'ma']",nome feminino,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mɐ']",3
quadragésimo,"['qua', 'dra', 'gé', 'si', 'mo']",número,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mʊ ou kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mʊ']",3
quadragésimo,"['qua', 'dra', 'gé', 'si', 'mo']",nome masculino,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mʊ']",3
quadrangular,"['qua', 'dran', 'gu', 'lar']",nome masculino,"['kwa', 'dɾɐ̃', 'gu', 'lˈa']",1
quadrangular,"['qua', 'dran', 'gu', 'lar']",adjetivo,"['kwa', 'dɾɐ̃', 'gu', 'lˈa']",1
quadrante,"['qua', 'dran', 'te']",nome masculino,"['kwa', 'dɾˈɐ̃', 'tʃɪ']",2
quadrar,"['qua', 'drar']",verbo,"['kwa', 'dɾˈa']",1
quadratura,"['qua', 'dra', 'tu', 'ra']",nome feminino,"['kwa', 'dɾa', 'tˈu', 'ɾɐ']",2
quadricromia,"['qua', 'dri', 'cro', 'mi', 'a']",nome feminino,"['kwa', 'dɾi', 'kɾõ', 'mˈi', 'ɐ']",2
quadrícula,"['qua', 'drí', 'cu', 'la']",nome feminino,"['kwa', 'dɾˈi', 'ku', 'lɐ']",3
quadriculado,"['qua', 'dri', 'cu', 'la', 'do']",adjetivo,"['kwa', 'dɾi', 'ku', 'lˈa', 'dʊ']",2
quadriculado,"['qua', 'dri', 'cu', 'la', 'do']",nome masculino,"['kwa', 'dɾi', 'ku', 'lˈa', 'dʊ']",2
quadricular,"['qua', 'dri', 'cu', 'lar']",verbo,"['kwa', 'dɾi', 'ku', 'lˈa']",1
quadricular,"['qua', 'dri', 'cu', 'lar']",adjetivo,"['kwa', 'dɾi', 'ku', 'lˈa']",1
quadrienal,"['qua', 'dri', 'e', 'nal']",adjetivo,"['kwa', 'dɾi', 'ẽ', 'nˈaw']",1
quadrienalmente,"['qua', 'dri', 'e', 'nal', 'men', 'te']",advérbio,"['kwa', 'dɾi', 'ẽ', 'naw', 'mˈẽ', 'tʃɪ']",2
quadriénio,"['qua', 'dri', 'é', 'ni', 'o']",nome masculino,"['kwa', 'dɾi', 'ˈɛ̃', 'njʊ']",3
quadrifonia,"['qua', 'dri', 'fo', 'ni', 'a']",nome feminino,"['kwa', 'dɾi', 'fõ', 'nˈi', 'ɐ']",2
quadriga,"['qua', 'dri', 'ga']",nome feminino,"['kwa', 'dɾˈi', 'gɐ']",2
quadril,"['qua', 'dril']",nome masculino,"['kwa', 'dɾˈiw']",1
quadrilateral,"['qua', 'dri', 'la', 'te', 'ral']",adjetivo,"['kwa', 'dɾi', 'la', 'te', 'ɾˈaw']",1
quadrilátero,"['qua', 'dri', 'lá', 'te', 'ro']",nome masculino,"['kwa', 'dɾi', 'lˈa', 'te', 'ɾʊ']",3
quadrilátero,"['qua', 'dri', 'lá', 'te', 'ro']",adjetivo,"['kwa', 'dɾi', 'lˈa', 'te', 'ɾʊ']",3
quadrilha,"['qua', 'dri', 'lha']",nome feminino,"['kwa', 'dɾˈi', 'ʎɐ']",2
quadrilhar,"['qua', 'dri', 'lhar']",verbo,"['kwa', 'dɾi', 'ʎˈa']",1
quadrilheiro,"['qua', 'dri', 'lhei', 'ro']",nome masculino,"['kwa', 'dɾi', 'ʎˈej', 'ɾʊ']",2
quadrilheiro,"['qua', 'dri', 'lhei', 'ro']",adjetivo,"['kwa', 'dɾi', 'ʎˈej', 'ɾʊ']",2
quadrimestral,"['qua', 'dri', 'mes', 'tral']",adjetivo,"['kwa', 'dɾĩ', 'meʃ', 'tɾˈaw']",1
quadrimestralmente,"['qua', 'dri', 'mes', 'tral', 'men', 'te']",advérbio,"['kwa', 'dɾĩ', 'meʃ', 'tɾaw', 'mˈẽ', 'tʃɪ']",2
quadrimestre,"['qua', 'dri', 'mes', 'tre']",nome masculino,"['kwa', 'dɾĩ', 'mˈɛʃ', 'tɾɪ']",2
quadrimotor,"['qua', 'dri', 'mo', 'tor']",nome masculino,"['kwa', 'dɾĩ', 'mo', 'tˈo']",1
quadrimotor,"['qua', 'dri', 'mo', 'tor']",adjetivo,"['kwa', 'dɾĩ', 'mo', 'tˈo']",1
quadripartido,"['qua', 'dri', 'par', 'ti', 'do']",adjetivo,"['kwa', 'dɾi', 'pah', 'tʃˈi', 'dʊ']",2
quadro,"['qua', 'dro']",nome masculino,"['kwˈa', 'dɾʊ']",2
quadrúpede,"['qua', 'drú', 'pe', 'de']",nome masculino,"['kwa', 'dɾˈu', 'pe', 'dʒɪ ou kwa', 'dɾˈu', 'pe', 'dʒɪ']",3
quadrúpede,"['qua', 'drú', 'pe', 'de']",adjetivo,"['kwa', 'dɾˈu', 'pe', 'dʒɪ']",3
quadruplar,"['qua', 'dru', 'plar']",verbo,"['kwa', 'dɾu', 'plˈa']",1
quadruplicação,"['qua', 'dru', 'pli', 'ca', 'ção']",nome feminino,"['kwa', 'dɾu', 'pli', 'ka', 'sˈɐ̃w']",1
quadruplicar,"['qua', 'dru', 'pli', 'car']",verbo,"['kwa', 'dɾu', 'pli', 'kˈa']",1
quádruplo,"['quá', 'dru', 'plo']",número,"['kwˈa', 'dɾu', 'plʊ']",3
quádruplo,"['quá', 'dru', 'plo']",nome masculino,"['kwˈa', 'dɾu', 'plʊ']",3
quádruplo,"['quá', 'dru', 'plo']",adjetivo,"['kwˈa', 'dɾu', 'plʊ']",3
qual,['qual'],pronome,['kwˈaw'],1
qual,['qual'],artigo,['kwˈaw'],1
qual,['qual'],pronome,['kwˈaw'],1
qual,['qual'],conjunção,['kwˈaw'],1
qual,['qual'],interjeição,['kwˈaw'],1
qualidade,"['qua', 'li', 'da', 'de']",nome feminino,"['kwa', 'li', 'dˈa', 'dʒɪ']",2
qualificação,"['qua', 'li', 'fi', 'ca', 'ção']",nome feminino,"['kwa', 'li', 'fi', 'ka', 'sˈɐ̃w']",1
qualificadamente,"['qua', 'li', 'fi', 'ca', 'da', 'men', 'te']",advérbio,"['kwa', 'li', 'fi', 'ka', 'dã', 'mˈẽ', 'tʃɪ']",2
qualificado,"['qua', 'li', 'fi', 'ca', 'do']",adjetivo,"['kwa', 'li', 'fi', 'kˈa', 'dʊ']",2
qualificador,"['qua', 'li', 'fi', 'ca', 'dor']",adjetivo,"['kwa', 'li', 'fi', 'ka', 'dˈo']",1
qualificador,"['qua', 'li', 'fi', 'ca', 'dor']",nome masculino,"['kwa', 'li', 'fi', 'ka', 'dˈo']",1
qualificar,"['qua', 'li', 'fi', 'car']",verbo,"['kwa', 'li', 'fi', 'kˈa']",1
qualificativamente,"['qua', 'li', 'fi', 'ca', 'ti', 'va', 'men', 'te']",advérbio,"['kwa', 'li', 'fi', 'ka', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",2
qualificativo,"['qua', 'li', 'fi', 'ca', 'ti', 'vo']",adjetivo,"['kwa', 'li', 'fi', 'ka', 'tʃˈi', 'vʊ']",2
qualificativo,"['qua', 'li', 'fi', 'ca', 'ti', 'vo']",nome masculino,"['kwa', 'li', 'fi', 'ka', 'tʃˈi', 'vʊ']",2
qualificável,"['qua', 'li', 'fi', 'cá', 'vel']",adjetivo,"['kwa', 'li', 'fi', 'kˈa', 'vew']",2
qualitativamente,"['qua', 'li', 'ta', 'ti', 'va', 'men', 'te']",advérbio,"['kwa', 'li', 'ta', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",2
qualitativo,"['qua', 'li', 'ta', 'ti', 'vo']",adjetivo,"['kwa', 'li', 'ta', 'tʃˈi', 'vʊ']",2
qualquer,"['qual', 'quer']",artigo,"['kwaw', 'kˈɛɾ']",1
quando,"['quan', 'do']",conjunção,"['kwˈɐ̃', 'dʊ']",2
quando,"['quan', 'do']",advérbio,"['kwˈɐ̃', 'dʊ']",2
quanta,"['quan', 'ta']",nome masculino,"['kwˈɐ̃', 'tɐ']",2
quantia,"['quan', 'ti', 'a']",nome feminino,"['kwɐ̃', 'tʃˈi', 'ɐ']",2
quantiar,"['quan', 'ti', 'ar']",verbo,"['kwɐ̃', 'tʃi', 'ˈa']",1
quântico,"['quân', 'ti', 'co']",adjetivo,"['kwˈɐ̃', 'tʃi', 'kʊ']",3
quantidade,"['quan', 'ti', 'da', 'de']",nome feminino,"['kwɐ̃', 'tʃi', 'dˈa', 'dʒɪ']",2
quantificação,"['quan', 'ti', 'fi', 'ca', 'ção']",nome feminino,"['kwɐ̃', 'tʃi', 'fi', 'ka', 'sˈɐ̃w']",1
quantificado,"['quan', 'ti', 'fi', 'ca', 'do']",adjetivo,"['kwɐ̃', 'tʃi', 'fi', 'kˈa', 'dʊ']",2
quantificar,"['quan', 'ti', 'fi', 'car']",verbo,"['kwɐ̃', 'tʃi', 'fi', 'kˈa']",1
quantificável,"['quan', 'ti', 'fi', 'cá', 'vel']",adjetivo,"['kwɐ̃', 'tʃi', 'fi', 'kˈa', 'vew']",2
quantitativamente,"['quan', 'ti', 'ta', 'ti', 'va', 'men', 'te']",advérbio,"['kwɐ̃', 'tʃi', 'ta', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",2
quantitativo,"['quan', 'ti', 'ta', 'ti', 'vo']",adjetivo,"['kwɐ̃', 'tʃi', 'ta', 'tʃˈi', 'vʊ']",2
quantitativo,"['quan', 'ti', 'ta', 'ti', 'vo']",nome masculino,"['kwɐ̃', 'tʃi', 'ta', 'tʃˈi', 'vʊ']",2
quanto,"['quan', 'to']",nome masculino,"['kwˈɐ̃', 'tʊ']",2
quanto,"['quan', 'to']",advérbio,"['kwˈɐ̃', 'tʊ']",2
quanto,"['quan', 'to']",artigo,"['kwˈɐ̃', 'tʊ']",2
quanto,"['quan', 'to']",pronome,"['kwˈɐ̃', 'tʊ']",2
quanto,"['quan', 'to']",pronome,"['kwˈɐ̃', 'tʊ']",2
quantum,"['quan', 'tum']",nome masculino,"['kwɐ̃', 'tˈũ']",1
quanza,"['quan', 'za']",nome masculino,"['kwˈɐ̃', 'zɐ']",2
quão,"['qu', 'ão']",advérbio,"['ku', 'ˈɐ̃w']",1
quarenta,"['qua', 'ren', 'ta']",nome masculino,"['kwa', 'ɾˈẽ', 'tɐ']",2
quarenta,"['qua', 'ren', 'ta']",número,"['kwa', 'ɾˈẽ', 'tɐ']",2
