palavra,divisao,categoria,fonetica,tonic
rã,['rã'],nome feminino,['ɦˈɐ̃'],1
rabaça,"['ra', 'ba', 'ça']",nome feminino,"['ɦa', 'bˈa', 'sɐ ou ɦa', 'bˈa', 'sɐ']",2
rabaçal,"['ra', 'ba', 'çal']",nome masculino,"['ɦa', 'ba', 'sˈaw']",1
rabaçal,"['ra', 'ba', 'çal']",adjetivo,"['ɦa', 'ba', 'sˈaw']",1
rabada,"['ra', 'ba', 'da']",nome feminino,"['ɦa', 'bˈa', 'dɐ']",2
rabado,"['ra', 'ba', 'do']",adjetivo,"['ɦa', 'bˈa', 'dʊ']",2
rabanada,"['ra', 'ba', 'na', 'da']",nome feminino,"['ɦa', 'bã', 'nˈa', 'dɐ']",2
rabanal,"['ra', 'ba', 'nal']",nome masculino,"['ɦa', 'bã', 'nˈaw']",1
rabanar,"['ra', 'ba', 'nar']",verbo,"['ɦa', 'bã', 'nˈa']",1
rabanete,"['ra', 'ba', 'ne', 'te']",nome masculino,"['ɦa', 'bã', 'nˈe', 'tʃɪ']",2
rábano,"['rá', 'ba', 'no']",nome masculino,"['ɦˈa', 'bã', 'nʊ']",3
rabão,"['ra', 'bão']",nome masculino,"['ɦa', 'bˈɐ̃w']",1
rabão,"['ra', 'bão']",adjetivo,"['ɦa', 'bˈɐ̃w']",1
rabear,"['ra', 'be', 'ar']",verbo,"['ɦa', 'bi', 'ˈa']",1
rabeca,"['ra', 'be', 'ca']",nome feminino,"['ɦa', 'bˈɛ', 'kɐ']",2
rabeca,"['ra', 'be', 'ca']",nome masculino,"['ɦa', 'bˈɛ', 'kɐ']",2
rabecada,"['ra', 'be', 'ca', 'da']",nome feminino,"['ɦa', 'be', 'kˈa', 'dɐ']",2
rabecão,"['ra', 'be', 'cão']",nome masculino,"['ɦa', 'be', 'kˈɐ̃w']",1
rabejador,"['ra', 'be', 'ja', 'dor']",adjetivo,"['ɦa', 'be', 'ʒa', 'dˈo']",1
rabejador,"['ra', 'be', 'ja', 'dor']",nome masculino,"['ɦa', 'be', 'ʒa', 'dˈo']",1
rabejar,"['ra', 'be', 'jar']",verbo,"['ɦa', 'be', 'ʒˈa']",1
rabel,"['ra', 'bel']",nome masculino,"['ɦa', 'bˈɛw']",1
rabelaisiana,"['ra', 'be', 'lai', 'si', 'a', 'na']",nome feminino,"['ɦa', 'be', 'laj', 'zi', 'ˈɐ̃', 'nɐ']",2
rabelaisiano,"['ra', 'be', 'lai', 'si', 'a', 'no']",adjetivo,"['ɦa', 'be', 'le', 'zi', 'ˈɐ̃', 'nʊ']",2
rabelaisiano,"['ra', 'be', 'lai', 'si', 'a', 'no']",nome masculino,"['ɦa', 'be', 'le', 'zi', 'ˈɐ̃', 'nʊ']",2
rabelo,"['ra', 'be', 'lo']",adjetivo,"['ɦa', 'bˈe', 'lʊ']",2
rabelo,"['ra', 'be', 'lo']",nome masculino,"['ɦa', 'bˈe', 'lʊ']",2
rabequista,"['ra', 'be', 'quis', 'ta']",adjetivo,"['ɦa', 'be', 'kˈiʃ', 'tɐ']",2
rabequista,"['ra', 'be', 'quis', 'ta']",nome masculino,"['ɦa', 'be', 'kˈiʃ', 'tɐ ou ɦa', 'be', 'kˈiʃ', 'tɐ']",2
rabeta,"['ra', 'be', 'ta']",nome masculino,"['ɦa', 'bˈe', 'tɐ']",2
rabeta,"['ra', 'be', 'ta']",nome feminino,"['ɦa', 'bˈe', 'tɐ']",2
rabeta,"['ra', 'be', 'ta']",adjetivo,"['ɦa', 'bˈe', 'tɐ']",2
rabi,"['ra', 'bi']",nome masculino,"['ɦa', 'bˈi']",1
rabi,"['ra', 'bi']",adjetivo,"['ɦa', 'bˈi']",1
rabia,"['ra', 'bi', 'a']",nome feminino,"['ɦa', 'bˈi', 'ɐ']",2
rabiar,"['ra', 'bi', 'ar']",verbo,"['ɦa', 'bi', 'ˈa']",1
rabiça,"['ra', 'bi', 'ça']",nome feminino,"['ɦa', 'bˈi', 'sɐ']",2
rabicho,"['ra', 'bi', 'cho']",adjetivo,"['ɦa', 'bˈi', 'ʃʊ']",2
rabicho,"['ra', 'bi', 'cho']",nome masculino,"['ɦa', 'bˈi', 'ʃʊ']",2
rábida,"['rá', 'bi', 'da']",nome feminino,"['ɦˈa', 'bi', 'dɐ']",3
rabidamente,"['ra', 'bi', 'da', 'men', 'te']",advérbio,"['ɦa', 'bi', 'dã', 'mˈẽ', 'tʃɪ']",2
rábido,"['rá', 'bi', 'do']",adjetivo,"['ɦˈa', 'bi', 'dʊ']",3
rabigato,"['ra', 'bi', 'ga', 'to']",nome masculino,"['ɦa', 'bi', 'gˈa', 'tʊ']",2
rabil,"['ra', 'bil']",nome masculino,"['ɦa', 'bˈiw']",1
rabínico,"['ra', 'bí', 'ni', 'co']",adjetivo,"['ɦa', 'bˈĩ', 'ni', 'kʊ']",3
rabino,"['ra', 'bi', 'no']",nome masculino,"['ɦa', 'bˈĩ', 'nʊ']",2
rabino,"['ra', 'bi', 'no']",adjetivo,"['ɦa', 'bˈĩ', 'nʊ']",2
rabiosque,"['ra', 'bi', 'os', 'que']",nome masculino,"['ɦa', 'bjˈɔʃ', 'kɪ']",2
rabisca,"['ra', 'bis', 'ca']",nome feminino,"['ɦa', 'bˈiʃ', 'kɐ']",2
rabiscado,"['ra', 'bis', 'ca', 'do']",adjetivo,"['ɦa', 'biʃ', 'kˈa', 'dʊ']",2
rabiscador,"['ra', 'bis', 'ca', 'dor']",nome masculino,"['ɦa', 'biʃ', 'ka', 'dˈo']",1
rabiscador,"['ra', 'bis', 'ca', 'dor']",adjetivo,"['ɦa', 'biʃ', 'ka', 'dˈo']",1
rabiscar,"['ra', 'bis', 'car']",verbo,"['ɦa', 'biʃ', 'kˈa']",1
rabisco,"['ra', 'bis', 'co']",nome masculino,"['ɦa', 'bˈiʃ', 'kʊ']",2
rabita,"['ra', 'bi', 'ta']",nome feminino,"['ɦa', 'bˈi', 'tɐ']",2
rabo,"['ra', 'bo']",nome masculino,"['ɦˈa', 'bʊ']",2
rabo-de-cavalo,"['ra', 'bo', 'de', 'ca', 'va', 'lo']",nome masculino,"['ɦˌa', 'bʊ', 'dʒi', 'ka', 'vˈa', 'lʊ']",2
rabugenta,"['ra', 'bu', 'gen', 'ta']",nome feminino,"['ɦa', 'bu', 'ʒˈẽ', 'tɐ']",2
rabugento,"['ra', 'bu', 'gen', 'to']",adjetivo,"['ɦa', 'bu', 'ʒˈẽ', 'tʊ']",2
rabugento,"['ra', 'bu', 'gen', 'to']",nome masculino,"['ɦa', 'bu', 'ʒˈẽ', 'tʊ']",2
rabugice,"['ra', 'bu', 'gi', 'ce']",nome feminino,"['ɦa', 'bu', 'ʒˈi', 'sɪ']",2
rábula,"['rá', 'bu', 'la']",nome feminino,"['ɦˈa', 'bu', 'lɐ ou ɦˈa', 'bu', 'lɐ']",3
rabulista,"['ra', 'bu', 'lis', 'ta']",adjetivo,"['ɦa', 'bu', 'lˈiʃ', 'tɐ']",2
rabulista,"['ra', 'bu', 'lis', 'ta']",nome masculino,"['ɦa', 'bu', 'lˈiʃ', 'tɐ ou ɦa', 'bu', 'lˈiʃ', 'tɐ']",2
raça,"['ra', 'ça']",nome feminino,"['ɦˈa', 'sɐ ou ɦˈa', 'sɐ']",2
ração,"['ra', 'ção']",nome feminino,"['ɦa', 'sˈɐ̃w']",1
racha,"['ra', 'cha']",nome feminino,"['ɦˈa', 'ʃɐ']",2
rachadela,"['ra', 'cha', 'de', 'la']",nome feminino,"['ɦa', 'ʃa', 'dˈɛ', 'lɐ']",2
rachado,"['ra', 'cha', 'do']",adjetivo,"['ɦa', 'ʃˈa', 'dʊ']",2
rachado,"['ra', 'cha', 'do']",nome masculino,"['ɦa', 'ʃˈa', 'dʊ']",2
rachadura,"['ra', 'cha', 'du', 'ra']",nome feminino,"['ɦa', 'ʃa', 'dˈu', 'ɾɐ']",2
rachão,"['ra', 'chão']",nome masculino,"['ɦa', 'ʃˈɐ̃w']",1
rachar,"['ra', 'char']",verbo,"['ɦa', 'ʃˈa']",1
racial,"['ra', 'ci', 'al']",adjetivo,"['ɦa', 'si', 'ˈaw']",1
racialmente,"['ra', 'ci', 'al', 'men', 'te']",advérbio,"['ɦa', 'si', 'aw', 'mˈẽ', 'tʃɪ']",2
rácico,"['rá', 'ci', 'co']",adjetivo,"['ɦˈa', 'si', 'kʊ']",3
rácio,"['rá', 'ci', 'o']",nome masculino,"['ɦˈa', 'sjʊ']",3
raciocinador,"['ra', 'ci', 'o', 'ci', 'na', 'dor']",adjetivo,"['ɦa', 'sjo', 'sĩ', 'na', 'dˈo']",1
raciocinador,"['ra', 'ci', 'o', 'ci', 'na', 'dor']",nome masculino,"['ɦa', 'sjo', 'sĩ', 'na', 'dˈo']",1
raciocinar,"['ra', 'ci', 'o', 'ci', 'nar']",verbo,"['ɦa', 'sjo', 'sĩ', 'nˈa']",1
raciocínio,"['ra', 'ci', 'o', 'cí', 'ni', 'o']",nome masculino,"['ɦa', 'sjo', 'sˈĩ', 'njʊ']",3
racional,"['ra', 'ci', 'o', 'nal']",nome masculino,"['ɦa', 'sjõ', 'nˈaw']",1
racional,"['ra', 'ci', 'o', 'nal']",adjetivo,"['ɦa', 'sjõ', 'nˈaw']",1
racionalidade,"['ra', 'ci', 'o', 'na', 'li', 'da', 'de']",nome feminino,"['ɦa', 'sjõ', 'na', 'li', 'dˈa', 'dʒɪ']",2
racionalismo,"['ra', 'ci', 'o', 'na', 'lis', 'mo']",nome masculino,"['ɦa', 'sjõ', 'na', 'lˈiʒ', 'mʊ']",2
racionalista,"['ra', 'ci', 'o', 'na', 'lis', 'ta']",nome masculino,"['ɦa', 'sjõ', 'na', 'lˈiʃ', 'tɐ']",2
racionalista,"['ra', 'ci', 'o', 'na', 'lis', 'ta']",adjetivo,"['ɦa', 'sjõ', 'na', 'lˈiʃ', 'tɐ']",2
racionalista,"['ra', 'ci', 'o', 'na', 'lis', 'ta']",nome feminino,"['ɦa', 'sjõ', 'na', 'lˈiʃ', 'tɐ']",2
racionalização,"['ra', 'ci', 'o', 'na', 'li', 'za', 'ção']",nome feminino,"['ɦa', 'sjõ', 'na', 'li', 'za', 'sˈɐ̃w']",1
racionalizado,"['ra', 'ci', 'o', 'na', 'li', 'za', 'do']",adjetivo,"['ɦa', 'sjõ', 'na', 'li', 'zˈa', 'dʊ']",2
racionalizar,"['ra', 'ci', 'o', 'na', 'li', 'zar']",verbo,"['ɦa', 'sjõ', 'na', 'li', 'zˈa']",1
