palavra,divisao,categoria,fonetica,tonic
tá,['tá'],interjeição,['tˈa'],1
taba,"['ta', 'ba']",nome feminino,"['tˈa', 'bɐ']",2
tabacaria,"['ta', 'ba', 'ca', 'ri', 'a']",nome feminino,"['ta', 'ba', 'ka', 'ɾˈi', 'ɐ']",2
tabaco,"['ta', 'ba', 'co']",nome masculino,"['ta', 'bˈa', 'kʊ']",2
tabaco,"['ta', 'ba', 'co']",adjetivo,"['ta', 'bˈa', 'kʊ']",2
tabagismo,"['ta', 'ba', 'gis', 'mo']",nome masculino,"['ta', 'ba', 'ʒˈiʒ', 'mʊ']",2
tabagista,"['ta', 'ba', 'gis', 'ta']",nome masculino,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",2
tabagista,"['ta', 'ba', 'gis', 'ta']",adjetivo,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",2
tabagista,"['ta', 'ba', 'gis', 'ta']",nome feminino,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",2
tabagístico,"['ta', 'ba', 'gís', 'ti', 'co']",adjetivo,"['ta', 'ba', 'ʒˈiʃ', 'tʃi', 'kʊ']",3
tabanca,"['ta', 'ban', 'ca']",nome feminino,"['ta', 'bˈɐ̃', 'kɐ']",2
tabaqueira,"['ta', 'ba', 'quei', 'ra']",nome feminino,"['ta', 'ba', 'kˈej', 'ɾɐ']",2
tabaqueiro,"['ta', 'ba', 'quei', 'ro']",nome masculino,"['ta', 'ba', 'kˈej', 'ɾʊ']",2
tabaqueiro,"['ta', 'ba', 'quei', 'ro']",adjetivo,"['ta', 'ba', 'kˈej', 'ɾʊ']",2
tabatinga,"['ta', 'ba', 'tin', 'ga']",nome feminino,"['ta', 'ba', 'tʃˈĩ', 'gɐ']",2
tabefe,"['ta', 'be', 'fe']",nome masculino,"['ta', 'bˈɛ', 'fɪ']",2
tabela,"['ta', 'be', 'la']",nome feminino,"['ta', 'bˈɛ', 'lɐ']",2
tabelado,"['ta', 'be', 'la', 'do']",adjetivo,"['ta', 'be', 'lˈa', 'dʊ']",2
tabelar,"['ta', 'be', 'lar']",verbo,"['ta', 'be', 'lˈa']",1
tabelar,"['ta', 'be', 'lar']",adjetivo,"['ta', 'be', 'lˈa']",1
tabelião,"['ta', 'be', 'li', 'ão']",nome masculino,"['ta', 'be', 'li', 'ˈɐ̃w']",1
tabelião,"['ta', 'be', 'li', 'ão']",adjetivo,"['ta', 'be', 'li', 'ˈɐ̃w']",1
tabelinha,"['ta', 'be', 'li', 'nha']",nome feminino,"['ta', 'be', 'lˈĩ', 'ɲɐ']",2
taberna,"['ta', 'ber', 'na']",nome feminino,"['ta', 'bˈɛɦ', 'nɐ']",2
tabernáculo,"['ta', 'ber', 'ná', 'cu', 'lo']",nome masculino,"['ta', 'beɦ', 'nˈa', 'ku', 'lʊ']",3
taberneira,"['ta', 'ber', 'nei', 'ra']",nome feminino,"['ta', 'beɦ', 'nˈej', 'ɾɐ']",2
taberneiro,"['ta', 'ber', 'nei', 'ro']",nome masculino,"['ta', 'beɦ', 'nˈej', 'ɾʊ']",2
taberneiro,"['ta', 'ber', 'nei', 'ro']",adjetivo,"['ta', 'beɦ', 'nˈej', 'ɾʊ']",2
tabicar,"['ta', 'bi', 'car']",verbo,"['ta', 'bi', 'kˈa']",1
tabique,"['ta', 'bi', 'que']",nome masculino,"['ta', 'bˈi', 'kɪ']",2
tabla,"['ta', 'bla']",nome feminino,"['tˈa', 'blɐ']",2
