palavra,divisao,categoria,fonetica,tonic
wagneriana,"['wag', 'ne', 'ri', 'a', 'na']",nome feminino,"['va', 'gĩ', 'ne', 'ɾi', 'ˈɐ̃', 'nɐ']",2
wagneriano,"['wag', 'ne', 'ri', 'a', 'no']",nome masculino,"['va', 'gĩ', 'ne', 'ɾi', 'ˈɐ̃', 'nʊ']",2
wagneriano,"['wag', 'ne', 'ri', 'a', 'no']",adjetivo,"['va', 'gĩ', 'ne', 'ɾi', 'ˈɐ̃', 'nʊ']",2
walkie-talkie,"['wal', 'kie', 'tal', 'kie']",nome masculino,[''],1
warrant,"['war', 'rant']",nome masculino,[''],2
washingtoniano,"['wa', 'shing', 'to', 'ni', 'a', 'no']",adjetivo,"['wo', 'ʃĩ', 'gə', 'tõ', 'ni', 'ˈɐ̃', 'nʊ']",2
washingtoniano,"['wa', 'shing', 'to', 'ni', 'a', 'no']",nome masculino,"['wo', 'ʃĩ', 'gə', 'tõ', 'ni', 'ˈɐ̃', 'nʊ']",2
watt,['watt'],nome masculino,[''],1
web,['web'],nome feminino,[''],1
weber,"['we', 'ber']",nome masculino,[''],2
weberiano,"['we', 'be', 'ri', 'a', 'no']",adjetivo,"['wɛ', 'be', 'ɾi', 'ˈɐ̃', 'nʊ']",2
western,"['wes', 'tern']",nome masculino,[''],2
whiskey,"['whis', 'key']",nome masculino,[''],2
whisky,"['whis', 'ky']",nome masculino,[''],2
wilsoniano,"['wil', 'so', 'ni', 'a', 'no']",adjetivo,"['wiw', 'sõ', 'ni', 'ˈɐ̃', 'nʊ']",2
windsurf,"['wind', 'surf']",nome masculino,[''],2
windsurfista,"['wind', 'sur', 'fis', 'ta']",nome masculino,"['wĩnd', 'suh', 'fˈiʃ', 'tɐ']",2
windsurfista,"['wind', 'sur', 'fis', 'ta']",nome feminino,"['wĩnd', 'suh', 'fˈiʃ', 'tɐ']",2
won,['won'],nome masculino,[''],1
workshop,"['work', 'shop']",nome masculino,[''],1
