palavra,divisao,categoria,fonetica,tonic
xá,['xá'],nome masculino,['ʃˈa'],1
xabrega,"['xa', 'bre', 'ga']",nome feminino,"['ʃa', 'bɾˈɛ', 'gɐ']",2
xabregas,"['xa', 'bre', 'gas']",adjetivo,"['ʃa', 'bɾˈɛ', 'gɐʃ']",2
xácara,"['xá', 'ca', 'ra']",nome feminino,"['ʃˈa', 'ka', 'ɾɐ']",3
xadrez,"['xa', 'drez']",nome masculino,"['ʃa', 'dɾˈeʃ']",1
xadrezista,"['xa', 'dre', 'zis', 'ta']",nome masculino,"['ʃa', 'dɾe', 'zˈiʃ', 'tɐ ou ʃa', 'dɾe', 'zˈiʃ', 'tɐ']",2
xaile,"['xai', 'le']",nome masculino,"['ʃˈaj', 'lɪ']",2
xale,"['xa', 'le']",nome masculino,"['ʃˈa', 'lɪ']",2
xamã,"['xa', 'mã']",nome masculino,"['ʃã', 'mˈɐ̃']",1
xamane,"['xa', 'ma', 'ne']",nome masculino,"['ʃã', 'mˈɐ̃', 'nɪ']",2
xamanismo,"['xa', 'ma', 'nis', 'mo']",nome masculino,"['ʃã', 'mã', 'nˈiʒ', 'mʊ']",2
xamanístico,"['xa', 'ma', 'nís', 'ti', 'co']",adjetivo,"['ʃã', 'mã', 'nˈiʃ', 'tʃi', 'kʊ']",3
xangaiense,"['xan', 'gai', 'en', 'se']",adjetivo,"['ʃɐ̃', 'gaj', 'ˈẽ', 'sɪ']",2
xangaiense,"['xan', 'gai', 'en', 'se']",nome masculino,"['ʃɐ̃', 'gaj', 'ˈẽ', 'sɪ ou ʃɐ̃', 'gaj', 'ˈẽ', 'sɪ']",2
xantina,"['xan', 'ti', 'na']",nome feminino,"['ʃɐ̃', 'tʃˈĩ', 'nɐ']",2
xara,"['xa', 'ra']",nome feminino,"['ʃˈa', 'ɾɐ']",2
xarém,"['xa', 'rém']",nome masculino,"['ʃa', 'ɾˈẽj']",1
xaropada,"['xa', 'ro', 'pa', 'da']",nome feminino,"['ʃa', 'ɾo', 'pˈa', 'dɐ']",2
xaropar,"['xa', 'ro', 'par']",verbo,"['ʃa', 'ɾo', 'pˈa']",1
xarope,"['xa', 'ro', 'pe']",nome masculino,"['ʃa', 'ɾˈɔ', 'pɪ']",2
xaroposo,"['xa', 'ro', 'po', 'so']",adjetivo,"['ʃa', 'ɾo', 'pˈo', 'zʊ']",2
xávega,"['xá', 've', 'ga']",nome feminino,"['ʃˈa', 've', 'gɐ']",3
xelim,"['xe', 'lim']",nome masculino,"['ʃe', 'lˈĩ']",1
xenar,"['xe', 'nar']",verbo,"['ʃẽ', 'nˈa']",1
xenofilia,"['xe', 'no', 'fi', 'li', 'a']",nome feminino,"['ʃẽ', 'no', 'fi', 'lˈi', 'ɐ']",2
xenófoba,"['xe', 'nó', 'fo', 'ba']",nome feminino,"['ʃẽ', 'nˈɔ', 'fo', 'bɐ']",3
xenofobia,"['xe', 'no', 'fo', 'bi', 'a']",nome feminino,"['ʃẽ', 'no', 'fo', 'bˈi', 'ɐ']",2
xenofobismo,"['xe', 'no', 'fo', 'bis', 'mo']",nome masculino,"['ʃẽ', 'no', 'fo', 'bˈiʒ', 'mʊ']",2
xenófobo,"['xe', 'nó', 'fo', 'bo']",adjetivo,"['ʃẽ', 'nˈɔ', 'fo', 'bʊ']",3
xenófobo,"['xe', 'nó', 'fo', 'bo']",nome masculino,"['ʃẽ', 'nˈɔ', 'fo', 'bʊ']",3
xénon,"['xé', 'non']",nome masculino,"['ʃˈɛ̃', 'nõ']",2
xenotransplante,"['xe', 'no', 'trans', 'plan', 'te']",nome masculino,"['ʃẽ', 'no', 'tɾɐ̃ʃ', 'plˈɐ̃', 'tʃɪ']",2
xepa,"['xe', 'pa']",nome feminino,"['ʃˈe', 'pɐ']",2
xeque,"['xe', 'que']",nome masculino,"['ʃˈɛ', 'kɪ']",2
xeque-mate,"['xe', 'que', 'ma', 'te']",nome masculino,"['ʃˌɛ', 'ki', 'mˈa', 'tʃɪ']",2
xerafim,"['xe', 'ra', 'fim']",nome masculino,"['ʃe', 'ɾa', 'fˈĩ']",1
xerez,"['xe', 'rez']",nome masculino,"['ʃe', 'ɾˈeʃ']",1
xerife,"['xe', 'ri', 'fe']",nome masculino,"['ʃe', 'ɾˈi', 'fɪ']",2
xerodermia,"['xe', 'ro', 'der', 'mi', 'a']",nome feminino,"['ʃe', 'ɾo', 'deɦ', 'mˈi', 'ɐ']",2
xerox,"['xe', 'rox']",adjetivo,"['ʃe', 'ɾˈɔks']",1
xerox,"['xe', 'rox']",nome masculino,"['ʃe', 'ɾˈɔks']",1
xerox,"['xe', 'rox']",nome feminino,"['ʃe', 'ɾˈɔks']",1
xícara,"['xí', 'ca', 'ra']",nome feminino,"['ʃˈi', 'ka', 'ɾɐ']",3
xicuembo,"['xi', 'cu', 'em', 'bo']",nome masculino,"['ʃi', 'ku', 'ˈẽ', 'bʊ']",2
xigubo,"['xi', 'gu', 'bo']",nome masculino,"['ʃi', 'gˈu', 'bʊ']",2
xiismo,"['xi', 'is', 'mo']",nome masculino,"['ʃi', 'ˈiʒ', 'mʊ']",2
xiita,"['xi', 'i', 'ta']",nome masculino,"['ʃi', 'ˈi', 'tɐ']",2
xiita,"['xi', 'i', 'ta']",adjetivo,"['ʃi', 'ˈi', 'tɐ']",2
xiita,"['xi', 'i', 'ta']",nome feminino,"['ʃi', 'ˈi', 'tɐ']",2
xila,"['xi', 'la']",nome feminino,"['ʃˈi', 'lɐ']",2
xileno,"['xi', 'le', 'no']",nome masculino,"['ʃi', 'lˈẽ', 'nʊ']",2
