Key,Value
Dicionário de Termos Nordestinos,Palavras e expre ssões nordestinas pesquisadas e dicionarizadas pelo  paraibano de Campina Grande e 
 1 Dicionário de Termos Nordestinos,Palavras e expre ssões nordestinas 
A PULSO,À força. Contra a vontade 
ABESTADO,Otário. Tolo 
ABESTALHADO,Otário. Tolo 
ABIROBADO,Maluco. 
ABISCOITADO,"Maluco, desorientado. "
ABUFELAR,"Agarrar pela gola, agredir. "
ABULETADO,Pessoa que ocupou um espaço tomou conta  do 
ACUNHAR,Chegar junto. 
ADULAR,"Agradar, bajular. Fazer a vontade de algué m "
AFEIÇOADO,"Pessoa bem aparentada (bonita, arrumada ); "
AGONIADO,"Aflito, afobado, amargurado, angustiado,  apressado, "
AI DENTO,Resposta a qualquer provocação. 
AJEGADO,Quem tem pênis grande. 
ALDEOTA,e seguramente o maior bairro informal do País. Os 
ALFININ,Espécie de rapadura. 
ALPERCATA,Sandália de couro. 
ALTEAR,Aumentar o volume do som. Subir algo. 
ALUMIAR,Iluminar. Projetar luz sobre algo ou algu ém. 
AMANCEBADO,"Amigado, aquele que vive maritalmente com outra. "
AMARELO QUEIMADO,Cor laranja. 
AMOLEGAR,Apalpar ou apertar um corpo mole ou uma parte dele. 
AMOSTRADO,Quem mostra que tem dinheiro ou poder. 
ANDE TONHA!,Expressão popular que indica o ato se xual. 
APERREAR,Encher o saco. 
APETRECHADA,Dotada de beleza física. 
APOIS,Expressão de concordância. 
APOQUENTAR,"Aborrecer, azucrinar, chatear. "
APRUMADO,"Arrumado, bem vestido, bonito, de bons m odos. "
ARENGA,Briga 
ARIADO,Desnorteado 
ARIAR A FIVELA,"Dançar apertado, ralabucho. "
ARRE EGUA!,Interjeição que pode significar qualqu er coisa a 
ARRIBAR,Ir embora. ARROCHADO – Valentão. 
ARROTO DE CU ,Peido. 
ARRUDIAR,Dar a volta. 
ÁS DE COPAS,Ânus. Cú. 
ASSUSTADO,Baile caseiro programado pelos jovens n a casa de 
ATAIAR,Atalhar. Ir por um caminho mais curto 
ATARENTADO,"Aperriado, desnorteado, perdido. "
AVALIE,Imagine. 
AVEXADO,Apressado. 
AZUADO,Alguém desligado. 
BAE DE CUIA,"No jogo de futebol, corresponde a len çol. "
BAITINGA,"Tratamento informal entre velhos amigos,  no sentido "
BAITOLA,Viado. (A palavra tem origem na construçã o da primeira 
BAIXA DA ÉGUA,Lugar distante. 
BALAÇAR A TANAJURA,Dançar. 
BALAIO,"Cesto feito de cipó ou palha, sem alça. "
BALDEAR,Perturbar. 
BALEADEIRA,"Baladeira, atiradeira, bodoque, estili ngue. "
BAMBA,Cambaleante. Sem equilíbrio. 
BANANA,Parte do boi conhecida no Sudeste do Brasi l como 
BANANA-PRATA,Banana-branca. 
BANCA,Aula particular fora do curso regular. Refo rço escolar 
BANDA,"Lado, parte lateral, pedaço. "
BANGÜÊ,Caixa retangular com 4 cabos de madeira pa ra transporte 
BANHO DE ASSEIO,Banho em que a pessoa lava apenas  os 
BANHO SAPECADO,Banho rápido e incompleto. 
BARNEI,(bá) Pessoa nova no lugar. 
BARRÃO,Porco novo usado como reprodutor. 
BARREADO,"Confuso, sem saber o que fazer ou o que dizer. "
BASCULANTE,Vitrô. 
BATATA-DO-REINO,Batata.  
BATENTE,Obstáculo de madeira ou concreto construí do no chão 
