palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
a,artigo,['a'],-1,['a'],0
a,preposição,['a'],-1,['a'],0
á-bê-cê,nome masculino,"['á', 'bê', 'cê']",-1,"['ˌa', 'bˌe', 'sˈe']",-1
a-propósito,nome masculino,"['a', 'pro', 'pó', 'si', 'to']",-3,"['a', 'pɾo', 'pˈɔ', 'zi', 'tʊ']",-3
à-vontade,nome masculino,"['à', 'von', 'ta', 'de']",-2,"['ˌa', 'võ', 'tˈa', 'dʒɪ']",-2
aa,nome feminino,"['a', 'a']",-2,"['a', 'ˈa']",-1
aal,nome masculino,"['a', 'al']",-1,"['a', 'ˈaw']",-1
ab-reativo,adjetivo,"['ab', 're', 'a', 'ti', 'vo']",-2,"['ab', 'ɦe', 'a', 'tʃˈi', 'vʊ']",-2
ab-rogado,adjetivo,"['ab', 'ro', 'ga', 'do']",-2,"['ab', 'ɦo', 'gˈa', 'dʊ']",-2
ab-rogador,adjetivo,"['ab', 'ro', 'ga', 'dor']",-1,"['ab', 'ɦo', 'ga', 'dˈoɾ']",-1
ab-rogador,nome masculino,"['ab', 'ro', 'ga', 'dor']",-1,"['ab', 'ɦo', 'ga', 'dˈoɾ']",-1
ab-rogar,verbo,"['ab', 'ro', 'gar']",-1,"['ab', 'ɦo', 'gˈaɾ']",-1
ab-rogatório,adjetivo,"['ab', 'ro', 'ga', 'tó', 'ri', 'o']",-3,"['ab', 'ɦo', 'ga', 'tˈɔ', 'ɾjʊ']",-2
aba,nome masculino,"['a', 'ba']",-2,"['ˈa', 'bɐ']",-2
aba,nome feminino,"['a', 'ba']",-2,"['ˈa', 'bɐ']",-2
abacanto,nome masculino,"['a', 'ba', 'can', 'to']",-2,"['a', 'ba', 'kˈɐ̃', 'tʊ']",-2
abacate,adjetivo,"['a', 'ba', 'ca', 'te']",-2,"['a', 'ba', 'kˈa', 'tʃɪ']",-2
abacate,nome masculino,"['a', 'ba', 'ca', 'te']",-2,"['a', 'ba', 'kˈa', 'tʃɪ']",-2
abacate,nome feminino,"['a', 'ba', 'ca', 'te']",-2,"['a', 'ba', 'kˈa', 'tʃɪ']",-2
abacaxi,adjetivo,"['a', 'ba', 'ca', 'xi']",-1,"['a', 'ba', 'ka', 'ʃˈi']",-1
abacaxi,nome masculino,"['a', 'ba', 'ca', 'xi']",-1,"['a', 'ba', 'ka', 'ʃˈi']",-1
abacial,adjetivo,"['a', 'ba', 'ci', 'al']",-1,"['a', 'ba', 'si', 'ˈaw']",-1
ábaco,nome masculino,"['á', 'ba', 'co']",-3,"['ˈa', 'ba', 'kʊ']",-3
abada,nome feminino,"['a', 'ba', 'da']",-2,"['a', 'bˈa', 'dɐ']",-2
abadágio,nome masculino,"['a', 'ba', 'dá', 'gi', 'o']",-3,"['a', 'ba', 'dˈa', 'ʒjʊ']",-2
abadar,verbo,"['a', 'ba', 'dar']",-1,"['a', 'ba', 'dˈa']",-1
abade,nome masculino,"['a', 'ba', 'de']",-2,"['a', 'bˈa', 'dʒɪ']",-2
abadejo,nome masculino,"['a', 'ba', 'de', 'jo']",-2,"['a', 'ba', 'dˈe', 'ʒʊ']",-2
abadessa,nome feminino,"['a', 'ba', 'des', 'sa']",-2,"['a', 'ba', 'dˈe', 'sɐ']",-2
abadessar,verbo,"['a', 'ba', 'des', 'sar']",-1,"['a', 'ba', 'de', 'sˈa']",-1
abadia,nome feminino,"['a', 'ba', 'di', 'a']",-2,"['a', 'ba', 'dʒˈi', 'ɐ']",-2
abadiado,nome masculino,"['a', 'ba', 'di', 'a', 'do']",-2,"['a', 'ba', 'dʒi', 'ˈa', 'dʊ']",-2
abadiar,verbo,"['a', 'ba', 'di', 'ar']",-1,"['a', 'ba', 'dʒi', 'ˈa']",-1
abadir,nome masculino,"['a', 'ba', 'dir']",-1,"['a', 'ba', 'dʒˈi']",-1
abado,adjetivo,"['a', 'ba', 'do']",-2,"['a', 'bˈa', 'dʊ']",-2
abafadamente,advérbio,"['a', 'ba', 'fa', 'da', 'men', 'te']",-2,"['a', 'ba', 'fa', 'dã', 'mˈẽ', 'tʃɪ']",-2
abafado,adjetivo,"['a', 'ba', 'fa', 'do']",-2,"['a', 'ba', 'fˈa', 'dʊ']",-2
abafado,nome masculino,"['a', 'ba', 'fa', 'do']",-2,"['a', 'ba', 'fˈa', 'dʊ']",-2
abafador,nome masculino,"['a', 'ba', 'fa', 'dor']",-1,"['a', 'ba', 'fa', 'dˈo']",-1
abafador,adjetivo,"['a', 'ba', 'fa', 'dor']",-1,"['a', 'ba', 'fa', 'dˈo']",-1
abafamento,nome masculino,"['a', 'ba', 'fa', 'men', 'to']",-2,"['a', 'ba', 'fã', 'mˈẽ', 'tʊ']",-2
abafante,adjetivo,"['a', 'ba', 'fan', 'te']",-2,"['a', 'ba', 'fˈɐ̃', 'tʃɪ']",-2
abafar,nome masculino,"['a', 'ba', 'far']",-1,"['a', 'ba', 'fˈa']",-1
abafar,verbo,"['a', 'ba', 'far']",-1,"['a', 'ba', 'fˈa']",-1
abafável,adjetivo,"['a', 'ba', 'fá', 'vel']",-2,"['a', 'ba', 'fˈa', 'vew']",-2
abafo,nome masculino,"['a', 'ba', 'fo']",-2,"['a', 'bˈa', 'fʊ']",-2
abaixa,nome feminino,"['a', 'bai', 'xa']",-2,"['a', 'bˈaj', 'ʃɐ']",-2
abaixado,adjetivo,"['a', 'bai', 'xa', 'do']",-2,"['a', 'baj', 'ʃˈa', 'dʊ']",-2
abaixamento,nome masculino,"['a', 'bai', 'xa', 'men', 'to']",-2,"['a', 'baj', 'ʃã', 'mˈẽ', 'tʊ']",-2
abaixar,verbo,"['a', 'bai', 'xar']",-1,"['a', 'baj', 'ʃˈa']",-1
abaixo,advérbio,"['a', 'bai', 'xo']",-2,"['a', 'bˈaj', 'ʃʊ']",-2
abaixo-assinado,nome masculino,"['a', 'bai', 'xo', 'as', 'si', 'na', 'do']",-1,"['a', 'bˌaj', 'ʃʊ', 'a', 'sĩ', 'nˈa', 'dʊ']",-2
abajoujado,adjetivo,"['a', 'ba', 'jou', 'ja', 'do']",-2,"['a', 'ba', 'ʒo', 'ʒˈa', 'dʊ']",-2
abajoujar,verbo,"['a', 'ba', 'jou', 'jar']",-1,"['a', 'ba', 'ʒo', 'ʒˈaɾ']",-1
abajur,nome masculino,"['a', 'ba', 'jur']",-1,"['a', 'ba', 'ʒˈu']",-1
abalada,nome feminino,"['a', 'ba', 'la', 'da']",-2,"['a', 'ba', 'lˈa', 'dɐ']",-2
abalado,adjetivo,"['a', 'ba', 'la', 'do']",-2,"['a', 'ba', 'lˈa', 'dʊ']",-2
abalançado,adjetivo,"['a', 'ba', 'lan', 'ça', 'do']",-2,"['a', 'ba', 'lɐ̃', 'sˈa', 'dʊ']",-2
abalançar,verbo,"['a', 'ba', 'lan', 'çar']",-1,"['a', 'ba', 'lɐ̃', 'sˈa']",-1
abalar,verbo,"['a', 'ba', 'lar']",-1,"['a', 'ba', 'lˈa']",-1
abalçado,adjetivo,"['a', 'bal', 'ça', 'do']",-2,"['a', 'baw', 'sˈa', 'dʊ']",-2
abalçar,verbo,"['a', 'bal', 'çar']",-1,"['a', 'baw', 'sˈaɾ']",-1
abalienação,nome feminino,"['a', 'ba', 'li', 'e', 'na', 'ção']",-1,"['a', 'ba', 'li', 'ẽ', 'na', 'sˈɐ̃w']",-1
abalienado,adjetivo,"['a', 'ba', 'li', 'e', 'na', 'do']",-2,"['a', 'ba', 'li', 'ẽ', 'nˈa', 'dʊ']",-2
abalienar,verbo,"['a', 'ba', 'li', 'e', 'nar']",-1,"['a', 'ba', 'li', 'ẽ', 'nˈaɾ']",-1
abalienável,adjetivo,"['a', 'ba', 'li', 'e', 'ná', 'vel']",-2,"['a', 'ba', 'li', 'ẽ', 'nˈa', 'vew']",-2
abalistar,verbo,"['a', 'ba', 'lis', 'tar']",-1,"['a', 'ba', 'liʃ', 'tˈaɾ']",-1
abalizadamente,advérbio,"['a', 'ba', 'li', 'za', 'da', 'men', 'te']",-2,"['a', 'ba', 'li', 'za', 'dã', 'mˈẽ', 'tʃɪ']",-2
abalizado,adjetivo,"['a', 'ba', 'li', 'za', 'do']",-2,"['a', 'ba', 'li', 'zˈa', 'dʊ']",-2
abalizar,verbo,"['a', 'ba', 'li', 'zar']",-1,"['a', 'ba', 'li', 'zˈa']",-1
abalo,nome masculino,"['a', 'ba', 'lo']",-2,"['a', 'bˈa', 'lʊ']",-2
abalone,nome masculino,"['a', 'ba', 'lo', 'ne']",-2,"['a', 'ba', 'lˈɔ̃', 'nɪ']",-2
abalroa,nome feminino,"['a', 'bal', 'ro', 'a']",-2,"['a', 'baw', 'ɦˈo', 'ɐ']",-2
abalroada,nome feminino,"['a', 'bal', 'ro', 'a', 'da']",-2,"['a', 'baw', 'ɦo', 'ˈa', 'dɐ']",-2
abalroado,adjetivo,"['a', 'bal', 'ro', 'a', 'do']",-2,"['a', 'baw', 'ɦo', 'ˈa', 'dʊ']",-2
abalroamento,nome masculino,"['a', 'bal', 'ro', 'a', 'men', 'to']",-2,"['a', 'baw', 'ɦo', 'ã', 'mˈẽ', 'tʊ']",-2
abalroar,verbo,"['a', 'bal', 'ro', 'ar']",-1,"['a', 'baw', 'ɦo', 'ˈa']",-1
abaluartado,adjetivo,"['a', 'ba', 'lu', 'ar', 'ta', 'do']",-2,"['a', 'ba', 'lu', 'ah', 'tˈa', 'dʊ']",-2
abaluartar,verbo,"['a', 'ba', 'lu', 'ar', 'tar']",-1,"['a', 'ba', 'lu', 'ah', 'tˈa']",-1
abama,nome feminino,"['a', 'ba', 'ma']",-2,"['a', 'bˈɐ̃', 'mɐ']",-2
abanado,adjetivo,"['a', 'ba', 'na', 'do']",-2,"['a', 'bã', 'nˈa', 'dʊ']",-2
abananado,adjetivo,"['a', 'ba', 'na', 'na', 'do']",-2,"['a', 'bã', 'nã', 'nˈa', 'dʊ']",-2
abananar,verbo,"['a', 'ba', 'na', 'nar']",-1,"['a', 'bã', 'nã', 'nˈa']",-1
abanão,nome masculino,"['a', 'ba', 'não']",-1,"['a', 'bã', 'nˈɐ̃w']",-1
abanar,verbo,"['a', 'ba', 'nar']",-1,"['a', 'bã', 'nˈa']",-1
abancado,adjetivo,"['a', 'ban', 'ca', 'do']",-2,"['a', 'bɐ̃', 'kˈa', 'dʊ']",-2
abancar,verbo,"['a', 'ban', 'car']",-1,"['a', 'bɐ̃', 'kˈa']",-1
abandalhadamente,advérbio,"['a', 'ban', 'da', 'lha', 'da', 'men', 'te']",-2,"['a', 'bɐ̃', 'da', 'ʎa', 'dã', 'mˈẽ', 'tʃɪ']",-2
abandalhado,adjetivo,"['a', 'ban', 'da', 'lha', 'do']",-2,"['a', 'bɐ̃', 'da', 'ʎˈa', 'dʊ']",-2
abandalhamento,nome masculino,"['a', 'ban', 'da', 'lha', 'men', 'to']",-2,"['a', 'bɐ̃', 'da', 'ʎã', 'mˈẽ', 'tʊ']",-2
abandalhar,verbo,"['a', 'ban', 'da', 'lhar']",-1,"['a', 'bɐ̃', 'da', 'ʎˈa']",-1
abandar,verbo,"['a', 'ban', 'dar']",-1,"['a', 'bɐ̃', 'dˈa']",-1
abandonada,nome feminino,"['a', 'ban', 'do', 'na', 'da']",-2,"['a', 'bɐ̃', 'dõ', 'nˈa', 'dɐ']",-2
