palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
babá,nome feminino,"['ba', 'bá']",-1,"['ba', 'bˈa']",-1
baba,nome feminino,"['ba', 'ba']",-2,"['bˈa', 'bɐ']",-2
baba,nome masculino,"['ba', 'ba']",-2,"['bˈa', 'bɐ']",-2
babá,nome masculino,"['ba', 'bá']",-1,"['ba', 'bˈa']",-1
babaca,adjetivo,"['ba', 'ba', 'ca']",-2,"['ba', 'bˈa', 'kɐ']",-2
babada,nome feminino,"['ba', 'ba', 'da']",-2,"['ba', 'bˈa', 'dɐ']",-2
babado,adjetivo,"['ba', 'ba', 'do']",-2,"['ba', 'bˈa', 'dʊ']",-2
babado,nome masculino,"['ba', 'ba', 'do']",-2,"['ba', 'bˈa', 'dʊ']",-2
babar,verbo,"['ba', 'bar']",-1,"['ba', 'bˈa']",-1
babeiro,nome masculino,"['ba', 'bei', 'ro']",-2,"['ba', 'bˈej', 'ɾʊ']",-2
babel,nome feminino,"['ba', 'bel']",-1,"['ba', 'bˈɛw']",-1
babélico,adjetivo,"['ba', 'bé', 'li', 'co']",-3,"['ba', 'bˈɛ', 'li', 'kʊ']",-3
babete,nome masculino,"['ba', 'be', 'te']",-2,"['ba', 'bˈɛ', 'tʃɪ']",-2
babilónia,nome feminino,"['ba', 'bi', 'ló', 'ni', 'a']",-3,"['ba', 'bi', 'lˈɔ̃', 'njɐ']",-2
babilônia,nome feminino,"['ba', 'bi', 'lô', 'ni', 'a']",-3,"['ba', 'bi', 'lˈõ', 'njɐ']",-2
babilónico,adjetivo,"['ba', 'bi', 'ló', 'ni', 'co']",-3,"['ba', 'bi', 'lˈɔ̃', 'ni', 'kʊ']",-3
babilônico,adjetivo,"['ba', 'bi', 'lô', 'ni', 'co']",-3,"['ba', 'bi', 'lˈõ', 'ni', 'kʊ']",-3
babilônio,adjetivo,"['ba', 'bi', 'lô', 'ni', 'o']",-3,"['ba', 'bi', 'lˈõ', 'njʊ']",-2
babilónio,nome masculino,"['ba', 'bi', 'ló', 'ni', 'o']",-3,"['ba', 'bi', 'lˈɔ̃', 'njʊ']",-2
babilónio,adjetivo,"['ba', 'bi', 'ló', 'ni', 'o']",-3,"['ba', 'bi', 'lˈɔ̃', 'njʊ']",-2
babosa,nome feminino,"['ba', 'bo', 'sa']",-2,"['ba', 'bˈɔ', 'zɐ']",-2
baboseira,nome feminino,"['ba', 'bo', 'sei', 'ra']",-2,"['ba', 'bo', 'zˈej', 'ɾɐ']",-2
baboso,adjetivo,"['ba', 'bo', 'so']",-2,"['ba', 'bˈo', 'zʊ']",-2
baboso,nome masculino,"['ba', 'bo', 'so']",-2,"['ba', 'bˈo', 'zʊ']",-2
babucha,nome feminino,"['ba', 'bu', 'cha']",-2,"['ba', 'bˈu', 'ʃɐ']",-2
babugem,nome feminino,"['ba', 'bu', 'gem']",-2,"['ba', 'bˈu', 'ʒẽj']",-2
babuíno,nome masculino,"['ba', 'bu', 'í', 'no']",-2,"['ba', 'bu', 'ˈĩ', 'nʊ']",-2
baby-sitter,nome masculino,"['ba', 'by', 'sit', 'ter']",-2,[''],0
bacalhau,nome masculino,"['ba', 'ca', 'lhau']",-1,"['ba', 'ka', 'ʎˈaw']",-1
bacalhoeira,nome feminino,"['ba', 'ca', 'lho', 'ei', 'ra']",-2,"['ba', 'ka', 'ʎo', 'ˈej', 'ɾɐ']",-2
bacalhoeiro,adjetivo,"['ba', 'ca', 'lho', 'ei', 'ro']",-2,"['ba', 'ka', 'ʎo', 'ˈej', 'ɾʊ']",-2
bacalhoeiro,nome masculino,"['ba', 'ca', 'lho', 'ei', 'ro']",-2,"['ba', 'ka', 'ʎo', 'ˈej', 'ɾʊ']",-2
bacamarte,nome masculino,"['ba', 'ca', 'mar', 'te']",-2,"['ba', 'kã', 'mˈah', 'tʃɪ']",-2
bacana,adjetivo,"['ba', 'ca', 'na']",-2,"['ba', 'kˈɐ̃', 'nɐ']",-2
bacanal,nome masculino,"['ba', 'ca', 'nal']",-1,"['ba', 'kã', 'nˈaw']",-1
bacanal,nome feminino,"['ba', 'ca', 'nal']",-1,"['ba', 'kã', 'nˈaw']",-1
bacanal,adjetivo,"['ba', 'ca', 'nal']",-1,"['ba', 'kã', 'nˈaw']",-1
bacano,adjetivo,"['ba', 'ca', 'no']",-2,"['ba', 'kˈɐ̃', 'nʊ']",-2
bacano,nome masculino,"['ba', 'ca', 'no']",-2,"['ba', 'kˈɐ̃', 'nʊ']",-2
bacante,nome feminino,"['ba', 'can', 'te']",-2,"['ba', 'kˈɐ̃', 'tʃɪ']",-2
bacante,adjetivo,"['ba', 'can', 'te']",-2,"['ba', 'kˈɐ̃', 'tʃɪ']",-2
bacará,nome masculino,"['ba', 'ca', 'rá']",-1,"['ba', 'ka', 'ɾˈa']",-1
bacelar,verbo,"['ba', 'ce', 'lar']",-1,"['ba', 'se', 'lˈa']",-1
bacelo,nome masculino,"['ba', 'ce', 'lo']",-2,"['ba', 'sˈe', 'lʊ']",-2
bacharel,nome masculino,"['ba', 'cha', 'rel']",-1,"['ba', 'ʃa', 'ɾˈɛw']",-1
bacharelado,nome masculino,"['ba', 'cha', 're', 'la', 'do']",-2,"['ba', 'ʃa', 'ɾe', 'lˈa', 'dʊ']",-2
bacharelado,adjetivo,"['ba', 'cha', 're', 'la', 'do']",-2,"['ba', 'ʃa', 'ɾe', 'lˈa', 'dʊ']",-2
bacharelar,verbo,"['ba', 'cha', 're', 'lar']",-1,"['ba', 'ʃa', 'ɾe', 'lˈa']",-1
bacharelato,nome masculino,"['ba', 'cha', 're', 'la', 'to']",-2,"['ba', 'ʃa', 'ɾe', 'lˈa', 'tʊ']",-2
bachata,nome feminino,"['ba', 'cha', 'ta']",-2,"['ba', 'ʃˈa', 'tɐ']",-2
bacia,nome feminino,"['ba', 'ci', 'a']",-2,"['ba', 'sˈi', 'ɐ']",-2
bacilo,nome masculino,"['ba', 'ci', 'lo']",-2,"['ba', 'sˈi', 'lʊ']",-2
bacio,nome masculino,"['ba', 'ci', 'o']",-2,"['ba', 'sˈi', 'ʊ']",-2
background,nome masculino,"['back', 'ground']",-2,[''],0
backup,nome masculino,"['bac', 'kup']",-2,[''],0
baço,adjetivo,"['ba', 'ço']",-2,"['bˈa', 'sʊ']",-2
baço,nome masculino,"['ba', 'ço']",-2,"['bˈa', 'sʊ']",-2
bacoca,nome feminino,"['ba', 'co', 'ca']",-2,"['ba', 'kˈo', 'kɐ']",-2
bacoco,adjetivo,"['ba', 'co', 'co']",-2,"['ba', 'kˈo', 'kʊ']",-2
bacoco,nome masculino,"['ba', 'co', 'co']",-2,"['ba', 'kˈo', 'kʊ']",-2
bacon,nome masculino,"['ba', 'con']",-2,[''],0
bacongo,adjetivo,"['ba', 'con', 'go']",-2,"['ba', 'kˈõ', 'gʊ']",-2
bacongo,nome masculino,"['ba', 'con', 'go']",-2,"['ba', 'kˈõ', 'gʊ']",-2
baconiano,adjetivo,"['ba', 'co', 'ni', 'a', 'no']",-2,"['ba', 'kõ', 'ni', 'ˈɐ̃', 'nʊ']",-2
bacorada,nome feminino,"['ba', 'co', 'ra', 'da']",-2,"['ba', 'ko', 'ɾˈa', 'dɐ']",-2
bacorinho,nome masculino,"['ba', 'co', 'ri', 'nho']",-2,"['ba', 'ko', 'ɾˈĩ', 'ɲʊ']",-2
bácoro,nome masculino,"['bá', 'co', 'ro']",-3,"['bˈa', 'ko', 'ɾʊ']",-3
bactéria,nome feminino,"['bac', 'té', 'ri', 'a']",-3,"['ba', 'ki', 'tˈɛ', 'ɾjɐ']",-2
bacterial,adjetivo,"['bac', 'te', 'ri', 'al']",-1,"['ba', 'ki', 'te', 'ɾi', 'ˈaw']",-1
bacteriano,adjetivo,"['bac', 'te', 'ri', 'a', 'no']",-2,"['ba', 'ki', 'te', 'ɾi', 'ˈɐ̃', 'nʊ']",-2
bactericida,adjetivo,"['bac', 'te', 'ri', 'ci', 'da']",-2,"['ba', 'ki', 'te', 'ɾi', 'sˈi', 'dɐ']",-2
bacteriologia,nome feminino,"['bac', 'te', 'ri', 'o', 'lo', 'gi', 'a']",-2,"['ba', 'ki', 'te', 'ɾjo', 'lo', 'ʒˈi', 'ɐ']",-2
bacteriologicamente,advérbio,"['bac', 'te', 'ri', 'o', 'lo', 'gi', 'ca', 'men', 'te']",-2,"['ba', 'ki', 'te', 'ɾjo', 'lɔ', 'ʒi', 'kã', 'mˈẽ', 'tʃɪ']",-2
bacteriológico,adjetivo,"['bac', 'te', 'ri', 'o', 'ló', 'gi', 'co']",-3,"['ba', 'ki', 'te', 'ɾjo', 'lˈɔ', 'ʒi', 'kʊ']",-3
bacteriologista,adjetivo,"['bac', 'te', 'ri', 'o', 'lo', 'gis', 'ta']",-2,"['ba', 'ki', 'te', 'ɾjo', 'lo', 'ʒˈiʃ', 'tɐ']",-2
bacteriologista,nome masculino,"['bac', 'te', 'ri', 'o', 'lo', 'gis', 'ta']",-2,"['ba', 'ki', 'te', 'ɾjo', 'lo', 'ʒˈiʃ', 'tɐ']",-2
