palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
cá,nome masculino,['cá'],-1,['kˈa'],-1
cã,nome feminino,['cã'],-1,['kˈɐ̃'],-1
cá,advérbio,['cá'],-1,['kˈa'],-1
ca,conjunção,['ca'],-1,['kˈa'],-1
cã,nome masculino,['cã'],-1,['kˈɐ̃'],-1
caba,nome feminino,"['ca', 'ba']",-2,"['kˈa', 'bɐ']",-2
cabaça,nome masculino,"['ca', 'ba', 'ça']",-2,"['ka', 'bˈa', 'sɐ']",-2
cabaceira,nome feminino,"['ca', 'ba', 'cei', 'ra']",-2,"['ka', 'ba', 'sˈej', 'ɾɐ']",-2
cabaceiro,nome masculino,"['ca', 'ba', 'cei', 'ro']",-2,"['ka', 'ba', 'sˈej', 'ɾʊ']",-2
cabacinha,nome feminino,"['ca', 'ba', 'ci', 'nha']",-2,"['ka', 'ba', 'sˈĩ', 'ɲɐ']",-2
cabaço,nome masculino,"['ca', 'ba', 'ço']",-2,"['ka', 'bˈa', 'sʊ']",-2
cabaia,nome feminino,"['ca', 'bai', 'a']",-2,"['ka', 'bˈaj', 'ɐ']",-2
cabal,adjetivo,"['ca', 'bal']",-1,"['ka', 'bˈaw']",-1
cabala,nome feminino,"['ca', 'ba', 'la']",-2,"['ka', 'bˈa', 'lɐ']",-2
cabala,adjetivo,"['ca', 'ba', 'la']",-2,"['ka', 'bˈa', 'lɐ']",-2
cabala,nome masculino,"['ca', 'ba', 'la']",-2,"['ka', 'bˈa', 'lɐ']",-2
cabalar,verbo,"['ca', 'ba', 'lar']",-1,"['ka', 'ba', 'lˈa']",-1
cabalista,nome masculino,"['ca', 'ba', 'lis', 'ta']",-2,"['ka', 'ba', 'lˈiʃ', 'tɐ']",-2
cabalista,nome feminino,"['ca', 'ba', 'lis', 'ta']",-2,"['ka', 'ba', 'lˈiʃ', 'tɐ']",-2
cabalisticamente,advérbio,"['ca', 'ba', 'lis', 'ti', 'ca', 'men', 'te']",-2,"['ka', 'ba', 'liʃ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",-2
cabalístico,adjetivo,"['ca', 'ba', 'lís', 'ti', 'co']",-3,"['ka', 'ba', 'lˈiʃ', 'tʃi', 'kʊ']",-3
cabalmente,advérbio,"['ca', 'bal', 'men', 'te']",-2,"['ka', 'baw', 'mˈẽ', 'tʃɪ']",-2
cabana,nome feminino,"['ca', 'ba', 'na']",-2,"['ka', 'bˈɐ̃', 'nɐ']",-2
cabaneiro,nome masculino,"['ca', 'ba', 'nei', 'ro']",-2,"['ka', 'bã', 'nˈej', 'ɾʊ']",-2
cabano,nome masculino,"['ca', 'ba', 'no']",-2,"['ka', 'bˈɐ̃', 'nʊ']",-2
cabano,adjetivo,"['ca', 'ba', 'no']",-2,"['ka', 'bˈɐ̃', 'nʊ']",-2
cabaré,nome masculino,"['ca', 'ba', 'ré']",-1,"['ka', 'ba', 'ɾˈɛ']",-1
cabaz,nome masculino,"['ca', 'baz']",-1,"['ka', 'bˈaʃ']",-1
cabazada,nome feminino,"['ca', 'ba', 'za', 'da']",-2,"['ka', 'ba', 'zˈa', 'dɐ']",-2
cabe,nome masculino,"['ca', 'be']",-2,"['kˈa', 'bɪ']",-2
cabeça,nome masculino,"['ca', 'be', 'ça']",-2,"['ka', 'bˈe', 'sɐ']",-2
cabeça,nome feminino,"['ca', 'be', 'ça']",-2,"['ka', 'bˈe', 'sɐ']",-2
cabeça de cartaz,nome masculino,"['ca', 'be', 'ça de car', 'taz']",0,"['ka', 'bˌe', 'sɐ', 'dʒi', 'kah', 'tˈaʃ']",-1
cabeça de cartaz,nome feminino,"['ca', 'be', 'ça de car', 'taz']",0,"['ka', 'bˌe', 'sɐ', 'dʒi', 'kah', 'tˈaʃ']",-1
cabeça de casal,nome masculino,"['ca', 'be', 'ça de ca', 'sal']",0,"['ka', 'bˌe', 'sɐ', 'dʒi', 'ka', 'zˈaw']",-1
cabeça de casal,nome feminino,"['ca', 'be', 'ça de ca', 'sal']",0,"['ka', 'bˌe', 'sɐ', 'dʒi', 'ka', 'zˈaw']",-1
cabeça de lista,nome masculino,"['ca', 'be', 'ça de lis', 'ta']",-1,"['ka', 'bˌe', 'sɐ', 'dʒi', 'lˈiʃ', 'tɐ']",-2
cabeça de lista,nome feminino,"['ca', 'be', 'ça de lis', 'ta']",-1,"['ka', 'bˌe', 'sɐ', 'dʒi', 'lˈiʃ', 'tɐ']",-2
cabeça de série,nome masculino,"['ca', 'be', 'ça de sé', 'ri', 'e']",-2,"['ka', 'bˌe', 'sɐ', 'dʒi', 'sˈɛ', 'ɾɪ']",-2
cabeçada,nome feminino,"['ca', 'be', 'ça', 'da']",-2,"['ka', 'be', 'sˈa', 'dɐ']",-2
cabeçalho,nome masculino,"['ca', 'be', 'ça', 'lho']",-2,"['ka', 'be', 'sˈa', 'ʎʊ']",-2
cabeção,nome masculino,"['ca', 'be', 'ção']",-1,"['ka', 'be', 'sˈɐ̃w']",-1
cabeceamento,nome masculino,"['ca', 'be', 'ce', 'a', 'men', 'to']",-2,"['ka', 'be', 'se', 'ã', 'mˈẽ', 'tʊ']",-2
cabecear,verbo,"['ca', 'be', 'ce', 'ar']",-1,"['ka', 'be', 'si', 'ˈa']",-1
cabeceira,nome feminino,"['ca', 'be', 'cei', 'ra']",-2,"['ka', 'be', 'sˈej', 'ɾɐ']",-2
cabeceira,nome masculino,"['ca', 'be', 'cei', 'ra']",-2,"['ka', 'be', 'sˈej', 'ɾɐ']",-2
cabeceirense,adjetivo,"['ca', 'be', 'cei', 'ren', 'se']",-2,"['ka', 'be', 'sej', 'ɾˈẽ', 'sɪ']",-2
cabeceirense,nome masculino,"['ca', 'be', 'cei', 'ren', 'se']",-2,"['ka', 'be', 'sej', 'ɾˈẽ', 'sɪ']",-2
cabeceirense,nome feminino,"['ca', 'be', 'cei', 'ren', 'se']",-2,"['ka', 'be', 'sej', 'ɾˈẽ', 'sɪ']",-2
cabecilha,nome masculino,"['ca', 'be', 'ci', 'lha']",-2,"['ka', 'be', 'sˈi', 'ʎɐ']",-2
cabecinha,nome feminino,"['ca', 'be', 'ci', 'nha']",-2,"['ka', 'be', 'sˈĩ', 'ɲɐ']",-2
cabeço,nome masculino,"['ca', 'be', 'ço']",-2,"['ka', 'bˈe', 'sʊ']",-2
cabeçorra,nome feminino,"['ca', 'be', 'çor', 'ra']",-2,"['ka', 'be', 'sˈo', 'ɦɐ']",-2
cabeçuda,nome feminino,"['ca', 'be', 'çu', 'da']",-2,"['ka', 'be', 'sˈu', 'dɐ']",-2
cabeçudo,adjetivo,"['ca', 'be', 'çu', 'do']",-2,"['ka', 'be', 'sˈu', 'dʊ']",-2
cabeçudo,nome masculino,"['ca', 'be', 'çu', 'do']",-2,"['ka', 'be', 'sˈu', 'dʊ']",-2
cabedal,nome masculino,"['ca', 'be', 'dal']",-1,"['ka', 'be', 'dˈaw']",-1
cabedelo,nome masculino,"['ca', 'be', 'de', 'lo']",-2,"['ka', 'be', 'dˈe', 'lʊ']",-2
cabeleira,nome feminino,"['ca', 'be', 'lei', 'ra']",-2,"['ka', 'be', 'lˈej', 'ɾɐ']",-2
cabeleira,nome masculino,"['ca', 'be', 'lei', 'ra']",-2,"['ka', 'be', 'lˈej', 'ɾɐ']",-2
cabeleireiro,nome masculino,"['ca', 'be', 'lei', 'rei', 'ro']",-2,"['ka', 'be', 'lej', 'ɾˈej', 'ɾʊ']",-2
cabeleiro,nome masculino,"['ca', 'be', 'lei', 'ro']",-2,"['ka', 'be', 'lˈej', 'ɾʊ']",-2
cabelinho,nome masculino,"['ca', 'be', 'li', 'nho']",-2,"['ka', 'be', 'lˈĩ', 'ɲʊ']",-2
cabelo,nome masculino,"['ca', 'be', 'lo']",-2,"['ka', 'bˈe', 'lʊ']",-2
cabeluda,nome feminino,"['ca', 'be', 'lu', 'da']",-2,"['ka', 'be', 'lˈu', 'dɐ']",-2
cabeludo,adjetivo,"['ca', 'be', 'lu', 'do']",-2,"['ka', 'be', 'lˈu', 'dʊ']",-2
cabeludo,nome masculino,"['ca', 'be', 'lu', 'do']",-2,"['ka', 'be', 'lˈu', 'dʊ']",-2
caber,verbo,"['ca', 'ber']",-1,"['ka', 'bˈe']",-1
cabetula,nome feminino,"['ca', 'be', 'tu', 'la']",-2,"['ka', 'be', 'tˈu', 'lɐ']",-2
cabide,nome masculino,"['ca', 'bi', 'de']",-2,"['ka', 'bˈi', 'dʒɪ']",-2
cabidela,nome feminino,"['ca', 'bi', 'de', 'la']",-2,"['ka', 'bi', 'dˈɛ', 'lɐ']",-2
cabido,nome masculino,"['ca', 'bi', 'do']",-2,"['ka', 'bˈi', 'dʊ']",-2
cabido,adjetivo,"['ca', 'bi', 'do']",-2,"['ka', 'bˈi', 'dʊ']",-2
cabila,nome feminino,"['ca', 'bi', 'la']",-2,"['ka', 'bˈi', 'lɐ']",-2
cabimento,nome masculino,"['ca', 'bi', 'men', 'to']",-2,"['ka', 'bĩ', 'mˈẽ', 'tʊ']",-2
cabina,nome feminino,"['ca', 'bi', 'na']",-2,"['ka', 'bˈĩ', 'nɐ']",-2
cabinda,nome masculino,"['ca', 'bin', 'da']",-2,"['ka', 'bˈĩ', 'dɐ']",-2
cabinda,adjetivo,"['ca', 'bin', 'da']",-2,"['ka', 'bˈĩ', 'dɐ']",-2
cabinda,nome feminino,"['ca', 'bin', 'da']",-2,"['ka', 'bˈĩ', 'dɐ']",-2
cabine,nome feminino,"['ca', 'bi', 'ne']",-2,"['ka', 'bˈĩ', 'nɪ']",-2
cabisbaixo,adjetivo,"['ca', 'bis', 'bai', 'xo']",-2,"['ka', 'biʒ', 'bˈaj', 'ʃʊ']",-2
cablagem,nome feminino,"['ca', 'bla', 'gem']",-2,"['ka', 'blˈa', 'ʒẽj']",-2
cabo,nome masculino,"['ca', 'bo']",-2,"['kˈa', 'bʊ']",-2
cabo,nome feminino,"['ca', 'bo']",-2,"['kˈa', 'bʊ']",-2
cabo de guerra,nome masculino,"['ca', 'bo de guer', 'ra']",-2,"['kˌa', 'bʊ', 'dʒi', 'gˈɛ', 'ɦɐ']",-2
