palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
dação,nome feminino,"['da', 'ção']",-1,"['da', 'sˈɐ̃w']",-1
dácia,nome feminino,"['dá', 'ci', 'a']",-3,"['dˈa', 'sjɐ']",-2
dácio,adjetivo,"['dá', 'ci', 'o']",-3,"['dˈa', 'sjʊ']",-2
dácio,nome masculino,"['dá', 'ci', 'o']",-3,"['dˈa', 'sjʊ']",-2
daco,adjetivo,"['da', 'co']",-2,"['dˈa', 'kʊ']",-2
daco,nome masculino,"['da', 'co']",-2,"['dˈa', 'kʊ']",-2
dactilografado,adjetivo,"['dac', 'ti', 'lo', 'gra', 'fa', 'do']",-2,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈa', 'dʊ']",-2
dactilografar,verbo,"['dac', 'ti', 'lo', 'gra', 'far']",-1,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈa']",-1
dactilografia,nome feminino,"['dac', 'ti', 'lo', 'gra', 'fi', 'a']",-2,"['da', 'ki', 'tʃi', 'lo', 'gɾa', 'fˈi', 'ɐ']",-2
dactilógrafo,nome masculino,"['dac', 'ti', 'ló', 'gra', 'fo']",-3,"['da', 'ki', 'tʃi', 'lˈɔ', 'gɾa', 'fʊ']",-3
dactiloscopia,nome feminino,"['dac', 'ti', 'los', 'co', 'pi', 'a']",-2,"['da', 'ki', 'tʃi', 'lɔʃ', 'ko', 'pˈi', 'ɐ']",-2
dactiloscópico,adjetivo,"['dac', 'ti', 'los', 'có', 'pi', 'co']",-3,"['da', 'ki', 'tʃi', 'lɔʃ', 'kˈɔ', 'pi', 'kʊ']",-3
dadá,nome masculino,"['da', 'dá']",-1,"['da', 'dˈa']",-1
dada,nome feminino,"['da', 'da']",-2,"['dˈa', 'dɐ']",-2
dadaísmo,nome masculino,"['da', 'da', 'ís', 'mo']",-2,"['da', 'da', 'ˈiʒ', 'mʊ']",-2
dadaísta,adjetivo,"['da', 'da', 'ís', 'ta']",-2,"['da', 'da', 'ˈiʃ', 'tɐ']",-2
dadaísta,nome masculino,"['da', 'da', 'ís', 'ta']",-2,"['da', 'da', 'ˈiʃ', 'tɐ']",-2
dádiva,nome feminino,"['dá', 'di', 'va']",-3,"['dˈa', 'dʒi', 'vɐ']",-3
dado,nome masculino,"['da', 'do']",-2,"['dˈa', 'dʊ']",-2
dado,adjetivo,"['da', 'do']",-2,"['dˈa', 'dʊ']",-2
dado,artigo,"['da', 'do']",-2,"['dˈa', 'dʊ']",-2
dado,preposição,"['da', 'do']",-2,"['dˈa', 'dʊ']",-2
dador,adjetivo,"['da', 'dor']",-1,"['da', 'dˈo']",-1
dador,nome masculino,"['da', 'dor']",-1,"['da', 'dˈo']",-1
dafne,nome feminino,"['daf', 'ne']",-2,"['dˈaf', 'nɪ']",-2
dáfnia,nome feminino,"['dáf', 'ni', 'a']",-3,"['dˈaf', 'njɐ']",-2
daguerreótipo,nome masculino,"['da', 'guer', 're', 'ó', 'ti', 'po']",-3,"['da', 'ge', 'ɦjˈɔ', 'tʃi', 'pʊ']",-3
daí,,"['da', 'í']",-1,"['da', 'ˈi']",-1
dáimio,nome masculino,"['dá', 'i', 'mi', 'o']",4,"['dˈãj', 'mjʊ']",-2
dal,nome masculino,['dal'],-1,['dˈaw'],-1
dala,nome feminino,"['da', 'la']",-2,"['dˈa', 'lɐ']",-2
dalai-lama,nome masculino,"['da', 'lai', 'la', 'ma']",-2,"['da', 'lˌaj', 'lˈɐ̃', 'mɐ']",-2
dali,,"['da', 'li']",-1,"['da', 'lˈi']",-1
dália,nome feminino,"['dá', 'li', 'a']",-3,"['dˈa', 'ljɐ']",-2
dálmata,nome masculino,"['dál', 'ma', 'ta']",-3,"['dˈaw', 'ma', 'tɐ']",-3
dálmata,adjetivo,"['dál', 'ma', 'ta']",-3,"['dˈaw', 'ma', 'tɐ']",-3
dalmática,nome feminino,"['dal', 'má', 'ti', 'ca']",-3,"['daw', 'mˈa', 'tʃi', 'kɐ']",-3
dalmático,adjetivo,"['dal', 'má', 'ti', 'co']",-3,"['daw', 'mˈa', 'tʃi', 'kʊ']",-3
daltónico,adjetivo,"['dal', 'tó', 'ni', 'co']",-3,"['daw', 'tˈɔ̃', 'ni', 'kʊ']",-3
daltónico,nome masculino,"['dal', 'tó', 'ni', 'co']",-3,"['daw', 'tˈɔ̃', 'ni', 'kʊ']",-3
daltonismo,nome masculino,"['dal', 'to', 'nis', 'mo']",-2,"['daw', 'tõ', 'nˈiʒ', 'mʊ']",-2
dama,nome feminino,"['da', 'ma']",-2,"['dˈɐ̃', 'mɐ']",-2
damas,nome feminino,"['da', 'mas']",-2,"['dˈɐ̃', 'mɐʃ']",-2
damasceno,adjetivo,"['da', 'mas', 'ce', 'no']",-2,"['dã', 'ma', 'sˈẽ', 'nʊ']",-2
damasceno,nome masculino,"['da', 'mas', 'ce', 'no']",-2,"['dã', 'ma', 'sˈẽ', 'nʊ']",-2
damasco,nome masculino,"['da', 'mas', 'co']",-2,"['dã', 'mˈaʃ', 'kʊ']",-2
damasqueiro,nome masculino,"['da', 'mas', 'quei', 'ro']",-2,"['dã', 'maʃ', 'kˈej', 'ɾʊ']",-2
damba,nome feminino,"['dam', 'ba']",-2,"['dˈɐ̃', 'bɐ']",-2
damo,nome masculino,"['da', 'mo']",-2,"['dˈɐ̃', 'mʊ']",-2
dana,nome feminino,"['da', 'na']",-2,"['dˈɐ̃', 'nɐ']",-2
danação,nome feminino,"['da', 'na', 'ção']",-1,"['dã', 'na', 'sˈɐ̃w']",-1
danada,nome feminino,"['da', 'na', 'da']",-2,"['dã', 'nˈa', 'dɐ']",-2
