palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
e,conjunção,['e'],-1,['i'],0
e-mail,nome masculino,"['e', 'mail']",-1,[''],0
ébano,nome masculino,"['é', 'ba', 'no']",-3,"['ˈɛ', 'bã', 'nʊ']",-3
ébola,nome masculino,"['é', 'bo', 'la']",-3,"['ˈɛ', 'bo', 'lɐ']",-3
ebonite,nome feminino,"['e', 'bo', 'ni', 'te']",-2,"['ɛ', 'bõ', 'nˈi', 'tʃɪ']",-2
eborense,nome masculino,"['e', 'bo', 'ren', 'se']",-2,"['e', 'bo', 'ɾˈẽ', 'sɪ']",-2
eborense,adjetivo,"['e', 'bo', 'ren', 'se']",-2,"['e', 'bo', 'ɾˈẽ', 'sɪ']",-2
ébrio,adjetivo,"['é', 'bri', 'o']",-3,"['ˈɛ', 'bɾjʊ']",-2
ébrio,nome masculino,"['é', 'bri', 'o']",-3,"['ˈɛ', 'bɾjʊ']",-2
ebulição,nome feminino,"['e', 'bu', 'li', 'ção']",-1,"['e', 'bu', 'li', 'sˈɐ̃w']",-1
ebuliente,adjetivo,"['e', 'bu', 'li', 'en', 'te']",-2,"['e', 'bu', 'li', 'ˈẽ', 'tʃɪ']",-2
echarpe,nome feminino,"['e', 'char', 'pe']",-2,[''],0
écharpe,nome feminino,"['é', 'char', 'pe']",-2,"['e', 'ʃˈah', 'pɪ']",-2
éclair,nome masculino,"['é', 'clair']",-1,[''],0
eclampsia,nome feminino,"['e', 'clamp', 'si', 'a']",-2,"['e', 'klɐ̃m', 'pi', 'sˈi', 'ɐ']",-2
eclésia,nome feminino,"['e', 'clé', 'si', 'a']",-3,"['e', 'klˈɛ', 'zja']",-2
eclesiasticamente,advérbio,"['e', 'cle', 'si', 'as', 'ti', 'ca', 'men', 'te']",-2,"['e', 'kle', 'zi', 'aʃ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",-2
eclesiástico,nome masculino,"['e', 'cle', 'si', 'ás', 'ti', 'co']",-3,"['e', 'kle', 'zi', 'ˈaʃ', 'tʃi', 'kʊ']",-3
eclesiástico,adjetivo,"['e', 'cle', 'si', 'ás', 'ti', 'co']",-3,"['e', 'kle', 'zi', 'ˈaʃ', 'tʃi', 'kʊ']",-3
eclética,nome feminino,"['e', 'clé', 'ti', 'ca']",-3,"['e', 'klˈɛ', 'tʃi', 'kɐ']",-3
ecleticamente,advérbio,"['e', 'cle', 'ti', 'ca', 'men', 'te']",-2,"['e', 'klɛ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",-2
eclético,adjetivo,"['e', 'clé', 'ti', 'co']",-3,"['e', 'klˈɛ', 'tʃi', 'kʊ']",-3
ecletismo,nome masculino,"['e', 'cle', 'tis', 'mo']",-2,"['e', 'kle', 'tʃˈiʒ', 'mʊ']",-2
eclipsado,adjetivo,"['e', 'clip', 'sa', 'do']",-2,"['e', 'kli', 'pə', 'sˈa', 'dʊ']",-2
eclipsar,verbo,"['e', 'clip', 'sar']",-1,"['e', 'kli', 'pə', 'sˈa']",-1
eclipse,nome masculino,"['e', 'clip', 'se']",-2,"['e', 'klˈi', 'pə', 'sɪ']",-3
eclíptica,nome feminino,"['e', 'clíp', 'ti', 'ca']",-3,"['e', 'klˈi', 'pi', 'tʃi', 'kɐ']",-4
eclíptico,adjetivo,"['e', 'clíp', 'ti', 'co']",-3,"['e', 'klˈi', 'pi', 'tʃi', 'kʊ']",-4
eclodir,verbo,"['e', 'clo', 'dir']",-1,"['e', 'klo', 'dʒˈi']",-1
écloga,nome feminino,"['é', 'clo', 'ga']",-3,"['ˈɛ', 'klo', 'gɐ']",-3
eclosão,nome feminino,"['e', 'clo', 'são']",-1,"['e', 'klo', 'zˈɐ̃w']",-1
eclusa,nome feminino,"['e', 'clu', 'sa']",-2,"['e', 'klˈu', 'zɐ']",-2
eco,nome masculino,"['e', 'co']",-2,"['ˈɛ', 'kʊ']",-2
ecoante,adjetivo,"['e', 'co', 'an', 'te']",-2,"['e', 'ko', 'ˈɐ̃', 'tʃɪ']",-2
ecoar,verbo,"['e', 'co', 'ar']",-1,"['e', 'ko', 'ˈa']",-1
ecocardiografia,nome feminino,"['e', 'co', 'car', 'di', 'o', 'gra', 'fi', 'a']",-2,"['e', 'ko', 'kaɦ', 'dʒjo', 'gɾa', 'fˈi', 'ɐ']",-2
ecocardiograma,nome masculino,"['e', 'co', 'car', 'di', 'o', 'gra', 'ma']",-2,"['e', 'ko', 'kaɦ', 'dʒjo', 'gɾˈɐ̃', 'mɐ']",-2
ecocentro,nome masculino,"['e', 'co', 'cen', 'tro']",-2,"['e', 'ko', 'sˈẽ', 'tɾʊ']",-2
ecodesenvolvimento,nome masculino,"['e', 'co', 'de', 'sen', 'vol', 'vi', 'men', 'to']",-2,"['e', 'ko', 'de', 'zẽ', 'vow', 'vĩ', 'mˈẽ', 'tʊ']",-2
ecoeficiência,nome feminino,"['e', 'co', 'e', 'fi', 'ci', 'ên', 'ci', 'a']",-3,"['e', 'ko', 'e', 'fi', 'si', 'ˈẽ', 'sjɐ']",-2
