palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
fã,nome masculino,['fã'],-1,['fˈɐ̃'],-1
fá,nome masculino,['fá'],-1,['fˈa'],-1
fã,nome feminino,['fã'],-1,['fˈɐ̃'],-1
fabiana,nome feminino,"['fa', 'bi', 'a', 'na']",-2,"['fa', 'bi', 'ˈɐ̃', 'nɐ']",-2
fabiano,adjetivo,"['fa', 'bi', 'a', 'no']",-2,"['fa', 'bi', 'ˈɐ̃', 'nʊ']",-2
fabiano,nome masculino,"['fa', 'bi', 'a', 'no']",-2,"['fa', 'bi', 'ˈɐ̃', 'nʊ']",-2
fábrica,nome feminino,"['fá', 'bri', 'ca']",-3,"['fˈa', 'bɾi', 'kɐ']",-3
fabricação,nome feminino,"['fa', 'bri', 'ca', 'ção']",-1,"['fa', 'bɾi', 'ka', 'sˈɐ̃w']",-1
fabricado,adjetivo,"['fa', 'bri', 'ca', 'do']",-2,"['fa', 'bɾi', 'kˈa', 'dʊ']",-2
fabricador,adjetivo,"['fa', 'bri', 'ca', 'dor']",-1,"['fa', 'bɾi', 'ka', 'dˈo']",-1
fabricador,nome masculino,"['fa', 'bri', 'ca', 'dor']",-1,"['fa', 'bɾi', 'ka', 'dˈo']",-1
fabricando,adjetivo,"['fa', 'bri', 'can', 'do']",-2,"['fa', 'bɾi', 'kˈɐ̃', 'dʊ']",-2
fabricante,nome masculino,"['fa', 'bri', 'can', 'te']",-2,"['fa', 'bɾi', 'kˈɐ̃', 'tʃɪ']",-2
fabricante,adjetivo,"['fa', 'bri', 'can', 'te']",-2,"['fa', 'bɾi', 'kˈɐ̃', 'tʃɪ']",-2
fabricante,nome feminino,"['fa', 'bri', 'can', 'te']",-2,"['fa', 'bɾi', 'kˈɐ̃', 'tʃɪ']",-2
fabricar,verbo,"['fa', 'bri', 'car']",-1,"['fa', 'bɾi', 'kˈa']",-1
fabrico,nome masculino,"['fa', 'bri', 'co']",-2,"['fa', 'bɾˈi', 'kʊ']",-2
fabril,adjetivo,"['fa', 'bril']",-1,"['fa', 'bɾˈiw']",-1
fabrilmente,advérbio,"['fa', 'bril', 'men', 'te']",-2,"['fa', 'bɾiw', 'mˈẽ', 'tʃɪ']",-2
fabriqueiro,adjetivo,"['fa', 'bri', 'quei', 'ro']",-2,"['fa', 'bɾi', 'kˈej', 'ɾʊ']",-2
fabro,nome masculino,"['fa', 'bro']",-2,"['fˈa', 'bɾʊ']",-2
fábula,nome feminino,"['fá', 'bu', 'la']",-3,"['fˈa', 'bu', 'lɐ']",-3
fabulação,nome feminino,"['fa', 'bu', 'la', 'ção']",-1,"['fa', 'bu', 'la', 'sˈɐ̃w']",-1
fabulador,adjetivo,"['fa', 'bu', 'la', 'dor']",-1,"['fa', 'bu', 'la', 'dˈo']",-1
fabulador,nome masculino,"['fa', 'bu', 'la', 'dor']",-1,"['fa', 'bu', 'la', 'dˈo']",-1
fabular,verbo,"['fa', 'bu', 'lar']",-1,"['fa', 'bu', 'lˈa']",-1
fabulário,nome masculino,"['fa', 'bu', 'lá', 'ri', 'o']",-3,"['fa', 'bu', 'lˈa', 'ɾjʊ']",-2
fabulista,nome masculino,"['fa', 'bu', 'lis', 'ta']",-2,"['fa', 'bu', 'lˈiʃ', 'tɐ']",-2
fabulosamente,advérbio,"['fa', 'bu', 'lo', 'sa', 'men', 'te']",-2,"['fa', 'bu', 'lo', 'zã', 'mˈẽ', 'tʃɪ']",-2
fabuloso,adjetivo,"['fa', 'bu', 'lo', 'so']",-2,"['fa', 'bu', 'lˈo', 'zʊ']",-2
fac-similado,adjetivo,"['fac', 'si', 'mi', 'la', 'do']",-2,"['fak', 'sĩ', 'mi', 'lˈa', 'dʊ']",-2
fac-similar,verbo,"['fac', 'si', 'mi', 'lar']",-1,"['fak', 'sĩ', 'mi', 'lˈa']",-1
fac-símile,nome masculino,"['fac', 'sí', 'mi', 'le']",-3,"['fak', 'sˈĩ', 'mi', 'lɪ']",-3
faca,nome feminino,"['fa', 'ca']",-2,"['fˈa', 'kɐ']",-2
facada,nome feminino,"['fa', 'ca', 'da']",-2,"['fa', 'kˈa', 'dɐ']",-2
facaia,nome feminino,"['fa', 'cai', 'a']",-2,"['fa', 'kˈaj', 'ɐ']",-2
facalhão,nome masculino,"['fa', 'ca', 'lhão']",-1,"['fa', 'ka', 'ʎˈɐ̃w']",-1
façanha,nome feminino,"['fa', 'ça', 'nha']",-2,"['fa', 'sˈɐ̃', 'ɲɐ']",-2
façanhuda,nome feminino,"['fa', 'ça', 'nhu', 'da']",-2,"['fa', 'sã', 'ɲˈu', 'dɐ']",-2
façanhudo,adjetivo,"['fa', 'ça', 'nhu', 'do']",-2,"['fa', 'sã', 'ɲˈu', 'dʊ']",-2
façanhudo,nome masculino,"['fa', 'ça', 'nhu', 'do']",-2,"['fa', 'sã', 'ɲˈu', 'dʊ']",-2
fação,nome feminino,"['fa', 'ção']",-1,"['fa', 'sˈɐ̃w']",-1
facão,nome masculino,"['fa', 'cão']",-1,"['fa', 'kˈɐ̃w']",-1
facção,nome feminino,"['fac', 'ção']",-1,"['fa', 'kə', 'sˈɐ̃w']",-1
facciosa,nome feminino,"['fac', 'ci', 'o', 'sa']",-2,"['fa', 'ki', 'sjˈɔ', 'zɐ']",-2
facciosamente,advérbio,"['fac', 'ci', 'o', 'sa', 'men', 'te']",-2,"['fa', 'ki', 'sjɔ', 'zã', 'mˈẽ', 'tʃɪ']",-2
facciosismo,nome masculino,"['fac', 'ci', 'o', 'sis', 'mo']",-2,"['fa', 'ki', 'sjo', 'zˈiʒ', 'mʊ']",-2
faccioso,adjetivo,"['fac', 'ci', 'o', 'so']",-2,"['fa', 'ki', 'sjˈo', 'zʊ']",-2
faccioso,nome masculino,"['fac', 'ci', 'o', 'so']",-2,"['fa', 'ki', 'sjˈo', 'zʊ']",-2
face,nome feminino,"['fa', 'ce']",-2,"['fˈa', 'sɪ']",-2
facécia,nome feminino,"['fa', 'cé', 'ci', 'a']",-3,"['fa', 'sˈɛ', 'sjɐ']",-2
faceira,nome masculino,"['fa', 'cei', 'ra']",-2,"['fa', 'sˈej', 'ɾɐ']",-2
faceiramente,advérbio,"['fa', 'cei', 'ra', 'men', 'te']",-2,"['fa', 'sej', 'ɾã', 'mˈẽ', 'tʃɪ']",-2
faceirar,verbo,"['fa', 'cei', 'rar']",-1,"['fa', 'sej', 'ɾˈa']",-1
faceiro,adjetivo,"['fa', 'cei', 'ro']",-2,"['fa', 'sˈej', 'ɾʊ']",-2
faceta,nome feminino,"['fa', 'ce', 'ta']",-2,"['fa', 'sˈe', 'tɐ']",-2
facetado,adjetivo,"['fa', 'ce', 'ta', 'do']",-2,"['fa', 'se', 'tˈa', 'dʊ']",-2
facetamente,advérbio,"['fa', 'ce', 'ta', 'men', 'te']",-2,"['fa', 'se', 'tã', 'mˈẽ', 'tʃɪ']",-2
facetamento,nome masculino,"['fa', 'ce', 'ta', 'men', 'to']",-2,"['fa', 'se', 'tã', 'mˈẽ', 'tʊ']",-2
facetar,verbo,"['fa', 'ce', 'tar']",-1,"['fa', 'se', 'tˈa']",-1
