palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
gabão,nome masculino,"['ga', 'bão']",-1,"['ga', 'bˈɐ̃w']",-1
gabar,verbo,"['ga', 'bar']",-1,"['ga', 'bˈa']",-1
gabardina,nome feminino,"['ga', 'bar', 'di', 'na']",-2,"['ga', 'baɦ', 'dʒˈĩ', 'nɐ']",-2
gabardine,nome feminino,"['ga', 'bar', 'di', 'ne']",-2,"['ga', 'baɦ', 'dʒˈĩ', 'nɪ']",-2
gabarito,nome masculino,"['ga', 'ba', 'ri', 'to']",-2,"['ga', 'ba', 'ɾˈi', 'tʊ']",-2
gabarola,adjetivo,"['ga', 'ba', 'ro', 'la']",-2,"['ga', 'ba', 'ɾˈɔ', 'lɐ']",-2
gabarola,nome masculino,"['ga', 'ba', 'ro', 'la']",-2,"['ga', 'ba', 'ɾˈɔ', 'lɐ']",-2
gabarolas,nome masculino,"['ga', 'ba', 'ro', 'las']",-2,"['ga', 'ba', 'ɾˈɔ', 'lɐʃ']",-2
gabarolice,nome feminino,"['ga', 'ba', 'ro', 'li', 'ce']",-2,"['ga', 'ba', 'ɾo', 'lˈi', 'sɪ']",-2
gabarra,nome feminino,"['ga', 'bar', 'ra']",-2,"['ga', 'bˈa', 'ɦɐ']",-2
gabela,nome feminino,"['ga', 'be', 'la']",-2,"['ga', 'bˈɛ', 'lɐ']",-2
gabiar,verbo,"['ga', 'bi', 'ar']",-1,"['ga', 'bi', 'ˈa']",-1
gabinete,nome masculino,"['ga', 'bi', 'ne', 'te']",-2,"['ga', 'bĩ', 'nˈe', 'tʃɪ']",-2
gabiru,nome masculino,"['ga', 'bi', 'ru']",-1,"['ga', 'bi', 'ɾˈu']",-1
gabiru,adjetivo,"['ga', 'bi', 'ru']",-1,"['ga', 'bi', 'ɾˈu']",-1
gabo,nome masculino,"['ga', 'bo']",-2,"['gˈa', 'bʊ']",-2
gabonês,adjetivo,"['ga', 'bo', 'nês']",-1,"['ga', 'bõ', 'nˈeʃ']",-1
gabonês,nome masculino,"['ga', 'bo', 'nês']",-1,"['ga', 'bõ', 'nˈeʃ']",-1
gacha,nome feminino,"['ga', 'cha']",-2,"['gˈa', 'ʃɐ']",-2
