palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
hã,interjeição,['hã'],-1,['ˈɐ̃'],-1
há,nome masculino,['há'],-1,['ˈa'],-1
habanera,nome feminino,"['ha', 'ba', 'ne', 'ra']",-2,"['a', 'bã', 'nˈɛ', 'ɾɐ']",-2
hábil,adjetivo,"['há', 'bil']",-2,"['ˈa', 'biw']",-2
habilidade,nome feminino,"['ha', 'bi', 'li', 'da', 'de']",-2,"['a', 'bi', 'li', 'dˈa', 'dʒɪ']",-2
habilidosa,nome feminino,"['ha', 'bi', 'li', 'do', 'sa']",-2,"['a', 'bi', 'li', 'dˈɔ', 'zɐ']",-2
habilidosamente,advérbio,"['ha', 'bi', 'li', 'do', 'sa', 'men', 'te']",-2,"['a', 'bi', 'li', 'dɔ', 'zã', 'mˈẽ', 'tʃɪ']",-2
habilidoso,adjetivo,"['ha', 'bi', 'li', 'do', 'so']",-2,"['a', 'bi', 'li', 'dˈo', 'zʊ']",-2
habilidoso,nome masculino,"['ha', 'bi', 'li', 'do', 'so']",-2,"['a', 'bi', 'li', 'dˈo', 'zʊ']",-2
habilitação,nome feminino,"['ha', 'bi', 'li', 'ta', 'ção']",-1,"['a', 'bi', 'li', 'ta', 'sˈɐ̃w']",-1
habilitado,adjetivo,"['ha', 'bi', 'li', 'ta', 'do']",-2,"['a', 'bi', 'li', 'tˈa', 'dʊ']",-2
habilitando,adjetivo,"['ha', 'bi', 'li', 'tan', 'do']",-2,"['a', 'bi', 'li', 'tˈɐ̃', 'dʊ']",-2
habilitando,nome masculino,"['ha', 'bi', 'li', 'tan', 'do']",-2,"['a', 'bi', 'li', 'tˈɐ̃', 'dʊ']",-2
habilitante,adjetivo,"['ha', 'bi', 'li', 'tan', 'te']",-2,"['a', 'bi', 'li', 'tˈɐ̃', 'tʃɪ']",-2
habilitante,nome masculino,"['ha', 'bi', 'li', 'tan', 'te']",-2,"['a', 'bi', 'li', 'tˈɐ̃', 'tʃɪ']",-2
habilitante,nome feminino,"['ha', 'bi', 'li', 'tan', 'te']",-2,"['a', 'bi', 'li', 'tˈɐ̃', 'tʃɪ']",-2
habilitar,verbo,"['ha', 'bi', 'li', 'tar']",-1,"['a', 'bi', 'li', 'tˈa']",-1
habilmente,advérbio,"['ha', 'bil', 'men', 'te']",-2,"['a', 'biw', 'mˈẽ', 'tʃɪ']",-2
habitabilidade,nome feminino,"['ha', 'bi', 'ta', 'bi', 'li', 'da', 'de']",-2,"['a', 'bi', 'ta', 'bi', 'li', 'dˈa', 'dʒɪ']",-2
habitação,nome feminino,"['ha', 'bi', 'ta', 'ção']",-1,"['a', 'bi', 'ta', 'sˈɐ̃w']",-1
habitacional,adjetivo,"['ha', 'bi', 'ta', 'ci', 'o', 'nal']",-1,"['a', 'bi', 'ta', 'sjõ', 'nˈaw']",-1
habitáculo,nome masculino,"['ha', 'bi', 'tá', 'cu', 'lo']",-3,"['a', 'bi', 'tˈa', 'ku', 'lʊ']",-3
habitado,adjetivo,"['ha', 'bi', 'ta', 'do']",-2,"['a', 'bi', 'tˈa', 'dʊ']",-2
habitante,adjetivo,"['ha', 'bi', 'tan', 'te']",-2,"['a', 'bi', 'tˈɐ̃', 'tʃɪ']",-2
habitante,nome masculino,"['ha', 'bi', 'tan', 'te']",-2,"['a', 'bi', 'tˈɐ̃', 'tʃɪ']",-2
habitante,nome feminino,"['ha', 'bi', 'tan', 'te']",-2,"['a', 'bi', 'tˈɐ̃', 'tʃɪ']",-2
habitar,verbo,"['ha', 'bi', 'tar']",-1,"['a', 'bi', 'tˈa']",-1
habitat,nome masculino,"['ha', 'bi', 'tat']",-2,"['a', 'bˈi', 'tat']",-2
habitável,adjetivo,"['ha', 'bi', 'tá', 'vel']",-2,"['a', 'bi', 'tˈa', 'vew']",-2
hábito,nome masculino,"['há', 'bi', 'to']",-3,"['ˈa', 'bi', 'tʊ']",-3
habituação,nome feminino,"['ha', 'bi', 'tu', 'a', 'ção']",-1,"['a', 'bi', 'tu', 'a', 'sˈɐ̃w']",-1
habituado,adjetivo,"['ha', 'bi', 'tu', 'a', 'do']",-2,"['a', 'bi', 'tu', 'ˈa', 'dʊ']",-2
habitual,adjetivo,"['ha', 'bi', 'tu', 'al']",-1,"['a', 'bi', 'tu', 'ˈaw']",-1
habitualidade,nome feminino,"['ha', 'bi', 'tu', 'a', 'li', 'da', 'de']",-2,"['a', 'bi', 'tu', 'a', 'li', 'dˈa', 'dʒɪ']",-2
habitualmente,advérbio,"['ha', 'bi', 'tu', 'al', 'men', 'te']",-2,"['a', 'bi', 'tu', 'aw', 'mˈẽ', 'tʃɪ']",-2
habituar,verbo,"['ha', 'bi', 'tu', 'ar']",-1,"['a', 'bi', 'tu', 'ˈa']",-1
habitué,nome masculino,"['ha', 'bi', 'tué']",-1,[''],0
habitus,nome masculino,"['ha', 'bi', 'tus']",-1,"['ˈa', 'bi', 'tʊʃ']",-3
hacer,nome masculino,"['ha', 'cer']",-1,"['a', 'sˈe']",-1
hacker,nome masculino,"['hac', 'ker']",-2,[''],0
haco,nome masculino,"['ha', 'co']",-2,"['ˈa', 'kʊ']",-2
haco,adjetivo,"['ha', 'co']",-2,"['ˈa', 'kʊ']",-2
hagiografia,nome feminino,"['ha', 'gi', 'o', 'gra', 'fi', 'a']",-2,"['a', 'ʒjo', 'gɾa', 'fˈi', 'ɐ']",-2
hagiográfico,adjetivo,"['ha', 'gi', 'o', 'grá', 'fi', 'co']",-3,"['a', 'ʒjo', 'gɾˈa', 'fi', 'kʊ']",-3
hagiógrafo,nome masculino,"['ha', 'gi', 'ó', 'gra', 'fo']",-3,"['a', 'ʒjˈɔ', 'gɾa', 'fʊ']",-3
haitiana,nome feminino,"['hai', 'ti', 'a', 'na']",-2,"['aj', 'tʃi', 'ˈɐ̃', 'nɐ']",-2
haitiano,adjetivo,"['hai', 'ti', 'a', 'no']",-2,"['aj', 'tʃi', 'ˈɐ̃', 'nʊ']",-2
haitiano,nome masculino,"['hai', 'ti', 'a', 'no']",-2,"['aj', 'tʃi', 'ˈɐ̃', 'nʊ']",-2
halali,nome masculino,"['ha', 'la', 'li']",-1,"['a', 'la', 'lˈi']",-1
haliêutico,adjetivo,"['ha', 'li', 'êu', 'ti', 'co']",-3,"['a', 'li', 'ˈew', 'tʃi', 'kʊ']",-3
hálito,nome masculino,"['há', 'li', 'to']",-3,"['ˈa', 'li', 'tu']",-3
hall,nome masculino,['hall'],-1,[''],0
halo,nome masculino,"['ha', 'lo']",-2,"['ˈa', 'lʊ']",-2
halogenado,adjetivo,"['ha', 'lo', 'ge', 'na', 'do']",-2,"['a', 'lo', 'ʒẽ', 'nˈa', 'dʊ']",-2
halogenar,verbo,"['ha', 'lo', 'ge', 'nar']",-1,"['a', 'lo', 'ʒẽ', 'nˈa']",-1
halogéneo,nome masculino,"['ha', 'lo', 'gé', 'ne', 'o']",-3,"['a', 'lo', 'ʒˈɛ̃', 'njʊ']",-2
halogéneo,adjetivo,"['ha', 'lo', 'gé', 'ne', 'o']",-3,"['a', 'lo', 'ʒˈɛ̃', 'njʊ']",-2
halogénio,nome masculino,"['ha', 'lo', 'gé', 'ni', 'o']",-3,"['a', 'lo', 'ʒˈɛ̃', 'njʊ']",-2
