palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
i,advérbio,['i'],-1,['i'],0
iaiá,nome feminino,"['i', 'ai', 'á']",-1,"['i', 'aj', 'ˈa']",-1
ianque,adjetivo,"['i', 'an', 'que']",-2,"['i', 'ˈɐ̃', 'kɪ']",-2
ianque,nome masculino,"['i', 'an', 'que']",-2,"['i', 'ˈɐ̃', 'kɪ']",-2
ianque,nome feminino,"['i', 'an', 'que']",-2,"['i', 'ˈɐ̃', 'kɪ']",-2
ião,nome masculino,"['i', 'ão']",-1,"['i', 'ˈɐ̃w']",-1
iao,nome masculino,"['i', 'ao']",-1,"['i', 'ˈɐ̃w']",-1
iaque,nome masculino,"['i', 'a', 'que']",-2,"['i', 'ˈa', 'kɪ']",-2
iara,nome feminino,"['i', 'a', 'ra']",-2,"['i', 'ˈa', 'ɾɐ']",-2
iate,nome masculino,"['i', 'a', 'te']",-2,"['i', 'ˈa', 'tʃɪ']",-2
iatismo,nome masculino,"['i', 'a', 'tis', 'mo']",-2,"['i', 'a', 'tʃˈiʒ', 'mʊ']",-2
iatista,adjetivo,"['i', 'a', 'tis', 'ta']",-2,"['i', 'a', 'tʃˈiʃ', 'tɐ']",-2
iatista,nome masculino,"['i', 'a', 'tis', 'ta']",-2,"['i', 'a', 'tʃˈiʃ', 'tɐ']",-2
iatista,nome feminino,"['i', 'a', 'tis', 'ta']",-2,"['i', 'a', 'tʃˈiʃ', 'tɐ']",-2
ibéria,nome feminino,"['i', 'bé', 'ri', 'a']",-3,"['i', 'bˈɛ', 'ɾjɐ']",-2
ibérica,nome feminino,"['i', 'bé', 'ri', 'ca']",-3,"['i', 'bˈɛ', 'ɾi', 'kɐ']",-3
ibérico,adjetivo,"['i', 'bé', 'ri', 'co']",-3,"['i', 'bˈɛ', 'ɾi', 'kʊ']",-3
ibérico,nome masculino,"['i', 'bé', 'ri', 'co']",-3,"['i', 'bˈɛ', 'ɾi', 'kʊ']",-3
