palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
já,advérbio,['já'],-1,['ʒˈa'],-1
já,conjunção,['já'],-1,['ʒˈa'],-1
jabiru,nome masculino,"['ja', 'bi', 'ru']",-1,"['ʒa', 'bi', 'ɾˈu']",-1
jabuti,nome masculino,"['ja', 'bu', 'ti']",-1,"['ʒa', 'bu', 'tʃˈi']",-1
jaca,nome masculino,"['ja', 'ca']",-2,"['ʒˈa', 'kɐ']",-2
jaca,nome feminino,"['ja', 'ca']",-2,"['ʒˈa', 'kɐ']",-2
jacarandá,nome masculino,"['ja', 'ca', 'ran', 'dá']",-1,"['ʒa', 'ka', 'ɾɐ̃', 'dˈa']",-1
jacaré,nome masculino,"['ja', 'ca', 'ré']",-1,"['ʒa', 'ka', 'ɾˈɛ']",-1
jacente,adjetivo,"['ja', 'cen', 'te']",-2,"['ʒa', 'sˈẽ', 'tʃɪ']",-2
jacente,nome masculino,"['ja', 'cen', 'te']",-2,"['ʒa', 'sˈẽ', 'tʃɪ']",-2
jacinto,nome masculino,"['ja', 'cin', 'to']",-2,"['ʒa', 'sˈĩ', 'tʊ']",-2
jackpot,nome masculino,"['jack', 'pot']",-1,[''],0
jacobeia,nome feminino,"['ja', 'co', 'bei', 'a']",-2,"['ʒa', 'ko', 'bˈej', 'ɐ']",-2
jacobeu,nome masculino,"['ja', 'co', 'beu']",-1,"['ʒa', 'ko', 'bˈew']",-1
jacobinamente,advérbio,"['ja', 'co', 'bi', 'na', 'men', 'te']",-2,"['ʒa', 'ko', 'bĩ', 'nã', 'mˈẽ', 'tʃɪ']",-2
jacobinismo,nome masculino,"['ja', 'co', 'bi', 'nis', 'mo']",-2,"['ʒa', 'ko', 'bĩ', 'nˈiʒ', 'mʊ']",-2
jacobino,nome masculino,"['ja', 'co', 'bi', 'no']",-2,"['ʒa', 'ko', 'bˈĩ', 'nʊ']",-2
jacobino,adjetivo,"['ja', 'co', 'bi', 'no']",-2,"['ʒa', 'ko', 'bˈĩ', 'nʊ']",-2
jactância,nome feminino,"['jac', 'tân', 'ci', 'a']",-3,"['ʒa', 'kə', 'tˈɐ̃', 'sjɐ']",-2
jactar,verbo,"['jac', 'tar']",-1,"['ʒa', 'kə', 'tˈa']",-1
jacto,nome masculino,"['jac', 'to']",-2,"['ʒˈa', 'kə', 'tʊ']",-3
jaculatória,nome feminino,"['ja', 'cu', 'la', 'tó', 'ri', 'a']",-3,"['ʒa', 'ku', 'la', 'tˈɔ', 'ɾjɐ']",-2
jaculatório,adjetivo,"['ja', 'cu', 'la', 'tó', 'ri', 'o']",-3,"['ʒa', 'ku', 'la', 'tˈɔ', 'ɾjʊ']",-2
jacutinga,nome feminino,"['ja', 'cu', 'tin', 'ga']",-2,"['ʒa', 'ku', 'tʃˈĩ', 'gɐ']",-2
jacuzzi,nome masculino,"['ja', 'cuz', 'zi']",-2,[''],0
jade,nome masculino,"['ja', 'de']",-2,"['ʒˈa', 'dʒɪ']",-2
jaez,nome masculino,"['ja', 'ez']",-1,"['ʒa', 'ˈeʃ']",-1
jaga,nome masculino,"['ja', 'ga']",-2,"['ʒˈa', 'gɐ']",-2
jaga,adjetivo,"['ja', 'ga']",-2,"['ʒˈa', 'gɐ']",-2
jagra,nome feminino,"['ja', 'gra']",-2,"['ʒˈa', 'gɾɐ']",-2
jaguar,nome masculino,"['ja', 'guar']",-1,"['ʒa', 'gwˈa']",-1
jagunço,nome masculino,"['ja', 'gun', 'ço']",-2,"['ʒa', 'gˈũ', 'sʊ']",-2
jainismo,nome masculino,"['jai', 'nis', 'mo']",-2,"['ʒãj', 'nˈiʒ', 'mʊ']",-2
jainista,adjetivo,"['jai', 'nis', 'ta']",-2,"['ʒãj', 'nˈiʃ', 'tɐ']",-2
jainista,nome masculino,"['jai', 'nis', 'ta']",-2,"['ʒãj', 'nˈiʃ', 'tɐ']",-2
jainista,nome feminino,"['jai', 'nis', 'ta']",-2,"['ʒãj', 'nˈiʃ', 'tɐ']",-2
jalde,adjetivo,"['jal', 'de']",-2,"['ʒˈaw', 'dʒɪ']",-2
jaleca,nome feminino,"['ja', 'le', 'ca']",-2,"['ʒa', 'lˈɛ', 'kɐ']",-2
jaleco,nome masculino,"['ja', 'le', 'co']",-2,"['ʒa', 'lˈɛ', 'kʊ']",-2
jam-session,nome feminino,"['jam', 'ses', 'sion']",-2,[''],0
jamaicana,nome feminino,"['ja', 'mai', 'ca', 'na']",-2,"['ʒã', 'maj', 'kˈɐ̃', 'nɐ']",-2
jamaicano,adjetivo,"['ja', 'mai', 'ca', 'no']",-2,"['ʒã', 'maj', 'kˈɐ̃', 'nʊ']",-2
jamaicano,nome masculino,"['ja', 'mai', 'ca', 'no']",-2,"['ʒã', 'maj', 'kˈɐ̃', 'nʊ']",-2
jamais,advérbio,"['ja', 'mais']",-1,"['ʒã', 'mˈajʃ']",-1
jamba,nome masculino,"['jam', 'ba']",-2,"['ʒˈɐ̃', 'bɐ']",-2
jamba,nome feminino,"['jam', 'ba']",-2,"['ʒˈɐ̃', 'bɐ']",-2
jambi,nome masculino,"['jam', 'bi']",-1,"['ʒɐ̃', 'bˈi']",-1
jambo,nome masculino,"['jam', 'bo']",-2,"['ʒˈɐ̃', 'bʊ']",-2
jamboree,nome masculino,"['jam', 'bo', 'ree']",-1,[''],0
janar,verbo,"['ja', 'nar']",-1,"['ʒã', 'nˈa']",-1
janda,nome feminino,"['jan', 'da']",-2,"['ʒˈɐ̃', 'dɐ']",-2
janeirada,nome feminino,"['ja', 'nei', 'ra', 'da']",-2,"['ʒã', 'nej', 'ɾˈa', 'dɐ']",-2
janeiras,nome feminino,"['ja', 'nei', 'ras']",-2,"['ʒã', 'nˈej', 'ɾɐʃ']",-2
janeireiro,nome masculino,"['ja', 'nei', 'rei', 'ro']",-2,"['ʒã', 'nej', 'ɾˈej', 'ɾʊ']",-2
janeireiro,adjetivo,"['ja', 'nei', 'rei', 'ro']",-2,"['ʒã', 'nej', 'ɾˈej', 'ɾʊ']",-2
janeirinha,nome feminino,"['ja', 'nei', 'ri', 'nha']",-2,"['ʒã', 'nej', 'ɾˈĩ', 'ɲɐ']",-2
janeirinho,adjetivo,"['ja', 'nei', 'ri', 'nho']",-2,"['ʒã', 'nej', 'ɾˈĩ', 'ɲʊ']",-2
janeiros,nome masculino,"['ja', 'nei', 'ros']",-2,"['ʒã', 'nˈej', 'ɾʊʃ']",-2
janela,nome feminino,"['ja', 'ne', 'la']",-2,"['ʒã', 'nˈɛ', 'lɐ']",-2
janelar,verbo,"['ja', 'ne', 'lar']",-1,"['ʒã', 'ne', 'lˈa']",-1
janelinha,nome feminino,"['ja', 'ne', 'li', 'nha']",-2,"['ʒã', 'ne', 'lˈĩ', 'ɲɐ']",-2
janelo,nome masculino,"['ja', 'ne', 'lo']",-2,"['ʒã', 'nˈe', 'lʊ']",-2
jangada,nome feminino,"['jan', 'ga', 'da']",-2,"['ʒɐ̃', 'gˈa', 'dɐ']",-2
jangadeiro,nome masculino,"['jan', 'ga', 'dei', 'ro']",-2,"['ʒɐ̃', 'ga', 'dˈej', 'ɾʊ']",-2
jango,nome masculino,"['jan', 'go']",-2,"['ʒˈɐ̃', 'gʊ']",-2
janízaro,nome masculino,"['ja', 'ní', 'za', 'ro']",-3,"['ʒã', 'nˈi', 'za', 'ɾʊ']",-3
janota,nome masculino,"['ja', 'no', 'ta']",-2,"['ʒã', 'nˈɔ', 'tɐ']",-2
janota,adjetivo,"['ja', 'no', 'ta']",-2,"['ʒã', 'nˈɔ', 'tɐ']",-2
janota,nome feminino,"['ja', 'no', 'ta']",-2,"['ʒã', 'nˈɔ', 'tɐ']",-2
janotar,verbo,"['ja', 'no', 'tar']",-1,"['ʒã', 'no', 'tˈa']",-1
jansenismo,nome masculino,"['jan', 'se', 'nis', 'mo']",-2,"['ʒɐ̃', 'sẽ', 'nˈiʒ', 'mʊ']",-2
jansenista,nome masculino,"['jan', 'se', 'nis', 'ta']",-2,"['ʒɐ̃', 'sẽ', 'nˈiʃ', 'tɐ']",-2
jansenista,adjetivo,"['jan', 'se', 'nis', 'ta']",-2,"['ʒɐ̃', 'sẽ', 'nˈiʃ', 'tɐ']",-2
