palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
lã,nome feminino,['lã'],-1,['lˈɐ̃'],-1
lá,advérbio,['lá'],-1,['lˈa'],-1
lá,nome masculino,['lá'],-1,['lˈa'],-1
labareda,nome feminino,"['la', 'ba', 're', 'da']",-2,"['la', 'ba', 'ɾˈe', 'dɐ']",-2
labareda,nome masculino,"['la', 'ba', 're', 'da']",-2,"['la', 'ba', 'ɾˈe', 'dɐ']",-2
labéu,nome masculino,"['la', 'béu']",-1,"['la', 'bˈɛw']",-1
lábia,nome feminino,"['lá', 'bi', 'a']",-3,"['lˈa', 'bjɐ']",-2
labiado,adjetivo,"['la', 'bi', 'a', 'do']",-2,"['la', 'bi', 'ˈa', 'dʊ']",-2
labiado,nome masculino,"['la', 'bi', 'a', 'do']",-2,"['la', 'bi', 'ˈa', 'dʊ']",-2
labial,nome feminino,"['la', 'bi', 'al']",-1,"['la', 'bi', 'ˈaw']",-1
labial,adjetivo,"['la', 'bi', 'al']",-1,"['la', 'bi', 'ˈaw']",-1
lábio,nome masculino,"['lá', 'bi', 'o']",-3,"['lˈa', 'bjʊ']",-2
labiríntico,adjetivo,"['la', 'bi', 'rín', 'ti', 'co']",-3,"['la', 'bi', 'ɾˈĩ', 'tʃi', 'kʊ']",-3
labirinto,nome masculino,"['la', 'bi', 'rin', 'to']",-2,"['la', 'bi', 'ɾˈĩ', 'tʊ']",-2
labor,nome masculino,"['la', 'bor']",-1,"['la', 'bˈo']",-1
laboração,nome feminino,"['la', 'bo', 'ra', 'ção']",-1,"['la', 'bo', 'ɾa', 'sˈɐ̃w']",-1
laboral,adjetivo,"['la', 'bo', 'ral']",-1,"['la', 'bo', 'ɾˈaw']",-1
laborar,verbo,"['la', 'bo', 'rar']",-1,"['la', 'bo', 'ɾˈa']",-1
laboratorial,adjetivo,"['la', 'bo', 'ra', 'to', 'ri', 'al']",-1,"['la', 'bo', 'ɾa', 'to', 'ɾi', 'ˈaw']",-1
laboratorialmente,advérbio,"['la', 'bo', 'ra', 'to', 'ri', 'al', 'men', 'te']",-2,"['la', 'bo', 'ɾa', 'to', 'ɾi', 'aw', 'mˈẽ', 'tʃɪ']",-2
laboratório,nome masculino,"['la', 'bo', 'ra', 'tó', 'ri', 'o']",-3,"['la', 'bo', 'ɾa', 'tˈɔ', 'ɾjʊ']",-2
laboriosamente,advérbio,"['la', 'bo', 'ri', 'o', 'sa', 'men', 'te']",-2,"['la', 'bo', 'ɾjo', 'zã', 'mˈẽ', 'tʃɪ']",-2
laboriosidade,nome feminino,"['la', 'bo', 'ri', 'o', 'si', 'da', 'de']",-2,"['la', 'bo', 'ɾjo', 'zi', 'dˈa', 'dʒɪ']",-2
laborioso,adjetivo,"['la', 'bo', 'ri', 'o', 'so']",-2,"['la', 'bo', 'ɾjˈo', 'zʊ']",-2
laborista,adjetivo,"['la', 'bo', 'ris', 'ta']",-2,"['la', 'bo', 'ɾˈiʃ', 'tɐ']",-2
