palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
má,nome feminino,['má'],-1,['mˈa'],-1
má-criação,nome feminino,"['má', 'cri', 'a', 'ção']",-1,"['mˌa', 'kɾi', 'a', 'sˈɐ̃w']",-1
má-fé,nome feminino,"['má', 'fé']",-1,"['mˌa', 'fˈɛ']",-1
má-língua,adjetivo,"['má', 'lín', 'gua']",-2,"['mˌa', 'lˈĩ', 'gwɐ']",-2
má-língua,nome masculino,"['má', 'lín', 'gua']",-2,"['mˌa', 'lˈĩ', 'gwɐ']",-2
maboque,nome masculino,"['ma', 'bo', 'que']",-2,"['ma', 'bˈɔ', 'kɪ']",-2
mabuba,nome feminino,"['ma', 'bu', 'ba']",-2,"['ma', 'bˈu', 'bɐ']",-2
mabunda,nome feminino,"['ma', 'bun', 'da']",-2,"['ma', 'bˈũ', 'dɐ']",-2
maca,nome feminino,"['ma', 'ca']",-2,"['mˈa', 'kɐ']",-2
maçã,nome feminino,"['ma', 'çã']",-1,"['ma', 'sˈɐ̃']",-1
maça,nome feminino,"['ma', 'ça']",-2,"['mˈa', 'sɐ']",-2
maçã de Adão,nome feminino,"['ma', 'çã de A', 'dão']",0,"['ma', 'sˌɐ̃', 'dʒi', 'a', 'dˈɐ̃w']",-1
macabeu,nome masculino,"['ma', 'ca', 'beu']",-1,"['ma', 'ka', 'bˈew']",-1
macabeu,adjetivo,"['ma', 'ca', 'beu']",-1,"['ma', 'ka', 'bˈew']",-1
macabramente,advérbio,"['ma', 'ca', 'bra', 'men', 'te']",-2,"['ma', 'ka', 'bɾã', 'mˈẽ', 'tʃɪ']",-2
macabro,adjetivo,"['ma', 'ca', 'bro']",-2,"['ma', 'kˈa', 'bɾʊ']",-2
macaca,nome feminino,"['ma', 'ca', 'ca']",-2,"['ma', 'kˈa', 'kɐ']",-2
macacada,nome feminino,"['ma', 'ca', 'ca', 'da']",-2,"['ma', 'ka', 'kˈa', 'dɐ']",-2
macacão,nome masculino,"['ma', 'ca', 'cão']",-1,"['ma', 'ka', 'kˈɐ̃w']",-1
macaco,nome masculino,"['ma', 'ca', 'co']",-2,"['ma', 'kˈa', 'kʊ']",-2
macaco,adjetivo,"['ma', 'ca', 'co']",-2,"['ma', 'kˈa', 'kʊ']",-2
maçada,nome feminino,"['ma', 'ça', 'da']",-2,"['ma', 'sˈa', 'dɐ']",-2
