palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
nababo,nome masculino,"['na', 'ba', 'bo']",-2,"['na', 'bˈa', 'bʊ']",-2
nabal,nome masculino,"['na', 'bal']",-1,"['na', 'bˈaw']",-1
nabantina,nome feminino,"['na', 'ban', 'ti', 'na']",-2,"['na', 'bɐ̃', 'tʃˈĩ', 'nɐ']",-2
nabantino,nome masculino,"['na', 'ban', 'ti', 'no']",-2,"['na', 'bɐ̃', 'tʃˈĩ', 'nʊ']",-2
nabantino,adjetivo,"['na', 'ban', 'ti', 'no']",-2,"['na', 'bɐ̃', 'tʃˈĩ', 'nʊ']",-2
nabiça,nome feminino,"['na', 'bi', 'ça']",-2,"['na', 'bˈi', 'sɐ']",-2
nabo,nome masculino,"['na', 'bo']",-2,"['nˈa', 'bʊ']",-2
nação,nome feminino,"['na', 'ção']",-1,"['na', 'sˈɐ̃w']",-1
nácar,nome masculino,"['ná', 'car']",-2,"['nˈa', 'ka']",-2
nacarado,adjetivo,"['na', 'ca', 'ra', 'do']",-2,"['na', 'ka', 'ɾˈa', 'dʊ']",-2
nacarar,verbo,"['na', 'ca', 'rar']",-1,"['na', 'ka', 'ɾˈa']",-1
nacional,nome masculino,"['na', 'ci', 'o', 'nal']",-1,"['na', 'sjõ', 'nˈaw']",-1
nacional,adjetivo,"['na', 'ci', 'o', 'nal']",-1,"['na', 'sjõ', 'nˈaw']",-1
nacional,nome feminino,"['na', 'ci', 'o', 'nal']",-1,"['na', 'sjõ', 'nˈaw']",-1
nacional-sindicalismo,nome masculino,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'mo']",-1,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʒ', 'mʊ']",-2
nacional-sindicalista,adjetivo,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'ta']",-1,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",-2
nacional-sindicalista,nome masculino,"['na', 'ci', 'o', 'nal', 'sin', 'di', 'ca', 'lis', 'ta']",-1,"['na', 'sjõ', 'nˌaw', 'sĩ', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",-2
nacional-socialismo,nome masculino,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'mo']",-1,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʒ', 'mʊ']",-2
nacional-socialista,nome masculino,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'ta']",-1,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʃ', 'tɐ']",-2
nacional-socialista,adjetivo,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'ta']",-1,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʃ', 'tɐ']",-2
nacional-socialista,nome feminino,"['na', 'ci', 'o', 'nal', 'so', 'ci', 'a', 'lis', 'ta']",-1,"['na', 'sjõ', 'nˌaw', 'so', 'si', 'a', 'lˈiʃ', 'tɐ']",-2
nacionalidade,nome feminino,"['na', 'ci', 'o', 'na', 'li', 'da', 'de']",-2,"['na', 'sjõ', 'na', 'li', 'dˈa', 'dʒɪ']",-2
nacionalismo,nome masculino,"['na', 'ci', 'o', 'na', 'lis', 'mo']",-2,"['na', 'sjõ', 'na', 'lˈiʒ', 'mʊ']",-2
nacionalista,nome masculino,"['na', 'ci', 'o', 'na', 'lis', 'ta']",-2,"['na', 'sjõ', 'na', 'lˈiʃ', 'tɐ']",-2
nacionalista,adjetivo,"['na', 'ci', 'o', 'na', 'lis', 'ta']",-2,"['na', 'sjõ', 'na', 'lˈiʃ', 'tɐ']",-2
nacionalista,nome feminino,"['na', 'ci', 'o', 'na', 'lis', 'ta']",-2,"['na', 'sjõ', 'na', 'lˈiʃ', 'tɐ']",-2
nacionalização,nome feminino,"['na', 'ci', 'o', 'na', 'li', 'za', 'ção']",-1,"['na', 'sjõ', 'na', 'li', 'za', 'sˈɐ̃w']",-1
nacionalizado,adjetivo,"['na', 'ci', 'o', 'na', 'li', 'za', 'do']",-2,"['na', 'sjõ', 'na', 'li', 'zˈa', 'dʊ']",-2
nacionalizador,adjetivo,"['na', 'ci', 'o', 'na', 'li', 'za', 'dor']",-1,"['na', 'sjõ', 'na', 'li', 'za', 'dˈo']",-1
nacionalizar,verbo,"['na', 'ci', 'o', 'na', 'li', 'zar']",-1,"['na', 'sjõ', 'na', 'li', 'zˈa']",-1
nacionalmente,advérbio,"['na', 'ci', 'o', 'nal', 'men', 'te']",-2,"['na', 'sjõ', 'naw', 'mˈẽ', 'tʃɪ']",-2
naco,nome masculino,"['na', 'co']",-2,"['nˈa', 'kʊ']",-2
nada,advérbio,"['na', 'da']",-2,"['nˈa', 'dɐ']",-2
nada,pronome,"['na', 'da']",-2,"['nˈa', 'dɐ']",-2
nada,nome masculino,"['na', 'da']",-2,"['nˈa', 'dɐ']",-2
nada,nome feminino,"['na', 'da']",-2,"['nˈa', 'dɐ']",-2
nadador,adjetivo,"['na', 'da', 'dor']",-1,"['na', 'da', 'dˈo']",-1
nadador,nome masculino,"['na', 'da', 'dor']",-1,"['na', 'da', 'dˈo']",-1
nadador-salvador,nome masculino,"['na', 'da', 'dor', 'sal', 'va', 'dor']",-1,"['na', 'da', 'dˌoɾ', 'saw', 'va', 'dˈo']",-1
nadadora,nome feminino,"['na', 'da', 'do', 'ra']",-2,"['na', 'da', 'dˈo', 'ɾɐ']",-2
