palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
ó,interjeição,['ó'],-1,['ˈɔ'],-1
o,artigo,['o'],-1,['u'],0
o,pronome,['o'],-1,['u'],0
o,pronome,['o'],-1,['u'],0
oásis,nome masculino,"['o', 'á', 'sis']",-2,"['o', 'ˈa', 'zɪʃ']",-2
ob-rogar,verbo,"['ob', 'ro', 'gar']",-1,"['ob', 'ɦo', 'gˈaɾ']",-1
oba,interjeição,"['o', 'ba']",-2,"['o', 'bɐ']",0
oba,nome feminino,"['o', 'ba']",-2,"['o', 'bɐ']",0
obaudição,nome feminino,"['o', 'bau', 'di', 'ção']",-1,"['o', 'baw', 'dʒi', 'sˈɐ̃w']",-1
obcecação,nome feminino,"['ob', 'ce', 'ca', 'ção']",-1,"['o', 'bi', 'se', 'ka', 'sˈɐ̃w']",-1
obcecada,nome feminino,"['ob', 'ce', 'ca', 'da']",-2,"['o', 'bi', 'se', 'kˈa', 'dɐ']",-2
obcecadamente,advérbio,"['ob', 'ce', 'ca', 'da', 'men', 'te']",-2,"['o', 'bi', 'se', 'ka', 'dã', 'mˈẽ', 'tʃɪ']",-2
obcecado,adjetivo,"['ob', 'ce', 'ca', 'do']",-2,"['o', 'bi', 'se', 'kˈa', 'dʊ']",-2
obcecado,nome masculino,"['ob', 'ce', 'ca', 'do']",-2,"['o', 'bi', 'se', 'kˈa', 'dʊ']",-2
obcecante,adjetivo,"['ob', 'ce', 'can', 'te']",-2,"['o', 'bi', 'se', 'kˈɐ̃', 'tʃɪ']",-2
obcecar,verbo,"['ob', 'ce', 'car']",-1,"['o', 'bi', 'se', 'kˈa']",-1
obcomprimido,adjetivo,"['ob', 'com', 'pri', 'mi', 'do']",-2,"['ob', 'kõ', 'pɾĩ', 'mˈi', 'dʊ']",-2
obcónico,adjetivo,"['ob', 'có', 'ni', 'co']",-3,"['ob', 'kˈɔ̃', 'ni', 'kʊ']",-3
obcordado,adjetivo,"['ob', 'cor', 'da', 'do']",-2,"['ob', 'koɦ', 'dˈa', 'dʊ']",-2
obcorrente,adjetivo,"['ob', 'cor', 'ren', 'te']",-2,"['ob', 'ko', 'ɦˈẽ', 'tʃɪ']",-2
obdentado,adjetivo,"['ob', 'den', 'ta', 'do']",-2,"['ob', 'dẽ', 'tˈa', 'dʊ']",-2
obduração,nome feminino,"['ob', 'du', 'ra', 'ção']",-1,"['ob', 'du', 'ɾa', 'sˈɐ̃w']",-1
obdurar,verbo,"['ob', 'du', 'rar']",-1,"['ob', 'du', 'ɾˈaɾ']",-1
obedecer,verbo,"['o', 'be', 'de', 'cer']",-1,"['o', 'be', 'de', 'sˈe']",-1
obedecido,adjetivo,"['o', 'be', 'de', 'ci', 'do']",-2,"['o', 'be', 'de', 'sˈi', 'dʊ']",-2
obediência,nome feminino,"['o', 'be', 'di', 'ên', 'ci', 'a']",-3,"['o', 'be', 'dʒi', 'ˈẽ', 'sjɐ']",-2
obediente,adjetivo,"['o', 'be', 'di', 'en', 'te']",-2,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",-2
obediente,nome masculino,"['o', 'be', 'di', 'en', 'te']",-2,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",-2
obediente,nome feminino,"['o', 'be', 'di', 'en', 'te']",-2,"['o', 'be', 'dʒi', 'ˈẽ', 'tʃɪ']",-2
obedientemente,advérbio,"['o', 'be', 'di', 'en', 'te', 'men', 'te']",-2,"['o', 'be', 'dʒi', 'ẽ', 'tẽ', 'mˈẽ', 'tʃɪ']",-2
obelisco,nome masculino,"['o', 'be', 'lis', 'co']",-2,"['o', 'be', 'lˈiʃ', 'kʊ']",-2
obesidade,nome feminino,"['o', 'be', 'si', 'da', 'de']",-2,"['o', 'be', 'zi', 'dˈa', 'dʒɪ']",-2
obeso,adjetivo,"['o', 'be', 'so']",-2,"['o', 'bˈe', 'zʊ']",-2
obfirmado,adjetivo,"['ob', 'fir', 'ma', 'do']",-2,"['ob', 'fiɦ', 'mˈa', 'dʊ']",-2
obfirmar,verbo,"['ob', 'fir', 'mar']",-1,"['ob', 'fiɦ', 'mˈaɾ']",-1
obi,nome masculino,"['o', 'bi']",-1,"['o', 'bɪ']",0
óbice,nome masculino,"['ó', 'bi', 'ce']",-3,"['ˈɔ', 'bi', 'sɪ']",-3
obidense,nome masculino,"['o', 'bi', 'den', 'se']",-2,"['ɔ', 'bi', 'dˈẽ', 'sɪ']",-2
obidense,adjetivo,"['o', 'bi', 'den', 'se']",-2,"['ɔ', 'bi', 'dˈẽ', 'sɪ']",-2
óbito,nome masculino,"['ó', 'bi', 'to']",-3,"['ˈɔ', 'bi', 'tʊ']",-3
obituário,adjetivo,"['o', 'bi', 'tu', 'á', 'ri', 'o']",-3,"['o', 'bi', 'tu', 'ˈa', 'ɾjʊ']",-2
obituário,nome masculino,"['o', 'bi', 'tu', 'á', 'ri', 'o']",-3,"['o', 'bi', 'tu', 'ˈa', 'ɾjʊ']",-2
objeção,nome feminino,"['ob', 'je', 'ção']",-1,"['o', 'bi', 'ʒe', 'sˈɐ̃w']",-1
objecção,nome feminino,"['ob', 'jec', 'ção']",-1,"['o', 'bi', 'ʒe', 'kə', 'sˈɐ̃w']",-1
